"","PA0318","PA0509","PA0510","PA0511","PA0512","PA0513","PA0514","PA0515","PA0516","PA0698","PA1264","PA1828","PA2130","PA3393","PA3394","PA3395","PA4465","PA4958"
"PSEUDO_Mig_2 (GE) - TPM",-1.04828219883214,0.536078108856418,-0.0785560553310649,-0.221656923174288,-0.19159468448491,-0.414378784973018,-0.338895349773849,0.120791810804102,0.240037321565081,-0.668693411077415,0.0869251816040073,-1.36319912133807,-0.0301021454329085,0.444251241791008,0.654562120783841,-0.404671386880068,-0.447719781721944,-1.2006882646049
"PSEUDO_Mig_3 (GE) - TPM",-1.14055089278086,0.537979981210846,-0.131671860710655,-0.310884950154443,-0.249998012006147,-0.307865370110364,-0.475068806977134,-0.0727371147588526,-0.231347831346028,0.383282375854342,-0.377983570676938,-1.81116353701714,-0.522117205664028,0.319454020814487,0.483060376857511,-0.560108885457242,-0.448850313093533,-1.31847200576089
"PSEUDO_Nd_1 (GE) - TPM",0.333675938461358,0.151596209060917,0.563097297504304,0.314164392387551,-0.56981184877698,-0.378160559218979,-0.0909087144097331,-0.25020154372577,-0.706071791211607,-0.828331015327151,0.908773269235335,-0.0527953042030276,0.858314165390785,-0.128071729752938,-0.163175692593554,-0.519665973835573,0.209867818901258,-0.0986140217205877
"PSEUDO_Nd_2 (GE) - TPM",0.0251615640460991,0.344557132621932,0.615176314060308,1.47017304851527,-0.0119263107739131,0.16636631335757,0.401667648651131,0.365612180460435,0.308542495154299,0.273558295258695,1.54904046477618,-0.321721846021275,-0.384284809907659,0.375938487171165,0.0212638628554576,-0.729668766170968,0.171699221094976,-0.29106403616983
"PSEUDO_Nd_3 (GE) - TPM",0.242456054319386,0.585754636600566,0.959315460771245,1.37260486830576,0.100027878599754,-0.293819193589306,1.16424691914609,0.507801259343343,0.210463040037109,1.68424310901533,0.59706141651602,1.06397530650087,0.206946337867086,0.141283678332696,0.459056849181143,-0.225684075712521,-0.378765798111256,0.0677074481180164
"PSEUDO_Ns_1 (GE) - TPM",1.71978124699406,1.77245920251875,2.11726623135175,1.4790492900315,2.22623469336595,1.99538127603347,2.49852216930955,2.07444329251536,1.43089602993102,1.5145899938578,2.4703553613286,0.922614838450346,0.771645385833519,0.87361550120989,1.07984146318086,0.413428122109381,0.525444973520557,0.950967557700706
"PSEUDO_Ns_2 (GE) - TPM",2.22481397727932,2.49404010600964,2.63349295410804,1.85327339372032,2.26577050538907,2.53658469517728,2.2369441579521,1.70192956510246,1.66343904226878,2.63470269294574,1.9269553022145,0.62036018358629,1.89483689189432,1.1531519099096,1.50090694770266,1.524325533851,1.70650825860147,2.22144209457785
"PSEUDO_Ns_3 (GE) - TPM",1.24185320518412,2.17984093155243,2.32148453764569,1.70774245364574,1.9340367607536,1.75120162410819,1.94916040178587,2.04838418343228,1.42060115891704,1.53119162960759,1.75115651286522,1.07034114157371,0.280917329099298,1.19567606450622,1.33943382773128,1.44694587319141,1.05135649540879,1.28889223626289
"PSEUDO_Oss_1 (GE) - TPM",0.394629154970761,-0.683514208165154,-0.419962909420961,-0.293320992315037,-0.342392031335824,-0.221957815578589,0.0851624100405144,-0.456403157222495,-0.449515389752124,-1.16135132295939,-1.28209346208888,0.651321390044654,-1.36301980726662,-0.560144408233526,-0.784848273477544,-0.668688311364539,-0.902189299000273,-1.07101530125871
"PSEUDO_Oss_2 (GE) - TPM",0.177207696244912,-0.356269932183093,-0.253489242167072,-0.2777839742175,-0.157356945637902,-0.146993308856532,0.456006545968551,-0.100233411091499,-0.176468743188432,-0.567385880549032,-0.969544005468869,0.805848053234578,-0.529549203855705,0.0806494284097687,-0.651232381126215,-0.422038747238843,-0.862387762410427,-1.06045887456993
