"","KPN_RS00410","KPN_RS28535","KPN_RS01540","KPN_RS01560","KPN_RS28570","KPN_RS02985","KPN_RS03090","KPN_RS03095","KPN_RS03100","KPN_RS03120","KPN_RS05545","KPN_RS06500","KPN_RS07535","KPN_RS08260","KPN_RS08345","KPN_RS08380","KPN_RS09145","KPN_RS09175","KPN_RS09465","KPN_RS09935","KPN_RS10090","KPN_RS10145","KPN_RS10415","KPN_RS10590","KPN_RS10840","KPN_RS11970","KPN_RS12105","KPN_RS12330","KPN_RS13770","KPN_RS14080","KPN_RS14245","KPN_RS14685","KPN_RS16175","KPN_RS16350","KPN_RS16395","KPN_RS16595","KPN_RS16600","KPN_RS16885","KPN_RS17020","KPN_RS17175","KPN_RS17185","KPN_RS29175","KPN_RS19865","KPN_RS20335","KPN_RS21035","KPN_RS21960","KPN_RS22200","KPN_RS22210","KPN_RS25930","KPN_RS26890","KPN_RS26900","KPN_RS26940","KPN_RS27630","KPN_RS27890","KPN_RS27930"
"KLEBS_Li_2 (GE) - TPM",-0.0010383116433441,-0.559803184466222,-0.252068975894423,-0.446317075150125,-0.248462378418963,-0.155061393236538,-0.398844660264307,-0.421797909843225,-0.761299321722834,0.980388209972903,-0.424305764574342,-0.0870719575797346,-0.0327842758768542,-0.433516557845936,-0.30975236425731,-0.508543529595276,-0.785725903723195,-0.326870229543358,1.14344612821832,-0.245269448300516,-1.12540474035441,0.930205691365039,-0.687340796142979,0.368950837310996,-0.634733193095537,0.287304091726049,1.50890123755412,0.561429078951476,0.269232908450281,0.319978951019327,-1.12246833071277,-0.152467949078103,0.191540658235808,-0.0603515776385646,-0.950748309231344,0.230147162523435,1.09803355569047,0.221875169677302,-0.715567103491054,-0.138045991176701,-0.812870812069822,-0.152960078479912,-0.142665570924711,-0.884922243219631,-0.188115570223912,1.39079263317035,-0.560596142513991,-0.117006587315998,-0.0974962639100038,-0.0480383349728731,-0.533450241695928,-0.632821890708946,-0.660333570908425,0.109398882052762,-0.24753271862247
"KLEBS_Li_3 (GE) - TPM",-1.03009851220802,-0.275769511880576,-0.489208705509892,-0.446317075150125,-0.248462378418963,-0.4680949487563,-1.14297778847226,-0.421797909843225,2.23989150744851,0.731653655223582,-0.82227751085349,0.683326101064139,-0.464609883021882,-0.433516557845936,-0.30975236425731,-0.508543529595276,0.314241680094004,-0.326870229543358,-0.71212105573353,0.0518940707997498,-0.466422672524006,-0.722581023595201,0.246290844692953,0.530348129548597,-0.847376672363461,-0.0908097119804537,0.198375810227027,-0.546189914185305,-0.976901963922953,0.0773646022800899,0.0928544550755104,0.557301434913205,0.304785285525945,-0.84448888038894,-0.950748309231344,-0.157643755454039,0.571223200515034,0.0569368556914498,0.0633810008819012,-0.638938346033694,0.184461387423981,0.134729456143321,-0.688707371226009,-0.81646219627493,-0.407634439371251,-0.73184292711545,0.0503933248470946,1.18446587401172,1.22299153734799,-0.237605363616545,-0.340961987332473,1.34283718927692,-0.409940820789659,0.141668659375811,-0.854851831322502
"KLEBS_Mig_1 (GE) - TPM",3.19257697949775,5.18179342923688,5.02194632230994,5.22585838167341,5.7380210524048,2.57516978312022,3.67473335222906,5.16695755460615,3.28320402982299,4.0865605270398,5.01170787135773,4.08303109461947,5.04701378370492,4.43303667504591,5.34652516097169,4.30754877263281,3.66133144452542,5.20385342413762,3.92496992669453,4.924641606731,3.67015102454125,3.09905128444558,4.97452621466666,4.21010911886429,3.32395493264343,4.40173324049977,3.6935160655693,3.84422623077797,3.79630686312681,4.77006228314292,3.84655503641103,3.0491714484873,4.58925264401054,2.96304253752378,3.43544195320213,4.3513957638976,4.07843461217891,4.61829395103402,4.9790260336455,4.24766942260832,2.92885171153162,3.35947360714393,3.50573876867239,3.51938213266671,4.80270578215274,3.0373364601567,5.07215042547065,3.73167482001252,4.45610362894939,3.95116409966725,4.90386549848929,3.93140052627441,3.22711667523418,3.40052657905272,4.20050174412673
"KLEBS_Mig_2 (GE) - TPM",-0.840503822392109,-0.559803184466222,-0.740747536604033,-0.446317075150125,-0.248462378418963,-1.37547833161568,-0.671011179857324,-0.421797909843225,-0.761299321722834,-0.769880866983537,0.768759755012096,-1.63064118648742,0.1927152958805,-0.433516557845936,-0.30975236425731,0.592341849208181,-0.785725903723195,-0.326870229543358,-0.103998718185655,-0.525895460631705,0.701580323980437,-0.722581023595201,-0.687340796142979,-0.0185629817196974,-1.02673176635248,-0.83860833972628,-1.06187354744959,-0.546189914185305,-0.238449242063488,0.645347121582754,0.247881621553896,-0.871452159597382,-0.670004178841,-0.84448888038894,0.177195047719337,-0.675748092817679,-0.581365804522914,-0.856325556725367,-0.579730875059542,-0.735212962876774,0.173502512107796,-0.925031195231407,-1.14926877121224,2.07761346304628,-0.274996761145295,-0.444503341426994,-0.721206519996324,-1.09320212970316,-0.949890011269651,0.74554107541212,0.462158660368618,-0.632821890708946,-0.87312653892803,-1.27667717243001,-0.854851831322502
"KLEBS_Mig_3 (GE) - TPM",-1.52099974547525,-0.559803184466222,-0.740747536604033,-0.208363073457598,-0.248462378418963,-1.37547833161568,1.16683116635468,0.248071922833436,-0.761299321722834,-0.769880866983537,-0.510283636149047,-0.581310382519868,-0.464609883021882,-0.433516557845936,-0.30975236425731,-0.508543529595276,-0.785725903723195,-0.326870229543358,-0.427657887745992,-0.525895460631705,-1.12540474035441,-0.722581023595201,-0.687340796142979,0.648863068076075,1.10262266695325,-0.83860833972628,-1.06187354744959,-0.546189914185305,-0.41063293564165,0.647161885445598,-1.32975155208227,0.401597063495794,0.1121256223958,-0.84448888038894,-0.950748309231344,-0.675748092817679,-0.581365804522914,-1.08183846849061,0.184849919631065,0.244491793278253,-0.659011132245281,-0.206072431600481,0.412992736701887,-1.0686481651844,0.122638197885866,-1.16493475919734,-0.721206519996324,-1.30925457627125,-0.949890011269651,-0.92710651573038,0.800136351951679,-0.632821890708946,0.384320389942586,-1.28906510690619,-0.854851831322502
"KLEBS_Nd_1 (GE) - TPM",0.593881701986553,-0.0551999957875745,-0.293873421045995,0.00233479153770702,-0.248462378418963,-0.0114596580767875,-0.870787551259991,-0.141128958049427,-0.0503927831057051,1.25747073794509,-0.109604540921602,0.598930187645567,-0.296125744910188,0.101107877559823,-0.30975236425731,1.04342726993921,0.907879151013281,-0.326870229543358,-0.136350794473148,-0.183735982113307,0.700921489618445,0.0834976939419958,0.860735994093141,-0.318690808686083,-0.00709882990182013,-0.236350476832786,0.0426554110041443,0.225518074377314,0.799844954198504,-0.703809401312902,0.957497092223026,-0.213550341805385,-0.00574418166738544,-0.653273526877192,0.976664691853355,-0.491659285253253,-0.581365804522914,0.931631705198423,-0.168877054473786,-0.796466702769733,-0.815718829062811,-0.360212313838388,-0.331053279464004,-0.307007712495212,-0.400242968545279,-0.395520634650542,-0.368716554681809,0.684356518486195,-0.237227189880771,-0.498377179183835,-0.429868691576253,-0.632821890708946,-0.508464546158127,0.291255826205987,0.403976533996396
"KLEBS_Nd_2 (GE) - TPM",-0.938888562324335,-0.559803184466222,-0.740747536604033,-0.446317075150125,-0.248462378418963,-1.37547833161568,-1.14297778847226,-0.421797909843225,1.21582020451305,2.07895300193828,-0.876216852427288,-0.524348906623399,-0.089749603865556,-0.433516557845936,-0.30975236425731,-0.508543529595276,-0.206018044700931,-0.326870229543358,-0.462228729148926,-0.525895460631705,1.79190259752092,-0.722581023595201,-0.687340796142979,-0.533576922425757,-1.02673176635248,-0.83860833972628,-0.264857561450802,2.88775556062966,1.65730493649642,-1.0873738017244,1.03194716474443,1.72851612246987,-0.96288108073404,2.55899071190023,-0.950748309231344,2.92854799662283,-0.581365804522914,1.23306600293711,-0.86603636291221,-1.102073927952,0.0770024410516128,-0.925031195231407,-1.14926877121224,-1.0686481651844,1.42086616181119,3.21745019143861,1.02158182873317,-1.30925457627125,-0.949890011269651,2.61587521834331,-0.532606292256262,-0.632821890708946,-1.55105443862922,2.18107023810366,0.463155996401882
"KLEBS_Nd_3 (GE) - TPM",0.596676422118403,-0.215865009617181,0.832967283255449,-0.23395479546636,-0.248462378418963,-0.192202325638962,-0.11228216741764,-0.421797909843225,-0.761299321722834,0.684693270741073,0.462750707600357,1.05312180079105,-0.321061129579474,0.65968552643276,-0.30975236425731,2.85726414619513,2.43317192108625,-0.326870229543358,0.882888889086347,-0.525895460631705,-0.0880495075455149,-0.722581023595201,-0.310493971878561,0.423770214234293,1.57945487868599,-0.597137912661151,-0.705796629060953,0.637303663834846,0.795213898335274,-0.399379110154938,-0.511496301411546,0.419108819410159,0.156408156499946,-0.84448888038894,0.527194735931674,-0.048372266292983,-0.581365804522914,0.674681505139863,-0.0532204787310257,-0.461143856717576,-0.543593783957553,-0.925031195231407,-0.870420411557611,0.763593365836106,0.184619490903035,-0.535614384600115,0.0796521748696229,0.766762981259184,-0.342700155299086,-0.300915528514128,-0.554675252835863,0.990550394810774,-0.267971418419644,-0.197199429690274,1.10092680304504
"KLEBS_Ns_1 (GE) - TPM",-0.958191903045715,-0.559803184466222,0.113723366272522,-0.446317075150125,-0.248462378418963,-0.841993313529568,-0.449035490781812,-0.421797909843225,0.00332325005833796,-0.157799994376017,-0.271556042835548,-0.213867697726934,-0.464609883021882,-0.433516557845936,-0.30975236425731,-0.508543529595276,-0.785725903723195,-0.326870229543358,-0.631208201334993,-0.525895460631705,-0.722466633190782,0.626063790526018,0.264115964520725,-0.836243396522511,0.252723925709107,-0.736998236120996,-0.719390789852685,-0.546189914185305,-0.569910936757824,0.0706514371123297,-0.822333191970358,-0.741434286709536,0.65195511607283,0.252383481810603,0.154877371668043,-0.147751983011096,-0.581365804522914,0.741831254981094,-0.86603636291221,-0.697521461123735,-0.280474742809367,-0.925031195231407,0.0241176014368573,1.18010852104474,-0.226085574098977,0.159146817720069,-0.721206519996324,0.755576992129837,0.838636959581357,0.653890350629231,-0.660934666791963,0.517680302729776,-0.471218693207753,-0.592370537692218,-0.854851831322502
"KLEBS_Ns_2 (GE) - TPM",0.48033657143301,-0.559803184466222,-0.740747536604033,-0.446317075150125,-0.248462378418963,-1.21287277818312,0.839954033186727,-0.421797909843225,-0.761299321722834,-0.769880866983537,-0.499239899011298,1.61114183418712,-0.464609883021882,-0.433516557845936,-0.30975236425731,-0.508543529595276,1.34971002292394,-0.326870229543358,2.91507831491916,-0.525895460631705,-0.818367186813615,-0.722581023595201,-0.687340796142979,-1.44406936391012,-0.191067914951731,-0.374048888429752,-1.06187354744959,-0.546189914185305,-0.889261371866871,0.2362435101113,-0.00409038660737055,-1.60432685063645,-0.224581059545418,1.66295085249626,-0.950748309231344,-0.675748092817679,-0.581365804522914,0.307792048570647,-0.86603636291221,-0.793806237622136,-0.928727270489273,-0.925031195231407,2.06955126419615,-1.0686481651844,-0.751061778170122,0.247589559285064,-0.207621921315126,-0.583072234383994,-0.755196889590246,1.08075110661454,-1.05003010828615,-0.632821890708946,2.43651309815843,-0.79774175900153,-0.36934499848077
"KLEBS_Ns_3 (GE) - TPM",-0.654222470602658,-0.559803184466222,0.513290610551784,-0.096587366266528,-0.248462378418963,-0.244546209202173,1.12022940680139,-0.421797909843225,-0.761299321722834,-0.270824302816822,-0.562485342028859,-0.354387527315029,-0.464609883021882,-0.433516557845936,-0.30975236425731,-0.508543529595276,-0.785725903723195,-0.326870229543358,0.436510765768651,1.23444048873808,-0.468338276349239,-0.722581023595201,0.60560039067154,0.948421300804671,2.99702703035247,0.0727109112518571,-0.433580586429307,0.897544420352031,-1.22543999488979,0.187281502413684,-1.15244272531202,-1.01201951780512,-0.96288108073404,-0.173742525424471,-0.950748309231344,-0.24524954876483,0.0571000447249341,0.450138122908154,-0.179580342175417,-0.662274607064839,-0.928727270489273,-0.925031195231407,-0.19255504649141,-0.12569984204506,-0.751061778170122,0.994229599986561,-0.629616416365585,-0.0142173782247054,0.577816198554598,0.218721537432772,-0.460857673866264,-0.632821890708946,0.920943907793068,-1.0811529013853,-0.854851831322502
"KLEBS_Oss_1 (GE) - TPM",0.709922207922471,0.43312246810348,-0.330393489521915,-0.0539489660571706,-0.248462378418963,-0.54586964998055,-0.012270019701152,-0.421797909843225,-0.0618612736065402,-0.769880866983537,-0.272820721180017,-0.90691503368863,-0.464609883021882,-0.0127167460365831,-0.30975236425731,-0.508543529595276,1.13690886901617,-0.326870229543358,0.113509312987152,-0.525895460631705,-0.756817343597864,-0.326043578355606,-0.687340796142979,-0.638815751741834,0.352646244833332,-0.350632480493903,-0.0632747367712496,-0.546189914185305,-0.888941145327913,0.0248942503635998,-0.0864641053359067,-1.0034386607376,0.218855288967411,-0.84448888038894,-0.571484393458178,1.24411382857432,-0.581365804522914,0.851757922462856,-0.468929073227214,-0.269429632672465,-0.928727270489273,0.408665861742986,0.782769319495887,0.165581149284357,-0.691034068889573,0.742709720890955,-0.335869270276398,-0.600953277391525,-0.277939263053576,-0.20399853841326,0.475362005505912,-0.238163938723049,0.101576001447652,-0.504310214250452,-0.854851831322502
"KLEBS_Oss_2 (GE) - TPM",0.13319323156708,-0.176959162398849,-0.373449010647089,-0.115378873875284,-0.248462378418963,-0.716914993271627,0.635316431217337,-0.421797909843225,-0.761299321722834,-0.769880866983537,-0.240057765367449,-1.41625080672607,-0.384716480419122,3.01426394938021,-0.30975236425731,-0.374738403208167,-0.785725903723195,-0.326870229543358,0.0249321030435594,0.187997581022129,0.89531944150337,-0.212935647772071,-0.0581279122228048,-0.848052897963316,0.635296705365542,-0.233841520593219,0.0705718383986914,-0.546189914185305,-0.25938726877057,0.549565962470899,0.348065995403032,-0.48878448449543,-0.500117552263363,0.0622341715614943,-0.950748309231344,-0.221824636336138,-0.257708602184599,0.389141244503165,-0.0308727510478341,-0.600442571435878,-0.66079021120083,0.00345016153250552,-0.0822985743058163,-0.473793311755884,-0.606405619894989,0.294457515432951,-0.0154746305784749,0.0431202155550747,0.0920830180753917,-0.113910784751974,-0.176997898133167,-0.299952348497128,-0.727079207633661,-0.704263213328287,-0.36326806617786
"KLEBS_Oss_3 (GE) - TPM",-1.09181852568571,-0.559803184466222,0.84262869448179,0.534963916577339,-0.248462378418963,-0.20383537897005,1.71459754745169,0.130687468477312,1.68763407546557,-0.769880866983537,-0.272598831102204,-0.0932869624962971,-0.464609883021882,-0.433516557845936,0.668778300406083,0.602362357946367,0.496501958907098,-0.326870229543358,0.113895857078583,-0.525895460631705,-0.387958861405533,3.24425163502853,-0.687340796142979,-0.293284031477013,0.227709376240466,-0.00177067242559377,1.4061601758571,-0.546189914185305,-0.888636195165654,1.49562654438732,0.0632424533260154,1.21417618104602,0.958146690827321,1.41390884234812,-0.950748309231344,-0.675748092817679,-0.581365804522914,0.435265408346054,-0.143757599046784,0.563827048316701,-0.817501017670851,-0.0355728588667347,0.139230275054125,-1.0686481651844,-0.751061778170122,0.591955198677349,0.666517706488282,-0.873216566201918,-0.248466169427454,-0.203732626084786,0.628518251528096,1.34119351788996,-0.866955885162294,-0.845290531318823,-0.854851831322502
"KLEBS_Oxs_1 (GE) - TPM",-0.281109239051751,-0.325551380769456,-0.302792783613948,-0.446317075150125,0.00595736951501272,-0.694289244333948,-0.487784004263754,-0.421797909843225,-0.280014390445666,-0.233256321178497,-0.142205630595283,0.724515330974123,-0.366840699894917,-0.433516557845936,-0.30975236425731,-0.508543529595276,-0.58413056462014,-0.273144424089672,-0.214340860140753,-0.525895460631705,-0.473224018579204,-0.2028508738337,-0.516230492562897,0.0316375907889171,-0.68158515361508,-0.345221268853884,-0.25347573519896,-0.0386693737562481,-0.0878656076970137,-0.329829331441546,-0.488908465659034,-0.83712219533551,-0.0916430276081744,-0.326676407613468,-0.727057703622131,-0.447856098063696,0.0523526108022973,-0.783684490253241,-0.411801865110637,-0.729205313409324,-0.0762217428643188,-0.109280070826155,-0.991002121413609,-0.444690263850471,-0.680252855388694,0.156649421946808,-0.660600474621853,-0.216658028170361,-0.467416073773323,-0.263676830803786,-0.36777332219741,1.03536338748183,-0.822811850921929,-0.22234821171681,-0.167339412399507
