"","JHP_RS00425","JHP_RS00635","JHP_RS00665","JHP_RS00725","JHP_RS00730","JHP_RS00735","JHP_RS00925","JHP_RS01100","JHP_RS01125","JHP_RS01235","JHP_RS01480","JHP_RS01485","JHP_RS01995","JHP_RS02025","JHP_RS02255","JHP_RS02325","JHP_RS02410","JHP_RS02835","JHP_RS02935","JHP_RS02995","JHP_RS03090","JHP_RS03235","JHP_RS03335","JHP_RS03415","JHP_RS08050","JHP_RS03640","JHP_RS04085","JHP_RS04210","JHP_RS04400","JHP_RS04535","JHP_RS04560","JHP_RS08140","JHP_RS05145","JHP_RS05185","JHP_RS05515","JHP_RS05525","JHP_RS05765","JHP_RS05830","JHP_RS05845","JHP_RS05850","JHP_RS05855","JHP_RS05860","JHP_RS06105","JHP_RS06170","JHP_RS06350","JHP_RS06355","JHP_RS06390","JHP_RS06395","JHP_RS06400","JHP_RS06405","JHP_RS06410","JHP_RS06415","JHP_RS06420","JHP_RS06425","JHP_RS06430","JHP_RS06435","JHP_RS06440","JHP_RS06445","JHP_RS06450","JHP_RS06455","JHP_RS06460","JHP_RS06465","JHP_RS06470","JHP_RS06475","JHP_RS06480","JHP_RS06590","JHP_RS06725","JHP_RS06730","JHP_RS06775","JHP_RS07480","JHP_RS07550"
"HPJ99_Mig_2 (GE) - TPM",0.755870184155189,0.877111052149418,-0.146520883989758,-0.630001165797341,0.93746775543742,0.192362331187894,-0.288117553974465,0.189250076782781,-1.05457975538271,0.041420101107835,-0.174709307564182,1.62071258720243,-0.389127758165015,-1.43606941375036,-0.0104556908748375,0.374528177480078,0.974114112905492,-0.71388741010123,0.024802142748625,-0.240633586879574,-0.218724001398221,-0.501702269871459,0.136764224275153,-1.0350714415426,-1.14550525029679,-0.609195634245161,-0.505306812240287,0.586135470868105,0.294877914155191,-1.4823709424984,-1.82074469281833,-0.601108415467017,-0.392367057664715,-0.369613890928648,1.67575859590835,0.799256105030923,-0.6035561292868,0.641617108909697,0.274991453423687,0.637710806867243,-0.296429727252568,1.2895398420575,-0.870057386038073,-0.121897780554139,-0.221739453569036,0.959849599536954,0.949995870712696,1.28428444427533,-0.0328134109746238,0.745900233304844,0.371304489128768,0.342191877412296,-0.199835554819299,1.47469108675656,0.290884598833892,0.248469347729071,-0.0372548748645905,1.33022181039902,-0.0465934933226084,0.60355854339794,-0.139261156115518,0.624038265031925,0.00515395152636017,-0.458268573861426,0.350362435503206,-1.07130959133414,-0.0431402483317742,-0.494365814627196,-1.00869297498731,-0.653536033277853,-0.840978294192643
"HPJ99_Mig_3 (GE) - TPM",-0.0747670912158022,0.281437468171488,-0.30188716406976,-0.936508679561756,0.240612072250644,-0.592870581144157,-0.642033259911097,-0.144200162393589,-0.881196786241244,-0.320956324323338,-0.947097429131303,1.31784873213786,-1.05582798187912,-0.93194873288215,-0.432938227099286,0.0903473541705109,0.758851284289322,-0.874799083506431,-1.12785634927881,-0.351738633795623,-0.775416368243029,-0.864248504842111,-0.124488136281021,-0.790016775301287,-1.38149407512521,-0.998449736485843,-0.608551778172383,-0.140624155717128,0.206706735618872,-1.521479988178,-1.11034026405697,-0.979554170127288,-0.202208307167558,-0.301756182094444,1.04757875822951,0.637396907873992,-0.708621166035526,0.159032900305308,-0.0975461996312479,0.176724971545394,-0.626168523151367,0.692355852899071,-1.0699586405464,-1.10612248387179,-0.435657606304771,0.183344333740505,0.112559091734878,0.415054732030018,-0.169885417498432,-0.141788219077189,-0.385261912554612,0.0270845017316021,-0.417802718586718,0.211342840110415,0.0271084267186825,-0.28996522223505,-0.429182382909484,0.821676756271932,-0.270303182375502,0.557762671088196,-0.168107804060439,0.6841103513807,-0.35321065748946,-0.863999506461735,0.0985750072228798,-0.873356200634943,-0.581109098763516,-1.08206767745951,-1.05391808066327,-1.02246075122372,-1.00140105329806
"HPJ99_Nd_1 (GE) - TPM",-2.13641140132105,-1.39694571222517,2.21659870632912,-2.04932904231542,-1.91718691251377,-2.27187563343642,-2.02380757065172,-0.971078056739464,0.886088370541649,-1.64453891121037,-1.08327740028978,-1.84318537820573,0.806162324516734,1.78119790129397,-2.21280459694824,-1.95538003608286,-1.08646295639098,1.63517955728435,-1.69733910497885,1.58962266676914,-1.53744609778689,-1.58557663704787,-2.14336748331181,1.04872762420302,1.52000686245446,-2.0561022159233,1.51280133112515,-1.56141922909963,-1.29013290553197,2.14581222417605,1.63537197156148,0.906210931627843,2.66914952529551,1.96009110150546,-1.54238095009595,-1.41428092725183,1.9955250553556,-1.59351558257218,-2.46587027904697,-1.65958964431802,-1.15552430814194,-1.65551787000589,1.30348316283354,-2.2306252321654,-1.73134290342788,-1.85255145521181,-2.01984813228187,-1.94099417235562,-1.97740304224582,-2.12646934690599,-1.86268612990843,-1.95294893872014,-2.17211855470087,-2.00047891497225,-1.99329668071174,-2.06719080433139,-2.28392894241871,-2.05983283129909,-2.07088415516994,-2.17918058945489,-2.24594455817999,-1.99357418091954,-2.14992527388356,-2.01760958168359,-2.03263105036166,0.854782564570965,-1.37776365554287,-1.52156774853575,2.31376127444314,0.293325627405235,2.69921440298791
"HPJ99_Nd_2 (GE) - TPM",-2.18298327053536,-0.927310167838298,2.79224747154051,-2.02030120957371,-1.32252142187506,-1.8096260945951,-1.6154906072093,-0.198060205143275,0.351017237714006,-1.59734640999861,-1.06982355911156,-1.5444375886069,1.48887197000098,1.28712753920733,-1.72938571892444,-1.73170334068652,-1.21464206196668,1.76899020510055,-1.4898372515097,1.64492843981966,-1.53931384521559,-1.36072688683898,-2.02216034798886,0.649690371704308,1.36618426674969,-1.85019021908265,1.78520042456775,-0.571764831432946,-1.30904767773884,1.58518044446669,1.13972082899602,1.78817269407826,2.5616902325389,2.01663087107228,-1.29162673825411,-1.31182469390544,1.72558211690303,-1.26889619610373,-2.26643040761572,-1.28578957129593,-0.841939874433035,-1.24783042097719,1.04621023922263,-2.0769232444254,-1.53857474488214,-1.56481383580979,-1.905663633833,-1.8708555184227,-1.91729631248597,-1.90323764532194,-1.59963152475989,-1.82942743621682,-1.84249351551699,-1.62114143265894,-1.73236449223718,-1.78245208970294,-1.91604081665136,-1.75922593322143,-1.91916591688448,-2.12048353691623,-2.26001915426682,-1.89377418730391,-1.89223353859064,-1.90938239082223,-1.97204532485518,0.356243097094894,-0.732123494777475,-1.01982820532353,1.88954777708585,0.888688932913852,2.10277039932707
"HPJ99_Nd_3 (GE) - TPM",-2.11955083238758,-1.28663618201993,2.97345272848041,-2.15428505660379,-1.80901959708698,-1.44515952860472,-2.08325193727181,-0.752487855110511,1.11245674787125,-1.61809558079658,-1.16713777800695,-1.77457059700723,0.690975578763848,1.43037993241618,-2.24365863554369,-1.94626566370593,-1.88351351168529,2.46232351684014,-1.03730825816436,1.92064878433058,-1.64920472682796,-1.20179938446548,-2.12119464955302,1.75947206235854,1.55421944713413,-2.81798837728386,1.12875794073408,-0.623635218429458,-1.07115912947326,0.562549922016348,1.35674127590985,1.41105168722959,2.2746185734792,2.06279253881749,-1.5723300183961,-1.51286572826752,2.13517508863972,-1.59349802300356,-2.48100415006746,-1.57011310179334,-1.41599453857994,-1.43594509348749,1.89420311434816,-2.1593476836456,-1.75701864260712,-1.81266254871107,-1.90373595233104,-1.95017612177489,-1.85311501998226,-1.88578815897222,-1.7072591376935,-2.19113643782985,-2.17730460045696,-1.58950051872781,-2.00069058486672,-2.07008759005103,-2.08780332714622,-2.02129449587649,-1.97902691054924,-2.19760198975337,-2.09583981329821,-1.99914299690542,-2.17494536354782,-2.05513155314033,-1.99919135313459,1.11593736789212,-1.37269464968989,-1.55431473409699,2.10764963698634,0.598823675641655,1.0768115097733
"HPJ99_Ns_1 (GE) - TPM",0.289087394415832,-0.432253781260035,0.0560416686015272,0.380216685985793,-0.481081777445003,0.0499347862153384,0.396145544994811,1.41322184444764,-0.200814172051045,0.604811837025148,-0.27397608645434,-0.0496996542157051,-0.541611435408813,-0.748195666516409,-0.408741462484429,-0.776699429685667,-0.670434151502723,0.995262182557041,0.992812938862635,0.184298455399166,-0.210430539467329,2.22413693222435,0.793122711900701,-0.409307641841613,0.870920720231159,0.982904736956096,0.00449723227592597,-0.338326666798569,0.781815509338626,0.0109958795829749,-0.628806382940365,0.135277297391349,-0.192136069391956,-0.277802671261044,-0.0996819104251001,0.0141788383556855,-0.426647816249079,-0.0399715539943728,0.374241898464881,-0.184365885461307,0.0700377526221459,0.211012353275188,-0.133955791431821,0.154315088623019,0.021428318561775,0.145858105129903,0.172544893305552,0.0787110072456307,0.478353372336675,0.843665579278808,0.0668732472100544,0.543834019508478,0.18309619108583,0.579916328442154,0.399132783914215,0.876434112529666,1.04809378261966,0.321016787119391,0.283573072630473,0.20607264452111,0.664530916463771,0.203050987640588,0.701569217035569,0.680646007520834,1.05572524341129,-0.216073263713147,-0.220192338459319,0.162985136339292,1.42867814325421,0.803582334377582,-0.72411610393535
"HPJ99_Ns_2 (GE) - TPM",0.539104168269294,-0.529212838519583,-0.627593849420963,-0.0951308160107233,-0.317364819973732,0.341014586023269,0.431008072652005,0.0735755793072543,0.464047627895764,0.452073494517704,-0.775921590186545,-0.186506158907761,-1.14985854164875,-0.822695910063765,-0.797094882240747,-0.808867335873773,-0.321399291467919,1.19998197336081,0.236158632984676,0.0411441053253298,-0.150208812157463,1.69217041828382,0.270271326245101,0.404003132701074,0.396984675160717,1.51899615373772,0.69130101181062,0.0524797666864744,0.710968333324193,0.415803433403456,0.0225506666173066,0.0551881686028432,-0.266606692374866,-0.294923091566385,-0.515003891306471,-0.258543403613769,-0.4240115475569,-0.494711073061842,0.320395568342997,-0.585597537227653,-0.449167780813775,-0.405327962776601,-0.0329227273575695,0.454962300952389,-0.267611465263486,-0.460591529642773,0.133915860469899,-0.182425608676143,0.457235941314346,0.352533968910866,0.472912148472411,0.173598984775285,0.587901026619222,0.0292822684699983,-0.0721426990775593,0.126676022237747,0.540869571834725,0.163589114779631,0.263406312188201,0.413039926168948,0.913027419027828,0.00979858599051056,0.568437639372819,0.43305038053569,0.755262123014179,0.464048647623837,-0.211730651834446,-0.353811612336418,1.76577757837958,0.64810012651709,-1.03272942131558
"HPJ99_Ns_3 (GE) - TPM",-0.306005459156771,-0.788524495121891,0.563915140813673,-0.773630122492777,-1.21267013906487,-0.0437368376307685,0.125843054486726,-0.517806502671794,0.390693858409768,0.316450061764071,-0.694870227525893,-0.691382309184664,-0.910112821423785,-1.43885316318884,-1.45347208850221,-0.761070092894869,-1.66372454406022,0.737232517964086,-0.799173775160139,-0.0307801024258207,-0.200425398441375,0.640187509257334,-0.0892148855214135,0.177687275146786,0.51941484757272,0.360987929606856,0.785732039443112,-0.567296525325048,0.138010044311046,0.159738609347346,-0.382856071086766,0.15986434633122,-0.635881142115378,-0.633061540698176,-0.831893096387077,-0.727534536332872,-0.603832806994721,-0.858581072958567,-0.259439401481701,-0.771381840829174,-0.846565910430781,-0.863590347593777,-0.117409624293354,0.16450354545015,-0.516060890140061,-0.631321966043752,-0.263067958798234,-0.473139630504848,-0.349414802002438,0.117159093179796,-0.0677529884670728,0.0340852795353717,-0.0119704512092956,-0.444577578721244,0.0339802338515931,0.41795573218686,0.236147086569776,-0.0948775808681131,-0.0890805487012525,-0.0498106363476901,0.614340130765092,-0.201226264349981,-0.160392604167727,0.425109748049625,0.35930331976902,0.410011357331338,-0.781445855611701,-0.630162556694444,1.15632515578096,0.0612308528875708,-0.869640658600391
"HPJ99_Oss_1 (GE) - TPM",0.524854997373421,-0.21382951686689,-0.38349020616413,0.22003950954829,1.15963948077801,1.00164361529576,0.469919902589452,0.562954003050466,0.856855358601938,-0.097617891246548,-0.465282383763415,-0.487944797834122,0.655282472230644,-0.915931722049947,-0.292527213287824,1.06618681148645,0.347896644090006,0.361124252686167,-0.873454792366776,-0.0209344190622729,-0.142350387037844,-0.674970325631892,-0.0572925580902391,1.46981085050713,0.864157945667198,0.94058442423479,0.253791905510703,0.119452194153175,-0.48963693967674,1.52329796310372,0.947361199953642,1.35907223920828,-0.569712668527661,0.517352633062247,-0.293753719563222,-0.36351419914959,1.61977807785294,-0.305745480733172,0.452474798103709,-0.0955802174638901,0.149978609227334,0.0360322095657199,-0.852334556417921,0.597710601768171,0.12981290497112,0.0512535513735542,0.246477328123886,0.303599239974674,0.197454226593529,0.196764820501044,0.45572074856258,-0.122760361539852,1.01538999723564,1.17590095089403,0.777016034308337,0.334238995165534,-0.00141247595907379,0.219026208056314,0.675342227476399,0.960571308556497,0.260950175382666,1.23947536364457,0.141867760654311,0.295838997503323,0.439993324788359,0.900995719773884,0.49857233157172,-0.261480906883131,0.829144800236415,1.09537478144539,-0.386972649745161
"HPJ99_Oss_2 (GE) - TPM",-0.326362289792561,-0.377396016264288,-0.713969110469155,1.15544431142964,1.07314668964372,1.219847222458,0.212115478373869,-0.304226126799748,0.997616718671177,-0.0638977899466558,-0.67363651421374,-0.558451255440394,-0.189014743336431,0.0717509681989643,0.126623949136092,0.469775143384036,0.223052593617018,0.349612191355888,-0.10043871543888,-0.100611527643045,0.205784101942375,0.338202480653892,0.362902028195149,0.0525867035410225,1.15176067988491,0.878858918601117,0.327554593412465,-0.201825533758313,-0.780738606500126,0.298175778343444,0.237703476850223,1.60170469611957,-0.448990878227373,0.565846008397501,-0.0879455780174086,-0.141048415887132,0.480422036327745,-0.120064974074614,0.647401411425435,0.00145215283865919,0.17503977604194,0.236391354597004,-0.479537326355369,0.74862998177936,0.366927538947223,0.229950035387604,0.74832584569545,0.329476454903019,0.220690662666509,0.823797766344928,0.679234715274534,0.264796547030665,1.14900275977204,0.909226200965081,1.4871966884675,0.25445792020648,0.648015775170709,0.443478574733869,1.20157852518813,1.39785391272369,0.606025550853778,1.74568100853971,0.770586312873721,0.621460418005881,0.179186023037531,1.04225263101901,0.0667077326966326,0.350006541387509,0.321480622018315,0.474548898944718,-0.153820881078925
