"","SP5448_RS00285","SP5448_RS00885","SP5448_RS00890","SP5448_RS00895","SP5448_RS00900","SP5448_RS00905","SP5448_RS00910","SP5448_RS00920","SP5448_RS00995","SP5448_RS01190","SP5448_RS01960","SP5448_RS01965","SP5448_RS02155","SP5448_RS02160","SP5448_RS02175","SP5448_RS02500","SP5448_RS02510","SP5448_RS02535","SP5448_RS02560","SP5448_RS02810","SP5448_RS02815","SP5448_RS03395","SP5448_RS03495","SP5448_RS04130","SP5448_RS04140","SP5448_RS04150","SP5448_RS04155","SP5448_RS04245","SP5448_RS05395","SP5448_RS05420","SP5448_RS05475","SP5448_RS06005","SP5448_RS06010","SP5448_RS06150","SP5448_RS06455","SP5448_RS06460","SP5448_RS06465","SP5448_RS06470","SP5448_RS06475","SP5448_RS06480","SP5448_RS06485","SP5448_RS06490","SP5448_RS09410","SP5448_RS07120","SP5448_RS07230","SP5448_RS07235","SP5448_RS07415","SP5448_RS07650","SP5448_RS08220","SP5448_RS09510","SP5448_RS08225","SP5448_RS08265","SP5448_RS08270","SP5448_RS08275","SP5448_RS08280","SP5448_RS09550","SP5448_RS08585","SP5448_RS08590","SP5448_RS08625","SP5448_RS08735"
"SPYO_Li_2 (GE) - TPM",-0.390713806866107,-0.323446764660302,-0.302003757231807,-0.252533971269693,-0.308402392200978,-0.330515286649552,-0.273300384153183,-0.33016492743251,-0.562637139481614,-0.380895816346461,-0.184201689910983,-0.753825166597926,-1.23706387934626,-0.983226924178471,-0.655946864872519,-0.739349954062235,-1.19151758644797,-0.636702708634569,-0.562098456936163,-0.923179627771454,-0.194076853234199,-0.176558903114297,0.0376277536172909,-0.676036422088164,-0.842042862505371,-1.53323093932901,-0.829808125596156,-1.20215675145053,-0.455120492347599,-0.961012997721004,-0.799539189732201,-0.600701937152374,-0.672844804378187,0.222375694725077,-1.10924160844473,-1.00312284202783,-0.999870336111554,-0.897590110126671,-1.00010695168693,-0.977841827615317,-0.923549977251441,-0.961042884500887,-0.878291849359823,-1.22981631429171,-0.774550782941532,-1.06580573951732,-0.287882967116526,-0.884959493768455,-0.82543226963264,-0.118172496635014,-0.635880762026584,0.0151961055885813,-0.550025683707023,-0.465436252866238,-0.0941916484231937,-0.837692473098059,-0.625032832377576,-0.507206370511975,-0.823037540042685,-0.921905496877084
"SPYO_Li_3 (GE) - TPM",-0.293903583758606,-0.224131167520912,-0.279119216372772,-0.374055757453923,-0.344741333905127,-0.304876472889535,-0.354440833392221,-0.307778074235379,0.0719777867210998,-0.663753751298062,-0.391480774639189,-0.814384374028238,-0.27379388648296,-0.0574145670798065,-1.10485575659885,-0.530204935688389,-1.08074978100608,0.00572844525582402,-0.399658282185216,-0.590624108292457,-0.604431674335213,-0.814192738590199,0.19504602178238,-0.729995169342836,-0.812936544912541,-1.18405378348546,-0.87790663144084,-0.39219044775976,-0.537846773436933,-0.96945468372443,-0.668981412573222,-0.663498065608851,-0.880235824081286,0.383712107429091,-1.10571596718292,-0.998464429662124,-1.08737557514748,-1.09061179170709,-0.977059302185844,-0.924865580925215,-1.02569859819768,-0.885022179912303,-0.971898963461688,0.0365339337686777,0.0747895399555732,-1.01613321081777,-0.480158048841509,-0.799044797411369,-0.758488690157688,-0.360044191408413,-0.659909906563093,-0.31143310060377,-0.627125198577978,-0.0308694434696233,0.142839843539612,-0.882485819385899,-0.504347763908724,-0.332976487717345,0.341049133987509,-0.653989224015967
"SPYO_Mig_1 (GE) - TPM",0.739093298456065,-0.25582640101754,-0.299582306532157,-0.315145679365456,-0.351457325774774,-0.392309003525593,-0.315131439713555,-0.35507122542923,0.980391204735581,0.833690736055442,1.36915716213753,2.08984643523584,0.419946757991626,1.30677280554626,-0.436970733446196,1.57268299653224,0.796837838246863,0.213451996661409,0.716514801589698,2.12943685035915,1.36450334515584,0.875253533499964,0.146980111673566,1.66962046200786,1.30799168326357,2.07698859386081,0.716733352599611,1.86971382363156,1.95193623999383,2.64872821946635,-0.336810622689793,1.12860392634724,1.04595511006741,1.24766230597468,2.26175095555653,2.38451602531493,2.28009378708289,2.02436457088688,2.15808265337547,2.13130155761996,2.09584829180274,1.83003721947937,0.454440055248595,0.349782448221764,0.320049285679696,-0.33231989585135,0.00996050104050171,0.278656722203438,1.79838599745408,-0.131767419855715,2.08538387689563,-0.0522753236821,1.64691143402081,0.534583147696028,0.0430254620359528,1.291255998091,0.311936582849115,0.114723374524228,1.0981950461665,0.691826268414838
"SPYO_Mig_2 (GE) - TPM",0.987587749237953,-0.333751844225952,-0.314292982042211,-0.255131133110359,-0.3334107650067,-0.337903174063208,-0.285385950082804,-0.350591587063882,0.301680478830777,1.37133021202177,1.25364515108592,1.84423566468052,0.114886230029377,1.37465884942799,1.95144387510813,1.83374664379232,0.936002277094402,-0.0490937844889099,0.504669443986813,0.938514530375985,0.146582964322164,0.1732981202031,2.04763104151373,1.55813425013112,1.12103856903264,1.02340864559446,0.904191496406866,0.291781225576306,2.16825530996878,0.555549935718441,1.78011137063795,1.91346799557938,1.64131771979571,0.881691108467045,1.79323721896043,1.76580986662145,1.98572384323935,2.30961543770748,1.74182782572785,1.57757846940047,1.7469499464709,1.31402097283059,0.793834894835631,2.19076102775664,0.783121817879778,0.319251290308545,0.195225061342298,0.445561754781937,1.69663060649302,0.672932589821709,2.14750625276746,0.824325222140689,2.18228302924563,0.821613540133831,0.0892778856295386,1.15680939359337,0.488827789455001,0.066927965699121,1.41676212610258,0.482950316228076
"SPYO_Mig_3 (GE) - TPM",0.79411715713556,-0.38632722744821,-0.300065118424398,-0.185960334670708,-0.372880531256673,-0.455584226367078,-0.225779801478516,-0.365948472958753,-0.246254631561412,1.48737805242795,1.51042763329844,1.51265260971677,-0.483886468070392,-0.19110891285951,2.97361410112065,1.66542200798718,1.10233945403356,0.0155027361236186,0.183422685250975,1.23732965456416,0.96408934956502,2.19386607888478,0.178470608293752,1.55330213061193,1.08203329112924,0.056943333557519,0.552350614049663,3.05542602675869,1.73460508835761,0.270404125431502,-0.0931395727695821,1.57039218983279,1.74132873078669,0.206522405265582,1.54036044438756,1.75099778225402,2.02733862259164,2.57160607759916,2.34355191394964,1.75874977925432,1.46679890443129,1.46125928196254,0.912902013982657,1.03863653304411,1.84140883539194,-0.507782388714979,0.176718822257049,0.204723669678886,2.27866414742611,0.831521551136337,2.10899471938975,1.83285997783438,2.56731028931925,0.978172218280251,0.0959979814347137,1.2470951616618,0.527500337348679,-0.000973009704105126,-0.32666635319892,0.788295142910945
"SPYO_Nd_1 (GE) - TPM",1.47410092771627,3.23700725791172,3.49435793607151,3.57676226746421,2.86947245261243,3.37862645366085,3.09843399673415,3.2524536368474,0.672570066781989,1.21665656043306,1.14857047359758,0.991326279735884,1.04834426797189,-0.15414336470763,0.311169303567857,1.19280655136405,2.26704588293469,1.59512894191541,2.99538450760638,0.695993910761121,0.811330058561488,2.01550228778594,1.47778562876588,2.0861903658957,2.66807812111251,1.62856689979219,3.00530171631179,0.566676674552192,1.43710495627196,1.11894616106013,2.54788991082989,1.53159906926405,1.18412827225215,1.83009617646826,1.61484213472605,1.46859728656393,1.42353650893013,1.24319441782769,1.76916099716534,1.91729149999696,2.03388677528761,2.30626744708819,1.69546826605016,2.01606264209825,-0.37121319367936,0.821563013509306,2.5571478613907,1.28305897775451,1.64138851345309,4.25281075170713,1.69591117797835,2.32023876309496,1.61547702609802,1.33529798479343,1.17396303427643,1.89604756407589,1.64745254609337,1.70384767675421,1.08895451661176,1.79634426858379
"SPYO_Nd_2 (GE) - TPM",1.34291555422054,3.31268852006124,3.02625448743815,3.42077775443849,3.32681237646637,3.48485090882497,3.39129028879901,3.21597415664704,0.684525487937709,1.17234415417729,1.55051952368456,1.20518030287114,2.93825682482637,2.05798103484584,1.95125482696181,0.946825502260513,2.53491475836042,2.54877929662514,2.93274342472525,0.635876664169675,1.34176871177878,0.384215201996455,1.32436593838422,2.01589022889278,2.0401440544651,1.19111432459207,2.54203645763783,2.29266829972588,1.63441346063878,0.867683066737788,0.389914555639774,1.58524995332813,1.34510844229614,2.40697825763148,1.75398123676994,1.20290536370233,1.53060230443672,1.43128178750545,1.78398816179617,2.16697448629009,2.25697132821498,1.98288948805174,1.18074179849994,1.61822145282189,-0.366813005630131,1.54838594831323,2.73318980816918,0.636040765694867,1.46079698464183,1.44214738166442,1.39705802865258,1.92250440251273,1.68446370048829,1.96350470190783,1.11292408784775,1.33165612260536,1.76181280779622,1.53645677978566,2.20068470619874,2.00659002659718
"SPYO_Nd_3 (GE) - TPM",1.33502100161142,3.22858555568425,3.27191695749189,2.6555577619636,3.52308581712321,2.88299564740279,3.30360842453415,3.33132694926025,1.59081044422077,1.33424207833238,1.13112565188133,1.06731076262749,1.29956537828967,1.003780459284,1.42131303937918,1.26972289344376,1.95688485544788,1.99907321875491,2.84466611839832,1.96873920414498,1.23525153722172,0.708401249079613,2.48509621676865,2.06663248987632,2.44655024895177,1.97565164571225,2.72413399605733,0.163778862829667,1.5062833453138,1.73983682824011,1.44149077467307,1.30948138446227,1.50831445922083,2.234335907331,1.73759635448607,1.5202966695054,1.24832033771642,1.29855504221045,1.34695785122868,1.77221703968885,1.75221311912718,2.29414607094989,1.23692108658576,1.15972353323978,1.33211581728548,0.964868129679299,2.68930822772809,0.724199271532954,1.70065582204857,2.10647053657262,1.04753596849735,0.660805503793678,1.67711453308994,1.6437121263596,2.09091740859004,1.23746476368521,1.75164414759431,2.09606996695991,1.86528502213247,1.79749789141723
"SPYO_Ns_1 (GE) - TPM",0.166181569256928,-0.246662792837583,-0.303509616169439,-0.257664975464356,-0.391150755384835,-0.27712978824308,-0.317034676307115,-0.295327888551424,-1.50508330869232,0.348436644353141,0.445274128142069,0.144504206128106,0.361732952532931,-0.8999640482638,0.515858795054385,-0.658347157024485,-0.99306261940756,0.646809416314084,-0.534795288561284,-0.839098555725168,-0.555867169309892,0.255344797257793,0.067061630822426,-0.722611376694716,-0.757643360192809,-0.888428803296525,-0.725973727884705,-0.474006794468632,-0.298269422019318,-0.394793216530432,-1.19901117463718,-0.631118207513357,-0.586579342081842,0.0611985319736952,-0.931916050263118,-0.966965599663881,-1.04210038304821,-0.974622213846891,-0.945733845023265,-0.908957088196781,-0.953051650649928,-0.845908897577386,-0.92180909476838,0.0328170134917826,0.0771180082609108,-0.531770109045319,-0.264997779376182,-0.913067030991159,-0.729818570239637,-0.235259221980688,-0.647811247104779,0.0811368911781463,-0.475478939863579,0.950216829932348,1.66519575019412,-0.759948668330207,-0.535728628517873,-0.276698072571219,-0.951111753889517,-0.517567797279717
"SPYO_Ns_2 (GE) - TPM",0.38840198593311,-0.310513590005549,-0.313109269117247,-0.346417088693095,-0.2352436932316,-0.312154575270197,-0.263403387734145,-0.321247671318218,-0.548852159891946,0.0535492875256515,0.0677047202389126,-0.211727213451258,-0.55688444133681,0.0745898557872891,-1.12095810711752,-0.798649343620208,-0.863957623084633,0.277209309094849,-0.441587348345268,-0.233304290849114,-0.163697866949426,-0.420883181668207,0.26147055330485,-0.701304428095402,-0.804693852717166,-0.859479939653626,-0.83997631199421,0.274154085781708,-0.388454258458851,-0.518031936454455,-0.659891634004578,-0.734719308958565,-1.14670331811108,0.248666099713486,-0.900950203569672,-0.88611634905862,-0.862399084625553,-0.805032461616979,-0.818019170415739,-0.874918696067462,-0.914053231985564,-0.934492425362975,-0.826407476825304,-1.23591883807811,-0.516686953129359,-0.824038074156957,0.0839699753476709,-1.12401348227317,-0.805097591738712,-0.149720818860238,-0.691724927965831,-0.0727461705967298,-0.597612989376991,-0.762397603050856,0.423334699184224,-0.92489880516481,-0.694746314722894,-0.48650696370176,-0.329617846030291,-0.490138444238704
"SPYO_Ns_3 (GE) - TPM",0.205596264152343,-0.274886752502931,-0.300189905096159,-0.437764982818841,-0.163725308061168,-0.342956863479584,-0.330491262418128,-0.328523541022657,-0.129941269223598,0.440158783610787,-0.219360896849858,-0.605127195437426,-0.903627721624442,0.00805395322011813,-0.322046893222068,-0.865852878464584,-0.993726137326173,0.852366815385087,-0.513235487588008,-0.615027793340542,-0.829966970873934,-1.36242152068344,-0.0170750054148692,-0.629304826674823,-0.809755389413785,-1.16128584390491,-0.708045580403836,-0.749840135567746,-0.283678289839444,-0.51604552809129,-1.02959251962268,-0.720001061892033,-0.786826729080923,0.0705968511000873,-0.971372422800628,-0.97806424774024,-1.12014554643135,-0.743961319347018,-0.99296213074067,-0.801365726102063,-0.954762239796425,-0.882540973228432,-0.695719185226896,-0.56577096941465,0.282465108899076,-0.13746721048579,-0.332816615882818,-0.870255120889794,-0.712496269138937,-1.08600613531372,-0.816005572367572,0.402190012242009,-0.577553994742458,-0.612097337746605,0.246083976857612,-0.89640766685173,-0.769966144356924,-0.58475808667826,-0.301189260243232,-0.700992586389345
"SPYO_Oss_1 (GE) - TPM",-0.986113745136141,-0.266689884935018,-0.287826555444765,-0.228309093389061,0.0400718269377134,-0.0637312490278279,-0.257287328589545,-0.214708246434653,-1.59723625361777,0.256772012382871,-0.299216460250466,-0.665785187121293,-0.157409516994279,0.114105214017617,-0.296046887113797,-1.10204857678299,-0.267851687564112,-0.437450809396343,-0.635116440326144,-0.664989412485081,-0.623507076357862,-0.607141106696354,-0.411746208181269,-0.808156067188341,-1.01629772898053,-0.747430869279128,-1.0933713948893,0.0594836830803298,-0.61252038156047,-1.78218693390329,-0.414550616683369,-0.792779019650234,-1.25888795728779,-0.546196798091239,-0.386154189620325,-0.263822930576037,-0.318607746868013,-0.386763520726997,-0.52293180656755,-0.535703839911297,-0.565677410480688,-0.529992568096503,0.0287198034289315,0.272536674203473,-1.20208137167526,-0.712004818798276,0.280909952218085,-0.560082784940211,-0.744905836001996,-0.582671047709596,-0.768546835921372,0.00506548181126788,-0.564672711436269,0.0799646843933644,-0.583721804188252,-0.37231690102268,-0.747403612317982,-0.829891189111659,-1.11784946072076,-1.00398804037982
"SPYO_Oss_2 (GE) - TPM",-0.997484888431445,-0.175103140955871,-0.263933641683805,-0.183972518445753,-0.137016473152837,-0.109539284707393,-0.246447200478,-0.281320521924188,-1.03942781900819,-0.386186636698158,-0.756175906618903,-0.919405973236482,-0.209722551780222,-0.524007915475734,-0.557106718519462,-1.24597480922445,-0.585412461634212,-0.00682355500077023,-0.721226196222133,-0.445473134715773,-0.817367910702383,0.443995571288751,0.665602687690172,-0.825443485522473,-1.02927604779751,-0.933475386455769,-0.924963524784796,0.286509279545186,-0.738939864348702,-0.966151726244418,-0.580671122221713,-0.860456840446478,-1.3061258300918,-0.799361065526626,-0.576724738253244,-0.351658665514184,-0.150483786712301,-0.398537734268926,-0.447213207537105,-0.430964505934144,-0.471035216725253,-0.475668481499688,-0.267141158279242,-0.464394328217033,-1.20273953244889,-0.474419969529552,0.391487113585336,-0.235137520949578,-0.759607807232115,-0.503755381845356,-0.77322709451578,-0.176602700759559,-0.559162463475238,-0.278526411289694,-1.10550219377422,-0.669149625974883,-0.827235682003291,-0.898651994314591,-0.412947144721548,-1.18431661930908
