"","lmo0041","lmo0074","lmo0077","lmo0142","lmo0269","lmo0334","lmo0354","lmo0412","lmo0450","lmo0455","lmo0490","lmo0491","lmo0516","lmo0773","lmo0786","lmo0788","lmo0813","lmo0814","lmo0825","lmo0829","lmo0883","lmo0888","lmo0912","lmo1029","lmo1060","lmo1061","lmo1133","lmo1169","lmo1170","lmo1307","lmo1308","lmo1309","lmo1310","lmo1596a","lmo1597","lmo1604","lmo1625","lmo1626","lmo1634","lmo1717","lmo1750","lmo2170","lmo2172","lmo2233","lmo2234","lmo2235","lmo2236","lmo2237","lmo2238","lmo2302","lmo2335","lmo2336","lmo2337","lmo2365","lmo2409","lmo2469","lmo2536a","lmo2563","lmo2566","lmo2637","lmo2638","lmo2652","lmo2820"
"Listeria_Li_2 (GE) - TPM",0.613275600930218,0.343677950859066,0.665731997370807,0.818862113266387,0.235256593039799,0.325135905094378,0.449746069030624,0.178283702885897,1.44488889779647,-0.276396220952022,-0.688308940840125,-0.56770007386333,-0.430564364121826,0.740771140726691,0.000706440353879926,0.492937857906784,-0.257062410964946,-0.357696220565781,-0.143677339568892,-0.151188038025137,-0.416204120974822,0.552074503529054,0.576010514101057,0.258912717563898,-0.0288709498740987,0.0109573355165917,0.100494968594743,-0.663573876420498,-0.395441318959724,0.328431812854921,0.443983321078927,0.75321908114782,0.590126466375716,0.332005019451292,0.182698532918357,0.646741670048244,0.0812721927936547,0.160881676561059,1.66058732539048,0.0651396343267936,0.117112516434472,0.222882413130939,0.685418086812433,-0.860172683032337,-0.168961489637048,0.105045980698999,0.107795285505209,0.225297759285902,0.212918539451904,0.043606720552696,0.265941943812581,0.523243331331132,0.166706664851908,0.0729175066512716,-0.00366876785985592,-0.800541057336179,-0.646930247949114,-0.315565937803038,0.130442306326776,0.234896162225091,0.474001598781435,-0.159789575779421,-0.282706634116893
"Listeria_Li_3 (GE) - TPM",0.272262021587817,1.64327797278078,0.700368031148846,1.05650138325498,-0.0435105639859445,-0.554776000562165,0.0373585542021805,-0.0422218052213919,1.85353778640344,0.0588070175053368,-0.496844494343638,-0.959503519798405,-1.21249463351751,0.984159557411782,-0.197787335714072,0.517064000189724,0.43812228440992,-0.228116562306855,0.0267807220536127,0.137174371071367,-0.642067881548885,0.659807245694438,0.58072200597348,1.10867812575928,-1.17495966084589,-0.397678138470468,-0.58963056928,-1.19433615835616,-0.466699741024883,0.218916873059062,0.22549548552776,0.378558855174084,0.0981645162572438,0.17937988689231,0.77599397906426,0.398012681825129,-0.00191002490686271,-0.197727045677159,1.51521473762108,-0.0265275712218708,-0.271945677365002,0.0807655944294114,1.34165722420143,-0.683191575631375,0.492801222435393,0.332239311618161,0.883995161314446,0.241781052427842,0.127149839962395,0.0903541899542677,0.219780572713451,0.193236466843725,0.0562515093391648,0.870430898872628,-0.227635891690708,-0.491926122629514,-0.0594840069220675,-0.18731483440274,0.401304943652744,0.464759175904364,0.24644804493226,-0.179016430098207,-0.0012166371914504
"Listeria_Mig_1 (GE) - TPM",-1.20596823557645,-0.948575345962519,-1.0350909996699,0.594048242816748,-1.23057619893419,0.00940224912601735,-0.783268021933078,-0.679907581435295,-0.946436305328988,-1.34004968436399,-0.0633323523182823,-0.584225040754344,0.0982755150812676,-0.853920484681925,-1.17208536355827,-0.788397017771753,-1.15935105577456,-0.262233815639049,-1.37074252594822,-0.496434823967546,-1.37345335770137,0.348549245129977,0.0118270543914997,-0.660444024894418,-0.35652938649346,-1.41961838897276,-0.58963056928,-1.32692316852522,-1.35630821473454,-1.67879275385529,-1.57408604957686,-1.31427572576585,-1.1568730544823,-0.741796538748195,-0.775323171304763,-1.23823095667264,-1.74712477160833,-1.78068567618294,-0.284923487978068,-1.0868706119623,-0.866560405209554,-0.702445353350737,-1.08560046167473,-1.1123595247162,-1.04411551595725,-0.4127787679137,-0.996077553101981,-0.551200635250472,0.303872518932396,-1.31713973208421,-0.669986426539197,-0.812566045266885,-0.880318516552552,-0.709120000885175,-1.00554508862765,-1.48452879241949,-0.902174336634985,-0.66176794098811,0.71557643697539,-0.711593178232887,-1.36796999657776,-1.1374959472791,-1.51507794653547
"Listeria_Mig_2 (GE) - TPM",-1.32770748338618,-1.13578495475595,-1.16993356342572,-0.169324975854442,-0.73127477665974,0.0736849638638748,-0.781300611828667,-0.841188144625217,-0.921835944943201,-1.51853451687368,0.08067395932527,-1.26286189026646,0.48409053291325,0.0500294367972875,-1.12658514204816,-1.07791308931986,-1.1412701011029,-0.703870564500631,-1.60358336269229,-0.281331657287445,-1.40208305260044,-0.462387084226757,-0.424270601713631,-1.15622516551255,-1.25265021482882,-0.999614644824943,-0.58963056928,-0.617381277714054,-0.82016198392213,-1.49054643608596,-1.20454081201292,-1.73330553014872,-1.45395521840953,-0.858320312372916,-0.69243529266175,-1.04188570557359,-1.76671614193036,-1.36172716523176,-0.583795033676228,-1.06835982690391,-1.35777712696748,0.847848138719549,-0.868488679056755,-0.0904109725121328,-0.131178010706583,-0.965046346978127,-0.996077553101981,-0.582448225999358,-0.00533167640056318,-1.50100415615891,-0.788746738974252,-0.859900504392141,-0.788603134638086,-0.880678215714733,-0.89883587756332,-1.37209713689182,-0.884947041306802,-1.5232577837071,-0.257739861702001,-0.748706913187455,-1.36929775439692,-1.58028692827902,-1.51927138188187
"Listeria_Mig_3 (GE) - TPM",-1.49899615240638,-1.14971092326259,-0.551149067081198,-0.629817908936742,-0.946363397354338,0.950011779814753,-0.753354225829947,-0.800136780913644,-0.759172765152822,-1.43553939229494,-0.87380464614571,-1.19974998888572,-0.343340817913188,-0.453995310237678,-0.937300146687003,-1.07673888946128,-1.11617312159764,-0.788746840934894,-1.29198889638482,-0.140220291963978,-1.43581033720467,0.693721143128273,0.410181795519446,-0.715608286905351,-0.65234947330206,-0.732689854729456,-0.58963056928,-1.00880092595787,-0.946176763122332,-0.829719277061431,-1.2371814889567,-1.35854448596886,-0.882841198133058,-0.746154188694354,-0.660651577529734,-0.98187357818465,-1.38924301948554,-1.09489716748905,-0.550984724182613,-0.855920508875154,-0.675873256556517,-0.579805837924787,-1.08560046167473,-1.30624350977502,0.209613773044019,-0.732024609069053,-0.764761836939504,-0.895434130477443,-0.778986247323384,-1.51468128618563,-0.72935726808844,-0.777627727666269,-0.777820808833275,-0.385898406122722,0.357906830661624,-1.36560936344669,-0.480260012200069,-1.06667881199066,-0.776106152282418,-0.643609887644938,-1.30405744056447,-1.38256907361061,-1.48079745828103
"Listeria_Nd_1 (GE) - TPM",-1.93170898730718,-1.07038801626989,-1.56176378989643,-1.43723362838727,-1.18386087138509,-1.58495136396668,-1.07452658064425,-1.11419519217319,-1.22184675115027,-1.73178259295929,-1.34325633334708,-1.93273984885956,-1.72548624330989,-2.35851495944454,-0.577546692716646,-1.15491126614273,-1.07728710354523,-1.37048863027305,-1.9343351283793,-1.41754719641638,-1.45975917309254,-2.33686592473512,-1.3806045067588,-2.47727934486415,-1.6055607117714,-1.5343819095064,-0.58963056928,-1.57695770726816,-0.854254731465626,-1.70954690638445,-1.78067910788345,-1.65416435405343,-1.63632620677778,-1.34898108534075,-1.39342359927493,-1.7148874874768,-1.3543409826762,-1.55850849370775,-0.694534314637511,-1.19427812763356,-1.91255673414925,-0.918426073253793,-1.08560046167473,-1.84967092443555,-1.37667951393601,-1.18000477742343,-0.996077553101981,-1.04164421345821,-0.75197114523184,-1.7139863643921,-0.234615083441879,-0.618158964328544,-0.734173087640219,-1.52302861014286,-1.27287994546284,-0.989522802557589,-0.952856685455656,-1.3786288366653,-2.14155338020474,-1.34763266859159,-0.035865197455238,-0.0766355184325321,-1.96704682636107
"Listeria_Nd_2 (GE) - TPM",-1.80942236235983,-1.19491266812794,-1.57113723924302,-1.43723362838727,-0.968979695388682,-1.58495136396668,-1.10228551629308,-1.1189060587149,-1.24693130900639,-1.10166145091106,-1.38984716319379,-1.93744500179231,-1.78374996188955,-2.2957549026366,-0.776632828279984,-1.1137581214464,-1.01292367711795,-1.33529447114303,-1.27435639122584,-1.34733401201179,-1.2927971968941,-2.2763452507779,-1.27805750648454,-2.44614334876915,-1.24165285752054,-1.4126694540024,-0.58963056928,-1.93455769693812,-0.871935311846622,-1.67741001694501,-1.8425454087734,-1.62739634610637,-1.57426964388442,-1.31939787397535,-1.3061761675638,-1.67054818485977,-1.11184198390334,-1.52888331291722,-0.702285418391719,0.939009703864818,-1.92880641949144,-0.856486451656716,-1.08560046167473,-1.8987016893888,-1.37667951393601,-1.09301867354737,-0.996077553101981,-1.04164421345821,-0.558996604757686,-1.31176077814549,-0.401615782197045,-0.656168896270219,-0.774323922461034,-1.46274639956113,-1.10940659484625,-1.0837865226738,-1.04146763552034,-1.47487104456698,-2.11980234847776,-1.30786175989888,-0.273257530837316,-0.190438375319408,-1.79883845348599
"Listeria_Nd_3 (GE) - TPM",-1.93170898730718,-1.44672680765278,-1.30330003246918,-1.43723362838727,-0.915984389895705,-1.58495136396668,-1.07282675037206,-1.09159565421004,-1.15644539730894,-1.80782560470624,-1.08495343791478,-1.87033182852111,-1.69288424220211,-2.18871693799823,-0.937969823606779,-1.12343980848165,-1.03706304877608,-1.3472262121566,-1.27449025388545,-1.32907733248983,-1.27478302040351,-2.09286098709695,-1.34867586061905,-2.17818288921553,-1.74344691245009,-1.51801199033256,-0.58963056928,-1.91122530399015,-1.2467263842145,-1.59218180328356,-1.88279269171432,-1.37950767747254,-1.55824214579747,-1.04543864278632,-1.31984273433369,-1.68125790874416,-1.30914969750195,-1.3944810940371,-0.725902829968587,-1.18114022064297,-1.91354566648603,-0.801637634425662,-1.08560046167473,-1.79189259355921,-1.37667951393601,-1.18117728216401,-0.996077553101981,-0.765581297046995,-0.592795613638068,-1.53099873301862,-0.421627684367793,-0.697734654552654,-0.817764494448463,-1.38164229159617,-1.31424905734658,-1.02351984309689,-0.848436679116305,-1.46937789734156,-2.31341241357466,-1.35157158787158,-0.198143646879677,-0.466115907006792,-1.76273362306496
"Listeria_Ns_1 (GE) - TPM",1.75135182126679,0.436599176298568,1.43909458379413,0.154019019068542,0.577212961614963,1.18451399283171,1.50787825436287,1.38643729220987,0.635139620413093,1.05452313632034,0.476606972822936,1.0153377325773,0.864213503311342,1.07619580081452,1.79170472163232,0.610560957259515,1.56072758978814,1.09405561099363,1.55656407344657,1.23421242595409,1.3580592792037,0.847228688024582,1.09797139477757,1.67471938577763,0.59694181845155,0.391696789836843,1.29389657175752,0.172532093625871,0.484455955593421,0.572863384290977,0.700532019112824,0.343276149923585,0.724499422353594,1.42636042105569,1.51753780813575,1.13023072971375,1.07169100048732,0.347956978614463,0.567940294935297,1.07148413693717,0.599643472202952,0.288038361013395,1.61550522796047,1.85545821518823,1.10394172592677,1.03607959702379,1.42204926775669,1.36378540905291,1.97086273706899,0.593186502795146,2.04947342951828,1.75056428336407,1.35163614313051,0.263925683048844,0.606086812404014,0.643943330854287,-0.194325523592776,1.56744397852885,1.33212759494337,1.34849731319405,1.41532513412217,1.36804483701009,1.55020732521661
"Listeria_Ns_2 (GE) - TPM",1.1412409362069,0.292684042636176,1.07560038845227,0.0709819909668779,0.73859423924733,0.462700597791776,2.08364491323961,0.994556817920013,1.40881319376733,0.916028275559861,0.678478434218232,0.170420999872192,1.45033611016738,0.87579328437218,1.45433986670216,0.718790303999753,1.51401550497288,1.21811718700964,2.34153243650172,1.34120219000384,1.07628221359151,0.718384026278861,1.09068533034988,0.736896092612363,1.19402964850998,1.62023706851118,0.520112112549072,-0.198239328997015,0.745372422720419,0.368476793348109,0.872937552594192,0.562309602396942,0.218133842825712,1.21211893795568,0.873228820804197,1.24230262945205,1.26415893873956,1.32178903013908,0.70459941445607,1.65133901245544,1.08261601620543,0.674258430128901,1.61567020638417,2.06008055097282,0.905726253587338,0.944400261394699,1.10596815592475,2.54574173369307,1.53372604013509,0.667743077773092,1.21028681917532,1.23332402551504,0.983547357183597,0.436674370562888,1.35813491287096,0.997376954840708,0.351114902651947,1.41568140682153,1.0379267533083,1.99336618584073,1.10558964653285,2.28059322534237,1.84858589311159
