"","lmo0026","lmo0047","lmo0095","lmo0113","lmo0114","lmo0193","lmo0194","lmo0195","lmo0229","lmo0230","lmo0231","lmo0232","lmo0447","lmo0481","lmo0612","lmo0613","lmo0804","lmo0817","lmo0849","lmo0909","lmo0932","lmo0954","lmo0955","lmo1020","lmo1021","lmo1022","lmo1023","lmo1223","lmo1471","lmo1472","lmo1473","lmo1474","lmo1475","lmo1518","lmo1617","lmo1636","lmo1637","lmo1746","lmo1747","lmo1919","lmo1966","lmo1967","lmo2068","lmo2069","lmo2078","lmo2094","lmo2147","lmo2224","lmo2247","lmo2257","lmo2258","lmo2360","lmo2361","lmo2444","lmo2484","lmo2485","lmo2486","lmo2487","lmo2567","lmo2568","lmo2577","lmo2588","lmo2589","lmo2601","lmo2733","lmo2734","lmo2745","lmo2784","lmo2818","lmo2819","lmo2833","lmo2837"
"Listeria_Li_2 (GE) - TPM",0.110119018762169,-0.566405418378645,0.378200561833468,1.17853989746891,0.920639028109319,-0.501453309214583,-0.389238835808438,-0.48866894197651,0.225630800812234,0.506674115963186,0.163091655815038,0.69667291929668,-0.0467195555445143,-0.272469182596383,-0.461146044277555,-0.312709993241993,0.759901158268864,-0.567742804675232,-0.0137448318902491,-0.296434437248979,1.36307735230652,-0.0978788395722199,-0.395394313400178,-0.306033673262548,0.308023640949716,0.355387510480195,0.135501718595254,-0.317931485281492,0.365081992572879,0.57507074156347,1.2117150504701,0.755291873160009,0.892355102631053,0.543047114792863,-0.463434332204982,0.224723766265309,0.340096998452956,-0.605217014661085,-0.391950315576057,1.6416564032031,0.04472610509483,-0.201758536864963,0.86139789070511,0.473426843917258,0.478008936962835,0.249160997609594,-0.0490468524493859,-0.763078538761541,-0.14509008684952,-0.363156421815978,-0.00622372068236451,-0.0827314856713836,-0.176955241604759,0.305194407700297,0.0606901209153701,-0.317951155829507,-0.347518395976466,-0.349336351373484,-0.362941982943093,-0.379660673141314,-0.0722564721690419,-0.364100667437882,-0.511710858323937,-0.171028845929327,-0.261408471882825,-0.358030182916741,0.269071481095109,-0.173135399125069,-0.52310744076373,-0.54110238438405,-0.976935541643463,-0.589106566199464
"Listeria_Li_3 (GE) - TPM",0.305011968460971,-0.510313954836771,0.842268470207042,0.993217934371586,1.50777038113968,-0.571476872163624,-0.628727614200781,-0.486057029785184,0.877510901374305,0.9906583930864,0.468522795324404,0.856291818575157,-0.875601893087354,-0.296006797075215,-0.203668819521332,-0.351700038949454,0.680669538227429,0.172493923697012,-0.520539020129848,0.100520445569882,1.06192482280191,-0.0310328104008385,-0.326567971873095,-0.347944636912993,-0.312703299097188,-0.093412742746856,-0.0681480631579899,-0.556992345539859,0.58695575147124,0.26841521964723,0.940025878377321,0.47697584788927,0.723936289228366,0.638304812492193,-1.42888346597156,-0.0913849060626441,-0.0680679902458817,-0.80146650566671,-0.319053636312146,2.20301792099533,-0.320508535744899,-0.318990743749397,1.208844331082,1.49857698205577,-0.162460325841973,-0.511003215154197,-0.0377510672362141,-0.653641272732224,0.198214273418943,-0.504480337819031,-0.324984948069843,-0.150155674848935,-0.186934929865317,0.949063464238041,-0.11550099981613,-0.279480059823284,-0.335701694182135,-0.35872778306683,-0.450023881550887,-0.364384637489872,0.213710431682126,-0.349415680882661,-0.331475611142772,-0.149847806950689,-0.195631516282752,-0.50663202605539,0.0220696647412538,0.0281136624646732,-0.59007485540557,-0.543693903122213,-0.265654507379277,-0.785009711153515
"Listeria_Mig_1 (GE) - TPM",-0.175965531663087,-0.347486864726852,2.198258248164,-0.586138821703892,2.34399762552939,-0.169628853452798,0.167189064267203,-0.367839459896724,3.44396511958721,1.49650499121621,0.722982990815303,-0.235903679172887,-1.16033626270016,-0.30168946289566,0.00835202389695957,0.664058563653715,-0.15715969687471,0.982512214934854,0.226983156039084,-0.00280131607635541,-0.00591873187578078,-0.403698985027051,-0.269999719702783,-0.279811382520375,-0.801402849846122,-0.617915700697054,-1.28464436545165,3.41922196062295,-1.42685029955123,-1.09192123584768,-0.983346304766151,-0.596943009801451,-0.300284641488696,0.812365579042319,1.61384021006502,-0.495366880906095,-1.28597586581824,-1.21883032746698,-1.16050146045401,0.361681692922549,-0.263853388840648,-0.303211291646547,-0.781857086426396,-0.624653000461772,2.5990946800358,1.66320338134077,1.13545845859294,0.964977607735384,-1.60367004482474,0.368295051408399,2.044543716958,-0.318763673644029,-0.166271377071184,-1.24859346291675,0.507805924165447,-0.107201504382916,-0.370815698238702,-0.26509166073103,-0.238085797715554,-0.168309855568114,-0.400493185143238,-0.359471330205506,-0.618252547195829,-0.192130052259857,0.0271860440508957,-0.312311571346221,-1.02192776703562,2.89476918990399,0.4248401884739,1.74145955861807,-0.21502810155572,-1.14438920155804
"Listeria_Mig_2 (GE) - TPM",-0.455057105174352,-0.380331964280389,0.394246920954076,0.305697378036996,-1.27195282444548,-0.387674687202813,-0.402072293459804,-0.564224926818463,0.750635987883045,0.936699257074804,0.165148189009503,-0.322918344523721,-1.16033626270016,-0.367537584096821,1.44178964291404,0.0324846018770635,-0.914244968402612,-0.595023409389792,0.312156156406636,-0.372786612927052,0.447946116309193,-0.470329485749598,-0.199220432989478,-0.651000158057656,-1.04477402547845,-1.04389089968873,-1.21300410007689,-1.04272227696565,0.104526641445363,-1.1343191156037,-1.04118061979234,-0.568353373951894,-0.0980343382661022,1.0390712411859,-0.343259212248643,-1.0425691568637,-1.31112066807577,-1.54657525507582,-0.755777954354833,0.436805176405619,-0.151498764754349,-0.316477960424813,-0.724653683145737,-0.60404882587726,-0.828762818777109,0.408242516022183,2.89843734603777,0.683010810265626,-1.19529510158791,-0.0818654345238124,-0.604902682529278,-0.332037107514468,-0.24665561892526,-1.94103017423023,0.363056324283728,0.0689314477236385,-0.398575501334696,-0.28780815360054,-0.0333067123753104,0.119827047525407,-0.337664201588187,-0.376606868967005,-0.535331669116266,-0.222555864406908,-0.114193879494009,-0.799118020935789,-0.897112249450503,-0.245042410716286,0.0556113680461799,-0.414021304185214,-1.17505110381567,-1.14438920155804
"Listeria_Mig_3 (GE) - TPM",-0.697213135491506,-0.11717991897946,0.843448228477275,0.937198404168128,2.53504983573056,-0.122554655877614,-0.448153460952766,-0.4215399984177,1.27080285448712,0.981074778924597,0.275672926450366,-0.198205130331748,0.372332988609058,-0.238629298431692,1.36440753365562,0.469292012279812,-0.396100457644918,0.448095361771779,0.213731220318998,-0.321626347139599,0.0201113906492455,0.134441868781675,0.0622886014236911,-1.17326748387457,-1.00637026335361,-0.747792082270745,-1.52127850987723,-1.30885587503523,-1.31962720741257,-0.970633022983268,-0.926817575067988,-0.247497661064088,0.115344146348868,0.775441620701937,0.939908693957976,-1.19919548068933,-1.19143815655799,-1.4551275417354,-0.715453231609651,-0.0705124638594228,-0.00575926325922734,-0.318361212990778,-0.681458094823749,-0.585697905005474,1.18361995368063,-1.27794868012919,0.713679053900168,0.351037904738088,-1.14599679704253,-0.543870617799903,-1.41458769839904,-0.20179116013577,0.00346352410911365,-1.56356463307523,0.47899648359859,-0.110678940659546,-0.283429083192697,-0.14718693806913,0.296828813573945,0.0235207748206744,-0.0201663448052753,-0.278902869123693,-0.424244209757586,-0.199975328745968,-0.269448194130343,-0.479521204022739,-0.817085067036761,0.700630058953521,1.2343175927697,1.00572562054591,-0.87891053088262,-1.14438920155804
"Listeria_Nd_1 (GE) - TPM",0.133350709326586,-0.718389057120265,-0.992890865977516,-1.51942109383565,-1.01783292091019,-0.83082924154885,-0.707148015273576,-0.717554124431257,-0.666216808454905,-0.677925057003962,-0.571533190683306,-0.353672120670675,-0.466767183420387,-0.308018308334701,-1.21315809894897,-1.28054730096668,-1.79122643885044,-1.91355573505267,-1.61950984121478,-0.257487364257517,-1.13179345490155,-0.454725400690245,-0.454218650112249,-2.18868063620621,-1.77038279029286,-1.93217883663482,-1.79528160562356,-1.33194406873783,-1.11326340863298,-0.661216038140312,-0.491620949082801,-0.700687641881631,-0.90265602283456,-0.558432412313255,-1.44143190456492,-1.52769918106144,-1.08629042995596,-1.69241375900471,-1.50327064778334,-1.58844524583948,-0.924594083112992,-0.73238690043957,0.455102423895908,-0.286048269869905,-2.10309782241265,-1.04546087241454,1.07481369801506,-1.38728956036162,-1.98397686245501,-0.60331581774924,-0.924599172331623,-0.370687023846875,-0.386465676437302,-0.348427109829344,-0.52217908580834,-0.521941910367926,-0.475929487890115,-0.529979119132471,-0.472769671060178,-0.411531121244368,-0.858093212331524,-0.455192654106068,-0.517053187845702,-0.264174110962423,-0.479773503249427,1.05408785047923,-0.777986344003794,-0.835694738698596,0.843103851355107,-0.225815501011835,-1.03114857124607,2.35718319326498
"Listeria_Nd_2 (GE) - TPM",-0.355502622997358,-0.736540016364494,-1.09437169148334,-1.41128361796778,-0.944498161688504,-0.779230822276607,-0.74753527786093,-0.70915732723067,-0.622884825948777,-0.609745625948585,-0.498977251991396,-0.194330495707218,-0.603442830942594,-0.288071564932429,-1.18743647657905,-1.10684367543908,-1.86177738928852,-1.60874274879434,-1.17359442169468,-0.42292899135579,-1.17931937943431,-0.447961521349016,-0.436012385991519,-1.88249869442534,-1.42469205766524,-1.69008320127275,-1.48972117861136,-1.40919320329508,-1.10599889162179,-0.658302303284213,-0.489999012538997,-0.451592414512668,-0.77296317913631,-0.476386837091158,-1.6628410787865,-1.49149774134645,-1.03488885036419,-1.57256293919012,-1.49700810905091,-1.56606438076873,-0.917604577289271,-0.683349164883649,0.450883215499387,-0.125622050995541,-1.45668883256187,-1.00094316632094,1.61181081679968,-1.56936808370532,-1.57264755556779,-0.102941302787741,-0.540297178765647,-0.364287176599679,-0.34589817583391,-1.12450131191514,-0.307747741345967,-0.381321751588084,-0.45472898511562,-0.523218586010311,-0.472769671060178,-0.411531121244368,-0.790475179054485,-0.427198579314561,-0.459719489627506,-0.268559053607814,-0.281567185097105,0.770503080981044,-0.883667020999359,-0.665486323477296,-0.153936924491992,-0.495869943325033,-0.751054731368365,-0.207206577885428
"Listeria_Nd_3 (GE) - TPM",0.126446335922367,-0.670975478571003,-0.807427979578794,-1.35466098673239,-1.08363135380627,-0.726950598130088,-0.71685712817843,-0.739472548693205,-0.636429216036372,-0.654465051073202,-0.503034069469439,-0.00162563258871417,-0.333515929444489,-0.261552451167198,-1.21404878717281,-1.23736214826982,-1.77728950488885,-0.940101461471536,-1.48913549683791,-0.279790664718916,-1.04018880406491,-0.5265387997008,-0.381766414687472,-2.03969855483408,-1.75707071501228,-1.60894732202528,-1.68804729547051,-1.32027961541983,-1.03393271306826,-0.572017076070124,-0.561659191487427,-0.735993055037718,-0.822486627321227,-0.407208548844425,-1.77588391787957,-1.51577743723241,-1.20126463410897,-1.46006976028056,-1.37734954048864,-1.50022346490562,-0.925365953710992,-0.72512676797221,0.295833413676421,-0.203602546214909,-1.36338395517531,-0.924288775737106,1.04900828860477,-1.70532281646171,-1.82400708450233,-0.290151607036012,-1.1712014178613,-0.370086686547924,-0.394764715027238,-0.860109034669309,-0.478756159444261,-0.384179722482273,-0.477386742244959,-0.527287400255311,-0.472769671060178,-0.411531121244368,-0.875372043587014,-0.4424570907459,-0.404273723200743,-0.252332512215328,-0.35761689747982,0.647474406996644,-0.771040540308984,-0.795153688852182,0.0301885441364045,-0.359259499285291,0.608773368186829,-0.100812093936068
"Listeria_Ns_1 (GE) - TPM",-0.653019172340311,-0.499700649019474,-0.420684772202704,-0.322443459419548,-0.418711513649103,-0.339593291869066,-0.438992219606142,-0.367259394131106,-0.593401887617641,-0.6553715914422,-0.620159433094912,-0.752737413125533,0.00286856720886921,-0.348043957998098,-0.75335945440876,-0.826671090707434,0.441627415955131,-0.884941349440936,1.28032391035632,-0.107697826061152,-0.819181424945968,-0.231667594239554,-0.368791230815003,0.316540381821833,-0.0153698506372557,0.102438565237185,0.0748277011349281,0.425837819613597,-0.738330940858954,-0.658805618364022,-0.957816774957669,-0.762151454448877,-0.790492316242013,-0.47495941464081,-1.01570964322809,-0.445507252496931,-0.523919671752416,0.00503960344408636,-0.108243925114703,-0.451504230921036,-0.486809063072305,-0.490907642567435,-1.00586209262259,-0.860877905350408,-0.712184001111278,0.0981503559000204,0.503709599384718,-0.959315770954945,-0.18658628461681,-0.437886604750936,-0.0891458013315007,-0.344019966731324,-0.342682367268861,-0.455277933069836,-0.822001634216307,-0.51049253934888,-0.400518916411256,-0.401201145144619,-0.436799966405024,-0.411531121244368,0.141357036520347,-0.397257012442615,-0.337764989663256,-0.164545980145625,-0.75774326179496,-0.64678871681995,-0.428017947736093,-0.400230242922535,-0.21956905931694,-0.139845901568401,0.100813349745263,-0.576074168501584
"Listeria_Ns_2 (GE) - TPM",-0.56093817075534,-0.470498796545596,-0.18457266500981,0.0515191787888632,-0.628021587642803,-0.404903222258869,-0.447982880552703,-0.374982598365151,-0.617913858077493,-0.649219708752691,-0.626694378802074,-0.771382340707467,-0.408672130824311,-0.344419398594269,-0.988390239782229,-0.991508886320807,-0.0783035524941393,-0.0640016771712504,-0.147423791665534,-0.261347740413909,-0.672963774815579,-0.368915174984478,-0.312073917966662,0.777233628805427,0.0179576586794355,-0.0572371518313427,0.213481142777527,0.26441065617716,-0.501248088844354,-0.650445897843524,-0.879166321647895,-0.740315445220942,-0.799273609902088,-0.47778566690496,-0.824418646352631,-0.444058833976858,-0.474536971361799,0.113342519890839,-0.266480107385647,-0.787173662245855,-0.437728318305697,-0.426651608474939,-1.00139071497709,-0.896415366274699,0.126533610183091,0.776494443401753,0.662492218579873,-0.714488017482176,0.55665258516662,-0.512252910096404,0.147268685793464,-0.349385931147143,-0.365665876411901,0.0702913536753165,-0.779622298056279,-0.557711833837524,-0.408529337592563,-0.405783606811881,-0.472769671060178,-0.389567417594312,0.117664606150236,-0.369376656829349,-0.324304799191175,-0.152885277954647,-0.686572782565236,-0.593941920737935,-0.326915265435207,-0.403453227458319,-0.249236080630024,-0.0971963942859863,-0.341467623578499,0.0833637353026138
