"","NTHI_RS00240","NTHI_RS00290","NTHI_RS00340","NTHI_RS00395","NTHI_RS00825","NTHI_RS00880","NTHI_RS01105","NTHI_RS01370","NTHI_RS01590","NTHI_RS01710","NTHI_RS01720","NTHI_RS01930","NTHI_RS02520","NTHI_RS02695","NTHI_RS03785","NTHI_RS03795","NTHI_RS03900","NTHI_RS04060","NTHI_RS04065","NTHI_RS04290","NTHI_RS04365","NTHI_RS04430","NTHI_RS04800","NTHI_RS05295","NTHI_RS05410","NTHI_RS05415","NTHI_RS05425","NTHI_RS05695","NTHI_RS05720","NTHI_RS06010","NTHI_RS06015","NTHI_RS06025","NTHI_RS06335","NTHI_RS06910","NTHI_RS06915","NTHI_RS07660","NTHI_RS07980","NTHI_RS07995","NTHI_RS08000","NTHI_RS08155","NTHI_RS08165","NTHI_RS08245","NTHI_RS08250","NTHI_RS08355","NTHI_RS08365","NTHI_RS08475","NTHI_RS08830","NTHI_RS08840","NTHI_RS09350","NTHI_RS09470"
"HINF_Mig_2 (GE) - TPM",-1.01684581052512,-0.581513625011706,-0.944468282782987,-1.32214364021529,-1.10550352053965,-1.60087100018249,-0.722028529812673,-0.744141108172575,-1.56172647796202,-0.580030433111889,-0.312021313748676,-0.830472062168288,-1.66285551603339,-0.999787453752828,-0.708027765684724,-0.523223256378701,-1.19807725155155,-0.894387138370398,0.0548184018724276,-2.24503334345926,-0.0226172714795461,-0.887139930369042,-1.86128025399549,-0.565227876070393,-1.21661644901945,-1.03045940633806,-0.914734465942594,-2.27554095686718,-0.53642961635913,-1.78154867050509,-0.91797119802339,-0.83613405985398,-1.10789890005472,-0.626133149727771,-1.32537448149851,-1.48378076238903,-1.44802729270496,-1.27275785184465,-0.858781591243903,-1.49908089449637,-1.96756841482186,-0.535244725090161,-0.321963162757191,-1.23784209508245,-0.765169397705623,-1.08981288996668,-0.169850172298253,-0.406930417018569,-1.28779698585486,0.189755205263743
"HINF_Mig_3 (GE) - TPM",-1.00100881720077,-0.689394049660989,-1.27000762397262,-1.37311944636489,-1.20940611066817,-1.6712502912847,-0.59649387099016,-0.646103123356688,-1.44460789660585,-0.95893871048458,-0.462392884245378,-1.08371394381192,-1.59866181083311,-1.16064129184726,-0.723711150902448,-0.858403895465832,-1.24617848794271,-1.05048663192737,-0.100394738067527,-2.44746903863584,-0.361606257550149,-0.964380096289944,-1.99717182075595,-0.822499231962742,-1.38089251708783,-1.26580508784357,-1.20422334474157,-2.24653497267809,-0.619159394888432,-1.87103151057162,-1.06883161339096,-0.810965003209227,-1.45342507272179,-1.03316884402963,-1.25711656083115,-1.38920828313985,-1.50181095434575,-1.58809581175513,-1.08906474841724,-1.55166971476411,-1.83812026665652,-0.544502669961063,-0.646200087849263,-1.53069348620388,-0.742645978774339,-1.60254440221924,-0.576761961169569,-1.07432662841784,-1.02107690449918,0.0491258091215349
"HINF_Nd_1 (GE) - TPM",0.391444623068893,-0.216978278205518,-0.154441510233534,-0.782090971136505,0.308987488515284,-0.157712680894755,-0.475148842979578,-0.251518522982278,-0.862403200165712,0.24908524073319,-0.375011651784689,-0.332414930658053,0.176303286231279,-0.928726827837514,-0.0907649835286492,-0.0663639888150985,0.560092837468853,-0.60088730555203,-0.19478614928991,0.369143179777289,-0.642509730109902,0.251859278066254,0.207235707031725,-0.141153326996974,-0.0714400532223115,-0.0623386940895867,0.127512208657534,0.312832869848137,0.18098967892949,-0.436032284698146,0.997405081156508,0.226402390388837,0.055600072202078,-0.0308009142820746,-0.502652312230463,-0.235554073838978,0.134972797091913,-0.139242610566675,-0.475448631761424,0.113628885186434,1.17717544408451,0.416468935942137,0.479085414735692,0.480764925231972,0.543941050929685,0.3696536479691,-0.233281459329611,-0.624476869160511,0.413746273384137,1.47454763807827
"HINF_Nd_2 (GE) - TPM",0.0681106957348685,-0.315876659345348,-0.0729949388951367,-0.92339092290609,0.189570076397946,0.0294191794489018,0.112062172646175,-0.664149665049642,-1.26623645968538,0.480753752186613,-0.394540560595947,0.181765386161453,0.0391423484662561,-0.65063822247062,-0.231116487107048,-0.418319353797472,0.382876905940698,-0.804787887790335,-0.490254082857042,0.853424486637416,-0.749060805011159,0.566907439167787,-0.245225239965463,-0.268885306998365,0.417943384399287,-0.161104072810903,0.385738595759041,0.310666373021318,-0.057587614777286,-0.716841708378341,1.52779085428299,0.0821697890792858,0.2748282018263,0.0503517578308933,-0.668057261439887,-0.570668515671687,-0.00138436934728649,-0.0851928404327335,-0.200834612008454,0.831596499744242,0.572456261446859,0.484229202421639,0.624314919619304,-0.511266127670329,0.548833175261037,0.439000513638818,-0.370781087187675,-0.349133679548588,0.684371975510039,1.8034625911256
"HINF_Nd_3 (GE) - TPM",0.112458801687789,-0.320031634185184,-0.304450014233651,-0.981807427548045,-0.0018265568856153,0.39198280636779,-0.301680218373557,-0.48921444964755,-1.13991313897236,0.70410588602943,-0.307507630096962,0.0455709057226585,0.263502396625913,-0.538472680308542,-0.204744643876918,-0.282769276375425,0.598822894289901,-0.747555917944359,-0.0590597039074333,0.580490740171165,-0.0752117188862016,0.240030210056273,0.229993023585339,0.0894422870617389,-0.0168841335487343,0.147812966674228,0.678800332668916,0.62633844138486,0.0984816986009545,-0.515663666350417,0.699858110103163,-0.0813691409194705,-0.186313631984054,0.304827071536706,-0.800454953290179,-0.473113698457664,0.324350771111509,0.169160537318346,-0.505973985028962,0.826721711633908,1.41231373551327,0.382178826243296,0.691787687215813,0.21868797066166,1.20158523919629,-0.0647028333428587,-0.392761981138441,-0.440388801194204,0.126686029944717,1.81465451298893
"HINF_Ns_1 (GE) - TPM",-0.954204301838169,0.889250375498869,-0.816639872197402,0.0209602068333297,0.168658196438968,-0.441698702594886,0.158890686970674,-0.620938965561435,-0.584933881738201,1.40950010945394,1.39809996960019,-0.627143589082831,-0.786284518944973,-0.482390232159033,-0.496148539023188,-0.394278327064355,1.34829668321462,0.539037347436613,1.3820094221616,-0.868327904819979,-0.556704776283556,1.38624419302023,-0.106944484142922,0.463079552945728,-0.623357168027009,-1.21981589397505,-0.110769953018017,-0.2627915868924,-0.289461575158164,-0.121079303710736,0.539971577029199,-0.274105052907747,-0.372306577914528,-0.245998315825529,0.130313069554514,-0.0028100035167564,0.192616154612459,1.15516163767685,-0.499363863395825,1.04456989878413,-0.265633821448853,-0.892166710615678,-0.963224253556237,0.243705614564599,-0.640999275594859,0.344822435170576,0.686436020262323,-1.31999375239449,-0.925406659645957,-0.183830979304376
"HINF_Ns_2 (GE) - TPM",-0.389871702204326,1.04383890235451,-0.814847244138622,0.177258720436028,1.01400880722295,0.231463916334028,0.164650618383023,-0.525665702087852,0.179804388517074,1.22835531780549,1.8202207306954,-0.0930765447341724,-0.647786057707021,-1.0341434102966,-0.498018124719728,-0.135720358277697,1.97629956513771,0.58886946473251,1.92145733698141,-1.0573732094266,0.263950613394015,0.788270214888838,0.426154153111929,0.070350943172196,-0.874265698810758,-0.808501845192918,0.110399791506654,-0.150559714922334,-0.0414676820853042,-0.0818750634016717,1.16444205218069,-0.0946890802802227,-0.453678520965879,0.180281342053687,0.547323237050931,-0.097856796868381,0.0375957939330532,0.26029382739873,-0.370305318394302,0.868657197248236,-0.250508099677312,-0.821271572686184,-0.908501703934172,1.16528795925324,-0.463543105404269,0.698996112749693,1.92638134016438,0.14138335065571,-0.511722801480418,-0.525865850620191
"HINF_Ns_3 (GE) - TPM",-1.54652369314834,0.839211805823719,-0.846813678440119,0.502565469881317,1.0447229824645,-0.627737009173018,-0.405767782224759,-0.14474097719003,0.757309823866805,2.39677791153916,2.17169889496544,-0.672809528772633,-0.969095388736842,-0.864064426762039,0.0440309041168197,0.17250770897359,2.04946008948699,0.860225962381552,1.88002203769125,0.0282903199954014,0.208376649999661,0.446546877274692,0.336388019674863,-0.660766614685964,-1.01192329939735,-1.36065265074214,0.621643333690336,0.217564974453096,0.133188622625965,0.740062296434187,1.78417243610129,-0.507777828734984,-0.579394882117133,0.650757223894667,0.331072858428954,0.527838812229976,-0.50314594301912,1.47939131780682,0.169915570415616,1.16621575216217,-0.0926940660007635,-0.6847468670153,-0.854730571960437,0.858904639455023,-0.932853873090629,1.1150087931606,2.61753093977973,-0.770449342832533,0.431249693799217,0.0894457937072681
"HINF_Oss_1 (GE) - TPM",1.7771626232892,-0.552097331524957,1.31784330837598,0.137210678190303,0.125107018570349,0.361971843184531,1.13303088765484,1.13543094570045,0.959004806677595,0.362911866040031,0.315971538996445,0.149814591499499,1.13123057983108,1.7588898059088,0.452747709255203,0.340721236014692,-0.531700769270941,1.05936900420264,0.329742843939704,-0.2923530190699,-0.0665613378318886,-1.15790579724711,-0.580845038584122,-1.18577688451144,0.339242568804731,-0.098971149564349,-0.726134309680015,-0.512685099105657,-0.267527032468023,0.210423845241959,-0.464621012297352,0.0696327671845342,-0.288269179361883,0.652675006211251,1.4499436711003,-0.110565580871641,-0.320790819797939,-0.490846155430553,0.359607742120084,-0.528074650222888,-1.03744032847189,0.425215082718428,0.618245550210151,-1.84155374310167,-0.301165611132962,-0.954838939722126,-0.349371654384961,0.300207713749067,-0.864174113865779,-1.34025009883776
"HINF_Oss_2 (GE) - TPM",1.55307461915151,-0.480228584785562,1.29431215883351,0.0711616789533025,0.970075818615693,0.494975880989117,1.771911500511,1.67269524503933,2.41591643652226,1.48602130889941,0.10019493388903,2.19903991000173,1.24961398297848,1.6317207703495,1.90258809619224,1.72328009157521,-0.41559172007529,2.22763215326964,-0.188414905274379,-0.0602908992935382,0.207190571911526,-1.31684603548477,-0.897944197708553,-1.5137767598191,-0.0848970283972175,-0.211356635540204,-0.549285565291935,-0.0188490222183676,0.469750200679092,0.431435120046531,-1.36976738854004,-0.135610802156193,0.0739605815708641,2.62894778565881,0.494208725146498,0.677899051704019,-0.754751039643518,-0.331907763294799,1.3398664268586,-0.257695730635107,-0.874343064493214,0.215931254834398,0.431558166522877,-1.36008812879928,1.03057898520162,-0.616789858028262,-0.514281987673741,2.18896844526466,-1.32488548472372,-1.54652254474769
"HINF_Oss_3 (GE) - TPM",0.782941780201952,-0.661218131727549,0.656959675472724,0.369982568940087,1.0100524546855,0.198149814385384,1.32907204847342,0.507263932317233,0.990159474048298,0.928647538644673,-0.0723547307208285,1.50214047223147,1.63622327778138,1.51962221774609,0.719956812730716,0.533506961901406,-0.790959662086327,1.1455899133749,-0.122027417777302,-0.38841502636736,-0.0332678984751868,-1.27887828548458,-0.57852096434474,-1.55944655130627,0.705126167946699,-0.0392627254040123,-0.791152945285635,-0.572456779134063,-0.0875408159951409,1.10316908304344,-0.67764286184079,-0.127510386715323,0.0308909491695715,1.04036732903311,1.43640682970141,0.533491432914505,-0.48564004682191,-0.315703405955474,0.913694845041036,-0.400902518554546,-0.639310369001638,0.112937831563101,0.355062195599478,-1.71874974452987,0.255436697772284,-0.52779143690883,-0.754682678656208,-0.222205022063111,-1.26513322887524,-1.30463723771833
"HINF_Oxs_1 (GE) - TPM",-0.705379062394374,-0.648326718205832,-0.927308698122993,0.0770825282940036,-0.725485362404882,0.315328017074755,-0.466440475718319,-0.102675448019678,-0.448471276988396,-0.917584891203938,-0.815022839294218,-1.1297501773518,0.185591629690824,-0.094292762031355,-0.319740194311135,-0.421171065828165,-0.727602057535143,-0.59974285099348,-0.902482353296871,-0.00892402058855035,-0.481733646444709,-0.541759802249538,0.212167984269047,-0.120602613649268,-0.612239078384908,-0.710215439623511,-0.569112347328211,-0.11298381502149,-0.653585147762572,-0.159156224640859,-0.125501906299991,-0.478333466757852,0.174311801953046,-0.790664575480467,-0.36266118810231,1.01996588786795,0.476759713958065,-1.03583491920366,-0.807542491320302,-0.542878395600221,-0.0699171621911957,-0.719631336087851,-0.765009285237853,-0.12685413789512,-0.463519207854478,-0.545641690212175,-0.800078939507603,-0.515747050871981,-0.343080444076767,-0.474881246493029
"HINF_Oxs_2 (GE) - TPM",-0.0611892066532911,-0.639030538186207,-0.315284502670753,0.149332892837521,-0.49812830221363,-0.113279944188614,0.260235701334581,-0.396075805179066,-0.035830231159378,-0.900774867990391,-0.840865842275876,-0.939319437189463,0.58099205784692,0.543357162921386,-0.103564728060088,-0.285798565142396,-0.720123098877806,-0.859203903566497,-0.822411082348951,-0.00934921189491521,-0.508180815495133,-0.512332764825994,1.07237337859417,-0.172730150922289,-0.113107690993712,-0.315792356050944,-0.953088003932036,-0.208968689143766,-0.363622761987316,-0.434743670602729,-0.0873021830836797,-0.479820261556904,0.00738329621782995,-0.885941433166989,-0.313675048040108,1.37471343095569,0.682028728112305,-0.776263124878768,-0.125822552434247,-0.375334663404856,0.0278388304174961,-0.654129811082067,-0.647317588412416,-0.0261347403888393,-0.161862854607642,-0.54846305354342,-0.868128169594919,1.00923963970132,0.0619646610941569,0.014333189907336
"HINF_Oxs_3 (GE) - TPM",-0.609430311311929,-0.615277202559652,0.237098496837919,0.779975171938255,-0.670933705446544,-0.0647704679075396,-1.20954926295676,-0.233768013505428,-0.516125489199747,-0.73760056257315,-0.805839704168946,-0.530581969761934,0.435206523979533,0.332059301911857,-0.0188158740082552,-0.323178942851743,-0.629199824367789,-0.484573609703747,-0.894832700880025,0.515179776971035,0.279662667125118,-0.374289375406978,0.524291526047681,-0.24155530935001,-0.0465412907077237,0.438014425056568,-0.435928808035138,0.14505912112836,-0.439952946768894,0.858648318756671,-0.594093996062551,-0.47947697142369,0.964644577282898,-0.082451385149596,-0.49897447128879,0.154193476742816,0.392773602689652,-0.859889869489732,-0.0997414797360531,-0.404186240264747,0.180870791350203,-0.601587874860492,-0.532272105525025,0.195248190140067,-0.335018441259024,-0.16457677230552,-0.783734184383848,0.742846941855413,-0.665601217441714,-0.309685961692464
"HINF_Sp_1 (GE) - TPM",-0.925939428025355,0.823322788769289,-1.22264543432667,-1.17929244746477,-0.125053155450121,-0.54751240558346,-1.64382037232181,-0.253857359666242,0.0184087286802953,0.085848002836681,0.666271683843441,-1.33158716578267,-1.08249406198219,-0.720733876047447,-0.567115314866973,-0.582068995973818,0.360794825028622,-0.106266593685277,1.61908805894896,0.597750424518362,-1.22571413665895,-0.827606134523602,-0.669465659852639,-1.03310773927446,-0.850589393306373,-0.303768624781669,0.431524237209016,-0.358733057457016,-0.206781866546492,-0.184246896078584,0.123658778537954,-0.889152341766697,-0.560122637149286,-0.539691582889788,-0.910919295038233,-0.806420447523674,-0.467087199596213,0.555596211291823,-1.11614424424671,-0.322157220306699,0.363698309663652,-0.636518541536723,-0.725761330528774,0.195569589404602,0.185338994613829,0.785438949190733,-0.233316362357724,-1.10166633192749,0.0666920682227377,0.968087537286757
