"","NTHI_RS00135","NTHI_RS01205","NTHI_RS01510","NTHI_RS02300","NTHI_RS02835","NTHI_RS02840","NTHI_RS02845","NTHI_RS02850","NTHI_RS02855","NTHI_RS03225","NTHI_RS03305","NTHI_RS03310","NTHI_RS03315","NTHI_RS03515","NTHI_RS03520","NTHI_RS03905","NTHI_RS03910","NTHI_RS04050","NTHI_RS04180","NTHI_RS04185","NTHI_RS04190","NTHI_RS04195","NTHI_RS04200","NTHI_RS04320","NTHI_RS04870","NTHI_RS05005","NTHI_RS05685","NTHI_RS05885","NTHI_RS06035","NTHI_RS06090","NTHI_RS06095","NTHI_RS06100","NTHI_RS06105","NTHI_RS06110","NTHI_RS06445","NTHI_RS07315","NTHI_RS07630","NTHI_RS08545","NTHI_RS08870","NTHI_RS09045","NTHI_RS09315"
"HINF_Mig_2 (GE) - TPM",1.21811722692398,0.422426869444404,1.06330708078793,1.62783194085435,-0.919780699401216,-1.25761545264606,-1.15167823844462,-0.286828696605112,0.829272542776233,-1.21284133499072,-1.62246353637894,-0.249109489933835,-0.303920700426582,-1.50845143823161,-1.48361187285585,-1.00392973208853,-0.932509847193762,0.817683244417126,-1.28105350221676,-0.930359454925201,-1.27513647003228,-0.784628707785125,-1.04762795050932,-1.57757553416082,-1.58844757155986,-0.323344086053274,-1.12980543620158,1.80231080262383,-0.581167264545521,-1.13954153173738,-1.11323082468632,-1.06357480965723,-1.01990228743952,-0.461825582009296,-0.162461394799448,-0.773452696248115,1.42876443035441,-0.721766581626057,-0.897795732959082,-1.04870806450964,0.934063898155531
"HINF_Mig_3 (GE) - TPM",0.785033612245514,0.464746340536147,0.890169965625815,1.57639700015711,-0.22475178485769,-0.826240430951766,-0.961697740187087,-0.423976204844748,0.607757542978104,-1.23312710134467,-1.27710071822358,-0.192342562458462,-0.55800819915557,-1.48136679928465,-1.40445261861777,-0.970906386931898,-0.934578080709853,0.150200195872227,-1.22946417792525,-1.19456691842783,-1.17806308870198,-0.590459870527306,-0.941209088629383,-1.06362349342425,-1.54977484730944,-0.307474324100157,-1.02336463832695,2.02779645580908,-0.803370101039787,-0.989714074148719,-0.980893967592531,-0.82578407743604,-0.749030157082973,-0.34385338329248,-0.133627286632336,-0.780454541283427,2.57618646556361,-0.614219338783534,-1.0231624247788,-1.13110759085883,1.45710673801105
"HINF_Nd_1 (GE) - TPM",-0.636825059842342,-0.347506291615471,-0.623052191850056,-0.137963750634486,1.05327946261615,0.813496697876918,0.825015168074056,0.0413215179896533,-0.157256929475394,-0.741215538219874,0.302742704591084,0.825034706751533,0.48464149716066,-0.114699234689746,-0.0628544808609087,0.735811906943552,0.399781912104759,-0.264734320559206,0.765357099058338,0.388035448112065,2.20944573587854,1.73723703475697,1.63473819312863,0.0250318487986449,0.943801979651239,1.3731204863323,0.0337453575212688,0.515784526050589,-0.207688529856884,1.55776782401329,1.46861288499411,1.91120237286042,2.20089305292496,0.98713414261913,1.12892167516719,-0.0644015559883383,0.698301721762145,0.0571906076394327,0.188205038405648,1.02621807485277,0.404590768435622
"HINF_Nd_2 (GE) - TPM",-0.954191997608203,-1.07183635214801,-0.605709560439269,-0.264896087020177,1.14166749157843,1.63642675579389,1.18593912787569,0.496325515635431,0.906251062632474,-0.986450595587463,-0.0972419506153218,0.668676421097758,0.634138865982013,0.0108320845321318,0.177800390529209,0.51379958135119,0.283823300894322,-0.0828225323224734,0.135371275196416,0.39623898561532,1.23956963074562,0.740439215435821,1.31360388269017,-0.490802139558498,1.10199061967607,2.19887043209719,-0.122670250534953,0.630996413107749,-0.447652793623063,1.34308929939675,1.62612428715659,2.5549850389383,2.16998212853703,1.02029739215697,1.2714913077948,-0.574501811964044,0.852865835449895,0.281908701542264,0.167921234828875,0.043486641451392,-0.400963965275341
"HINF_Nd_3 (GE) - TPM",-0.771858971803817,0.205569733596672,-0.549959425100159,-0.311841314080981,0.378025077334739,0.58807504709926,0.773293670207451,0.806535600273652,0.677381566684308,-1.25618504772507,0.12439265852434,0.585741469304886,0.627419852362846,-0.0397482553453454,-0.0426556036730009,0.662742398581569,0.408948122676641,-0.579730288555923,0.303220872218847,0.0309973825123638,0.790146206528541,0.551540430761579,0.946379609350161,0.282064180771991,0.785266642483223,0.994395379262347,0.0225064129453689,0.381316744961493,-0.0725817776276286,1.70076084722524,1.8257039994787,1.47544370750521,0.912967766268803,1.14493164120443,1.59173484152167,-0.0924307644146733,0.951953657668187,0.174953594981694,0.949091648246342,0.837551365290983,0.0277985849551901
"HINF_Ns_1 (GE) - TPM",-1.43420389018935,-1.59000642214112,-1.32281603817842,-1.47277549901893,0.802545190556011,1.34896563635162,0.199615465203414,1.48870414352496,1.44427838305666,-0.0333219567975626,0.689968741376356,0.477899395641613,1.9900044534367,1.21257541881909,1.12892087266578,1.61994835410197,1.82758970097688,-1.62319315230218,0.522803526313004,1.47399872337093,-0.0619171955716203,-0.450909108224579,0.649075597636652,0.239526784275359,1.73973096067805,1.21191636835322,3.35903062867669,-1.68276739984479,0.438223364910398,0.526145120206886,0.602867670963196,0.339064219523606,0.485242201302379,1.67650630486217,1.14626240308275,0.207160287111267,-1.57159736492867,0.859133573738569,-0.0201947921543193,1.60300733037147,-0.632387784451033
"HINF_Ns_2 (GE) - TPM",-1.422770560455,-1.71640178943149,-1.71054978173267,-1.50058083699592,1.26986124043124,1.39169787760168,0.785356680300451,1.53335079283466,0.750909442290769,0.721100645487304,1.23970810770229,1.20108988837071,1.75655166963808,1.24533957082396,1.24975399373225,2.36429669039298,2.47312991960953,-1.89595724574804,1.20787548102978,1.58500177584554,0.61682358622206,0.140464056930015,1.35632425886598,0.675832236809346,1.37855166151353,1.0166979432216,2.71515391258188,-1.88462899363234,1.29015631207125,0.528980837699237,0.418561431609321,0.184638879513408,0.540484566908827,1.77960147213025,1.5569218677387,0.52271947248321,-1.83499292895642,1.46474417586416,0.392190239026477,1.09101651345638,-1.22755664319156
"HINF_Ns_3 (GE) - TPM",-1.52956567372112,-1.84680623476949,-1.26689825200142,-1.62980820724304,2.08044307695696,2.16230494366197,1.43133787645212,1.08114838033463,0.351324121619681,1.30479668187179,2.43301331587357,3.01654419358105,3.37060806734354,1.39412584185676,1.28820469940631,2.09984126295925,2.18750834180417,-1.78864738780481,1.02203970198537,1.02341214958338,1.2950633482869,0.347630219590664,1.48099341346525,2.23870309589289,1.30471861984901,3.00156029882623,1.67230518300672,-1.88803633379369,1.79390214874655,0.941149652757108,0.630406285413332,0.432494668944085,0.908511415865717,3.10349318771405,2.60375493878546,1.24733815031286,-2.05444026460895,1.39456156331415,0.915158166663166,1.41853859930866,-1.1476004890913
"HINF_Oss_1 (GE) - TPM",1.17343200757989,-0.398194828525683,1.09013871246874,0.608951452348683,0.169257848082546,0.0333276076144272,-0.119160707488797,-0.771957134903288,-0.546640862467575,0.716173354540977,-0.00732672992834396,-0.311687126540388,-0.0698956167741639,0.0901595909775085,-0.225735422320438,-0.731711088017212,-0.61321146567673,1.45885240448294,0.0455936571937343,-0.641941971101896,0.0594726336112876,1.02325736980204,0.0985764513453456,-0.721028280400686,-0.150288812357623,-0.701139094870092,-0.80145386048359,-0.126849018844127,-0.453859455291719,-2.23261057665956e-06,0.256700805959475,0.25247944894038,0.438427003920686,-0.338018731877032,-0.947953851889435,0.415125024335558,-0.945097168999639,0.182898431854084,0.368340679974261,-0.712274702278907,-0.720505657673917
"HINF_Oss_2 (GE) - TPM",1.75362559669816,-0.425447925172865,0.412848559681583,0.764070183854482,2.10148517163599,1.75171566769363,1.46965361926136,0.720218678573961,0.842088871226394,0.536024561678093,0.860618760524453,-0.212593194818552,-0.364038447468168,0.267222732583549,-0.0301229112011209,-0.698629147575956,-0.535851836386382,1.12502971538398,0.564562325887349,0.299771255910374,1.25665331875375,1.33389953954882,0.653251728581793,-0.398407612932395,0.668671537330417,0.0936418160468781,-0.917482027117168,-0.648228288852935,0.483886722313453,0.91946185889507,1.73998304222972,1.23236542822602,2.00389039342866,-0.0877405345259771,-0.928940649822788,1.3458225481182,-0.905729607803317,0.793917907100377,1.50391486010556,-0.850613354125132,-1.89034093644054
"HINF_Oss_3 (GE) - TPM",1.73752946105933,-0.769383123904368,0.364290031045427,0.59928250078561,1.69499034792221,0.789642371523684,1.18889445076999,0.208212773952672,0.235527310537046,0.542119623792013,0.368948393834088,-0.178122874321614,0.128558212338048,0.594088937964027,0.274346014013272,-0.689654526955256,-0.63279545018472,1.28699972270481,0.0370748020845522,0.546314285108565,0.871479095585706,1.8781961204256,0.594518206283602,-0.932835338181425,0.281246676360183,0.551627808146976,-0.931157821904488,0.137163735754205,-0.310356174966689,0.813384608306969,1.21861493920597,1.30661303146186,1.31017105606735,-0.212617033947432,-0.744020134034596,1.16738451285842,-0.45542814151365,0.271604746229569,0.478138064764902,-0.858928120576873,-1.21888563726332
"HINF_Oxs_1 (GE) - TPM",0.435671668452811,1.15294096053044,0.0901825497077981,0.768108022463182,-0.463406455531223,-0.779644487910531,-0.78051204116976,-0.975148259101424,-1.09104487755935,-0.655809170659849,-0.804721659564218,-0.595187444633723,-0.996308592512938,-0.532369613375756,-0.494145212933423,-0.765262267887147,-0.778400195154157,0.697965235037838,-1.27037344936309,-1.16652643519627,-0.601920007086761,-1.23828287219569,-0.826850534842333,-0.493264685711587,-0.979020009815082,-0.670998673300198,-0.0431678553083534,0.905151631594475,-0.930649099578908,-0.977170086997211,-0.892845423405878,-0.903733088018129,-0.837415614596822,-0.877055211193257,-0.895926081503872,-0.815552033815144,0.136876240193975,-0.882537842537785,-0.924970956956229,-0.58321501993462,0.167062017692743
"HINF_Oxs_2 (GE) - TPM",0.46308259831582,0.473779024116064,0.502296608705274,0.720415590482646,-0.686939330921331,-0.465013549915442,-0.889756351008365,-0.392231885549128,-0.83088661627291,-0.458472944535876,-0.664314433587167,-0.971779172040333,-0.497956668675317,-0.742548956807699,-0.503549357321123,-0.653092423001085,-0.709378539071281,0.707198022890626,-0.830188870355356,-0.609447701652074,-1.02813300469501,-1.01212889483493,-0.716604352026737,-0.439014691700352,-0.96832152549826,-0.401214981377912,-0.0604379594730408,1.0076419823246,-0.750696135311609,-0.869905856745339,-0.867761198495762,-0.733266903820008,-0.905103240071304,-0.914312184662507,-0.978709981580161,-1.06341425295515,0.441680627143993,-0.561576047033296,-0.938754363574871,-0.345749362589916,-0.620263590432869
"HINF_Oxs_3 (GE) - TPM",1.04282239736831,1.17618015230428,0.250994809628211,0.582903134918648,-0.700879779731879,-0.682236918928333,-0.920251812143727,-1.00705495664883,-0.718113458697122,-0.13502847994523,-0.424589656349414,-0.578752219184492,-0.289087667196437,0.396657619022825,0.326389943861356,-0.71367781872957,-0.705640404221722,0.690610972401949,-1.34563853138621,-0.961241669783488,-1.091780855594,-0.921284289117302,-0.840739922288327,0.117411588617242,-0.610141366521258,-1.21420278370191,-0.122138762746254,0.508988814233644,-0.873199662536094,-0.878324776062296,-0.838673704125542,-0.935764030602697,-0.905135828772295,-0.900865077098957,-0.645262987997463,-0.654291240604073,0.278511165790062,-0.83899968616355,-0.772409767491552,-0.636697047372138,-0.177574949843996
