"","GBS_RS01130","GBS_RS01450","GBS_RS01455","GBS_RS01460","GBS_RS01855","GBS_RS01860","GBS_RS01865","GBS_RS01870","GBS_RS01875","GBS_RS02745","GBS_RS05155","GBS_RS05645","GBS_RS06760","GBS_RS06830","GBS_RS07305","GBS_RS07310","GBS_RS10760","GBS_RS11000"
"STAGA_Ns_2 (GE) - TPM",0.0216264805143291,0.287504713315116,0.851892661057356,1.40738059348652,-0.0528376182724102,-0.0306660999597592,0.055021159953674,0.041407853704609,0.133537606801446,0.296446262560229,-0.0381792147781408,0.305771431085045,-0.153997791964363,-0.075836595189268,-0.0688769331211288,0.0200774611170031,-0.885718054579809,0.432854580913588
"STAGA_Ns_3 (GE) - TPM",0.351707939247224,-0.391665866236053,-0.214867587398931,0.407504728127219,-0.0669926042865471,-0.0503385101755612,-0.00933767718238882,-0.0229176671038864,-0.00391731922994486,0.311954798362455,0.14023154207816,-0.201799338349099,0.0672428009001539,-0.573329938144504,-0.0846847405913746,-0.063057859677453,0.175490724253851,0.569302629248219
"STAGA_Oss_1 (GE) - TPM",0.949810679538386,1.26132651465374,0.772056899231912,0.816231412253711,-0.16005870012716,-0.158481543977628,-0.0310001014878831,0.062995942307264,0.213292234614812,-0.849224834866998,-0.0351498521382477,1.40507485214924,0.740486308733196,0.699010865030853,0.0318495123204977,0.505441705312811,-0.638341856036651,1.47957983046157
"STAGA_Oss_2 (GE) - TPM",1.42984516461427,0.919452330657091,0.991013957426041,0.64261176486079,-0.136953487432669,-0.159346515201323,0.0130405603369961,0.0848305206447204,0.221008402053257,0.0333845790823099,0.285693402574725,2.48654859535052,0.0943026081986062,1.02484842311112,0.0555347962069637,0.15341858816529,-0.572262661614001,1.59868111563314
"STAGA_Oss_3 (GE) - TPM",0.22320398592013,0.556235416014728,0.830088634779825,-0.0361704401993548,-0.15977275670685,-0.183467880069197,0.00118144870336667,0.168786262638823,0.224363472642901,-0.512640191333322,0.297475548468404,1.1132661352364,0.673208978819149,0.725755356993944,-0.0760015111335069,0.20908977494439,-1.07581508534474,0.188578858901396
"STAGA_Oxs_1 (GE) - TPM",-0.331378722412221,-0.14133758738612,0.154113978352238,-0.225698913143471,-0.241058063259684,-0.190299956242073,-0.251370827489509,-0.312688463396655,-0.274544569154687,-0.908650110296781,0.189749349541145,-0.921478014645272,-1.26598226284694,-0.305970541635759,-0.644912847529522,0.188112108139461,0.153530590868353,-0.791639655791979
"STAGA_Oxs_2 (GE) - TPM",0.489702694722135,-0.441841172769912,0.522933300304362,0.242760597285436,-0.225155131897655,-0.136280887888024,-0.271372592131503,-0.326511946576088,-0.293847438389555,0.691098869968955,0.0604834867754822,0.0716953537494375,-1.03562891932216,-0.140988517431497,-0.412549631028433,0.312749341109806,0.309076158465711,-0.604758422807394
"STAGA_Oxs_3 (GE) - TPM",0.907124691441077,0.478208589367393,0.622489155792463,1.46639519376336,-0.237335655529827,-0.0914058958788882,-0.228013195075982,-0.185490164079488,-0.345108518879388,-0.380587088230117,0.371872214215051,1.07909406038322,-0.95170620386712,-0.193586069812449,-0.19696886042007,0.506186652710996,3.11539805486287,-0.825609051886719
"STAGA_Sp_1 (GE) - TPM",-0.163026823789824,-0.941010326136104,-0.287339087688774,-0.851441284342305,-0.449595170049003,-0.474384780086477,-0.52132518575983,-0.558606084976534,-0.56587147065946,-0.489748433932907,-1.10120061609938,0.482903494604693,0.351276160440046,-0.856234108505954,-0.275338268001054,-0.472272154779821,-0.133682912730964,-0.148085066360696
"STAGA_Sp_2 (GE) - TPM",-0.0627816025017957,-0.724045712128049,-0.369588153229014,-0.244142494752277,-0.476106485117913,-0.499575962255235,-0.553287815469401,-0.593681816198826,-0.585048594392608,0.491946998163145,-1.17520438130755,-0.148348976991244,0.826846532682423,-0.504185101618635,-0.35954344402948,-0.624442244410715,-0.167203463178227,0.607995090007474
"STAGA_Sp_3 (GE) - TPM",0.2214160435744,-0.891703387145191,-0.0618185980999508,0.220314508472432,-0.47352927429046,-0.50140795823192,-0.558224458700423,-0.611341537582368,-0.597982682579757,1.51892836474871,-1.21307182658921,0.315806449183299,1.23452972060886,-0.451368608173011,-0.346968947573796,-0.503633276699561,0.112551280733773,1.47431753752903
"STAGA_Tm_1 (GE) - TPM",-1.38681525792545,-1.19563195836649,-1.35702696662044,-1.11192021215722,-0.492667248295824,-0.521447452668072,-0.566832151001054,-0.636916273557797,-0.647667198703267,0.257229979486925,-1.48488193095915,0.268330847841413,-0.30338261918599,-1.45247802590228,-0.2909734928886,-0.550961492709698,-1.1719985601816,-1.27499896039002
"STAGA_Tm_2 (GE) - TPM",-1.36872283707663,-1.21197234457465,-1.26284720801629,-1.31675254382968,-0.493507320092685,-0.524042508898464,-0.564090654249022,-0.608891567697239,-0.645837080247783,1.05844015025369,-1.3021506850802,-0.130160960373841,0.000198103871358325,-0.846662295712256,-0.619547167890867,-1.22944690055935,-0.730854170754059,-1.22839183228613
"STAGA_Tm_3 (GE) - TPM",-0.757727214518113,-1.11312989678592,-0.936032087054128,-0.611002957939052,-0.486933328419231,-0.518155645669206,-0.557596664412363,-0.596413998938104,-0.624839321761519,0.801888163560174,-1.35268404393946,0.3799525689462,-0.792085450560226,-1.18775415233295,-0.590341178013194,-0.880271998624416,-0.965898483911781,-1.19479675555406
"STAGA_Vic_1 (GE) - TPM",-0.160003311562012,-0.965201149817361,-1.06430744270635,-0.471411353582349,-0.350658002478336,-0.460580345770902,-0.478270251829699,-0.56643540113833,-0.578284593417319,-0.848731397852154,-1.2490854553037,-1.41065697121963,-0.70891702135377,1.21474683115901,-0.511847731329129,-1.52565420970117,-0.186580470588769,-1.79522382098049
"STAGA_Vic_2 (GE) - TPM",-0.855912494786623,-1.27663235369776,-1.54639497556955,-1.31349737071539,-0.387273111209209,-0.41566979711638,-0.442203735973127,-0.438011587829269,-0.494841470353478,-0.396274130747066,-0.237413169299762,-0.345389792013844,0.406021977087765,-0.501191149815892,-1.20672904549564,-2.04210911822828,-1.32099527231763,-0.92286092500036
"STAGA_Vic_3 (GE) - TPM",-0.351794957827224,-1.33516387050699,-1.65940078672293,-1.64253532774904,-0.420486855319831,-0.454483115665496,-0.447504920205531,-0.504455754764343,-0.482845223423877,-0.219845367528086,-0.369997383841876,-0.521456312535136,-0.203840507378749,-0.779072747572233,-1.11736741848218,-1.84910500692817,-0.202603495722961,-0.649105909022486
