"","pWR501_0146","pWR501_0147","SF5M90T_69","SF5M90T_75","SF5M90T_88","SF5M90T_146","SF5M90T_455","SF5M90T_456","SF5M90T_875","SF5M90T_1258","SF5M90T_1265","SF5M90T_1313","SF5M90T_1383","SF5M90T_1588","SF5M90T_1597","SF5M90T_1599","SF5M90T_1689","SF5M90T_1690","SF5M90T_1744","SF5M90T_2474","SF5M90T_2538","SF5M90T_2658","SF5M90T_2894","SF5M90T_3064","SF5M90T_3076","SF5M90T_3105","SF5M90T_3185","SF5M90T_3231","SF5M90T_3232","SF5M90T_3359","SF5M90T_3425","SF5M90T_3444","SF5M90T_3445","SF5M90T_3446","SF5M90T_3447","SF5M90T_3468","SF5M90T_3525","SF5M90T_3584","SF5M90T_3586","SF5M90T_3900","SF5M90T_3901","SF5M90T_3947","SF5M90T_4064","SF5M90T_4141","SF5M90T_4167","SF5M90T_4175","SF5M90T_4206","SF5M90T_4327"
"SHIF_Li_2 (GE) - TPM",-0.473098637504049,-0.980809189071147,-0.534344782439901,1.06013267972056,2.18904077020214,0.586234726896881,1.59689562414693,0.848965432158474,0.120925876890593,1.30057611126955,0.266168552042244,1.22444522388341,0.0762763845099739,0.0612859154083745,0.533669911475249,0.68353508700321,0.105781419661295,0.000950407449164103,0.171437298092891,0.513183270511115,-0.180279983552268,-0.023866819247793,0.935301596686978,0.0747737514395145,0.958111201386853,1.20422303823024,1.76036439581843,-0.829073400115127,-0.197786707005339,1.18975830025628,1.26940746599811,-0.569205222630391,-0.359898133763542,0.0185725014070595,-0.489853590884125,-1.07406993470833,0.266773696199778,-0.0239636266314845,-0.415363571698048,-0.699406285171453,-0.40845942317134,1.53646675663482,1.13941537937768,0.890459791782005,0.519463454943247,2.23774911125286,0.316272886110743,0.40703391069031
"SHIF_Li_3 (GE) - TPM",-0.379513787005938,-0.704982236273158,-0.304622342044321,1.30203413372362,1.95729921993391,0.140068321436276,0.665363010323804,0.410737021609671,-0.127807419463791,0.615559307671414,0.331987198457614,0.480316798181114,0.901421297068765,-0.755826978663159,0.860155792593633,-0.071060668979993,-0.280204618892126,-0.204185858518893,-0.188063531562436,0.353376304916797,1.77640153349709,1.07260156789668,0.471677326503803,1.3412014550495,-0.673253795382582,1.20923501243598,0.934287428196889,-0.681227838051357,-0.438264309220357,0.383895191324093,0.164845781249272,-0.557577688911089,-0.406844138360615,-0.0474934387906638,-0.479269121983459,-0.125449673152142,0.232263690620716,-0.109705920955662,-0.439022961634856,-0.437195435695358,-0.462618572849376,0.336964216132702,0.560088255342606,0.63869929809086,-0.0515872224157572,1.01944415982994,-0.295283727931354,-0.195508412230582
"SHIF_Mig_1 (GE) - TPM",2.98402889531289,2.22375965621067,-1.98457878560042,-1.95073107126498,-1.81487781675032,-1.71797208773121,0.432880914313138,1.06949469193464,-1.46776581431121,-1.34352291611443,-1.45659715179582,-1.41379040360743,-1.44096966937933,-1.15736150051818,-1.54325002405732,-1.94857836859791,1.92806502135603,1.87268377018362,1.8483553506263,-2.00956731276018,-1.7592006629809,-1.56296670714765,-1.93974458862187,-2.31990690295447,-2.03029292103767,-2.16356188485997,-1.87340415410461,-0.939342717588915,-1.41495426550551,-1.74298008236134,-1.92992685464623,2.19269951917448,1.02602321513971,1.31649998943494,1.42628240286206,-1.56968218761209,-1.82471661993109,-1.60445096668077,-1.21098814592213,2.0100587244232,2.64128073569578,-1.05659365079914,-1.76928432410507,-1.84911238412425,-1.70592765719765,-2.37397691319559,-1.85649266212174,-1.03462044580428
"SHIF_Mig_2 (GE) - TPM",1.12124889095896,1.79641920283777,-1.12377412254059,-2.07478085262036,-1.99110262595445,-1.64135551817525,0.300012237358314,0.642415327894762,-1.6042450458056,-0.109578352295468,-2.07246702284908,-0.822990084803531,-1.76671279996974,-1.52607560332321,-2.30356796796506,-2.14364789567386,1.39665431326302,1.49768267810523,2.3199324842371,-2.35679896165752,-0.32964726960746,-2.5762914404997,-2.34380243582832,-2.11282579663327,-1.47085015011162,-2.12834324248459,-2.20172032575174,-1.56367226046462,-1.31253866632661,-2.14673638440813,-1.09623296364159,2.12466856569943,1.0334218771723,1.4380543702103,1.32573600617533,-1.35438508133291,-1.85070911201697,-1.58617470936896,-1.54361498960497,1.23156299684089,2.08262796187569,-2.31641827903839,-1.55466430986412,-2.00286659698343,-2.35346754913588,-1.93898746371853,-1.86837344646487,-1.71862961484352
"SHIF_Mig_3 (GE) - TPM",2.32748148993492,1.45979811071167,-1.56777771791007,-1.6578903798844,-1.71092758773154,-1.58682269977842,0.0339682733096786,0.812958681774838,-1.47888874423054,-0.170327201492904,-1.29701044325273,-1.02580328995676,-0.645548409262016,-1.03493668369674,-0.789089932695807,-1.57477804909947,1.44126877180865,1.51931632322189,2.77117324342549,-1.73075266841663,-1.76341031452086,-1.0624595647977,-1.96317458674484,-0.245435753277826,-1.09195852731353,-2.02408382391558,-1.87593675099475,-1.74759566032514,-1.47785058135332,-2.08733612271016,-1.74572846399935,2.30194718750483,1.83069532734933,1.68889428759591,1.50881604803291,-1.63940246963429,-1.60069479232418,-1.37381107256304,-1.28971144968761,1.87593740896756,2.12378167708835,-2.21791056939305,-1.60879859732575,-1.69242804121323,-1.64470176912098,-2.48754193376865,-1.4780588661111,-1.34667004826781
"SHIF_Nd_1 (GE) - TPM",0.0259658366666147,0.458501652060823,0.716628867860709,0.200789544744884,0.401360471656611,1.85988888593375,-0.887419100775899,-0.804376307089946,-0.192265172467322,0.891753995829107,0.329165716221974,0.23931347257099,1.97394565402965,1.79717119581461,0.036777490109715,0.813143014686795,-0.565993561659779,-0.491585385071081,-0.337456980893236,0.803920449367869,1.40103367517536,-0.431890081308441,0.0845294519962661,0.448369750360688,1.11142164971516,-0.244380583933673,0.42088110260563,0.961632555165345,0.321644221721147,0.670743653868286,1.80800914697401,-0.628489648947338,-0.64810738748296,-0.713974710399789,-0.431729458576288,1.2292351865143,0.801216219573231,0.0845965602398744,0.882876224523394,-0.543989145124117,-0.521234891280495,-0.344766789000742,1.00887411320632,1.4707828350088,0.0684199761474995,0.384935341490148,1.88225446244941,1.29089561449535
"SHIF_Nd_2 (GE) - TPM",-0.15583005633049,0.0944864419030052,0.510771301136566,-0.136735292348565,-0.279723507575985,1.10390403933432,-1.0750334080379,-0.854361157332267,-0.193652704442442,1.3875447132677,0.182549658765509,0.599403839759187,0.525257695670881,1.51562822975001,-0.350414105735236,1.51697551368551,-0.57390172870559,-0.54032995862534,-0.428305253022934,0.442222458830184,0.288957175250845,1.57238970421588,0.104173101480001,1.16122304193836,-0.215101744664242,-0.753718381948015,0.854932701625171,1.62091625178927,0.593448951593097,-0.0814132323957588,1.13379205247737,-0.629021415074634,-0.620832365950639,-0.714874766952579,-0.41831177678998,0.410925190307864,0.365614135251965,0.477614689821112,1.06443299793473,-0.47808704334079,-0.524350592459938,-0.590489633095823,1.28749955669367,1.354579081641,0.323446396596422,-0.428132113549921,1.75179371215284,-0.33735747445629
"SHIF_Nd_3 (GE) - TPM",0.139209282297075,0.034163557346594,1.10735943411763,0.876488595316589,0.320340788871036,1.68888760814759,-0.800729507469534,-0.443288131506619,-0.244700606080363,1.8523833668477,0.318816841594197,1.30017079318741,1.3943318782579,2.09272570616524,0.210994558085481,1.12050371412639,-0.492207477058346,-0.418904596860485,-0.467845615985142,0.312942383761759,0.541055232772054,-0.565499701178249,0.621606767973203,1.5681504583754,1.17465920838315,-0.417587447611924,1.09425252968861,2.2017989350324,0.712182079389747,0.175284522721128,2.5891221630787,-0.607073061520644,-0.608798578068962,-0.61348613950488,-0.402185089638155,2.13828974214402,1.25397347955019,0.487771187001243,0.42972201536434,-0.545923432173868,-0.501716172021391,0.901583243331263,1.58768553982968,1.71398782679084,0.46027647580028,0.26057259950806,2.19433659260297,1.05327382547052
"SHIF_Ns_1 (GE) - TPM",-0.262308576212822,-0.377720991592228,0.0683499954069025,0.989243091534706,0.655171517966581,-0.456781212065867,0.640828182653585,0.0761462679423403,-0.142650752217372,-1.07397724037859,0.618176521222691,1.06119187356104,1.27758631004576,-1.02158494033391,1.16779947267813,-0.512598471125203,0.129194625759975,-0.0840424038045811,-0.120128722950961,0.30745523993904,1.58237949507296,0.626680587129986,-0.981575663501248,0.225652026219858,0.947705029153526,0.830157727403912,0.224804971845328,-1.40780633099947,-0.808417029051171,1.58023969362697,-0.261527272014688,-0.3919866034589,-0.338790638692462,0.200774580693028,-0.543547011034243,-0.321102119216868,-0.53421891022592,-0.779930506716757,-0.999944238034108,-0.280419068046257,-0.444162870293994,0.655247242093135,-1.73215871041729,-0.573848229333962,-0.099702032836837,1.18131061577675,-0.247418679978075,1.14292887736042
"SHIF_Ns_2 (GE) - TPM",0.414973253232107,-0.170511079294042,0.543942393961515,0.310153350272165,0.741246678652246,-0.70614397042918,0.751993466011709,-0.0536545184263134,-0.108107546305765,-0.927591266852403,0.201885221666509,0.445928693547719,-0.288995984955513,-0.958041817062208,1.24712390489291,-0.144331033499661,-0.0105004053998889,-0.0102975621410435,-0.000267956504733854,-0.446562162949833,0.367347528856644,0.715698775398769,-0.932344158277772,-0.270797642861195,0.0102161292586437,0.812688115233331,0.531895344861063,-1.57371613707762,-0.708218742756777,1.53067222964763,-0.336284553221566,-0.34779375263034,-0.312439069468147,-0.0550719254005174,-0.539974651619255,-0.166852481857715,-0.469212784591124,-0.443799825145662,-0.953118226459178,-0.537321807637753,-0.423488575678556,1.5110823546155,-2.00464237730317,-0.925194679293414,-0.924816510754144,0.632024114413036,-0.0010586878340428,0.423931625435798
