"","ETEC_RS00230","ETEC_RS01195","ETEC_RS01290","ETEC_RS01550","ETEC_RS01620","ETEC_RS27415","ETEC_RS27510","ETEC_RS29745","ETEC_RS04310","ETEC_RS04320","ETEC_RS04415","ETEC_RS04420","ETEC_RS07275","ETEC_RS08240","ETEC_RS08560","ETEC_RS09095","ETEC_RS09785","ETEC_RS11390","ETEC_RS11395","ETEC_RS11525","ETEC_RS11535","ETEC_RS11930","ETEC_RS14120","ETEC_RS28435","ETEC_RS28510","ETEC_RS17340","ETEC_RS21385","ETEC_RS28935","ETEC_RS30190","ETEC_RS29020","ETEC_RS24735","ETEC_RS24785","ETEC_RS25310","ETEC_RS29285"
"ETEC_Li_2 (GE) - TPM",-0.764664674579178,-0.521532921413693,-0.0199073850340952,-0.356325323818918,-0.764299155979691,-0.166666666666667,0.28136010442228,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.414368886295812,-0.170520218830693,-0.233480917621854,-0.153948835410199,-0.455627875830817,-0.373158035079376,-0.734167195926113,0.0618712325135737,-0.722131543839851,2.35260154528622,-0.564560017327279,0.0330666276219045,-0.0530683292319667,-0.436772402483056,-0.767718553047357,-0.346044205920562,0.0865592458235752,-0.0271821163627219,-0.708280386669624,-0.298814651670378
"ETEC_Li_3 (GE) - TPM",-0.427311495210292,-0.145653905319782,1.27892491453734,0.470874526218059,0.920783345272137,-0.166666666666667,-0.0799187969253067,-0.236555466666076,-0.32713932324446,0.123011044567598,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.335509629255732,-0.0372615294448071,-0.233480917621854,-0.568586609977523,-0.108121199413976,-0.373158035079376,0.306648958817979,-0.0602216149519028,0.445593994040832,-0.407850583181893,-0.726644058766345,-0.436183194261777,0.310418102474364,-0.436772402483056,-0.767718553047357,-0.346044205920562,0.92495747155261,-0.395096167471226,-0.844219828149872,-0.298814651670378
"ETEC_Mig_1 (GE) - TPM",-1.02539553455071,2.10531051228457,0.0820921221741711,1.15048028542641,0.938765469571704,-0.166666666666667,0.864250287961829,-0.236555466666076,-0.32713932324446,1.76059009408421,2.06016116502354,-0.308415734682669,0.601456806390688,-0.244889696302586,-0.617592423201226,0.447751392467899,-0.233480917621854,1.75369409587072,2.34874918035298,-0.373158035079376,-0.734167195926113,0.748767843015287,-0.722131543839851,-0.407850583181893,-0.726644058766345,0.463102737102671,-0.69465221544719,0.748131348505661,-0.767718553047357,2.71083726519814,0.0437820203323761,-1.38701641991191,0.713654444742945,-0.298814651670378
"ETEC_Mig_2 (GE) - TPM",-1.12772070234359,1.05689936345965,1.16318293966434,1.14660675232266,1.45255351464794,-0.166666666666667,1.69744256677105,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,2.39222752473507,1.29890702173239,-0.244889696302586,0.329255684829207,1.08607842326727,-0.233480917621854,1.36327128136089,2.46050212403285,-0.373158035079376,1.59492394997695,0.777173602669723,0.0617934168069368,-0.407850583181893,-0.726644058766345,1.27582337672138,-0.152488129602512,1.53462205943974,-0.767718553047357,0.925434426057965,1.10925373537353,1.84069054235513,-0.117581711907977,0.996273452190381
"ETEC_Mig_3 (GE) - TPM",0.262752570788594,-1.22184191378458,-0.912165957968892,-0.377958452724192,-1.13447059378549,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,-0.568586609977523,0.636827550670128,-0.373158035079376,-0.734167195926113,-0.0666609580587399,-0.722131543839851,-0.407850583181893,-0.726644058766345,-1.32000343019781,-1.51146066608059,-0.436772402483056,1.22948726511095,-0.346044205920562,0.314518166110281,-1.54879121249237,-1.15255738108706,-0.298814651670378
"ETEC_Nd_1 (GE) - TPM",-0.503898622481877,-1.26623108949221,-0.574558518327948,-0.00975775073322557,-0.309550561556737,-0.166666666666667,-0.0580415621545131,-0.236555466666076,-0.32713932324446,-0.41655418225752,0.268979055319294,-0.308415734682669,-0.170577052417154,-0.244889696302586,-0.617592423201226,1.52683890909064,-0.233480917621854,-0.568586609977523,-0.26965558079903,-0.373158035079376,-0.3628305049184,-0.397855010312158,-0.472162708265796,-0.407850583181893,-0.245042440108022,-0.137536380998403,0.655205785806682,0.820458079968931,0.592245215129028,-0.346044205920562,-0.496932226932967,-0.370972056840872,-0.162494520468339,-0.161160462104686
"ETEC_Nd_2 (GE) - TPM",-1.63403763701374,-0.786303060528055,-0.51550176143854,0.429512579368663,0.615601249554435,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,3.09858604276635,-0.244889696302586,2.26476763515944,1.92141502234191,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,-0.734167195926113,0.166020778588148,0.073333598574964,-0.407850583181893,-0.726644058766345,-1.32000343019781,-0.132482656092017,-0.436772402483056,1.39615873588342,-0.346044205920562,-0.206428702956342,0.0443537793829403,-0.102345805656117,0.139236392637205
"ETEC_Nd_3 (GE) - TPM",1.13667276006961,-0.755486527670205,-0.487435802849416,0.374058629784236,0.213808678964051,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,2.4151527825267,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,-0.734167195926113,-0.334931817339996,-0.109294323577468,-0.407850583181893,-0.13628367170865,0.129496899301157,-1.51146066608059,-0.436772402483056,0.0658217691009452,-0.346044205920562,0.787368211874207,0.023867202970319,2.8929293937374,-0.298814651670378
"ETEC_Ns_1 (GE) - TPM",0.779488913108377,2.51375930742099,1.48084467199195,-0.409567926647466,-0.620641298472874,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,0.226509890245781,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.0372468614984104,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,-0.734167195926113,0.734103288876292,-0.722131543839851,-0.407850583181893,1.523219660845,-0.657117855888651,-0.701711852438392,-0.436772402483056,1.77357950234157,-0.346044205920562,0.22882510317676,-0.485797938582713,-0.844210340211904,-0.298814651670378
"ETEC_Ns_2 (GE) - TPM",-0.431609311864752,1.17293483255827,0.330358503518336,-0.290089140088063,-0.679374139695768,-0.166666666666667,0.160073366776623,-0.236555466666076,-0.0428494619654005,0.0613511846700347,-0.377683808809899,0.0478970945809522,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,-0.734167195926113,0.417690722564503,-0.722131543839851,-0.407850583181893,0.0704338900806547,-0.439330965343119,-0.794269533609885,-0.436772402483056,0.0763378377832887,0.660480770243067,-0.504347520369628,-0.913667290199596,-0.742904857236546,-0.298814651670378
