"","GBS_RS00685","GBS_RS00950","GBS_RS00955","GBS_RS01330","GBS_RS01335","GBS_RS11225","GBS_RS04475","GBS_RS04945","GBS_RS04985","GBS_RS05620","GBS_RS05625","GBS_RS05630","GBS_RS06245","GBS_RS08395","GBS_RS08410","GBS_RS08655","GBS_RS09640","GBS_RS11460","GBS_RS10270","GBS_RS10905","GBS_RS10910"
"STAGA_Nd_3 (GE) - TPM",-0.742998524292328,1.71856442715624,2.36995312999041,-1.07284156469734,-0.882364183712202,1.84293671380392,-0.962651113991618,-1.826103849887,-1.93567889270041,-1.67115073511683,-1.71274438740149,-1.59408618965656,-1.57039622784756,1.29268211949756,1.22575545924938,0.710167807314759,-1.30761305523119,-0.809218355299705,-1.01312107325802,-0.792700001326157,-1.14212903559966
"STAGA_Ns_1 (GE) - TPM",-0.0348870329643919,0.480741783767631,0.34306457063612,-0.513396209760478,-0.284402212025472,-0.30107342752936,-1.21490504057118,0.77270883496406,0.136464651945412,0.066974371056743,-0.0407754444465553,0.0389863292859296,0.460928404765135,-0.141627573461531,0.661935336020006,-0.401321414135036,0.259412459814451,0.0717508996724851,0.0552762068718108,0.959431817226525,1.25215364848853
"STAGA_Ns_2 (GE) - TPM",0.00397853065647846,2.33933206614849,1.54105158299515,-0.429818958441351,-0.486108983474875,-0.566502275086326,-1.55427817747788,0.868070213619959,-0.11343308853076,-0.0303395652377452,0.0719176238002474,0.179651471676899,-0.393727913943095,0.460800099263848,0.0394682821665469,-0.686080026118625,0.700157144392168,-0.228997617869833,0.684271847584282,0.23369486670682,0.290482620777148
"STAGA_Ns_3 (GE) - TPM",0.259277383143707,0.631278047500592,0.722964730423799,-0.232927140901652,-0.153339678054436,-0.281303886444886,-0.464537041505261,1.07992290439418,0.0664087194979422,-0.260773745260995,0.0993507465004998,0.222389554095434,-0.0491797406162876,-0.135379246768906,0.154688148658546,-0.550930174556078,0.43885290733017,1.57839462925629,0.913019828013984,-0.00541363761624979,-0.0225278462269578
"STAGA_Oss_1 (GE) - TPM",-1.22514500930255,0.604293927548497,1.47198438532066,-0.422056346143334,-0.53831748011072,0.872090342679719,-0.0570510581238462,-0.441895273019857,-0.495093102135311,-0.792837729858757,-0.830463066402534,-0.924043788444942,-0.461872818547583,-0.013423094985495,0.417529446903204,1.38127585404556,-0.520663374518766,-0.550946431311179,-0.211774079885477,-1.05338677126072,-0.847383237912558
"STAGA_Oss_2 (GE) - TPM",-1.47256442029902,0.92028500557519,1.73629013900021,-0.430597928229976,-0.567466175709115,1.20835337713868,0.0400054987162222,0.072478744397444,-0.399594033380322,-0.545072707673294,-0.981803177332334,-0.742424577449258,-0.592460679402899,-0.279583468972783,0.118775528666072,1.68849567205784,-0.29875594075729,-0.665051719854834,0.170675986900425,-0.915719885286032,-0.955463073063162
"STAGA_Oss_3 (GE) - TPM",-1.7155305101124,0.37401725491921,1.04726566541967,-0.361786260166165,-0.62128946900887,1.3067336549307,0.42468467020773,-0.32160303749663,-0.540401371500987,-0.38052040503881,-0.811866033035179,-0.929169811985689,-0.349685274512351,0.697166454590991,0.648755416058559,1.42042159674127,-0.553709433532719,-0.988644478053168,-0.0710587266467368,-0.994306511120738,-0.890352845914792
"STAGA_Oxs_1 (GE) - TPM",-0.783905400944022,-0.872313381624237,-0.546505559904338,-0.780194238622812,-0.939296584589741,1.01821093674774,-1.56762283468903,-0.650141478440799,-0.590881726820023,-0.69159539170012,-0.777828714629365,-1.16457477375191,-0.652364408801361,0.787530017202218,1.37652819146387,-0.172936754111559,-1.21288327342114,-1.19845551184058,-1.25200991726162,-0.162607966573531,-0.421677437056784
"STAGA_Oxs_2 (GE) - TPM",-1.42633750214199,0.0458291626777712,1.00430286089708,-0.68822353416848,-1.00168401296343,0.997334236037576,-0.755454768168316,-1.32851741719381,-0.380400705413966,-0.845531989436961,-0.947193606165575,-1.00330040513176,-0.799708804126726,0.714211897266274,1.30520899769084,0.789787291038025,-1.33585357413421,-1.10310963674757,-1.09947667658777,-0.513015428743324,-0.739803430385663
"STAGA_Oxs_3 (GE) - TPM",-0.00958146625036743,-0.264670015380983,0.143218566760249,-0.716246314968975,-0.990368515193339,-0.709851119289819,-0.639677512854289,-0.511260840735493,-0.505505592443592,-0.750770910934132,-0.843098668482763,-0.86147005258854,-1.08860417314769,1.35349380220697,0.34837890115017,0.649604090378118,-1.51578174428778,-0.129801113516914,-0.594466988954841,-0.890440183408897,-0.752912137707119
"STAGA_Sp_1 (GE) - TPM",1.43285998684584,-0.159624240848408,-0.310823665740717,0.0358417153109087,-0.0645425000434897,-0.142621910884398,0.582514114917279,-0.197480181260492,-0.322627242542871,-0.312598279632888,0.165480571887327,0.0495342287780787,-0.286049688059659,-0.167158376052796,0.0762597991978648,0.478701877853279,0.0521259310299537,-0.222550765360459,0.232888899900196,-0.163522864461337,-0.25048085845605
"STAGA_Sp_2 (GE) - TPM",1.09144895784312,-0.336319491296257,0.371817544126022,0.24492805596673,-0.0666566299285751,-1.15895776039459,0.186423593894107,-0.14202615577345,-0.266706843073692,-0.335869460300565,0.220361548406557,0.267034632067143,-0.493861127054597,-0.567321464116964,-0.193886647500382,0.397839809973186,-0.251829257279581,0.066957288915954,1.39740707444239,-0.53372961120489,-0.466606185017552
"STAGA_Sp_3 (GE) - TPM",1.2794590948877,0.973095385624107,-0.475968185711424,0.032227716823062,-0.129866924219134,-0.323722953142713,0.627846357907069,-0.316526898159309,-0.564498489058426,-0.71702477422783,0.364895751526161,0.14949160886391,-0.785091700191894,-0.0324781395652926,-0.51052502754752,0.0921009750503453,-0.455125650260602,0.354855417817329,0.821485933990792,-0.552320206529652,-0.35444480326637
