"","E2348C_RS00350","E2348C_RS00895","E2348C_RS01285","E2348C_RS01395","E2348C_RS26285","E2348C_RS01645","E2348C_RS01650","E2348C_RS26325","E2348C_RS03530","E2348C_RS03700","E2348C_RS03900","E2348C_RS05210","E2348C_RS05645","E2348C_RS26545","E2348C_RS26550","E2348C_RS05780","E2348C_RS05905","E2348C_RS06575","E2348C_RS26655","E2348C_RS06695","E2348C_RS07020","E2348C_RS07700","E2348C_RS26815","E2348C_RS08520","E2348C_RS08525","E2348C_RS09150","E2348C_RS09200","E2348C_RS27040","E2348C_RS27085","E2348C_RS27125","E2348C_RS11240","E2348C_RS11995","E2348C_RS12090","E2348C_RS12165","E2348C_RS12310","E2348C_RS12695","E2348C_RS12710","E2348C_RS12875","E2348C_RS13470","E2348C_RS27265","E2348C_RS13705","E2348C_RS14085","E2348C_RS27305","E2348C_RS14420","E2348C_RS15695","E2348C_RS27450","E2348C_RS16015","E2348C_RS16555","E2348C_RS17560","E2348C_RS18120","E2348C_RS27615","E2348C_RS27670","E2348C_RS27880","E2348C_RS22865","E2348C_RS27915","E2348C_RS27940","E2348C_RS27965","E2348C_RS25075","E2348C_RS25090","E2348C_RS25275"
"EPEC_Li_2 (GE) - TPM",-0.365225881662732,-0.437445636265357,-0.354586951465572,-0.535709717059815,-0.255141896830237,-0.309145008498784,-0.0777053348487731,0.319981425919617,-0.640039157844129,1.71761851523261,-0.627017876271071,-0.277453569453329,-0.437085666957951,-0.653026865536462,-0.00632192317090042,-0.337732433352963,-0.711618890298561,-0.708082209734125,-0.679647120536747,0.108911103543101,-0.914605866976036,0.35029844781827,-0.495702698709949,-0.401960924206938,0.608182415757148,-0.450726735849602,-0.0542220392133312,-0.322363504935279,-0.377053614602862,-0.395623558227915,-0.533998826650713,-0.832087257940368,-0.394209467880089,-0.23961675043491,-0.427884478428856,-0.0145781177718446,1.03312086234342,-0.639360647084588,-0.516146669100526,1.26223374775306,-0.763453251317661,-0.704174526754873,-0.166666666666667,-0.207603135020839,0.79048379911964,0.102921164325608,-0.933674005376303,-0.264514571974047,0.0664014520071779,-0.382669370249964,-0.30293496881181,0.30385924255485,0.549466383314623,-0.844826656839005,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.0692225276832186,-0.904074071075135,-0.473028372266324
"EPEC_Li_3 (GE) - TPM",-0.366309902529393,-0.437445636265357,-0.354891456156902,-0.535709717059815,-0.255141896830237,-0.444398457224835,-0.790243754832273,-0.211792315478376,-0.56705239785657,-0.663828101393843,-0.368752621644971,-0.0621845509483834,-0.437085666957951,-0.653026865536462,-0.131555603603984,-0.337732433352963,-0.863959964375103,0.119087396115589,-0.828877759154924,0.352282518347746,-0.705929609161629,-0.312174154636623,-0.495702698709949,-0.252913196064294,-0.343608017438326,-0.450726735849602,-0.398383423971895,-0.322363504935279,-0.206833103696815,-0.395623558227915,-0.345838463881717,-0.56322701111368,-0.423011635562267,-0.719411527984616,-0.427884478428856,0.328160613627519,-0.568832525592701,-0.476832860316112,-0.516146669100526,-0.0763656540328781,0.183250584287596,-0.390529360658244,-0.166666666666667,-0.0634794259760619,0.0749444967723117,-0.536418662247312,-0.741850373331088,-0.264514571974047,-0.600303332401242,-0.382669370249964,-0.30293496881181,-0.344037599377494,0.0274048480311716,-0.373109813438241,-0.323124605169998,-0.128025944483046,-0.378494638933497,-0.424026579199309,-0.313066638725137,-0.450156353173968
"EPEC_Mig_1 (GE) - TPM",0.580989453536248,-0.437445636265357,1.15855312822262,1.13455499054742,-0.255141896830237,0.970884500806018,1.7825930844522,-0.453112672275759,-0.0703488501755685,-0.663828101393843,-0.627017876271071,-0.277453569453329,-0.437085666957951,-0.653026865536462,-0.871710280111236,-0.337732433352963,1.58791046757426,1.77423944800401,-0.103857790208275,-0.751273682552426,-0.914605866976036,-0.312174154636623,-0.495702698709949,-0.92876308682569,1.33964386959891,-0.450726735849602,0.857742613626626,-0.322363504935279,0.900018397358523,-0.395623558227915,-0.533998826650713,1.963127378243,-0.544994498872553,0.757506718511691,-0.427884478428856,-0.496919930737609,-1.20767231648366,0.629232519007159,0.628602064623729,1.39228785571608,1.01219788102749,-0.829131444758447,-0.166666666666667,1.89794332213065,-0.746835379833429,-0.536418662247312,-0.337509118987215,-0.264514571974047,0.578771437657462,-0.382669370249964,-0.30293496881181,1.18955447709252,-0.362659446817821,-1.06478940060845,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.483011199112289,-0.904074071075135,1.78041798328596
"EPEC_Mig_2 (GE) - TPM",5.52392327132259,5.34275258992017,5.34060931917413,4.09542890424611,5.35332736783134,5.0603448061651,4.32324777890783,4.2919352773123,3.69168610776916,4.04394750449499,4.74542685914904,5.69326004258752,4.28980411389609,3.48737769057922,4.26053266185239,5.59615612326572,4.53800789471117,3.88040233981217,3.69845297394432,4.3501091360978,3.42628646336347,5.58108228463635,3.82671583089033,2.97653079056922,4.78242764689988,5.37190710522991,3.89383296197445,4.25097335061493,5.52450347587016,4.84035037111279,4.68482758697009,4.53518667613097,3.36238898217965,3.79114917073546,3.59567116520638,5.22420017323954,3.22205178134444,4.57774362549727,4.77392307098982,4.94206281025006,4.15989003740715,3.81314775285221,5.83333333333333,5.02293875953715,3.81175120192267,5.15105208799582,4.39985220276264,5.71922793799321,4.24768118925118,4.75775652197361,5.33839156412992,4.76628290730732,5.04676317393491,3.6911690919694,5.09639497746806,4.60090837633306,5.34125840958494,5.24299139023603,3.19397978017318,4.95954667532342
"EPEC_Mig_3 (GE) - TPM",0.280342505329408,-0.437445636265357,0.858122555033143,-0.0345397007845859,-0.255141896830237,0.137021360029959,-0.197068090783368,-0.504793209966414,0.219533683094269,-0.663828101393843,-0.627017876271071,-0.277453569453329,-0.437085666957951,-0.653026865536462,1.00275880829358,-0.337732433352963,-0.94789805200113,-0.708082209734125,-0.187373594477006,-0.751273682552426,0.494675040464457,-0.312174154636623,-0.495702698709949,-0.92876308682569,-0.602472007954043,-0.450726735849602,-0.084100390929117,-0.322363504935279,-0.377053614602862,-0.395623558227915,0.736729378113548,-0.38610501315329,-0.0559036128041498,-0.0165111799883749,-0.427884478428856,-0.496919930737609,-0.129082054204812,-0.550193084135296,-0.516146669100526,-0.610183034921019,-0.763453251317661,-0.879692680060376,-0.166666666666667,-0.128532594996364,-0.746835379833429,1.310032097435,1.13532013517655,-0.264514571974047,0.442952588625414,-0.382669370249964,-0.30293496881181,0.261620677326137,-0.362659446817821,1.58574607635892,-0.323124605169998,-0.495520813817128,-0.378494638933497,1.1103832683796,-0.904074071075135,1.48900150034075
"EPEC_Nd_1 (GE) - TPM",-0.239241438891052,0.39096746748813,-0.0172305617087118,-0.535709717059815,0.146758630378422,0.257963786546168,-0.046288602839143,-0.765057245661797,-0.34984826723674,0.0108863025587686,0.399614415966434,-0.277453569453329,1.59527582666204,-0.653026865536462,-0.5039359289997,-0.0542524763202574,0.0579124776498385,-0.543677781949327,-0.497155020522187,-0.751273682552426,-0.914605866976036,-0.312174154636623,-0.495702698709949,0.414525081771216,-0.602472007954043,-0.172561755885454,-0.174360677224061,0.114600999360405,-0.0387311533407376,-0.395623558227915,-0.160019940790086,0.236716791728138,0.543807351713681,0.103866883452698,-0.427884478428856,-0.29193341113426,-0.41409194442632,-0.0419860067485757,-0.516146669100526,-0.34493531423415,-0.528250124201075,0.811078053688291,-0.166666666666667,0.322126892311603,-0.0935026201715859,-0.26471083533316,0.287815618219758,0.0213470601578355,-0.0608341749143324,-0.382669370249964,-0.30293496881181,-0.0263359471227992,-0.362659446817821,-0.489375274801645,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.424393639763037,1.05369126075244,-0.107246110959339
"EPEC_Nd_2 (GE) - TPM",-0.276397766906372,-0.103671826263914,-0.302599036742641,-0.535709717059815,-0.255141896830237,-0.383602998515176,-0.0993115889277869,-0.749748841393892,-0.367949646350511,0.967256652385715,2.26844670657645,-0.277453569453329,0.654719111382361,0.303313072502187,-0.427173203774622,-0.337732433352963,0.216566254698944,-0.708082209734125,-0.940377151282735,-0.751273682552426,1.0906903040813,-0.312174154636623,-0.495702698709949,0.153678530468521,-0.602472007954043,-0.450726735849602,-0.306521488252285,0.0297490021023049,0.168196943947621,-0.395623558227915,0.370074445642276,0.387764194409548,0.0180204971177276,-0.259842381528669,2.36016695571198,-0.496919930737609,0.582868564218511,0.359977839835304,-0.516146669100526,-0.182701905482638,-0.763453251317661,0.0698940037753471,-0.166666666666667,0.259901156019533,-0.746835379833429,-0.536418662247312,-0.464043132708727,-0.264514571974047,-0.781630917402139,-0.382669370249964,-0.30293496881181,-0.138957998327126,-0.362659446817821,-0.211491108243783,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.388541394063375,-0.904074071075135,-0.401605205139921
"EPEC_Nd_3 (GE) - TPM",-0.22084711754411,-0.249445540965433,0.354454163459253,-0.468764338841714,-0.255141896830237,0.730839971949775,-0.2186892737148,-0.410572950437405,-0.400410399514602,-0.663828101393843,0.0719340161028556,-0.0832569893440624,-0.437085666957951,0.424301517788249,-0.0370830539933764,0.434262969279869,0.131135816700287,-0.708082209734125,-0.135698399027326,0.24425666264337,-0.726356689162379,-0.0566044252165296,0.628985505623207,0.189005060818779,-0.368947917810156,-0.450726735849602,-0.134169357946126,0.0742954475133148,-0.0699379754655468,-0.395623558227915,0.314708972529514,1.02760504988505,0.0930802397606637,-0.143676486222159,0.0955777382923622,0.0613158336749898,-0.919520069764105,-0.593296658647764,0.309735275993385,-0.369401731334638,-0.122929192290852,0.55217670223768,-0.166666666666667,0.737220815585963,1.03237290001593,-0.536418662247312,-0.162187962368175,-0.264514571974047,-0.290898012332776,-0.382669370249964,-0.30293496881181,0.0937951270543664,-0.362659446817821,0.359774751785584,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.42980051627026,-0.193201551364296,0.132237000448664
"EPEC_Ns_1 (GE) - TPM",-0.428365814226248,-0.437445636265357,-0.495160615175765,-0.535709717059815,-0.255141896830237,-0.545454630808771,-0.482905496902858,-0.970760450538824,-0.898007417431285,-0.0743329252652603,0.718428687775016,-0.277453569453329,-0.437085666957951,-0.653026865536462,-0.229064429671967,-0.337732433352963,-0.944090332766679,-0.420803276572123,-0.940377151282735,-0.112492055391267,-0.189865833459656,-0.312174154636623,-0.495702698709949,-0.92876308682569,-0.152950105349289,-0.450726735849602,-0.854952592105173,-0.322363504935279,-0.377053614602862,-0.395623558227915,-0.533998826650713,-0.191232284045983,-1.0146608817272,-0.829613325437889,-0.427884478428856,-0.138728187184728,-1.20767231648366,-0.87253559932745,-0.251183267657853,-0.610183034921019,-0.763453251317661,-1.33556795291769,-0.166666666666667,0.0395669483563375,0.394792864239467,-0.536418662247312,-0.000796395375376573,-0.264514571974047,-0.781630917402139,-0.382669370249964,-0.30293496881181,-0.641316809146538,-0.362659446817821,-0.72591220957046,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.175727688213777,-0.561975781064151,-0.52385213087982
"EPEC_Ns_2 (GE) - TPM",-0.438025195654766,-0.437445636265357,-0.467943384996382,-0.535709717059815,-0.255141896830237,-0.545454630808771,-0.188920695494415,-0.970760450538824,-0.823087464700199,-0.663828101393843,-0.27622904587123,0.307324799013043,-0.437085666957951,-0.653026865536462,-0.871710280111236,-0.337732433352963,-0.866608592387109,-0.483381555674392,-0.940377151282735,-0.751273682552426,-0.914605866976036,-0.312174154636623,-0.495702698709949,-0.92876308682569,-0.602472007954043,-0.450726735849602,-0.854952592105173,-0.322363504935279,-0.377053614602862,-0.395623558227915,-0.533998826650713,-0.931096437706687,-1.15610948027663,-1.13912778875431,-0.427884478428856,-0.496919930737609,-0.55689411836813,-1.2138074417198,-0.516146669100526,-0.610183034921019,-0.120522921032464,-0.418711635878696,-0.166666666666667,-0.539472266891996,-0.746835379833429,-0.165060498387534,-0.262811049624964,-0.264514571974047,-0.781630917402139,-0.382669370249964,-0.30293496881181,-0.828121194426082,0.167145454126242,-0.325243953379952,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.483011199112289,-0.368916768029013,-0.530390616822471
"EPEC_Ns_3 (GE) - TPM",-0.408724946283622,-0.437445636265357,-0.45842182657962,-0.535709717059815,-0.255141896830237,-0.545454630808771,-1.05950673678101,-0.970760450538824,-0.898007417431285,-0.663828101393843,-0.153510594778993,-0.277453569453329,-0.437085666957951,-0.653026865536462,-0.871710280111236,-0.337732433352963,-0.574034687638802,-0.404773247960096,-0.940377151282735,-0.0768483422076706,-0.914605866976036,-0.312174154636623,-0.495702698709949,-0.92876308682569,-0.602472007954043,0.0624585381051965,-0.854952592105173,-0.322363504935279,-0.377053614602862,-0.395623558227915,-0.533998826650713,-0.883097959118552,-1.00676811682845,-1.12550686080983,-0.427884478428856,-0.496919930737609,0.549214955880634,-0.943571454284417,-0.516146669100526,-0.610183034921019,-0.763453251317661,-1.21180741525998,-0.166666666666667,-0.477366175639405,-0.746835379833429,-0.0351461600595933,-0.145337438346421,-0.264514571974047,-0.781630917402139,-0.382669370249964,-0.30293496881181,-0.532279221954738,-0.362659446817821,1.05927699120976,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.483011199112289,-0.904074071075135,-0.506331629747607
"EPEC_Oss_1 (GE) - TPM",0.20796877401522,-0.26563936329817,-0.0326058294827617,1.11612013697837,-0.255141896830237,-0.0455869081482705,-0.186745650525675,0.678806129932702,-0.124957323184364,-0.383967325476528,-0.627017876271071,-0.0999845602011534,-0.437085666957951,-0.653026865536462,-0.0327021296517984,-0.337732433352963,-0.266622782169826,0.792149162299081,0.0707509466021524,1.06828239751604,0.117597532927097,-0.312174154636623,0.532107889757101,0.649898032953862,-0.389063054619642,0.703057245995594,0.180142545142198,-0.141117596168628,-0.377053614602862,2.09445897726817,1.94792883070859,-0.1522533914372,-0.4845871987702,-0.20914357672275,-0.427884478428856,-0.156819372292787,0.372317208313475,-0.201197346015838,0.112805578021782,0.710063264892235,-0.568336238089488,-0.834721027508159,-0.166666666666667,-0.250069835950045,-0.340347363440894,-0.536418662247312,0.0336256298514387,-0.264514571974047,1.61016904472222,1.14523223319899,1.373850581231,-0.473382276462575,1.24519672440453,-0.260291098226923,-0.323124605169998,-0.192555943036015,0.301543944536581,0.0518886372653786,1.53207545498327,0.16576363456163
"EPEC_Oss_2 (GE) - TPM",0.282942650945637,0.495995958781627,-0.189997389163616,2.58876873090618,1.91856009339211,-0.364399028073444,0.832738583058726,1.31616340179804,0.33730513203745,1.16078762224325,-0.164301253533596,-0.277453569453329,-0.437085666957951,-0.653026865536462,-0.29154776725544,0.17334008761516,0.282036610533721,1.21849775186973,0.957400043961579,0.237310319860288,1.1416864299424,-0.312174154636623,1.45876845386126,0.0802995376759725,0.788896004721024,-0.199981535036832,1.70131150636596,0.0715277477625498,0.385378211959524,0.619042513493558,0.645901454329723,0.0175859481198819,-0.134543100403177,0.850595880660718,1.13154475201993,0.24220094634388,0.366106790019912,-0.113483959191293,-0.106087004650526,0.107120699644673,0.296638053934931,-0.912277307006156,-0.166666666666667,-0.404769040796789,-0.0106712961516269,-0.536418662247312,-0.169454659028584,0.250851758513359,1.81734935699731,-0.0506193500008034,0.42587724622796,0.0391790799656409,-0.362659446817821,-0.502095339499083,-0.323124605169998,2.46735134109585,-0.378494638933497,-0.00745656496439675,0.33127260383526,-0.0273953489765028
