"","lmo0264","lmo0709","lmo0854","lmo1374","lmo1562","lmo1627","lmo1628","lmo1629","lmo1630","lmo1631","lmo1632","lmo1672","lmo1764","lmo1765","lmo1766","lmo1767","lmo1768","lmo1769","lmo1859","lmo1860","lmo1904","lmo2130","lmo2411","lmo2412","lmo2413","lmo2414"
"Listeria_Li_3 (GE) - TPM",-0.230498183720083,0.0753265297389865,0.732631111402908,0.026359512354136,0.258184760712488,1.41460852630119,0.726390772242121,0.616615310514152,0.498929395573448,0.244022569818456,0.35480686370132,0.335362271715124,-0.206355132393901,-0.662418691217666,0.486543467305993,0.250483250255075,0.722763321454043,1.28842065695228,-0.101666570201304,0.418786824790433,-0.575225406816306,0.525372981973107,-0.498537251747707,-0.436575720599387,0.00485650747548607,0.231130176656847
"Listeria_Mig_1 (GE) - TPM",0.416082788796549,-1.48442109209991,-1.44644338912486,-1.62329035984628,-0.750530752967587,-2.17824018452241,-2.14613395218165,-2.20342255694737,-1.99169174014942,-2.02007150298342,-1.44622132815828,-1.44814965679293,-2.13213940589617,-2.36062066966397,-1.26962430573792,-1.63204198741296,-1.70688445033918,-1.62197526864131,-2.18151713178131,-2.52443082578825,-1.89262770084465,1.92223540488401,-2.02685764448457,-2.23180681271464,-2.08553852529049,-1.83432889746997
"Listeria_Mig_2 (GE) - TPM",2.48444178623196,-1.48442109209991,-1.64915059983521,-1.7632469302341,-0.951169509035687,-2.17824018452241,-2.08513479249531,-2.1412251765996,-1.93315114797903,-2.02007150298342,-1.72004965842005,-1.43474096276778,-1.99755203907952,-2.22970280999488,-1.471870174754,-1.7257224878586,-1.88708664992,-1.76522983564984,-2.15782376128211,-2.19298606599653,-1.65030748933367,1.43351114931731,-2.27254363907219,-2.15871301145991,-2.13555056734133,-1.75975805596504
"Listeria_Mig_3 (GE) - TPM",2.30175065712185,-1.48442109209991,-0.699418952789634,-1.77364898858408,-1.06156250113347,-1.99405352023873,-2.31850584318889,-1.43106937620809,-1.7680166627178,-2.02007150298342,-1.72561362295916,-1.4013754195119,-2.00138441070448,-2.37996660884397,-1.71798873355203,-1.97673855667496,-1.98159304406978,-1.71781294797105,-1.99838989407843,-1.82822128899318,-1.39904115899222,0.918660483465757,-2.16208742981177,-2.19699542072814,-2.00190212940778,-1.7432857232907
"Listeria_Nd_1 (GE) - TPM",-0.075618288495661,0.0353009187213137,-0.661480937907485,-0.0377735223824897,-1.37125180623137,-0.632119554044619,0.484034178318369,0.0737569980434254,0.435016086211165,0.312703559269801,-0.00234917585954041,-1.12074964353652,0.945589928116486,0.403625819297138,0.141284805988775,0.139077493962235,-0.517159098830858,-1.09374356526057,1.17607895931063,-0.363536076236233,0.0261757705308858,-1.45187330526763,0.498529286746086,-0.094912256425416,-0.0392460277090574,-0.783027241334229
"Listeria_Nd_2 (GE) - TPM",0.184076020772765,-0.128594908312518,-0.895193511033603,-0.0358722060737131,0.0107014604842227,-0.30436842919525,0.960132785136349,0.466194037074661,0.758012827186776,1.57677599074038,0.167907324251691,-1.12874938904622,1.23220143132472,0.589378049749049,-0.195622959389922,-0.408550385279857,-0.477973119976133,-0.802917149732199,0.878252847252877,0.194455373287968,-0.00309395651366078,-1.31059269625694,0.36742456589081,0.434249180110387,0.0500486125769026,-0.669499403297004
"Listeria_Nd_3 (GE) - TPM",-1.0287975751684,0.0253264556556495,0.139463647664098,0.0072754778085634,-0.804279891366544,-0.178577347880543,1.54800885454622,0.88144149062779,0.331104069621827,1.45612487027167,1.51665600111258,-0.909111142516616,1.20265856006698,0.885098014738987,0.499475371223913,0.189865403120719,0.104508030305911,-0.919989245719551,1.65289361169736,0.560133395669375,-0.0682162301777326,-1.39338247443232,0.453217017067474,-0.184055010081927,0.169844098851115,-0.707979974726628
"Listeria_Ns_1 (GE) - TPM",-0.567410631045543,-1.07332917497494,-1.43468918212207,1.11150485877276,0.148173234830475,-0.094967034026854,-0.145832920665213,-0.44200310295431,-0.621322060772213,-0.223017566887103,-0.197001800075424,-0.212593906411935,-0.55062220995884,0.0106281188659318,-0.505702314929162,-0.24504878495705,-0.564359505454405,-0.568929601609797,-0.351982916600408,-0.203083424263323,0.0209282667611219,-0.115567874420785,-0.0679935623675107,0.204757194505649,0.127905871325261,-0.164720248840449
"Listeria_Ns_2 (GE) - TPM",-0.293381214064312,0.453246750779467,-1.07660387744794,0.182656871667206,0.144011629807791,0.788048229418856,0.543061450948594,0.544044984356218,0.244182108226173,0.372318255161078,0.600066465630435,-0.177583835231339,-0.471828859577755,-0.422002012367729,-0.266577427255264,-0.534508514514747,-0.631995324288585,-0.73079759855338,-0.0977614177007071,-0.404258786538533,0.348599145456684,-0.145376041312331,-0.0587014505932036,-0.123988401446804,-0.253107366660892,-0.125706444155938
"Listeria_Ns_3 (GE) - TPM",-0.784272311341064,0.284553398216594,-0.9581252724812,0.628968279660897,0.447200717209214,0.459060141088384,-0.11511970971724,0.345012051656697,-0.514041851811318,-0.150789609094322,0.0518004917199467,-0.268750580415852,-0.260026515289646,-0.242510436674033,-0.359611754274825,-0.486407609340168,-0.559040540902727,-0.71919305446133,-0.195975629955472,-0.0995159964336049,0.172824927356526,0.132960713210597,0.213570728787287,0.026312487884194,-0.106152482687493,-0.139117447846841
"Listeria_Oss_1 (GE) - TPM",0.9988703078936,0.112284941862872,-0.355626042871464,-1.29174730746486,-0.86531952478779,0.344478035128232,-0.0506737222692975,-0.14398783566938,0.1699878961369,-0.118334427787843,-0.252343016020548,-0.510104247223894,-0.729127533674139,-0.285759272836504,-0.378081277385673,-0.631540856460093,-0.31178906718145,-0.277835576727179,-0.151421899357947,0.658176899645351,-0.308431000166968,1.89960466066018,0.269799104555743,0.392552182881416,0.169093285585309,0.170921985537609
"Listeria_Oss_2 (GE) - TPM",1.25998674064149,0.133905163070896,-0.645747837331893,-1.25558716022677,-0.666667962989219,0.376387897510296,-0.2692901981449,0.229759491631391,0.0787431039017515,0.133690600385652,-0.30432563682627,-0.463720454541501,-0.547426931453958,-0.156746634443086,-0.376249820030104,-0.553515475717185,-0.491121717232528,-0.150119401738224,-0.405720214546593,1.28261505787575,-0.218141926513122,2.13392986851698,0.129806500856141,0.26650333343529,0.405919250514194,-0.00387695536667381
"Listeria_Oss_3 (GE) - TPM",1.14343722662578,-0.0591083225688593,-0.194371897362579,-1.26156104163022,-0.644320065562915,0.407264544952758,-0.31179541684308,-0.376591955688058,0.0143043650345818,-0.165149462172741,0.0595012307162299,-0.511803446271064,-0.675492718840707,-0.384946208377707,-0.399029410503756,-0.572411042410354,-0.342109528093268,-0.233263636484851,-0.193155248981701,0.668397372398615,-0.321837583819013,1.67171932347218,0.305258496703013,0.336345783635776,0.134162664930115,0.140269838708492
"Listeria_Oxs_1 (GE) - TPM",-0.769538200673451,2.184557013039,2.63796533797305,1.22899176514904,1.57760367414926,0.723414238242779,1.04607039355639,1.21330785147932,1.42942486683902,1.67738387731916,1.93102370000018,1.02594096885925,0.341162709936104,0.50611904373347,0.881721227302012,0.716143776035498,1.06007637323462,0.856748223528885,1.23783483308198,0.226072164945393,2.15513680036508,-0.961411785281163,1.1554435063226,2.4247449829219,1.40006545952376,1.86007460095377
"Listeria_Oxs_2 (GE) - TPM",-0.498685754856182,1.04967202819992,1.07183970488125,1.13740840159102,0.965380870428897,-0.180109787983085,0.36583940608493,1.21472040635174,0.612042205806206,-0.478447575749474,0.527954184260364,1.23034660288446,0.80619404798723,0.0974101045751287,0.437979578714694,0.536745333361752,0.734109144446052,0.337765944331433,0.82303421582025,1.50210883133309,0.839392313649755,-0.828829606098132,1.25496197345953,0.831844210785921,1.66710361026345,1.70293379338435
"Listeria_Oxs_3 (GE) - TPM",-0.683538266632599,0.512318344234672,0.179040022772064,1.27307235856274,0.723066517409212,0.181478138539265,0.30298008647716,0.402574536047582,0.230383013899079,0.404694845547789,-0.0662587262838587,0.710805710043303,0.0470291614904628,0.547150425343774,-0.0306553688667383,0.187708348614256,0.0759681573010903,0.129696567022915,0.0591704975423963,0.762086976775194,2.33977470374218,-0.966234714154003,1.30849809361481,1.065306731525,0.955928470044714,1.11537085956448
"Listeria_Sp_1 (GE) - TPM",-1.13558099046492,1.88398802234836,0.446631020774519,0.94200522495687,0.966513007737444,0.951837474139599,0.629390379431725,0.862491134870391,0.819014649448802,1.39032050292021,0.814317325986913,0.486196550780222,0.721194047608722,1.35565050667706,1.26425192605531,0.781288649178212,1.28819674700074,0.925921106359494,1.59918496909541,1.58294208790425,1.81528889020609,-0.941546684178868,1.38826699882971,1.29189529738508,0.927920463811573,1.37401520664555
"Listeria_Sp_2 (GE) - TPM",-1.21209193953507,1.57787067271296,0.888059537964205,1.33154251852177,1.39309402415543,0.525766432661698,0.669212694632027,2.68855018854915,2.46989508745282,0.943363750200411,1.03406931639198,0.811472730130592,1.59729141415474,2.11972556951964,2.84797241255585,1.08419388680413,1.59889202172635,1.70582916646446,1.16972223884077,0.571300378806316,1.28787624813145,-1.07771411230072,1.30816572271042,0.943472866710428,1.7643868478769,1.35753725539499
"Listeria_Sp_3 (GE) - TPM",-0.735211546981349,2.33718192383934,1.24200727785519,1.57504633388855,2.00414134507779,1.12288076467528,0.86249076469205,1.06202274579976,1.21539596909264,1.00227877316589,1.89901622995444,3.91965354283039,1.4947036736411,0.829639845161264,1.44985182381134,2.24698678921395,2.10291677611816,1.97343921082509,1.45373067651749,0.979181918098816,1.18716545157158,-0.938333408012572,1.08094459972609,1.27031434979882,0.78672419795327,1.40376169449101
"Listeria_Tm_1 (GE) - TPM",0.883664186178833,0.658265392246992,0.180975036035808,-0.432417963029077,-1.50823609625941,-0.563581731455173,-0.855835993678544,-0.715989801987056,-0.651648094261631,-0.702418126976048,-0.381494618073196,-0.422436693779165,-0.761620990633808,-0.526630715008139,-0.632316806989629,-0.636624141506211,-0.61870781766715,-0.635996258602016,-0.883947386642741,-0.456826322024971,-0.111591876788063,0.657743913063639,-0.428440303022873,-0.529364282509758,-0.612933620795614,-0.609422234211816
"Listeria_Tm_2 (GE) - TPM",0.343462817240537,-1.13971470259036,0.163126405678614,-0.442245299148184,-1.07728798502396,-0.292431872540219,-0.718926026426844,-0.858777562622526,-0.81047543272464,-0.294664837567619,-0.335119162869663,-0.555181648450305,-1.01591698373894,-0.403062805718741,-0.515454229132674,-0.433631643651897,-0.454492625378548,-0.420632371142918,-0.618622476909836,-0.776551533864654,-0.935697946663976,0.276382276209963,-0.694573042230949,-0.77746954657171,-0.668971586955036,-0.62005902560349
"Listeria_Tm_3 (GE) - TPM",1.28953329767037,-0.0670176543716254,0.86459883191496,-0.365238291661745,-1.33419200019873,-0.872255538686439,-0.630408019106126,-0.367923038915267,-0.462354663234331,-0.864644718587885,-0.552085375805062,-0.410675587401176,-0.184349429572575,-0.232174277955351,-0.253496493357715,-0.450092000786376,-0.686565353039825,0.180897995335291,-0.655189766709765,-0.752745326461897,-0.775677294101255,0.558603820596255,-0.624604630002676,-0.81822067908117,-0.578351512001796,-0.617585867176125
"Listeria_Vic_1 (GE) - TPM",-1.41521767108932,0.670517116589932,-0.156077347018052,1.49217636865362,1.39292189544497,1.10342202484667,1.25305827063504,0.68755473011951,1.265144621971,0.952183937185453,0.4477299441572,1.39517190482381,0.699478186605913,0.943879224724718,1.01992148500192,0.813180535368562,1.27168229258371,1.26057150320629,1.68332898110702,1.58311155559187,0.475563139812382,-1.18023215632777,2.01073870165192,1.33104025308883,1.82120416343785,2.03640399905373
"Listeria_Vic_2 (GE) - TPM",-0.497720733492367,0.954352271653901,0.95682553968259,1.43918745637779,2.16130844883175,2.70913066016631,1.11408895737645,0.804582301351246,0.396028820172094,0.519011602264066,1.41317624667798,0.83016749328252,0.678816229684568,0.998886170441836,1.91068858542914,0.990279406846088,1.67621634814231,0.76305344261382,0.536395462715976,1.18427266940648,0.964156890602656,-1.12949925177845,1.18682684180627,1.34095035035008,1.90349896651341,1.19880437401243
"Listeria_Vic_3 (GE) - TPM",-1.18524482737422,-0.392035774796759,1.96842981867335,1.37200005135919,1.2927090096988,1.17681129842576,1.62580682534218,1.44905343813751,1.77708434273422,1.0419343669318,1.93855443219225,1.08568544391114,1.79916471450614,1.64045014238756,0.781289306875264,3.35797491373118,2.12248066753802,2.61379132727746,1.14208064868162,1.54301536096488,0.967488009401712,-1.2039456346354,1.05763260860207,0.971433225929729,1.02037500195091,1.25155936255369
