"","D7S_RS00995","D7S_RS01380","D7S_RS01385","D7S_RS01390","D7S_RS01520","D7S_RS01525","D7S_RS01790","D7S_RS02055","D7S_RS02715","D7S_RS02960","D7S_RS03060","D7S_RS03695","D7S_RS04505","D7S_RS05220","D7S_RS05610","D7S_RS06650","D7S_RS07090","D7S_RS07200","D7S_RS07205","D7S_RS07210","D7S_RS07215","D7S_RS07700","D7S_RS07840","D7S_RS07875","D7S_RS07880","D7S_RS07930","D7S_RS07935","D7S_RS08060","D7S_RS08365","D7S_RS08590","D7S_RS08905","D7S_RS09705","D7S_RS09790","D7S_RS10255","D7S_RS10260","D7S_RS10265","D7S_RS10270","D7S_RS10280","D7S_RS11425"
"AGGA_Oss_1 (GE) - TPM",-0.695330955573164,-1.07144796400262,-0.999579600173678,-0.865498283520518,-0.483933773299021,-0.475819352097564,-0.478869902304779,-0.721821927749167,-0.248218640470274,-0.842702630645674,-0.711893999069503,-0.332639262400335,-0.0771217339855244,-0.658463845152446,-0.615756441184636,1.81391632314044,-0.00384140119192045,-0.810640341384835,-0.846604126517794,-0.795696252798732,-0.699500894627295,-0.460691373537708,0.0460874444318344,-1.17754613530796,-0.918520222636067,1.40102311189877,1.19840222199279,-0.596992086217158,0.642832512304189,-0.210606089055079,-0.537788734029386,-0.369385919363582,-0.980289282622061,-0.668799100925583,-0.769141545363177,-0.723407701365668,-0.593825134587009,-0.044022141185407,-0.583454981464352
"AGGA_Oss_2 (GE) - TPM",-0.79326061145858,-0.78194069162766,-0.780149365837348,-0.882381572488565,-0.639661797833333,-0.639302398307555,-0.462221965851811,-0.685321376200856,-0.388680913345644,-0.44112219734499,-0.490267260131897,-0.337854798370806,-0.110344613444342,-0.372208289027444,-0.912947134813753,0.46915743855243,-0.300960018770863,-0.786358973019649,-0.82329578144532,-0.884366552992849,-0.00657835610855938,0.381525316119078,-0.505584677488658,-0.791737930428972,-0.772930021777524,1.13010989515653,0.717545127482198,-0.595689413243412,0.943977701767819,-0.489906439904813,-0.500984507570759,-0.311112983223935,-0.707484799996135,-0.68868737050309,-0.760077886830931,-0.725134379232409,-0.592106728946776,-0.616934882433437,-0.699030886264578
"AGGA_Oss_3 (GE) - TPM",-0.674978383461961,-0.804826474913838,-0.851568356338591,-0.872702610237002,-0.603470801538121,-0.536772122514734,-0.413334996552502,-0.716480928881765,-0.377707904475872,-0.300507174141761,-0.101817995279964,-0.460111163338555,-0.0213649912146498,-0.496013451902995,-0.603869779899577,0.841405795744855,0.0117024179337225,-0.792040307805058,-0.774200751109629,-0.741626170352048,-0.767313675920957,0.143762287695945,0.0239512223354044,-0.690390667147652,-0.253925158926824,0.546591410891792,0.123254650802665,0.20710889315556,0.868910353594863,-0.162128249263299,-0.413120398198955,-0.342522907141416,-0.93586092842246,-0.673179914801099,-0.801135606498119,-0.763107488657744,-0.67036114931599,0.393863985789018,-0.672770289230664
"AGGA_Oxs_1 (GE) - TPM",0.389118032161223,1.93720379903803,2.76338393554706,3.51614805422951,3.51118677464771,4.29978049615194,-0.0296542169485849,2.38978879085984,1.59934199841069,0.504751030088185,-0.082060905152106,1.40910006698745,1.39159526000484,1.4909930610644,-0.115853915169845,-0.0849534352622135,1.13557247518325,2.02983088318396,1.25449565674563,1.94818895896478,1.60514314426074,0.00745615709536908,1.10961239276876,0.324029708348063,0.730223643685583,-1.82921607518328,-1.78138263857851,0.212956657685797,-1.28234206939723,4.32474350302306,4.52013819253464,1.00527033353531,1.56775690663866,0.683912176988762,1.26490444782195,3.54031014199924,4.65416539587398,2.65394564787322,2.87322989019388
"AGGA_Oxs_2 (GE) - TPM",-0.560771086562203,0.0355819130699532,0.595861832401775,0.683390113809007,0.54189117508976,0.501349158531104,0.386846840981338,1.81733399466987,-0.46609992286747,-0.296915878050219,-0.674313647353648,-0.694491725653487,-0.427839399404643,-0.673480776908243,-0.924180200541272,-0.0404205497445936,-0.0436810604048492,-0.296528980410931,-0.0788998562880845,-0.355127052997368,-0.493505532538592,-0.567673228463215,-1.36281626397021,0.445485710517395,-0.212728887737276,0.19324526298784,-0.822054161925029,-0.387756534368073,1.40069188049139,-0.278788626514678,-0.398736130856124,-0.462280357439667,-0.109548216794477,-0.206280764772334,-0.381832266695327,0.157944095954029,0.302804921561105,-0.684579017056752,0.840779030548701
"AGGA_Oxs_3 (GE) - TPM",-0.635179257110184,0.46474773951006,0.738903081007745,0.559722490907573,0.661628999987658,0.444025843105981,1.40767541961457,1.85019068481564,-0.132646174517845,-0.170679007812232,-0.305825627807536,-1.08961320196441,-1.0832820174892,-0.638453220713415,-1.02677885874618,-0.895478088868882,-0.502899301444384,0.230075055448934,-0.0658707478354639,-0.133724794193926,0.416221482912342,0.0435238196275838,-1.17972988598697,0.773368664411865,-0.889721237036794,0.953194661227404,-0.0467621202903566,0.538205459662103,0.347273216682458,-0.359933016389168,-0.294043097534014,0.0899736424035889,-1.23674441060564,-0.449884994579181,-0.158040507676857,-0.128714568412323,0.028307833938537,-0.573309023084997,0.537668020193303
"AGGA_Sp_1 (GE) - TPM",-0.769322771385186,-0.714994734508977,-0.61663038545602,-0.649813728929923,-0.850737602803019,-0.723859024265019,-0.753662330666566,-0.494227848904966,-1.32388182133282,-0.191312273933587,-0.788213611416738,-0.397450176701354,-1.15968233853801,-0.868979846389628,-0.697222791857216,0.293105974223668,-1.06639750440066,-0.820220028215281,-0.869914094097063,-0.951152285907605,-1.008206454826,-0.408537600648557,-1.29270018536027,-0.808714379831306,-0.456854659438025,0.691206167438558,0.364103493493251,0.554835588166666,0.598757371455729,-0.813338925827814,-0.0370365825178947,-1.14582618290877,-0.639142233376178,-0.643209254021984,-0.55818847868802,-0.60458393527504,-0.459572452088524,-0.600850388219184,-0.825849044311523
"AGGA_Sp_2 (GE) - TPM",-0.832674895574807,-0.764069961895461,-0.703004995393664,-0.642052793935965,-0.935270431027586,-0.790716049831978,-0.732513692159718,-0.446840389288807,-1.13891135667009,-0.621042791533383,-0.846409138737052,-0.655421574209055,-0.803318399533843,-1.11296575262124,-1.42483481460863,0.235729900443145,-1.1774183119847,-0.916364074285485,-0.829852836763112,-0.971672168185716,-0.719959046423894,-1.15398875570272,-1.54187793323255,-0.648597932241572,0.324799370035237,0.0117437618564065,0.602613805955477,-0.544212226606083,0.143548075263172,-1.04764224150932,0.0134148209301456,-1.31071273239032,-1.18107368921825,-0.431258654137526,-0.617231259427875,-0.572150686941124,-0.414800326980961,-1.14755084023055,-0.718881816833615
"AGGA_Sp_3 (GE) - TPM",-0.864055029679919,-0.755893397982618,-0.806445497474037,-0.733041816878649,-0.916550064898244,-0.817863242091583,-0.753636106331822,-0.519216417343183,-0.866878527958762,-0.741729418942403,-0.872142537803414,-0.617058922780517,-0.796285902058039,-0.947472212625386,-0.790590121396948,0.336195343449176,-1.16974518549718,-0.890812254391104,-0.90153332809877,-0.924164687843368,-0.52267457774903,-1.41425354251349,-1.55837680029463,-0.773393600320967,-0.106093406365247,0.94670918287342,0.507270167636012,0.126209254863689,1.70141875926438,-1.01478078299039,0.144030641061446,-1.39365211864412,-0.169810502690532,-0.302205900081834,-0.682283167523228,-0.494019390484141,-0.444300030406305,-1.02365559565512,-0.67061967089985
"AGGA_Tm_1 (GE) - TPM",0.31559378356411,-0.00750770651306781,-0.224756435439821,-0.0437136039115665,-0.339633291867348,-0.250231234081424,0.16511142950005,-0.505316221350555,-1.05121627132574,-0.0757218937981675,-0.466084281100379,-0.419618019617631,-1.2292617126682,-0.784389140982183,-0.805333573953501,0.997944657390775,-0.524662229852033,-0.37671179356782,-0.226574535846304,-0.305203297497478,1.08419049425299,-0.910574281966324,-0.685631627033327,-0.861087156899424,-0.963821274663247,-0.035762356799261,0.196818303674419,-1.15438953280031,-0.306299651624255,0.124100284888056,-0.293924192006496,-0.904230861905095,-0.452647312245871,-0.594189625075026,-0.4027726314882,-0.306214055862461,-0.356492161042064,-0.199943560491653,-0.187383285871062
