"","SAS_RS00435","SAS_RS00440","SAS_RS00445","SAS_RS00450","SAS_RS00455","SAS_RS00460","SAS_RS00465","SAS_RS00470","SAS_RS00475","SAS_RS00480","SAS_RS00485","SAS_RS00490","SAS_RS00720","SAS_RS00725","SAS_RS01295","SAS_RS01555","SAS_RS01560","SAS_RS01565","SAS_RS01570","SAS_RS01575","SAS_RS01760","SAS_RS01840","SAS_RS01845","SAS_RS01850","SAS_RS02810","SAS_RS03295","SAS_RS03760","SAS_RS03765","SAS_RS03770","SAS_RS03775","SAS_RS03900","SAS_RS04290","SAS_RS05160","SAS_RS05400","SAS_RS05405","SAS_RS05410","SAS_RS05630","SAS_RS05640","SAS_RS05645","SAS_RS05650","SAS_RS05655","SAS_RS05660","SAS_RS05665","SAS_RS06470","SAS_RS06790","SAS_RS06820","SAS_RS06825","SAS_RS06915","SAS_RS06920","SAS_RS06925","SAS_RS07640","SAS_RS10030","SAS_RS11015","SAS_RS11100","SAS_RS11275","SAS_RS11280","SAS_RS11285","SAS_RS11290","SAS_RS11305","SAS_RS11310","SAS_RS11315","SAS_RS11325","SAS_RS11330","SAS_RS11830","SAS_RS12895","SAS_RS13340","SAS_RS13550"
"MSSA_Li_2 (GE) - TPM",0.289078925084792,0.36321419234757,1.51737863734356,1.86908377306338,1.74158506806028,1.45625391386544,0.696421213866369,0.247187386750588,-0.0323618541544149,-0.641281830884926,-0.118858511733828,-0.833654070003523,1.32294818438821,1.75239660595019,0.849689600142396,1.46483995706907,1.03849607266654,1.9962536910294,1.62377486620549,0.711274742658943,-0.261262787990142,0.106947607215074,0.765518334169887,-0.54274938773187,3.47335875647068,0.612660966024832,2.00879961704883,1.8656060051582,1.71240482007652,1.90480427527277,-0.447394403638779,-0.166666666666667,0.515481823746623,-0.706210673699335,-0.739679870015281,-1.40486588934056,0.0800648202178566,0.190619290878255,0.0845377766935581,0.0831300435109433,0.192224934586204,0.135648238722688,-0.146847658858468,-0.369648276236916,-0.277128979121296,-0.559526128287606,-0.439967043059427,-0.413206100072117,-0.319790058068298,-0.479085306943744,-0.525901162699009,-0.30200906294515,0.176733064829948,-0.304161097217346,-0.116923264485959,-0.673529758013856,-0.28811958384359,-0.275878677188574,0.232699365296369,0.379644378194754,1.33476891570709,1.06369602750562,1.37326984893287,0.167736659311722,-1.43498271647715,-0.0467377900484916,1.14777480058411
"MSSA_Li_3 (GE) - TPM",0.49366551293402,0.24634585480091,0.378029691903255,1.029267089837,0.992545591568513,0.0555483880805005,0.328018666969673,0.0346148974216671,-0.616523305555279,-1.26104306809893,-0.0549063165281282,-0.849208057558681,2.1791271405495,0.128156506873047,0.592052991232559,1.27441569382914,1.07769609522767,1.07146956865131,0.616692758378124,0.800098659001223,-0.291776569655884,0.298070306438261,0.439639298117432,0.178880901406378,1.80448740332397,0.30865044368466,1.35590383278526,1.53717841846167,1.07452244826817,1.36498677842093,-0.494453281410904,-0.166666666666667,0.758532981476858,-0.90108098387246,-0.906236159685736,-1.31509532114773,0.0720348934107327,-0.125471000643212,-0.0392288887959071,-0.0402747751061095,0.0429203007653706,0.12812788866094,0.000674303664831386,-0.258323437335213,-0.287029242234419,-0.644766951688485,-0.51162653040551,-0.305719130692518,-0.355245302389025,-0.427097634859716,-0.713075845659772,-0.251653705362613,0.193365068385072,-0.267942440705919,-0.721740578911757,0.0363181207805968,-0.317469109751664,-0.308677790898805,-0.0466037027696318,0.183341616187706,1.08583755319862,0.892740324373689,1.90184377857021,-0.0611998066577548,-1.27763241077967,0.289773491336671,0.382830950478945
"MSSA_Mig_1 (GE) - TPM",-0.754784504964182,-0.548229013603358,-0.656645142514925,-0.722146029467517,-0.763612295506699,-0.726432527756774,-0.721539308792152,-0.603858358216052,-0.179211081440311,0.327412998187178,-0.824713789971709,-0.527237820994576,-0.460034705726147,-0.551004840607593,-0.742346024254385,-1.07814244483011,-1.14136051042687,-1.4325577640884,-1.24765443891672,-1.14344411752188,-0.173582976434718,-0.0235350676927538,-0.481922776917947,0.0596511903321953,-0.328990582630585,-1.13486471579628,-0.833411156585236,-0.825943322502735,-0.940307937151467,-1.20531702882441,0.0051901223247187,-0.166666666666667,-1.15971860732561,-0.427387080152243,-0.548935442484737,-0.366972481207073,-0.444590020066719,-0.625782358070216,-0.759252625050136,-0.678507597798771,-0.742746570108631,-0.677260436133247,-0.467300418048868,-0.218279236353762,-0.334408292641966,-0.27621181680866,-0.224471035943066,-0.274512043421578,-0.295329178235613,-0.197256257817738,-0.0686487051397218,-0.186810426224256,-0.443943801278352,-0.269040752176856,-0.194820839169515,1.01148546715746,0.115567262096854,-0.0322978652509058,-0.612857872629532,-0.728366723577166,-0.805655515816863,-0.980731558923297,-1.02952171311906,-0.566791527715736,1.24904176934996,-0.38607815572144,-1.24958164652184
"MSSA_Mig_2 (GE) - TPM",-0.675624538344482,-0.575867476324707,-0.700615587766399,-0.749599911308588,-0.58688097049102,-0.649176954039582,-0.575195002030388,-0.891925643392727,-0.45818868490809,-0.896562057540979,-0.8373195785679,-1.12354252331155,-0.942388063519806,-1.08676407573374,-0.681676805346973,-1.36790225519734,-1.26507586859018,-1.28246499634088,-1.11693684108345,-1.1984089837186,-0.347357738874043,0.147972576770207,-0.584966390963951,0.37427811197692,-0.292103271732691,-1.04735643458319,-0.927962690481163,-0.947388603454473,-0.948903453248257,-1.22694147081334,0.1324474171168,-0.166666666666667,-1.27806130841521,-0.537899354848889,-0.575069094783249,-0.0607103496777801,-0.505369954226641,-0.741107286389424,-0.796655692627507,-0.783340540241602,-0.840759836625984,-0.703587354668688,-0.594615142321651,-0.17875159175222,-0.363003613346068,-0.372586202579341,-0.235640994892052,-0.256637360070215,-0.264927847717062,-0.0916532847294363,0.0718836895387655,-0.178001078699308,-0.348160417608794,-0.211374076486024,-0.199152806638001,1.20767808102248,0.0214613033453477,0.114609573701723,-0.697330896036156,-0.779716853719868,-0.825688276621449,-0.90555142128458,-1.35086986897327,-0.59782401225608,0.434160507780007,-0.808267938110567,-1.37308582566019
"MSSA_Mig_3 (GE) - TPM",-0.665969688545325,-0.530676642315664,-0.491089652572575,-0.435539172108176,-0.797890874482649,-0.855638133738278,-0.778734203360834,-0.602924366214274,-0.309634667806315,-0.770285663980183,-1.08560564445217,-0.38692643489193,-0.879109756176783,-0.370531589090651,-0.718755530177057,-1.15918774368407,-1.30605050784411,-1.15459636082029,-0.735955941667099,-1.31942287964889,-0.295989282089603,0.107189225421798,-0.119353087530867,1.07241112275631,-0.38653297696145,-0.72784545517926,-0.591815790554061,-0.799320227002409,-0.891470057746388,-1.15487753037287,0.0857482015943879,-0.166666666666667,-0.797318266160006,-0.334729632475779,-0.317857326226481,-0.130778100526441,-0.403959367609172,-0.604817906771126,-0.651276677528533,-0.74140294048283,-0.78606002605891,-0.672453145311302,-0.656994219552192,-0.187688284090573,-0.427727701134883,-0.102246116464925,-0.230590738548882,-0.303254926092514,-0.142634119327407,-0.234815689538415,0.176130387439445,-0.140650048689751,-0.326173783041402,-0.287406256122441,0.435640650166388,2.08575813346456,0.445067939036376,0.197996390928963,-0.66066215967829,-0.780153059230279,-0.797026194571263,-1.04390014050181,-1.10967504278717,-0.606270082596938,1.50186315791279,-0.449668756061902,-1.31135730645038
"MSSA_Nd_1 (GE) - TPM",-0.59493899942146,-0.51731113918485,-0.498959334032092,-0.449863459179012,-0.74016276866901,-0.514220186360689,-0.663081992141877,-0.744986642769631,-0.898716749883957,-1.06166738297093,0.00557649596773601,-0.276625344643339,0.299225853880063,0.256569272348593,-0.53080835421821,0.0641675645283587,1.56618915390081,0.737952400946817,0.027698083472538,0.0822385871818948,-0.225230223588301,-0.128461743671839,-0.106057367125725,-0.503985538459024,-0.519687225855348,-0.899123242528663,-0.914437257659127,-0.833349398256698,-0.788912348423937,-0.649685866726441,0.511126367184311,-0.166666666666667,1.91498816722694,-1.22361035736836,-1.17023437389061,-0.049484471541528,-0.288561381646762,0.533847872329626,-0.351051055339487,-0.246354785038595,-0.294098942506554,-0.515926647656367,-0.430799310157867,-0.199040897972752,-0.0107002874832229,-0.302103620052208,0.0337120185527581,0.204332344358262,0.254303628410993,0.304018472380387,-0.646323708584631,-0.154300334911527,-0.739108345317979,-0.285166676882802,-0.935852214944517,0.234114963863138,0.279950776661176,0.686032686063953,-0.598810425998979,-0.515573772001765,-0.0505327592420964,-0.18421442318176,0.153042708243292,-0.6027227557228,-0.169374868579358,-0.408688988048375,0.141726263303581
"MSSA_Nd_2 (GE) - TPM",-0.621134111951989,-0.345146912296647,-0.687648943042645,-0.134163822259895,-0.777724012131584,-0.605266932210118,-0.606392825082534,-0.743519444696009,-0.766434746085433,-0.822287114532526,-0.909159400399309,0.46353009923653,2.50532939686861,0.216032353895393,-0.420302855280937,0.520016130904853,0.312013690747382,0.5795472905716,0.154142436376113,-0.263435525845688,-0.241913141594432,0.649899161852816,0.281185468377799,1.10190293652159,-0.788498442825677,-1.03219662605059,-0.73896544004287,-0.64720722632488,-0.590948284574815,-0.138697368362636,0.812402540509182,-0.166666666666667,0.808494832343082,-1.27192930742971,-1.28996523459423,-0.308152670161171,1.30437574415726,3.50452575617377,1.41470427276208,1.29548884568064,0.725291737363694,0.229701193453868,0.435977527259225,-0.0610988562146221,0.067919504959329,-0.0214909293001956,-0.140910465844894,0.256970763106889,0.0380756463099073,1.3157388068166,0.0462371707940524,-0.0777688818133134,-0.624023583624364,-0.288960171022015,-0.851073383247161,0.491195144349683,0.0410106028184647,0.221130284394292,-0.491586740333378,-0.418892570854294,0.782122750128248,0.00195264395607293,0.0606159649532477,-0.550404460530762,1.22210114186326,-0.477481143648103,0.525764918633296
"MSSA_Nd_3 (GE) - TPM",-0.67455345848232,-0.476260236617943,-0.737598347879727,-0.486891426047105,-0.307805285421561,-0.9557314106244,-0.730646284480074,-1.23344712653627,-0.848846410243108,-0.203206447481509,-0.841654853435453,-0.0626401420434536,-0.11187157463214,-0.444387373394026,-0.636252051697431,0.763479964730617,1.62135747945473,0.886527345065881,-0.000940561545812441,-0.0701268276438031,0.00469180324181819,-0.210489159003946,-0.182196086027875,-0.78275127950154,-0.790677625168188,-1.11663689348705,-0.776998184311879,-0.743815439242953,-0.676898661123387,-0.529455918741715,0.969456243083172,-0.166666666666667,1.62032787447345,-1.13563041655348,-1.05274302785759,0.511156763100908,-0.122803030718721,0.565069992914905,-0.208409607642247,0.0908645340236038,-0.47148665422062,-0.425346880949518,-0.527032416519306,-0.217623892619551,-0.0741420601341022,-0.248902823958378,0.171007644316225,0.255069653409322,-0.117816578212379,0.459479610908061,-0.336379698431054,-0.220066014702677,-1.05598149678539,-0.234555001654386,-1.21819158342152,0.554138557444591,0.887428154781214,0.833205431728175,-0.528572242407629,-0.545947952507904,-0.125069137365306,-0.36099246053734,-0.253447479303928,-0.609423723499275,-0.597553735820572,-0.850505420653097,-0.0187838168264761
"MSSA_Ns_1 (GE) - TPM",-0.618856168789676,-0.566884540279966,-0.348740268884776,-0.555612216575679,-0.604493417422578,-0.660525978495928,-0.515963617894137,-0.768612262436545,-0.771507434527265,-0.525974383278442,-0.46518541362857,-0.903117303224575,-0.681942953362714,0.218940584122228,-0.338044284321741,0.516912301673708,-0.190986471994617,-0.276469114419019,0.0450539279379422,0.295059149913026,-0.4637027566982,-0.533004047891136,-0.451832685264724,-1.02721287758196,-0.180186935733851,-0.563618894733468,0.0603240497194247,0.428445229340454,0.744574848318844,1.23465086520173,-0.572210986331236,-0.166666666666667,-0.475809745941513,0.00330749419875496,-0.167461600110676,-0.145601063479453,-0.956541031356317,-0.716923900718599,-0.818272201299668,-0.812598130855313,-0.877729029797392,-0.75892124553541,-0.693383185646999,-0.513976877103895,-0.207610297441319,-0.678083373656438,-0.750716058439186,-0.347461015100317,-0.447285401442564,-0.575537013531144,-1.52381624424301,-0.358245423562704,-1.34523415295819,-0.316138277046485,-0.618877064392104,-1.36093933420074,-0.754245457233525,-0.478873188154341,-0.454209619439167,-0.653944043285275,-0.542963018834442,0.115719068503263,0.217293724559093,-0.555756368728153,-1.05605652480531,-0.623808620115707,0.52094738634421
"MSSA_Ns_2 (GE) - TPM",-0.622604213611715,-0.566120176950565,-0.330784047081281,-0.699111481083625,-0.736544608229007,-1.17151864643823,0.0561482084586098,-0.424884144697387,0.559720465280704,0.523279290355316,0.371966258312184,-1.05039551992998,-0.238340111959165,-0.461815759775281,-0.421842997551529,0.152898339568785,0.173982485531442,0.231878599364187,-0.431472016128473,0.219558777539871,-0.321208298926231,-0.272970929699302,0.0246251337931719,-1.19272997397464,-0.358742864232447,-0.597222366963314,0.13632253853827,0.219944377338769,0.51737772420684,0.556897552775689,-0.456787350487514,-0.166666666666667,-0.264363778625579,-0.389971662814888,-0.108349929530844,-0.807884928274559,-0.666663932998706,-0.663982183603933,-0.720311837733936,-0.712507424292678,-0.824513581492071,-0.818954208932103,-0.765614885277244,-0.582219156246496,-0.350229519459745,-0.586324099159466,-0.690118512625717,-0.263533672411409,-0.432295288541956,-0.439369387626053,-0.978466800772003,-0.24084091164717,-1.4665188160897,-0.313518421794815,-0.317963493402593,-1.08955990025852,-0.758570887834054,-0.673444853347243,-0.536621697230141,-0.385510623289567,-0.484774437454904,0.0648105278366882,-0.110506770847361,-0.598202736870622,-1.81138532178964,-0.422747143338316,0.16164532092093
