"","E2348C_RS05115","E2348C_RS06125","E2348C_RS26765","E2348C_RS08660","E2348C_RS08665","E2348C_RS09400","E2348C_RS27250","E2348C_RS16040","E2348C_RS16050","E2348C_RS16740","E2348C_RS16775","E2348C_RS20125","E2348C_RS20130","E2348C_RS20135","E2348C_RS20145","E2348C_RS20150","E2348C_RS22710"
"EPEC_Oss_1 (GE) - TPM",-0.614851295223074,-0.654898415879171,-0.512984784064531,-0.759995078776219,-0.847196456412684,0.252829989734948,-1.08743900445853,0.086518727647079,-0.722078853810741,-1.05642071807113,-0.588915257388499,-0.73837315124871,-0.780395050159908,-0.851499230203,-0.508634877302758,-0.298072801796508,-0.636963063016388
"EPEC_Oss_2 (GE) - TPM",-0.573507341265554,-0.42828583403333,-0.833680794252337,-0.764157139761019,-0.889763953655428,0.783975521855374,-0.996112059761889,0.150067391138949,-0.176773294543354,-0.696476298485794,-0.697711428798382,-0.683767717513261,-0.796738614834868,-0.833582139377018,-0.343748225255657,-0.240564180459997,-0.393130932720417
"EPEC_Oss_3 (GE) - TPM",-0.268695511849449,-0.801402198754044,-0.203576305516754,-0.753966896952135,-0.800441208887533,0.0585464389470412,-0.983453647950127,-0.37177915012217,-0.183953993647358,-0.821611161522875,-0.629152615359652,-0.574786244197248,-0.729306717762518,-0.785010210190022,-0.0826836570852541,0.198175760410533,-0.69606470342834
"EPEC_Oxs_1 (GE) - TPM",-0.707056774547899,0.210707174107568,-0.912639581609492,-0.622958425383762,-0.781777959566301,-0.916450139350845,-0.298981407245587,-0.576680709520061,-0.611944812617391,-1.03075059893066,-1.01187571438564,0.0117742873382587,-0.519302649937653,-0.53395206442148,-0.821433194450086,-0.719498972118332,-1.81490208622654
"EPEC_Oxs_2 (GE) - TPM",-0.629596441561736,0.30436449692808,-0.880950455467478,-0.58638792178414,-0.680276524629436,-0.879055547252365,-0.0820569049439226,-0.647120917437451,-0.597020798780016,-1.01822426515831,-0.86024627200627,0.469081137044115,-0.483466866985484,-0.40377092323755,-0.625568265328597,-0.52778589419817,-1.01378990879688
"EPEC_Oxs_3 (GE) - TPM",-0.727581284294197,0.51742953944694,-0.912639581609492,-0.407298282514993,-0.636184577635227,-0.815227921759631,-0.110792241711893,-0.647120917437451,-0.666583907252151,-0.90775364085064,-0.999260051287603,0.910204949664173,-0.303822385523068,-0.283919024399103,-0.51186346677798,-0.584230044692043,-1.43624463362198
"EPEC_Sp_1 (GE) - TPM",-0.433261929202163,-0.174227679206284,-0.912639581609492,-0.703535757957114,-0.814702914099673,-0.983068794904025,-1.5768756365288,-0.647120917437451,-0.722078853810741,-0.255283014660474,-0.251663351044899,-0.85400277314573,-0.820126031893508,-0.933030200975765,-0.934259069225523,-0.896869971032462,-1.3720903946163
"EPEC_Sp_2 (GE) - TPM",-0.718196082682886,0.952459311602254,-0.641271432221479,-0.801820042903241,-0.866966227914502,-0.983068794904025,-1.97848104371637,-0.647120917437451,-0.722078853810741,-1.09629683189203,-0.737804916909301,-0.915633732205959,-0.834638110182046,-0.946493042898402,-0.935532419200357,-0.871723308559141,-1.60509461295562
"EPEC_Sp_3 (GE) - TPM",-0.857754790089362,0.196150038480092,-0.912639581609492,-0.744406484740951,-0.867898696244662,-0.823504971893835,-1.4914625197343,-0.647120917437451,-0.722078853810741,-0.907477358693311,-0.818157834202229,-0.86475284188759,-0.834881214037049,-0.936274461517371,-0.931937652189691,-0.861156117908557,-1.12512005796982
"EPEC_Tm_1 (GE) - TPM",0.499022670589549,-1.04547757724035,0.971801306887075,1.35270351984559,1.34547940672294,2.19080336811648,1.40558566496407,-0.224325320397178,0.434750904598697,1.77136882303435,0.393394615529522,0.983868563334158,1.26436406901095,1.17033946236612,1.06000082064211,0.440904377996063,0.804071464796579
"EPEC_Tm_2 (GE) - TPM",0.0485521609792634,-1.07227709945975,0.262220062175665,0.957036568696233,1.20893052433466,1.3232965641683,1.74324334876648,1.22577693126524,1.47414346813638,2.1225647559087,0.793465506792451,0.844902698990201,1.04810113957586,1.26302614525079,0.806640166377037,0.563177031314254,0.644808307246332
"EPEC_Tm_3 (GE) - TPM",0.244732173949943,-1.04339500776275,0.256681992555029,1.3180505664121,1.78421431696942,1.68225430917156,1.45448244943175,2.14035316768356,1.45704437301384,1.66649001533682,0.817444392415934,0.804372181962523,1.14521175108025,1.96168823157129,0.916994131247452,0.652241430589308,0.634245841736693
"EPEC_Vic_1 (GE) - TPM",-0.41639757025338,1.23569351540178,1.49034066621833,-0.178136807417915,0.25571015989234,-0.00995982781295713,0.0103574313356621,-0.647120917437451,-0.722078853810741,0.924085392001669,0.65867902770035,-0.473360788234598,-0.0412629793337468,-0.14650831522551,-0.0549260039378493,-0.386966518347724,0.567368199406191
"EPEC_Vic_2 (GE) - TPM",-0.578893381542156,0.462682056489495,1.97929909094915,-0.132065521257502,0.369255493462411,-0.281939429552001,-0.735069152047212,-0.647120917437451,0.347866906465184,0.00494523740380005,0.853969226180347,-0.598777047349793,-0.0364800412397095,-0.153648501335098,-0.125350042712965,-0.50156037879326,-0.0068310900573662
"EPEC_Vic_3 (GE) - TPM",0.050659330229368,1.32809993666777,2.62013401863512,0.10165325103899,0.162412083039264,0.268731740417594,-0.510104449835182,-0.647120917437451,1.02063958396096,-0.974258141648608,1.59949259181952,-0.48250218225046,-0.181626738873624,-0.396760600058394,-0.435515910861973,-0.457749746180879,-0.564637230813219
