"","GBS_RS00695","GBS_RS01115","GBS_RS01315","GBS_RS01660","GBS_RS01980","GBS_RS02190","GBS_RS02710","GBS_RS02925","GBS_RS03640","GBS_RS03645","GBS_RS03650","GBS_RS03655","GBS_RS03660","GBS_RS03665","GBS_RS03670","GBS_RS03675","GBS_RS03680","GBS_RS03685","GBS_RS03690","GBS_RS04350","GBS_RS04355","GBS_RS04660","GBS_RS05575","GBS_RS07745","GBS_RS08460","GBS_RS10335","GBS_RS10415","GBS_RS10420"
"STAGA_Li_2 (GE) - TPM",0.345267003348062,1.0290161534608,-0.714788387420374,-0.426662201826555,-0.66011217059303,0.219383715595675,-1.14694144067679,0.424233733757559,-0.580835376836729,-0.94040237319841,-0.931205457416979,-1.02168237584703,-0.628994000887969,-0.810461199497978,-0.859866571580169,-0.987990337178223,-0.814964179443156,-0.883634853584497,-0.716116854532209,0.0452667197967877,-0.289548430178963,-0.604590532045955,-1.09819367923976,0.30390204465552,0.530421404360291,0.598219656906157,-0.325245627981656,-0.541899466369738
"STAGA_Li_3 (GE) - TPM",-0.80102698784784,0.803928638424426,-0.586380162706169,-0.633691386809534,-0.392125759966167,-0.153631912596057,-1.08041124554601,0.185842070538479,-0.322929306608021,-0.609856438619864,-0.63180142545801,-0.774291989272168,-0.785300954477432,-0.738010093832779,-0.579977580803931,-0.759736226702252,-0.912203434092623,-0.706707069600772,-0.519932255565402,-0.403517667913645,-0.384811681974967,-0.672206823276238,-0.9861915456605,-0.73107091093715,0.0401744479073662,1.00485047711947,-0.240384226987629,-0.187928693372531
"STAGA_Mig_1 (GE) - TPM",-0.0816859687670198,-0.91687606810751,-0.579390807176182,-0.956592972541449,0.933183534455201,-0.952015227612272,0.307432770691463,0.792323502931857,-0.534001782812839,-0.119370800685379,-0.462392197410572,-0.0306418909084369,-0.283935239256238,-0.171633738546468,-0.270936096215973,-0.273817857020118,-0.0752058488784655,-0.24339664000237,-0.185593333626233,-0.881929672875399,-0.72245307095314,0.200332385868586,0.565705557188326,-1.06421283836207,-1.48595720057749,-0.377906244603968,-0.919702616450163,-0.560224792207351
"STAGA_Mig_2 (GE) - TPM",-2.10135052897615,-1.31725959747153,-1.67571694458319,-1.3074297245906,-0.801559723751585,-1.30220378679917,-1.01880904601601,0.942999216647555,-0.970747895178594,-0.796019315490642,-1.3219530138944,-0.93167389508299,-0.933262879674924,-1.16359282192622,-1.20238255118,-0.83660693233253,-0.813208804992592,-1.2369115860079,-1.22376897184555,-1.62250539131004,-1.4877141597497,-1.76107891636961,0.347787549360538,-1.25738532039553,-1.92449229913081,-2.02529491907241,-0.469970067249175,-0.895515855479108
"STAGA_Mig_3 (GE) - TPM",-1.17916310666787,-1.30033792216754,0.00421645054487071,-1.12190029743198,0.262753551334833,-1.27867797496656,-0.778683740708239,0.699770652524588,-1.07076388575761,-1.10567633193493,-1.40409866766085,-1.10741578069781,-0.892727830880158,-0.933416418328253,-1.03211453468879,-1.1623984772773,-0.728826200053658,-1.08213528688763,-0.804155997760589,-1.55354550597606,-1.41687628407091,0.119240391529269,0.222246028087056,-1.14415766746393,-1.6349950191281,-1.83694002326127,-0.75385050725686,-1.99198644812995
"STAGA_Nd_1 (GE) - TPM",0.863437415139022,1.07940645640402,0.847848635447707,1.71324969693596,0.416655912631611,2.17516394121968,0.511524941157095,-1.64658574356679,1.49288196825362,1.05918656107251,0.932967117171955,1.3504400521461,1.70361842742164,1.11691583832273,1.36327114802177,1.02893713131387,1.20867445530629,1.33015315948808,2.25536224613796,1.4378520418422,1.9498917075936,2.30581048031171,1.41495052430088,1.64251683942415,1.3044710091353,0.542225328525269,1.99299936466083,0.862192350950002
"STAGA_Nd_2 (GE) - TPM",1.08573461078328,1.13446574670024,0.897231641536468,1.69065459900585,0.719675915633892,2.12396852912495,0.521995034260391,-1.73427279899329,1.47966794683272,1.14506686896438,1.43172039269742,1.32394504851832,1.46001547955789,1.04043851184995,1.14104498551554,1.000584799219,0.882064917224843,1.09880523655169,1.72570643199622,1.05602912772369,1.93155606924289,0.834343297840805,1.58227573486621,0.411937745794584,1.00795837449213,0.344195625595393,1.3255485573879,1.20477210484347
"STAGA_Nd_3 (GE) - TPM",0.863154903239684,1.49454885328338,0.916933330501359,1.80961118732023,0.319258043429219,1.80719808141688,1.15476644368487,-1.69845102469535,1.89081956768415,2.42922523346048,1.73134891676179,1.32970328976189,1.90991487903473,1.37900181697855,1.49310318024141,1.24237750730405,1.36290043349681,1.72721280936026,2.25845392962271,1.20154879205622,2.10391026644978,1.65727617690891,2.01957361607053,1.30741086193,1.9067581849437,0.460052062617787,0.321783851369534,2.75090520847744
"STAGA_Ns_1 (GE) - TPM",-0.0639771345627419,-0.15707468305349,-0.449910620813145,-0.493934022214113,-0.975529147894882,-0.503245710803639,0.10234746139566,0.323497708222188,-0.380236911168151,-0.48708612014417,-0.202757781122339,-0.284990684743528,-0.248602071643256,-0.353133922330606,-0.342674142374618,-0.270800754005028,-0.15434603406226,-0.319186185578872,-0.336072781329582,-0.164667272830624,-0.0959621137016571,0.187437371685102,-0.660423145615465,0.0911836576738253,-0.533171348284435,0.314260299647118,-0.266370184128299,-0.506732372804998
"STAGA_Ns_2 (GE) - TPM",-1.09103721121943,-0.364477936032248,-0.00642613862456084,-0.731396464606027,-0.634723955047975,-0.8718695035324,-0.289299400715108,1.61617859685895,-0.609620243534625,-0.736120511040549,-0.814252019636198,-0.734904726920408,-0.611575290355111,-0.725233784259218,-0.669921549158615,-0.683728226329869,-0.509634144376544,-0.833490511848223,-0.725336506754027,-0.185669334915337,-0.252133226683379,-0.57482872872391,-0.996518088892607,-0.14403177162398,-0.454862870337762,0.0241856041736681,-0.611162848261653,-0.635038048561617
"STAGA_Ns_3 (GE) - TPM",-0.517511966261908,0.19010731843338,0.466345641453358,-0.38188781822933,-0.111170274635744,0.138416017562852,-0.724437032745034,1.60692293856514,-0.302864151677976,-0.600781081282094,-0.941968144536288,-0.465772716093978,-0.717846375353566,-0.775524072311457,-0.65026944314489,-0.648357032065488,-0.66911897689483,-0.777637265272083,-0.866952474650952,0.101203701815712,-0.24951507827844,0.180321887760204,-0.372174718333498,-0.216613357476535,-0.108679655774839,0.0374858708678849,0.349728682182985,-0.114831221057182
"STAGA_Oss_1 (GE) - TPM",0.14990564141369,-0.72657456287068,-0.51786816201619,-1.24563479228892,-1.1354836125953,-0.689301498498493,-1.72794307887906,0.692566715589389,-0.488337070522316,-0.744681261878065,-0.515651242326279,-0.99051177884727,-0.871126885051632,-0.913824708162258,-0.914741311330355,-0.870946842712183,-0.671293852257254,-0.789119568182138,-0.727357444719179,-1.01248487442176,-0.745141530050295,0.233790386220672,-1.01870279166053,-0.368621448352192,-0.29021547408751,-0.745403899715892,-0.402345799051255,-0.0693341281349915
