"","VC0020","VC0156","VC0206","VC0295","VC0296","VC0321","VC0328","VC0329","VC0362","VC0535","VC0638","VC0698","VC1025","VC1220","VC1289","VC1300","VC1451","VC1595","VC1623","VC1624","VC1714","VC1718","VC1764","VC1840","VC1910","VC1984","VC2021","VC2064","VC2259","VC2260","VC2342","VC2389","VC2390","VC2412","VC2413","VC2414","VC2458","VC2503","VC2587","VC2588","VC2589","VC2637","VCA0011","VCA0184","VCA0287","VCA0444","VCA0516","VCA0517","VCA0518","VCA0521","VCA0586","VCA0653","VCA0656","VCA0675","VCA0676","VCA0677","VCA0678","VCA0679","VCA0680","VCA0725","VCA0811","VCA0814","VCA0815","VCA0898","VCA0925"
"Vibrio_Li_2 (GE) - TPM",0.0852665765966916,-0.646043246538927,-0.958215753818753,-0.538754959293551,-0.306561350959303,-0.456666175769234,-0.598826638288798,-0.318831214376022,-0.024347938435949,-0.641909476423022,1.96039848976593,-0.635926281075692,-1.07203224746232,-0.872103147355463,-0.543889559407522,-1.02937800989375,0.362625380399486,-0.503552857076176,-0.340813558831846,-0.194420974579349,0.308796719135156,-0.758205822770893,-0.0212183455702031,0.223557028055395,0.775410648424506,0.292931592336657,-0.715538538325183,0.487879200226051,0.0906003326161108,0.532709997326749,-0.686433808243673,-0.651665705194927,-0.609958940021204,-0.635645609860306,-0.0903843591396571,-0.147852264664105,0.0700027258447506,-0.342216107739042,-0.598528393353853,-0.576544795730088,-0.571724703134288,-0.310968793195737,-0.874316103795545,0.35070023219074,-0.306073474229223,-0.648216455066354,-0.474496370401296,-0.541745815146532,-0.557562977402476,-0.122682288735573,0.168823249147742,-0.635807426483773,-0.678659924212107,-0.503615739346232,-0.624125614329822,-0.589548317441454,-0.460220638352618,-0.605069467288389,-0.668879398398805,0.471368245784423,1.64166306532986,-0.953766693678076,-0.925636680771218,-0.185448354422345,-0.847139817001795
"Vibrio_Li_3 (GE) - TPM",-0.29298744693258,-0.474237630517552,-0.660180529658351,-0.690818509986303,-0.370087696997245,-0.213769488712171,-1.02057295242343,-0.787633110151679,-0.471368736276156,-0.577844025301219,0.508948943917847,-0.851192427791803,-0.315983344431865,-0.983075359813671,-1.14551132723497,-1.12992376718025,-0.22883969687037,-0.372453037667173,-0.734268512159796,-0.677543257786634,-0.398897550767092,-0.570826159566593,0.401005851317651,0.2921997026613,-0.068032658981936,0.136192012172309,-0.96949769913656,-0.128507767361222,-0.500969180775324,-0.441217808597037,-1.05525238375825,-0.576248957730918,-0.623829816419042,-0.735651975709473,-0.529655377799584,-0.562820145267007,1.40469127153315,-0.959469570067372,-0.92944152575421,-0.846836609726695,-0.811723160294044,-0.302960238410333,-0.662491153600578,0.342959868497326,-0.673356827655896,0.00909043880672631,-0.351506149453391,-0.579399906185731,-0.61981488408734,-0.40245447826611,-0.601470649075751,-0.250714223847722,-0.500148782816424,-0.275878484486236,-0.652316232656199,-0.869333726801344,-0.595961658768593,-0.567509662135971,-0.801129212226404,0.0208332058074307,0.270565871136951,-1.55801356217721,-1.23633796559145,-0.888984899432978,-0.903521313979038
"Vibrio_Mig_1 (GE) - TPM",-1.40489683556464,-1.59112300604626,-0.0119094258958604,-1.26131620992388,-1.31434427459602,-1.05570083404369,-1.07240928590026,-0.833401310612813,-0.904614061030394,-1.31409750128749,1.22131620472407,-1.1893285209204,-2.10496787862951,-1.6211762783938,-1.44294426094223,-1.17731030435122,-0.749757011909773,-1.04255716393687,-0.765252384573713,-0.84730164650789,-1.97887637797738,-0.0993489646239088,2.88309493109831,0.820087414360708,1.19791076347583,0.636334538588275,-1.16240151867595,0.298902178521046,-0.952468034857064,-0.885904973114342,-0.984272384047387,-0.8650054468407,-0.906664547052549,-1.16447652108874,-0.910649482308035,-0.990218613432524,-1.2077254639007,-1.37618747560905,-0.709324463143158,-0.969634595772636,-0.944013398217766,0.363687293590764,-0.676042938692615,-0.443277447094503,-1.39588706376262,0.0727210496458694,-0.759801226960741,-0.770216169869268,-0.743377216043351,-1.25978829684402,1.07803063705128,-0.840224910560488,-0.659541229418051,-0.685330981755151,-0.716784071204685,0.168695528979211,-0.706182696021186,-0.614959039192647,-0.637680105024902,0.517391595348693,-1.68761681944752,-1.58239330482856,-1.65144545741237,-0.334111162638363,-0.993553682186847
"Vibrio_Mig_2 (GE) - TPM",-1.3608711890136,-1.47275744259123,1.52120517574413,-1.50547494900097,-1.23164930371862,-0.9924035395745,-1.01693364023663,-0.985340566991485,-0.890812348572686,-1.94453408046641,1.91569063758534,-1.15488840558966,-2.08929972104571,-1.79534456265163,-0.855585636080108,-1.60419138851199,-0.750858590846112,-1.09040315996537,-1.11282958316211,-0.806317765511957,-2.20751562261884,1.0838557754766,1.97191326859059,1.24366877697911,2.74886070277756,2.40491248849186,-1.47720076697877,0.434372023417139,-0.957761962317522,-0.96624971958399,-0.877461091814971,-0.806305821446135,-0.83745128975658,-1.31382820900361,-0.893221736025621,-1.01390150453031,-1.14546263325537,-1.45164982019084,-0.521499035260008,-0.882799815648018,-0.899841510457388,0.123928298354247,-1.10356125401074,-1.07655010380861,-1.04741036329151,-0.290710769465396,-0.681787531065381,-0.770216169869268,-0.743377216043351,-1.22527339387996,2.75346554327525,-0.532896300351408,-0.848606430725156,-0.499526452043992,-0.460602670839338,0.957975440025878,-0.696277053739728,-0.359503398061445,-0.194848287501927,0.919764023203697,-1.68761681944752,-2.19529984395924,-1.39392877668172,-0.140355730226521,-1.07170023290344
"Vibrio_Mig_3 (GE) - TPM",-1.47192808850143,-1.40267206067215,-0.566926537655293,-1.35716503506206,-1.55411949705623,-1.19261194405879,-1.04876743025034,-0.942856700719381,-0.955827554596265,-0.849641773259369,-2.45921777204367,-0.960979225704117,-1.54832451933718,-1.32238569381376,-1.41505485534861,-1.03661230926408,-0.827832657257576,-0.743695870351347,-0.261137811302485,-0.742758312095327,-1.1602722464686,-1.78731205447429,0.102591403995174,1.61674339334276,0.694906425222906,-1.01507960382161,-1.2358100830612,0.593748802412667,-0.929393968903128,-0.956788943496337,-1.06195219027553,-0.91149063988125,-0.914914371990306,-1.05912390059807,-0.923653187958904,-0.994799787495439,-2.22640899596991,-1.18733072977661,-0.887908983561266,-0.928915083814444,-0.898673417975768,0.634916433184091,-0.754907593019344,-1.18643775140219,-1.8152320851131,2.27480822060045,-0.812538664595098,-0.770216169869268,-0.743377216043351,-0.971790355432627,1.18163732375552,-0.955715226184526,-0.327988507257863,-0.694435679663671,-0.758373681612968,-0.571899947904792,-0.689921172444612,-0.848883364066049,-0.457673262912336,2.36469869726574,-1.68761681944752,-1.15305303284252,-1.79352048956509,-1.02619542398846,-0.958098557768026
"Vibrio_Nd_1 (GE) - TPM",-1.41362978576192,-0.566464044842106,1.02223237599161,-1.34747856268789,-1.17994906883847,-1.19051800125579,-1.40766731656434,-1.30632196133712,-1.35248360281009,-0.886518019022811,-0.306054632040727,-1.84396983745007,-0.36043318448616,-1.52920662555255,-1.12312987154333,-1.02567327613931,-0.677605703135802,-0.712324684623905,-0.960063169008637,-0.940862480124862,-1.32964126434858,0.335240660085574,0.149302900404583,-0.320202641001851,-0.105544805317314,0.25829194326538,-1.45477658961159,2.20920264560147,-1.02151971921401,-1.01375702412761,-1.36140360529328,-0.530047247965653,-0.304246686047817,-0.427733105454795,-0.941615232105145,-1.04576490164648,-0.422966539709418,-1.20437174712303,-1.16646110939396,-1.12666592052544,-1.09779522730843,-0.378524681315548,-0.377121363988287,-0.596930175714609,-1.22957853935694,0.366051476959355,-0.801936032280693,-0.741238111532081,-0.72548799647598,-1.60629724061445,0.0585511964673796,-0.825538527780605,-0.531996050253595,-0.0509316783344188,-0.594107356281599,-0.376440934026581,-0.574802862974396,-0.523675427405862,-0.591921743617917,-0.831780653499463,-0.344911971121287,-0.873362254114584,-0.715888201103236,-1.399663441434,0.155627274310402
"Vibrio_Nd_2 (GE) - TPM",-1.46891687862119,-0.594450174200133,-0.70501515331189,-1.36663776940466,-1.31488994338689,-1.21024728111557,-1.39193989887214,-1.31547187707588,-1.34154796125998,-1.08643053014033,0.175441040799197,-1.78573223338323,-0.0987755270195985,-1.46686099113763,-1.45481183749933,-1.00758063348413,-0.824089705340269,-0.922231247995241,-0.857344040824451,-0.909028959580257,-1.07096159457478,-0.208036657641064,0.387265109428644,-0.540678781921599,-0.409862207289536,-0.0434763766894186,-1.50671992774546,2.06940387075686,-1.05262263137087,-1.09419176637986,-1.34069355831243,-0.658783440318479,-0.6540635731474,-0.736118589389562,-0.936084419968816,-1.05388367846045,-0.00931473298133252,-1.25037851829074,-1.11171736091078,-1.11369422506693,-1.09513655385821,-0.399672285606157,-0.14027684695176,-0.178842486063403,-1.59188615442157,1.05506917956785,-0.741225430497452,-0.745997336659581,-0.732477472133911,-1.56990969779882,-0.253494414308619,-0.900360844522383,-0.791990917708913,-0.432515292905396,-0.832601111772746,-0.741279636326049,-0.573689757659401,-0.389726610112427,-0.0859560690435576,-0.356114891081125,-0.332395317417259,-1.28023404856645,-1.14037404540889,-1.46612106204099,-0.550493144077348
"Vibrio_Nd_3 (GE) - TPM",-1.45303984990439,-0.579195183030479,0.631156502536597,-1.47979449660453,-1.28956993540096,-1.22592391896046,-1.38656552173864,-1.28982306765388,-1.38377881768642,-0.987653095800399,-0.217081374398386,-1.91275154310726,-0.618384299720165,-1.49178114982539,-1.22769875312279,-1.13485060195528,-0.610977147508519,-0.345914584002577,-0.834431565615799,-0.853081963114163,-1.0432820179592,0.548461554768834,0.241635587926053,-0.722883984212033,-0.394191137980133,-0.223186082388529,-1.3584123183753,1.84744367001623,-1.05261221588997,-1.13010756107799,-1.43830821043773,-0.721848861899349,-0.771789999790336,-0.634415451317039,-0.948421853763876,-1.03807977128136,0.62778700579204,-1.43710375539662,-1.22740861222397,-1.13650850007795,-1.09010534159417,-0.379063177470235,0.0570223370246748,-0.879054063737428,-1.67791158221046,-0.0654376657433873,-0.739554941088208,-0.755753809052395,-0.729817174097426,-1.53140020876295,-1.05418043146595,-0.672058193624071,-0.576536995702009,0.995699225242785,-0.587280148989072,-0.25618183543303,-0.399274360737713,-0.311977987928874,-0.0640512381359862,-0.627755997028648,0.352338062558359,-1.13771716250042,-0.840010499195896,-1.4199740200346,-1.3214298418368
"Vibrio_Ns_1 (GE) - TPM",1.07505894723404,1.23729558402709,0.568832368807136,1.33177398934647,2.14343379865148,2.0576409490158,1.0603492107696,1.53604834816645,1.86698989989051,0.870801817253608,-1.76489626735519,1.42490546768291,1.67763404981173,1.17573301995701,0.471972270104475,1.82765288079299,1.47166496850585,0.552780351049096,1.78487607732377,1.31122194123062,0.874685860799686,-1.61706005203224,-1.32479090212855,-1.6509100641625,-1.8528415515019,-1.49972455105762,1.43295732690714,-1.52343643077777,2.15684858977782,2.04819539315059,1.67478015838623,1.31994527904488,0.325375760633854,1.01276167421877,1.5486502828753,1.60297735115098,1.44481678998395,0.757880607597406,1.82209937687295,1.48784906740732,1.62606211609342,-0.379041995869119,0.844387076445731,1.95100679974458,1.31227245354219,-1.25091745125052,1.11069925829631,1.43932388315814,1.77677905415762,0.375810779163724,-1.56567931634225,1.40922203651029,1.17229394026593,0.265668174918152,1.00055557494691,2.11664927598355,1.52284436577728,2.43759125227771,0.781686643789608,-1.23397891584051,1.64427154103529,0.966963299040342,0.792305777030261,1.84252298659759,0.0029778636250142
"Vibrio_Ns_2 (GE) - TPM",0.789876438590157,1.15482167120451,-1.1271354262845,1.06728384481895,1.7450360496884,1.3284034373076,0.796541741626299,0.972817687920535,1.36048666195551,0.76181941611564,-1.30513538591743,1.13551086922229,0.913285725376921,0.984572792070665,0.352090464278144,1.2509036852689,1.51046984039283,-0.443594989501251,0.855317175588862,0.718506847418505,0.309381710332189,-1.30339782550018,-1.39418548611136,-1.50366138004879,-1.55041021513394,-0.743122586076141,1.32369938123564,-1.48635370955569,1.45823677879042,1.87730124914192,1.23996145855602,-0.546937575740849,-0.674146808139197,1.00665656274955,1.25867278362915,1.2656859392794,0.0289395790053406,0.82247273111798,1.19076514560684,1.11246945653538,1.56917306717689,-0.362906264238685,-0.76371663287102,0.275821172160199,0.449930111739845,-1.2282239105062,0.388016993135008,0.378195750333351,0.787550537125431,0.0567714439073754,-1.31104199039485,0.219340948396151,-0.100676429194685,-0.957332502914237,0.14985644582167,-0.140279064271897,0.0720402868220889,0.676264311125074,-0.164113635751368,-1.17696539420767,1.12208330603831,1.07163185042517,0.668044471137437,0.88571864195538,-1.14364307390371
