"","GBS_RS00845","GBS_RS00850","GBS_RS00855","GBS_RS00945","GBS_RS11130","GBS_RS11135","GBS_RS01240","GBS_RS03780","GBS_RS03785","GBS_RS04165","GBS_RS04500","GBS_RS11300","GBS_RS06155","GBS_RS11320","GBS_RS08305","GBS_RS08370","GBS_RS08375","GBS_RS09370","GBS_RS09875","GBS_RS09880","GBS_RS10155","GBS_RS10160","GBS_RS10165","GBS_RS10170","GBS_RS10570"
"STAGA_Li_2 (GE) - TPM",0.409841712150108,-0.258819158565282,-0.645796617406316,-0.638789962876271,-0.0488249230340775,0.0601960890888057,1.08360047137171,0.888264996752182,1.51135545482941,-0.324766196618498,0.506471155856164,-0.25138402318743,0.747919752872414,-0.212418032619636,1.02406135476914,-0.256003195662457,0.416112828202805,0.982947041590413,0.240329187220831,-0.0745740474105035,-0.541092982640905,-0.26830555680581,-0.0851320433954716,0.243681109584608,0.0292255454328262
"STAGA_Li_3 (GE) - TPM",0.271451664012316,-0.306103931605333,-0.139527550625926,-0.0534851775666737,-0.420299591306922,-0.245502837644132,1.03394748514811,0.799434788861603,0.720353840860825,-0.225477463159879,0.159231093867371,-0.25138402318743,0.376289824129314,-0.212418032619636,0.948383814294029,-0.168758120707611,0.168461632227637,0.823669191603634,-0.203741837963398,-0.0813184467186553,-0.314029397371478,-0.177652638402212,-0.127040770334483,0.214202373000672,-0.0350508293304161
"STAGA_Mig_1 (GE) - TPM",-0.613739186046831,-0.425954327015411,-0.427241812796226,-0.396468305220082,-0.808889157339212,0.368676561640091,-0.331477145742879,-0.392020136107523,-0.744841511728792,-0.699603446711272,-0.492370552089336,-0.25138402318743,-0.928968720155841,-0.212418032619636,-0.937356903728548,-0.532333764025502,-0.707235526637764,-0.780006666874334,-0.559843470160906,-0.674278192035611,-0.820050554255799,-0.439183020772642,-0.373831197362053,-0.60385465508191,-0.507635564930608
"STAGA_Mig_2 (GE) - TPM",-0.611334271321604,-0.42321383398797,-0.437950041885986,0.0357242986784427,-0.674229894802093,-1.05852383589824,-0.528364527834453,-0.216968574226331,-0.589550861479479,-0.836565858567732,-0.677656415642819,-0.25138402318743,-1.13311311015073,-0.212418032619636,-0.993361228223689,-0.975227445009359,-0.808627233008403,-0.655985485248992,-0.564163117836693,-0.700360167657245,-0.482255847265082,-0.542761876447579,-0.491660398542829,-0.554093903081613,-0.477439786213948
"STAGA_Mig_3 (GE) - TPM",-0.57694642330143,-0.507447186293286,-0.537574304468896,-0.563884700794243,-0.922199262373523,-1.05852383589824,-0.304034942833492,-0.465672673409222,-0.477154749275284,-0.827470067042913,-0.672499965025738,-0.25138402318743,-0.992892376351792,-0.212418032619636,-0.999395658430602,-1.07668479386642,-0.790803836564396,-0.63565367669202,-0.963143840239799,-0.671788693016584,-0.565986233025244,-0.50068947733486,-0.45256996612227,-0.591420912031731,-0.50933848211475
"STAGA_Nd_1 (GE) - TPM",-0.555027773813053,-0.354501410782532,-1.06271560929482,-0.184220141206195,-0.244690673385747,-0.34511603452238,-0.434446687627203,-0.212520032976924,-0.845724299111326,0.19569902916822,-0.440573375007088,-0.25138402318743,-0.656864066202564,-0.212418032619636,-0.623311207927699,0.624384098874157,-0.431347213063984,-0.94710515466818,0.227493155539825,-0.0844418408304705,0.325553317448064,-0.0967504643121459,-0.26100592448965,-0.369937290261907,-0.213245534322156
"STAGA_Nd_2 (GE) - TPM",-0.558033189985927,-0.282742459730869,-0.897419538466656,0.151189228228734,-0.276179734823109,1.44711538626177,-0.739969092412807,-0.364808989973397,-0.922472811682396,0.123021232251151,-0.779651928938592,-0.25138402318743,-0.74178322090921,-0.212418032619636,-0.669671657843524,0.745351167397629,-0.473383465114962,-0.929539732830324,0.554065206099937,-0.114252196703288,0.66591804825055,-0.0634546712056561,-0.22222776971173,-0.390905278731181,-0.249891478265697
"STAGA_Nd_3 (GE) - TPM",-0.555199147779211,-0.260254111499966,-0.865769350198673,0.432513654409642,-0.593529536122539,1.34113087969952,-0.33787430450723,-0.161109408522617,-0.798081223841374,-0.0563954936455769,-0.589448503410538,-0.25138402318743,-0.455487825514575,-0.212418032619636,-0.758996277625473,0.612898418016338,-0.308344617718267,-0.900406606044518,0.374450110729479,-0.109394019122325,0.423935387440394,-0.139762136472758,-0.2389537826044,-0.371439507093151,-0.251930106658868
"STAGA_Ns_1 (GE) - TPM",0.890058427474398,0.00699091439858272,-0.37025192477398,0.642793302609507,0.21958097944267,-0.580024824776674,1.53673043215254,-0.308265152674843,0.420459956643903,-0.275838098003372,0.107563161917388,2.47569602423064,1.24028886457013,-0.212418032619636,1.19077353500262,0.380913154070962,1.29506120687096,0.747296317232136,-0.0348963858943627,1.11313968604238,-0.0548240169221215,-0.226923369856113,0.0983719433951409,0.857729688661588,0.346183426391222
"STAGA_Ns_2 (GE) - TPM",3.20609675630624,4.40752098644258,4.27105516529551,3.64375181301736,1.58450328084629,1.9802214439149,2.58499239906558,3.03562395709757,3.08395293217976,3.09861682473573,3.06768831341635,-0.25138402318743,2.85013521054359,5.66949770942675,2.4089962457858,2.72183828420847,2.49096697982357,2.55454968850763,1.86985272657073,2.6606219311059,4.80696474891427,4.62365369896839,4.84993727576633,3.68457224233883,3.14179938649194
