"","B4U56_RS00380","B4U56_RS01260","B4U56_RS01405","B4U56_RS08485","B4U56_RS08490","B4U56_RS08495","B4U56_RS08500","B4U56_RS08505","B4U56_RS08510","B4U56_RS08515","B4U56_RS08520","B4U56_RS08525","B4U56_RS08530","B4U56_RS08845","B4U56_RS10880"
"SEPI_Nd_1 (GE) - TPM",-1.04090285255926,2.08889054302563,-0.30794440050133,2.37666472533548,1.34450726133439,1.66719444611497,1.82288461969435,2.3832230433919,1.56228863690129,1.56595015479101,1.69143125365286,1.59845200349923,1.68475624578692,1.78489609202168,-1.6174273367242
"SEPI_Nd_2 (GE) - TPM",-1.70758185120113,0.554672373049242,0.52972426502814,1.01062453227207,1.47492765631944,1.21322329949255,0.800867655625023,0.858062297553163,1.20687900437202,3.03627844917375,1.01567417783685,1.05577673726443,1.87100067621907,1.13342277082308,-0.886797270520518
"SEPI_Nd_3 (GE) - TPM",-1.43661510038267,1.6370225498071,0.221134934754712,2.58982380707061,2.22252609320677,1.30420457632869,1.83154321539374,1.29118308600951,1.76031561645174,2.26132748835092,1.61597604097673,1.25073696836097,2.12382093914229,1.48506194093067,-0.703124010170462
"SEPI_Ns_1 (GE) - TPM",-0.887141347988902,-0.222743635197828,0.990397381498641,0.149897592812324,0.310386090974809,0.947153587996841,0.937420663206034,0.849794239999027,0.674713443768323,1.03527937580977,-0.122014999390236,0.20100811395261,0.318071995339106,-1.07796918404294,-1.07379997467838
"SEPI_Ns_2 (GE) - TPM",-1.07427968631664,-0.0623045355493608,1.04773215507859,0.334566527249484,0.204991068109941,0.684998613988546,0.894094689459354,0.766333026333177,0.524191087842838,0.927403786193922,0.173544734570948,0.411818986760189,0.544912660796929,-0.390847036322178,-1.07230963521283
"SEPI_Ns_3 (GE) - TPM",0.116885082608675,0.119516525837989,1.16749772946293,-0.18861061729297,0.387358568905455,0.527940489733926,0.145673749707322,0.438718504134195,0.612031469272467,0.207583808293557,0.593471934144716,-0.184166438755977,0.016895029696563,0.0929865404278837,-1.10859346781671
"SEPI_Oss_1 (GE) - TPM",1.19679102335935,-0.742118542322101,-0.220387826391656,-0.745174118886676,-0.367252997984843,-0.785117728174892,-1.27200021330642,-0.509124312854352,-0.468557049072101,-0.496682437902445,-0.256071664921774,-1.028088730333,-0.912290423761024,-1.16653480083847,0.840123689777128
"SEPI_Oss_2 (GE) - TPM",0.854665818903194,0.675458556828628,-0.956510417870705,-0.913751285985694,-0.812161772260962,-0.459677512828655,-1.03845179136217,-0.79991621852232,-0.801532595268404,-0.99915126536164,-0.737716655200824,-0.833584540157328,-1.34545959554597,-0.14762707747052,1.45203416788171
"SEPI_Oss_3 (GE) - TPM",0.642957236031643,-0.703110455665415,-0.852389074195074,-0.882332904699544,-0.332390089873414,-0.320913695658528,-0.641417307128124,-0.54869920978544,-0.592829340538657,-1.18896886735563,0.237701006223873,0.190768703952592,-0.266238139400182,-0.704287430151708,2.2916973375533
"SEPI_Oxs_1 (GE) - TPM",-0.292975802265233,-1.10487402701351,-0.394824497995054,-0.691384091798298,-0.671818088661282,-0.803056490392824,-0.643097485124901,-0.588136487890215,-0.36294298184576,0.0635234779637565,-0.234855603264095,-0.0239684026671482,-0.142071891999648,-0.166195696741314,0.902833656243034
"SEPI_Oxs_2 (GE) - TPM",1.70834848749159,-1.07275909207404,-0.427427776633052,-0.464663176277661,-0.665771689658918,-0.847375313953836,-0.884291248039338,-0.611280533257292,-0.547112687136422,-0.867366126401837,-0.475506063126477,-1.09079971195611,-0.567769747054368,0.924705439183835,0.802967760594374
"SEPI_Oxs_3 (GE) - TPM",0.152321960762077,-1.36066780239935,-0.314907625808039,-0.815887287523688,-0.476969905132912,-1.02146489198788,-0.842198756695404,-0.598966216979846,-0.50906596569248,-0.510821607974344,0.227762101826595,0.120322175853576,-0.891851534583562,-0.197431345900638,0.536619109804102
"SEPI_Sp_1 (GE) - TPM",-1.30137574096079,-0.267835300882404,1.5867424096983,0.795978391039085,0.730185349186138,0.727432601702951,1.34402223817536,1.951791370645,1.71912128739561,1.06039326728774,1.50460410752162,1.26610583156388,1.22954763512895,0.586129212417145,-1.21264317829364
"SEPI_Sp_2 (GE) - TPM",-0.714532129299618,0.0925434094502027,1.36558570692495,1.37827115438759,1.47283579042316,0.471124067084684,1.74048312960701,1.60039873577499,1.99338578830629,0.352936621903934,1.9104089035409,2.25559823281267,1.33850989305284,2.48676007868291,-1.01116671569249
"SEPI_Sp_3 (GE) - TPM",-1.20926977457424,1.32101506490826,1.50382022135897,1.2311238263862,1.0562052286938,2.09624273935055,1.13181587584277,1.6747757478961,1.53392978173218,0.54019132981691,1.86145019955271,1.37609388613425,1.42003511405884,1.06336757066044,-1.00271264120851
"SEPI_Tm_1 (GE) - TPM",-0.00356460669485022,-1.94149136856572,-1.48174255575106,-1.50503951529235,-1.79433411881796,-1.49588281359621,-1.47672372700531,-1.75652485498897,-1.6489476265523,-1.19653650584587,-1.53293024132959,-1.78855840775214,-1.37553461264084,-0.693961538384189,0.771499653934101
"SEPI_Tm_2 (GE) - TPM",-0.169895885756976,-1.81243755932831,-1.28975190550728,-1.28323103375873,-1.6373617362421,-1.67908094287502,-1.57918839629643,-1.54652214690368,-1.49036191522581,-1.00154550615543,-0.789732737751784,-1.53965149726334,-1.06222033807561,-0.0876421346780838,1.19587634541437
"SEPI_Tm_3 (GE) - TPM",0.290652175702694,-1.15960113365633,-1.37159993034874,-1.44669787506167,-1.52051316502149,-1.54710697555666,-1.39827845580774,-1.63181584550973,-1.43722838499879,-1.20137693310959,-0.72610638712973,-1.40228379705634,-1.17844677266661,-0.412838664756192,0.967163946756661
"SEPI_Vic_1 (GE) - TPM",-0.486095578833684,0.161803966332475,1.48206933872419,1.53957951030237,1.39765126551063,1.29053296818733,0.192320213447978,-0.130508569859656,-0.18780656170883,-0.864353339174637,-0.567475854231324,-0.684507133217501,-0.169569100189306,-0.371077529634155,-1.18186117873704
"SEPI_Vic_2 (GE) - TPM",-1.266171171702,1.77429634856439,1.40965844654259,1.30612777762385,1.40377388287105,0.698896663046935,1.0733565559662,0.116636534576187,-0.334267146137515,-0.414615495051169,-1.10380701055674,-0.652239389710612,-0.317348566949008,0.128615517407283,-0.397334887646755
"SEPI_Vic_3 (GE) - TPM",1.04596817069478,0.0283043446451373,-1.10109997483341,-0.196258081592085,-0.154180842737241,0.0877935366511956,-0.00431586295845168,-0.243565272132343,-0.186325544145497,0.30855340319605,0.319707704379416,1.01950467080512,1.11525455214479,-1.19513656965433,0.591457964728945
