"","ETEC_RS05140","ETEC_RS05145","ETEC_RS06410","ETEC_RS27775","ETEC_RS07285","ETEC_RS07965","ETEC_RS08110","ETEC_RS29880","ETEC_RS09945","ETEC_RS09950","ETEC_RS14725","ETEC_RS15765","ETEC_RS15770","ETEC_RS15880","ETEC_RS16885","ETEC_RS16900","ETEC_RS20350","ETEC_RS22010","ETEC_RS22455","ETEC_RS24280","ETEC_RS24830","ETEC_RS25935","ETEC_RS29500"
"ETEC_Li_2 (GE) - TPM",-0.44873369628026,-0.32485458500391,-0.126385925992815,0.241459588098725,0.438227498968213,0.311642591612417,0.750458118974351,-0.166666666666667,-0.455906737557177,-0.136282238002324,0.421291047847836,-0.288717600219113,-0.281128984392394,-0.0418524878135196,1.14607798808131,0.284467046624285,-0.0686214033385484,-0.201844966536679,1.14901265435205,0.341897673056034,-0.284689477515472,2.03779821656146,-0.31566094122518
"ETEC_Li_3 (GE) - TPM",-0.365788965467405,-0.312252200694598,0.326610763648241,-0.297207235669368,0.493784876056034,0.225651208442962,0.835720619524453,-0.166666666666667,-0.147600641171263,-0.328682444338413,0.439017472843623,-0.288403628552647,-0.277865584791243,-0.208386717669663,0.879062149672076,-0.252769759443364,-0.890887646755431,-0.171554297390345,1.21193955993199,0.0229433157206394,-0.280253737625744,0.844379843418841,0.411712529228678
"ETEC_Mig_1 (GE) - TPM",-0.780618734622184,-0.289687385416653,-0.425693296400245,0.174750319986302,-0.790754325505534,-0.60200304281306,-1.08117144261539,-0.166666666666667,-0.523634051203192,-0.49435645659484,-0.610598361041638,-0.294106913650025,-0.294834286921517,-0.21491189092704,-0.499145401835735,0.167632162567793,0.400285882315632,-0.681426416194721,-1.13700963729483,0.647492667264896,-0.307815557830481,-0.0549840857293328,-0.31566094122518
"ETEC_Mig_2 (GE) - TPM",-0.826832373860382,-0.308086188676618,-0.434704949340288,1.05538569592936,-0.813780602384616,-0.662260742748566,-0.726249440850455,-0.166666666666667,-0.208082615214179,-0.49435645659484,-0.596280286179028,-0.289229349739988,-0.300017671431812,-0.226941480212066,-0.713026522428211,-0.789619923799402,0.311512353626334,-0.627315167804064,-1.13364395596754,0.400303088457849,-0.313040530307535,-0.428145486845192,-0.31566094122518
"ETEC_Mig_3 (GE) - TPM",-0.511475630579658,-0.330975401970293,-0.368716776533828,0.697126851122596,-0.660400108097399,-0.427744767824457,-0.48511388165182,-0.166666666666667,-0.523634051203192,-0.49435645659484,-0.590495903092273,-0.291436228623079,-0.2933374632403,-0.241663689447315,0.11808739141457,-0.194402298867683,-0.198125553995716,-0.610523313964025,-0.948904346728624,0.636298989348809,-0.305757862646419,0.581870445784703,-0.31566094122518
"ETEC_Nd_1 (GE) - TPM",-0.844020902353676,-0.327847674262145,-0.520947042181231,-0.595561548356027,-0.861770898596664,-0.552773335679057,-0.227895107595842,-0.166666666666667,-0.322395338354034,-0.49435645659484,0.304755829224885,-0.298369018517031,-0.296646685859142,-0.33876423305733,0.311432785039,-0.275764037456993,-1.19631977384709,-0.708734747638358,0.230349277180388,-0.72993276265326,-0.248055921184161,0.287308421426227,-0.31566094122518
"ETEC_Nd_2 (GE) - TPM",-0.863982658290921,-0.329613340154639,-0.514614169074119,-0.761048182752455,-0.868908064590135,-0.577125133694801,-0.713153068452688,-0.166666666666667,-0.523634051203192,-0.49435645659484,0.249679035042063,-0.298095366631501,-0.303709030327416,-0.341270759954242,0.107969075742183,-1.4713291423583,-0.966649532363694,-0.708361860236578,0.165773299690602,-0.563835078956135,-0.242587301988242,0.278401013849791,-0.31566094122518
"ETEC_Nd_3 (GE) - TPM",-0.672353275328993,-0.333673229562564,-0.514984637862452,-0.558190157015918,-0.85265881295963,-0.465383041164474,-0.647184755460884,-0.166666666666667,-0.523634051203192,-0.0596173084574359,0.13779585406631,-0.29886676320159,-0.282065994606959,-0.20955603642937,0.82702365090753,-0.938399584894039,-1.40110733530953,-0.669990930444745,0.600566391195339,-1.08614138001647,-0.266817894852538,0.0931953664821345,-0.31566094122518
"ETEC_Ns_1 (GE) - TPM",2.51369308072104,3.36235708917537,2.73271929738324,2.48593835888223,2.84421370612521,3.09114896508554,4.02582314780475,-0.166666666666667,3.42483825129209,1.49379286723046,2.36294944290291,2.9155791005146,3.10553124500803,3.41289952549816,3.3227080865736,2.59066045848568,1.53274615058924,1.88648879712456,2.5839851760175,3.51962959656,2.1520691056899,2.05306267441908,-0.31566094122518
"ETEC_Ns_2 (GE) - TPM",2.52274387128757,2.972816821302,3.14625271190808,1.77243200802831,3.06427701531653,3.21006639204129,1.66224084725329,5.83333333333333,2.39065376443638,3.10080524517315,2.73158266306457,2.92309375504741,2.49570587598062,3.75876526089867,1.87648105033291,2.93583764469217,2.60962361567898,2.6999270394255,2.59895123020592,1.83743066728862,2.80007651778988,2.6562957767918,-0.31566094122518
