"","GBS_RS00815","GBS_RS00820","GBS_RS00825","GBS_RS00830","GBS_RS00960","GBS_RS01135","GBS_RS01435","GBS_RS02900","GBS_RS03065","GBS_RS03075","GBS_RS03155","GBS_RS03850","GBS_RS03855","GBS_RS04195","GBS_RS04200","GBS_RS04380","GBS_RS04440","GBS_RS04560","GBS_RS04875","GBS_RS04880","GBS_RS04890","GBS_RS05560","GBS_RS06305","GBS_RS06310","GBS_RS06355","GBS_RS06735","GBS_RS06800","GBS_RS07445","GBS_RS08095","GBS_RS09670","GBS_RS09675","GBS_RS09770","GBS_RS10630","GBS_RS10700"
"STAGA_Li_2 (GE) - TPM",-0.474413350180139,-0.459830102025831,-0.462152748908593,-0.463867661579239,-0.484742491474183,2.09825923315851,-0.453374593466842,-0.166666666666667,0.119827358208768,0.125521160495512,-0.101158927025086,-0.309126300311731,0.665721901744207,-0.0423090346858938,-0.426557364875458,-0.609648662603833,0.263626551067368,-0.0480089501791405,-0.604586096749412,-0.72450704086608,-0.141821503850744,-0.0815905516461984,0.129833496440634,-1.08146708382252,-0.0887241792066248,0.364205896788643,0.0527795254252086,-0.579779607546714,-0.225260712861288,-0.38798164436754,-0.496794167890942,-0.737115417522798,0.155955486810117,-0.287784383170027
"STAGA_Li_3 (GE) - TPM",-0.477661330487506,-0.473692281489071,-0.486983836747222,-0.437259304268772,-0.319497671707052,1.49481209655925,-0.453374593466842,-0.166666666666667,-0.863856849134601,0.173309800172326,-0.263314874284444,-0.29236079735932,0.437645726970707,-0.204561065789386,-0.341314485947786,-0.512723110074361,0.147423317332133,-0.329948558831997,-0.63561218673663,-0.713368194584305,-0.277192594100785,0.44069391892408,-0.435688755470283,-0.810491827365867,-0.163899619777036,0.708266885855436,0.219438547040007,-0.564463393568472,-0.203246078632201,-0.394144112520754,-0.508044825393301,-0.857453212889273,0.357969602817056,-0.546268843719964
"STAGA_Mig_1 (GE) - TPM",0.256118662798359,0.133332508136657,0.214051219375363,0.0742649864247713,0.0280580165169152,0.478882279808007,-0.453374593466842,-0.166666666666667,0.0791214640634756,-0.668051827579385,0.882597667549377,-0.438436245589959,-0.87621879666431,0.879217628953067,0.855688571883932,-0.894049717917973,-0.208653979433176,-1.6948537883199,0.0968369116767153,0.432952288692459,0.18075246318056,0.507636864195934,-0.915654345391873,-0.248239498973926,-0.429610134345189,-0.0285393010434141,0.237688948956837,0.361335846151275,0.496686951817449,0.225754634991928,0.922253546037109,0.0592106335241898,1.03841674029998,-0.55703299885455
"STAGA_Mig_2 (GE) - TPM",0.24719309865479,0.155736986595398,0.080575095089172,-0.0423512713480772,-0.306088829803754,0.987534729220759,-0.453374593466842,-0.166666666666667,1.11154489055934,-0.070833537503508,1.44631859033626,-0.597963877049425,-0.907416252983234,0.665428398944222,0.543166429618316,-0.627671015924988,-0.53201846052759,0.580788964363818,0.212710588318794,0.831867192286274,0.117411330634478,0.980937174026713,-0.193727144653835,0.0696123018920232,-0.479397991169729,0.374859933458471,-0.0740559139730499,0.931345479538591,-0.340383725013726,0.213804298408807,0.80985705592829,0.127006336900138,0.367643644925035,-0.274982924050624
"STAGA_Mig_3 (GE) - TPM",0.427576305532975,0.376628946860663,0.210291630300298,0.164039032757888,-0.294515368108188,0.701433990306481,-0.453374593466842,-0.166666666666667,0.804953040464103,-0.127664673624617,0.571676001519971,-0.563817326625718,-0.887886555633388,1.04104436261528,0.325479483370949,-0.694607242231194,-0.553281067639086,-0.311633226540326,-0.152453388186371,0.388254943210867,0.0268600591176981,1.13840303333349,-0.380385799854127,-0.0917084576888332,-0.561052402159012,0.343326207293676,-0.445698634370315,0.93341786908285,-0.185580640358069,0.17262229868109,1.09665995982373,0.230528467516911,0.422035834037149,-0.224238330742683
"STAGA_Nd_1 (GE) - TPM",2.98996177124322,2.93119944838077,2.97928723219308,3.00857512299666,2.54552988981011,-2.6149692978877,3.22922252462233,5.83333333333333,-2.23270174915689,-2.4211849814336,-2.08246639035531,2.74210723749801,3.12921658458767,2.64369969355,2.65512529459616,2.57603721823865,2.97554350206696,2.12248235158461,2.45938026808571,2.60786166926649,2.99891548543344,3.24006437179688,-2.25559912478525,-2.19743924310106,2.8564791269986,-2.33535515029806,1.02728217819705,2.76928546842346,2.31711892221888,3.39065596180086,2.85280552776973,2.43920385503758,3.05114058569674,-2.47521342104831
"STAGA_Nd_2 (GE) - TPM",3.26880434513671,3.06224062634205,2.87972063096038,2.52088872271371,2.63414416009357,-2.79615084910176,2.42086110942777,-0.166666666666667,-2.39243978868,-2.53367594824651,-2.19289596893564,2.90459625073465,2.92585877624816,2.47412468727528,3.4558660991382,2.8578293041446,3.06489384678594,1.20964152954598,2.31414838613201,2.40849154346945,2.44469247265365,2.32413492589423,-2.69001363427816,-2.15303553022721,3.49491109605984,-2.51130606772177,3.01964038675539,2.66923515377804,2.6855998911308,3.28135766302388,2.52663387914391,2.7728032524359,2.39314225836629,-2.61901796903819
"STAGA_Nd_3 (GE) - TPM",2.97818100822108,3.23374408310889,3.31056551905826,3.65080342231021,2.81098226096729,-2.53703454245287,3.08575989725263,-0.166666666666667,-2.43582826086769,-2.35394863515119,-2.11102064680325,2.4112063148236,2.73242205498805,2.87797715476697,2.83335302812843,2.43904108389519,2.43442502863513,1.91798315749189,2.66836956887561,2.6548090687083,2.73665493010643,2.44994325191277,-2.16322957629882,-1.98966230520997,2.79009998629382,-2.28415297969234,0.566291344880932,2.71135156749587,2.83528608866983,2.90793336969922,2.86565228299014,2.85543781992582,2.47833118682675,-2.42959023247409
"STAGA_Ns_1 (GE) - TPM",-0.454332325203446,-0.475515816802727,-0.5023503734253,-0.486297962835638,-0.0640377572832599,0.282190333498923,-0.453374593466842,-0.166666666666667,-0.066754847666512,0.818792563654342,0.883232505635895,-0.512117022595324,-0.264538922434011,-0.314109964482798,-0.372885282526297,-0.44897179965568,-0.437902438651011,-0.131858386924444,-0.618070020616587,-0.610755676272043,-0.0435794793141036,-0.919181892945772,0.390902271752076,0.305644367105927,-0.235413909650799,0.762299239677818,-0.168228648985231,-0.473829521914368,-0.236670255387845,-0.398302860936089,-0.532135249883367,-0.29123536303916,-0.602192769448564,0.491764907457244
"STAGA_Ns_2 (GE) - TPM",-0.422094447349978,-0.461185655843126,-0.461572411598675,-0.439186558759415,-0.0242897383102199,0.215568125664609,-0.453374593466842,-0.166666666666667,-0.089579072312919,0.493638635691566,1.17246756599052,-0.419443066101519,-0.224437618731102,-0.0876615055274228,-0.458243310156483,-0.643016626503707,0.140103354141275,-0.592625009473497,-0.325824048253648,-0.185567980054722,0.539261394425178,-0.416790037014867,0.142446744105383,-0.0192722426497579,-0.0940914155078913,0.398434707722076,-0.664485622734256,-0.313142460272741,0.5496106011095,-0.383949946663976,-0.515609871431322,-0.223673832054415,-0.540187587761509,0.384498850897102
"STAGA_Ns_3 (GE) - TPM",-0.419667325901056,-0.413222778471913,-0.44054487144763,-0.440307084575452,-0.0109605075290405,0.298144807491049,-0.453374593466842,-0.166666666666667,-0.487603764882095,-0.0270612929586284,-0.151192731973329,-0.125781977373701,-0.0248700693711795,-0.302244020621134,-0.388064507669319,-0.46989169857694,0.146689341443219,0.301357041669501,-0.346724610704589,-0.408712902917904,0.292398332843666,-0.652009751643815,-0.252104251258738,-0.441592322372625,-0.0220124088408168,-0.144504353373357,0.00425850782569636,-0.291261091843525,0.484918250828537,-0.386743446096539,-0.51100697660471,-0.22973951217793,-0.580874854875087,-0.0559384481519487
"STAGA_Oss_1 (GE) - TPM",-0.53699543258285,-0.527028080543348,-0.513535165302636,-0.475493582343883,0.931969116053415,0.214081261581111,-0.453374593466842,-0.166666666666667,0.0168922609132607,0.737517391515783,-0.0743307191001761,1.35137180858421,-0.809031540870126,-1.02038719161287,-0.745913716555388,-0.182466719048192,-0.174775758096182,-0.40897080578256,-0.192967550356916,0.175641784061315,0.49358796024157,-0.791368371578379,0.835601475289456,1.15076745614258,0.348639008533165,-0.160754867182442,0.80038879483223,-0.817348691376869,0.00330982015661387,-0.403053721074051,-0.546570956540278,-0.732941830874626,-0.740774181315255,0.296574667881699
"STAGA_Oss_2 (GE) - TPM",-0.528886238682347,-0.517608293832806,-0.513200840744419,-0.477096694912606,1.26452709994828,-0.00841791157947876,-0.453374593466842,-0.166666666666667,0.298192776265378,1.07901551167219,0.0694680287307653,1.40229697712792,-0.851750565570682,-0.760224065327804,-0.733895641338015,-0.0383666973771821,-0.0311489572592071,0.65467358955041,-0.370720678238161,0.00548696171816196,0.552353186320595,-0.937493957304484,1.3084647653989,1.6819362318386,0.23219073630158,-0.108640097862872,0.454672553359595,-0.855403587822062,-0.0978074667103351,-0.398964315530259,-0.538945619568859,-0.900586141531613,-0.715468312807413,0.687949382696299
"STAGA_Oss_3 (GE) - TPM",-0.528558139224433,-0.526401486589989,-0.522014221885779,-0.516351613347011,0.943470025545786,0.0966799404902218,-0.453374593466842,-0.166666666666667,0.38928075623018,1.10524000559333,-0.108178792051847,1.71436205172776,-0.893746641620752,-0.817847807643479,-0.612530755328151,-0.00706487538843079,-0.169855998513671,-1.2420065124056,-0.19054046770662,0.134143279195514,0.342503458621875,-1.46621338100654,1.23320670690894,1.2571652254033,0.524656063290308,-0.0482935275768325,1.23480536813524,-0.810926030292425,-0.0513430516744787,-0.405167829088208,-0.567548705847047,-0.721240197712747,-0.811998044692803,0.400896208304894
"STAGA_Oxs_1 (GE) - TPM",-0.40862598000134,-0.417532280756035,-0.458245272168626,-0.36470482935736,0.0505133298887771,-0.593697829003304,-0.453374593466842,-0.166666666666667,-0.320140826945006,-0.866489282879743,0.0566366997572502,-0.659626359957293,0.167710409638496,-0.181908454604415,-0.339846815732071,-0.310836942349885,-0.931582534143243,1.22880023462107,-0.597532061210538,-0.421721993404212,-0.938713038826519,-0.0283427290797789,0.168410128653611,-0.240080818595809,-0.657361024816479,0.339740794400627,-0.524016748607763,-0.0863822785939172,-0.906874457487499,-0.381923748930809,-0.493622271571035,0.0523390270722643,0.260128678829744,-0.35726845132386
"STAGA_Oxs_2 (GE) - TPM",-0.431277448926538,-0.402770663628996,-0.448702789611521,-0.462363054512744,-0.443493303984086,-0.576006582753723,-0.453374593466842,-0.166666666666667,-0.914124887722638,-0.933265767516009,-0.329312613059332,-0.690052025405938,0.161178873435043,0.0970773723729907,-0.342778574669837,0.110754275154964,-0.895565455955588,-1.69377969356254,-0.454310374518919,-0.464218752633421,-0.834599811926668,-0.453362880843134,0.476876947521811,-0.427481268793325,-0.592969194675235,0.799731743845903,-0.840979822898337,-0.172881866669785,-0.899861259688875,-0.385334153092181,-0.456594092941258,-0.0171867154834416,-0.0612890434267461,0.251149942659132
"STAGA_Oxs_3 (GE) - TPM",-0.490702427409918,-0.430284300726705,-0.404650190957424,-0.342430964809878,-0.23636357221917,0.0491659269733032,-0.453374593466842,-0.166666666666667,0.91524906137863,-0.961108410554614,-0.58363915628785,-0.654935872424473,0.301542022328852,0.074393063175867,-0.372289387174379,0.182633764558455,-0.892726765378307,-1.37896748782688,-0.328299306574466,-0.430011090853524,-0.665185848653438,-0.151884425613325,-0.721225513922434,0.506136935005999,-0.638752030454249,0.499075225373186,0.133457171074989,-0.24631680903279,-1.10332371748627,-0.383023437945908,-0.448740994337504,-0.123725957936553,-0.15208233568258,0.349393554640925
"STAGA_Sp_1 (GE) - TPM",0.232181302097805,0.206066381863844,0.242954445957288,0.204422315399078,-0.629526400234597,0.0880114423257489,-0.453374593466842,-0.166666666666667,0.231565601593786,-0.730933459724048,-0.472429693057015,-0.351245169874765,-0.739208149007255,0.567902575329578,0.211934046113441,0.81018759764826,-0.21174274931995,-0.948172582901675,0.911291130144437,0.459026234792684,-0.601552991165145,0.93038805443765,-0.573567279657583,-0.253624919033465,-0.408442741176316,-0.730554386602244,-0.503877682738585,0.339867732162661,0.692165506777414,0.048370903168079,0.651258163875113,-0.0584435830266742,0.484243142683292,-0.388544505943588
"STAGA_Sp_2 (GE) - TPM",0.515854990915115,0.558882420795319,0.525231761533139,0.387022563850183,-0.764859649525105,0.67551167552262,-0.453374593466842,-0.166666666666667,-0.345724517618199,-0.587740776615633,0.407798067308185,-0.224431418599589,-0.905818600209746,0.556050864670593,0.663669977564667,1.41474925218082,-0.0182481786588943,0.418843982803816,1.354051621691,1.1676225351402,-0.329924744853287,0.140022386448082,-0.372539461026191,-0.28440830747182,-0.270943730848584,-1.06226058046164,-1.00131627589744,0.872227893238631,0.871903656130612,0.200891290321303,0.978324645958783,0.223992990175045,0.427308705869788,-0.454831312624771
"STAGA_Sp_3 (GE) - TPM",0.479262229072869,0.485571185776935,0.540646942158904,0.547369083516568,-1.24937491256855,0.211622970958455,-0.453374593466842,-0.166666666666667,0.633908696229606,-0.228954996556757,-0.194971930925147,-0.448649356204992,-0.940563988664853,1.18288136256323,0.238849542772439,1.77253992585868,-0.144168846273146,-0.543942194753474,1.83727983994997,1.483418980468,-0.192234868070017,-0.20566257182264,-0.804057441979978,-0.169650886518985,-0.33873039626791,-0.344532608234456,-1.0045593051956,1.21478191375529,0.712303133933183,0.0785277951777309,1.05683513790288,0.547302689469843,-0.148272064812913,-0.275176014301977
"STAGA_Tm_1 (GE) - TPM",-0.517953877101718,-0.499823407203336,-0.505819561596237,-0.478679400294643,-1.05112609034005,-0.274821923149299,-0.453374593466842,-0.166666666666667,0.120505694544297,-0.151154327176868,-1.07685071523124,-0.368141547357886,0.0121340264128471,-1.17021733733548,-0.802522893092251,-0.58121353065007,-0.75390699759594,-0.372973865972869,-0.802257861960473,-0.822372978849426,-0.519424853751806,-0.107693249811467,-0.250162617103004,-0.217501195397982,-0.503444552383614,-1.02418573489687,-1.3763547082272,-0.798826429431643,-1.09941023387781,-0.402224320604727,-0.562269359181429,-1.21630233877968,-1.54490896006365,-0.300887605876528
"STAGA_Tm_2 (GE) - TPM",-0.52002859777184,-0.512627330998398,-0.521634032299542,-0.502005841936615,-1.01763396976397,-0.411355538762904,0.998353400302799,-0.166666666666667,-0.463450877731742,0.162677086535429,-0.909055451883136,-0.20048762367962,-0.20049256878798,-0.995981526044747,-0.734294086426786,-0.640172703353799,-0.619294297072408,0.850603927867907,-0.612766613688183,-0.780356688576804,-0.364770155753569,0.0216678253633786,-0.00694789345461989,-0.257702029569367,-0.472486188536301,-0.970555759032399,-1.00817529218636,-0.861401740977089,-0.713423399548028,-0.395757706780347,-0.552914687981163,-1.18182423430065,-1.31899242074977,-0.306385972745332
"STAGA_Tm_3 (GE) - TPM",-0.444000827909838,-0.463377985301638,-0.453365906373282,-0.441363666340498,-0.796746551028211,-0.271517296853482,-0.453374593466842,-0.166666666666667,-0.119281008121157,0.240710682888527,-0.638877823755262,-0.140052361628229,0.0407260805490862,-1.05292794447127,-0.739230918407553,-0.431628357758032,-0.610488495095535,0.799409798483551,-0.608996720672428,-0.571878802956689,-0.437212820100613,0.100914655111494,0.166073613548332,-0.392973058404284,-0.420132454946313,-1.06631366873681,-0.976871241122176,-0.729138548810351,-0.454088260104864,-0.341874656926255,-0.501647149069399,-0.935145673321327,-1.27810660551739,-0.393271462145613
"STAGA_Vic_1 (GE) - TPM",-0.404461727915202,-0.488847487583562,-0.499272743731682,-0.502157383517678,-1.33779314823744,1.10036033270812,0.400004404488309,-0.166666666666667,0.425876555578626,0.484538053613934,1.397139236725,-0.589094864849048,-0.493941195279659,-0.760782320498961,-0.666244832946759,-0.239719317173284,-0.304932595784699,1.67572764925328,-0.736220089908871,-1.00149474744453,-1.59776124263532,-0.509180027267009,2.06678711949913,1.68292220474584,-0.733411261086645,0.569690226002502,-1.14726852093013,-0.701988068058389,-0.569840445104492,-0.354102709894948,-0.381162113265262,-0.580799516483317,-0.983214913637316,2.37391294947127
"STAGA_Vic_2 (GE) - TPM",-0.531896902874203,-0.552867633257005,-0.553146980294627,-0.540063483965608,-0.93259116275404,0.0653466024963406,-0.453374593466842,-0.166666666666667,0.44038186954641,1.22094512643007,0.559635883805074,-0.501223765278319,-0.40471637494089,-0.504777892466063,-0.411800401516567,-0.84057886190697,-0.355905361486679,-1.17134127557386,-0.975021373791821,-1.18355026698958,-1.00420311279099,-0.383224032541029,1.22074389703576,0.540423074123108,-0.647646361183511,-0.303730054311409,-0.817086117281185,-0.978942682945464,-0.755068704391129,-0.397631542965089,-0.537658819154922,-0.753534143648933,-0.570820037542591,1.01176365395031
"STAGA_Vic_3 (GE) - TPM",-0.526848533525072,-0.545103370401742,-0.55311700690466,-0.529810366862415,-0.501334539887022,0.160471687148835,-0.453374593466842,-0.166666666666667,0.0267237236424227,1.32232965429077,0.366025403212121,-0.589486832272552,-0.234376131100845,-0.792787387703711,-0.461050594376986,-1.02444145605242,-0.541423355264376,-0.378061399227942,-0.948779063578613,-1.0630403281541,-1.01928623156938,-0.0488960716173725,0.747374026584679,0.245598786005201,-0.563820649267811,-0.806554532275563,-0.842377654454296,-0.944572263882527,-0.918828607938872,-0.404971462991028,-0.559919429133515,-0.750093330233026,-0.862589812225753,0.704812892390082
