"","lmo0200","lmo0206","lmo0207","lmo0279","lmo0280","lmo0425","lmo0426","lmo0427","lmo0428","lmo0785","lmo0838","lmo1917","lmo2151","lmo2152","lmo2153","lmo2154","lmo2644a","lmo2646","lmo2647","lmo2648","lmo2649","lmo2650","lmo2651"
"Listeria_Li_2 (GE) - TPM",-0.741786534540586,-0.576848609770496,-0.633613313078104,-0.20144763327268,-0.257544170566856,-0.777223282964886,-0.956747161566717,-0.916338981483722,-1.06306263465837,-0.408177411067751,-0.503996460766707,-0.788181487949172,-0.397085564745769,-0.409154460268515,-0.676717808928947,-0.54762093924751,-0.654313928159227,-0.628856673913634,-0.642018751463436,-0.64539459147307,-0.630273580976122,-0.498507789080802,-0.572386959498507
"Listeria_Li_3 (GE) - TPM",-0.492578784391088,-0.582183027952557,-0.595729001336803,0.0593114650349232,-0.221238612429489,-0.530757512093312,-0.437764709357401,-0.666074249787168,-0.775942243038152,-0.458973366306017,-0.255669569572408,-0.740692017027797,-0.169418538072476,-0.228228651787406,-0.189584017359341,-0.525054678241678,-0.528595613126633,-0.439527715806426,-0.379315816047773,-0.285278606886401,-0.251100243467208,-0.0539876146728076,0.484436454009391
"Listeria_Mig_1 (GE) - TPM",0.114960038770699,1.00453312357295,-1.11518310276602,-0.164742827453913,-0.525484238350981,-0.599640301319216,-0.741177324130276,-1.12164650974872,0.189246030619099,-0.994562038103395,-0.785301719630949,0.230941804698021,-0.599477997482204,-0.527301425295941,-0.342351868872312,0.513295832337994,-0.464623791308076,-0.638591068866796,-0.384523871885676,-0.477026951032619,-0.709173455528722,-0.842636042344497,-0.742279248734564
"Listeria_Mig_2 (GE) - TPM",1.17450779356184,-0.963711374215573,-0.780643771366889,-0.285372587344866,-0.589519322256003,2.6800020549437,-0.768947514269975,-0.877148104591171,-0.570248409034653,-1.05658083929021,-0.678709779586303,0.897417349617351,-0.664407680320193,-0.691660645442708,-0.484911542024621,0.167303859650649,-0.621397778069897,-0.576714603597328,-0.610270705301561,-0.521697985021938,-0.676816247519599,-0.654522664174822,-0.722364036451275
"Listeria_Mig_3 (GE) - TPM",1.04868366309761,-0.963711374215573,-0.476070069741295,-0.31401132112712,-0.515042198435544,-0.754213900014623,-0.397407478673633,-0.304227809873627,-0.738802584204,-1.01988166564989,-0.683483649683817,0.710352474997344,-0.772251268128985,-0.832998075534303,-0.560781951502228,-0.150767695309384,-0.434305804942317,-0.45809494898385,-0.613360494555308,-0.598215959618402,-0.685645287919097,-0.303570675085535,-0.732915700678904
"Listeria_Nd_1 (GE) - TPM",1.4662211458974,0.244436217732254,0.706863589295226,-0.740390979621952,-0.64881607776622,-0.904585352639085,-0.80659862988139,-0.75174521845771,0.113001497231208,-0.870692706112899,-0.688544042539479,-0.862376841759081,-0.772251268128985,-0.776311292617841,-0.833558625721038,-0.922763272714,2.53115196599597,1.61556529642229,1.47084485190934,0.64518549358527,1.28121091334726,0.0111533484829913,-0.591341327704599
"Listeria_Nd_2 (GE) - TPM",1.64466390876098,0.777437066294085,1.45859866539547,-0.703525993983031,-0.648684524818751,-0.946627188176494,-0.405893019381772,-0.0326169945234698,-0.384544322492828,-0.848061416887239,-0.785301719630949,-0.880784652641281,-0.68491487381575,-0.853037107335972,-0.803726053888931,-0.859707374263949,1.82842218128394,1.30531341835079,0.978235184395701,0.188341577733426,0.847487787337259,-0.233266695554603,-0.549109141779531
"Listeria_Nd_3 (GE) - TPM",1.91208404201596,0.698129071447881,0.544064199884945,-0.720474675366429,-0.650321770153379,-0.720127389122797,-0.37968297205099,-0.570436259102027,-0.0220638371268009,-0.951772538680267,-0.785301719630949,-0.858996723962407,-0.772251268128985,-0.694296761532063,-0.31220286411057,-0.976239669948717,1.611498387806,1.29799308939256,1.10419041321258,0.405465502678747,0.772390028517991,-0.24890607030218,-0.290234148881473
"Listeria_Ns_1 (GE) - TPM",-0.693341379349101,1.24853807961877,0.664633024628344,2.29306694625888,1.5192938126471,1.38820749185629,1.30585474681998,0.699446047614321,0.382475479171385,1.53300548951001,1.01193872572682,2.14973655145955,1.45213120866121,1.23017361833847,1.4407362548328,1.78483138080826,-0.189796972638165,0.169112698046729,0.303271338790983,0.867792783728806,1.29100755742939,1.97500307941279,1.32301705025683
"Listeria_Ns_2 (GE) - TPM",-0.558457424199928,0.428578565591286,0.723966422613255,3.24134768061667,2.77406720557688,2.54621770384874,3.27064148636479,2.65139004005986,1.36855920369939,1.95489618524731,2.28860407771858,2.66991236192651,3.58591053457329,2.96152191687837,2.35338515374845,2.83642729149783,0.400286354834412,0.683913909023511,0.802346230186185,2.0942484151499,2.50631838810153,2.56829179106342,2.77838166004326
