"","HPG27_RS00420","HPG27_RS00605","HPG27_RS01100","HPG27_RS01110","HPG27_RS01530","HPG27_RS01535","HPG27_RS01990","HPG27_RS02370","HPG27_RS02465","HPG27_RS02560","HPG27_RS03095","HPG27_RS03330","HPG27_RS03335","HPG27_RS03485","HPG27_RS03490","HPG27_RS03835","HPG27_RS03880","HPG27_RS03935","HPG27_RS04285","HPG27_RS04290","HPG27_RS04350","HPG27_RS04410","HPG27_RS04515","HPG27_RS04680","HPG27_RS04685","HPG27_RS05295","HPG27_RS05310","HPG27_RS05785","HPG27_RS05790","HPG27_RS05800","HPG27_RS05865","HPG27_RS05905","HPG27_RS05910","HPG27_RS05915","HPG27_RS05920","HPG27_RS06125","HPG27_RS06200","HPG27_RS06730","HPG27_RS07125","HPG27_RS07885","HPG27_RS07930","HPG27_RS07935","HPG27_RS07985","HPG27_RS08345"
"HP_G27_Mig_2 (GE) - TPM",0.356343797948982,-0.95147135965229,-1.12785551885316,-0.551507690404718,-0.629530820301294,-1.54826751960419,-0.593111634365051,-1.28797379722724,-0.947921028220529,-1.22250604058323,-1.23244583011664,-0.67178729958376,-0.869492011175288,-0.640557461905912,0.693939915089347,-1.02148890524909,-1.12606517741062,-1.15716636962294,-0.422118925699068,-0.661763810058573,-0.321113703909572,-1.00116452876106,-1.0287400699162,-1.44431048900652,-0.512695133847022,-1.08586500897868,0.480398108945417,-1.92343255361752,-0.66847950300872,-0.362058361374197,-0.56493097088325,-0.480968195125305,-0.438738799418236,-0.530666243823286,-0.619515794586002,-0.544760665220221,-0.294356724459048,-1.63014246780784,-1.22318661399879,0.257172575800477,-0.195482670862864,-1.0441720213348,-1.18466964879967,-0.494403417763084
"HP_G27_Mig_3 (GE) - TPM",0.88587047816218,-0.998515367970092,-0.800370765946739,0.195600966106538,-0.688783440219134,-1.08221321655585,-0.245610662596613,-0.955800995531481,-0.489350261418911,-1.22747184161496,-1.04940701734435,-0.753063582185066,-0.742696954770129,-0.89270910136816,-0.337205869968483,-1.07612092410372,-0.839184669056318,-1.09345791423402,-0.582221324128141,-1.25515454593041,-0.457130657780172,-0.362437266642241,-1.15355509299248,-1.58110352165792,-0.111407235644524,-0.833966802292758,0.827617036157554,-1.70521437193924,-1.07184813089636,0.158212299929811,-0.201257559475423,-0.425485586852947,-0.391235286651175,-0.476384212027294,-0.809450978744989,-0.312545650459599,0.653064315783505,-1.20405854115821,-1.09179826080546,-0.165410592533542,-0.432346387695744,-0.976786572532444,-0.879469778420456,-0.766685851821089
"HP_G27_Nd_1 (GE) - TPM",-1.20112217134232,-0.238472358250355,-1.10146027669641,0.196275795568261,-0.63392541093221,-0.909688326043471,-1.05537496130669,-1.33012349397446,-1.06281855711093,-1.46607810504031,-1.27898836628939,-1.51549493855417,0.448001496381416,1.25842345492429,0.837679169643739,-2.0885625814402,-1.83404027271129,-0.5494396495438,1.04415982076768,-0.71005812049961,-1.84158265390402,0.412421625191545,-0.296532640109089,0.227616069350755,0.0407178201328788,-1.0641391837402,-0.689908309582211,-0.0598857092493907,0.105783653732216,-1.24307268339165,1.29732706958822,-1.28134535115061,-1.49024252192304,-1.49231971669082,-1.47550589681082,0.0370745678081888,-1.27320575310475,-0.656074793808544,-0.831642918541121,-1.07085641984186,1.42063501546692,0.226431336612712,-1.61371074589523,-1.62757886860176
"HP_G27_Nd_2 (GE) - TPM",-1.18997115864124,-0.470736740568845,-1.12984803678176,0.806394807234798,-0.159925542912443,-0.951746429527488,-0.717022848395153,-1.09140158535874,-0.975223443251644,-1.63910844688658,-1.18450696300337,-1.28418613541394,0.694748670242839,1.5910950434536,1.62795708793152,-2.02183032336185,-1.47048572855483,-0.245030761378854,1.08286664105772,-0.121718945411913,-1.47458016820267,0.885797415428291,0.263602777995823,0.408461266700005,0.253071192297552,-0.984032854327567,-0.629203179921414,0.191577781525791,0.161737524386158,-1.13489410769804,1.22962457215404,-1.46301879925829,-1.61173528583144,-1.50450035412863,-1.470525910843,0.246730795384465,-1.16251204130921,-0.938182333042448,-0.659661629621022,-1.17467754148737,1.37186280712711,0.171465943335423,-1.58128165139477,-1.56274025565234
"HP_G27_Nd_3 (GE) - TPM",-1.24650421539701,-0.830049290660463,-1.06250746933297,1.04151103738337,-0.317224011539433,-0.579869251547586,-0.524512744986999,-1.08718325926307,-1.05521429134639,-1.73058503599408,-1.27390433539821,-1.18620915116144,0.554750293111468,1.41103678047283,0.509664674195586,-2.01172971652722,-1.38633014997052,0.25955881746501,0.844137583951888,-0.21567264973121,-1.3497991683636,1.11469662750328,-0.0451188284944824,0.335897028331069,0.354370637504718,-1.16065939740587,-0.431309508202284,0.15568705481088,-0.0470319946572761,-0.602389290825965,1.49030574409476,-1.49289461809633,-1.61908926250361,-1.51168752125829,-1.55109143778153,0.788414003678597,-0.800816201707511,-0.185470214513081,-0.774955477514128,-1.31327840827687,1.50468464693428,0.433455215008472,-1.48253035504325,-1.68574962802446
"HP_G27_Ns_1 (GE) - TPM",0.866337158704837,0.709859556003415,-0.0377776289654858,0.450103657219395,0.405140249950351,-0.493546522451451,1.32123456865556,0.510260211171535,1.52591552136624,0.132888451526817,0.610053378270741,0.206620571214519,-0.611746957257892,-0.0265213904852862,0.321849564343141,0.881993886167649,-0.0424877436057622,1.06586118119806,1.43053127783014,0.605021852491411,-0.101284707990022,0.574713897467896,0.758016557500632,0.543383493435438,1.40993165133117,1.69653963642157,-0.392605356154614,0.0660077772050365,0.0851707789235793,-0.399361440162886,-1.05538624943479,0.183085990180953,0.202061885371855,0.167558183311583,0.263102533161956,0.17938350043632,0.337446938119467,-0.392386585771176,0.544808157954531,0.742861082485505,0.888371946996302,1.18407270392272,-0.0965246747608951,1.03499159324256
"HP_G27_Ns_2 (GE) - TPM",1.22023254106171,0.64053510551154,-0.121231247794516,0.289546557978746,-0.053120874486453,-0.471694101164139,1.11127078963884,0.511815471595393,1.20841062615599,0.188088815977311,1.01850799954307,0.349212976755892,-0.586857894185406,-0.0777523480157245,0.184428186147715,0.95746803563931,0.303044812624986,0.827864555582199,1.41514433826991,0.518033502869265,-0.287013134018402,0.427346246677082,0.313279594519094,0.294655050393161,1.30268061857178,2.61542073358402,-0.463611778743018,-0.554626234512896,0.170421523178964,-0.36130074008459,-0.774941505805928,0.269701166575073,0.219096556402407,0.297128384448036,0.204385697453929,-0.141469652033467,0.375421353429242,-0.178129935948278,0.514607204530693,0.629080765391096,1.14758923690482,1.2236272579172,-0.114363958416001,1.04989399607986
"HP_G27_Ns_3 (GE) - TPM",2.0134459989037,0.837154958047533,0.202141184432457,0.181794365360185,0.281051204560189,-0.190856146529183,1.27259834871174,0.546860097779619,1.73700891002396,-0.171402275515516,0.679640659409868,0.43519028921326,-0.541613919359944,-1.2103383145159,-0.980880168671535,0.246520735564754,-0.354837131542382,1.0944476876216,0.930054929782703,0.539723472064683,-0.28715612259366,1.30128983172563,0.401401692035802,0.9152392057578,1.23432297649717,2.51836433472529,-0.112435008855591,-0.27517934407386,0.632316451484788,-0.256031686327278,-0.976269552424198,0.799330354808429,0.708096845676635,0.789413160360691,0.805797312719906,-0.00621057751110414,1.61300104363844,0.0719325707932912,0.197690655264551,1.15537087023825,0.539535153208218,0.933183844994224,1.5967421098405,1.82713024028925
"HP_G27_Oss_1 (GE) - TPM",-0.433475619924908,-0.557949936455104,-0.345174629672976,0.204274067914017,-0.897400166739896,0.0437404333004846,-0.93180617253541,-0.863735303906309,-0.589872276392061,0.200798302043603,-0.281876202125623,-0.789761822682167,0.153106273989517,0.1830554862348,0.872069724812391,0.207001755748607,-0.809412798142221,-0.160984284576139,-0.632785349500298,0.0498258017175493,-0.687388786939568,-0.925928376313476,-0.96741056079306,-0.87744691594413,-1.08137880790695,-0.540521207724338,-0.932763982030516,-1.42047118814616,-0.709781817945718,-0.583153172763897,0.181112457099867,-0.361615518734964,-0.533016945027792,-0.614123016127714,-0.0988021912240107,-1.34468028914577,-0.229925993076029,-0.927393029361664,0.503195553662103,-0.895383405835361,-0.946358775767213,-0.713286623986071,-0.588351659139064,-0.704784028541332
"HP_G27_Oss_2 (GE) - TPM",-0.56964890320052,-0.258279632016278,-0.276005403515183,-0.129210794419595,-0.870592112184066,0.0398172340591674,-1.18471007053404,-0.597898528852449,-0.544009682079469,0.63242395824282,-0.206168412850282,-0.523159334075526,-0.0465724877359061,0.266975488946399,1.23807938336697,0.174858391007947,-0.504657825986348,-0.517752939489998,-0.620788250496118,0.135115512221224,-1.10036065653963,-0.841217535370113,-0.864376338728692,-1.15367705624256,-0.989581911144677,-0.481526686592364,-0.930496584942381,-1.15401781496561,-0.795174480416428,-0.500866988107172,0.00943709549905092,-0.345440343993592,-0.36188425919545,-0.413397511300829,-0.085440806461118,-1.07613976483889,-0.169075744318356,-0.681914366095494,0.347908801439678,-0.897335684344379,-0.935357280349137,-0.448880787596107,-0.826436708413571,-0.904278082639125
"HP_G27_Oss_3 (GE) - TPM",-0.0179363151265685,0.670495565756656,0.572023607512349,1.63326561694023,-0.589804373786712,0.719598208120888,-0.0766057523868737,-0.563915358932769,-0.573547061565671,0.213299162896859,0.276027178523764,0.285779809445902,0.908640468206362,-0.392387603152555,-0.824759477068042,0.471365893374097,-0.698329202593397,-0.0399580175282215,-0.785573255760892,-0.693429879244648,-0.71674665955989,-0.365856066137988,-0.431155490276812,-0.591059597733277,-0.529220550626378,0.33528753016019,-0.382379319913084,0.288477871992004,0.571112870104579,-0.184566110036865,0.520695603188366,0.60084908250996,0.505832606448668,0.550986975702738,1.11346450652215,-1.4787356240468,0.345826938919165,-0.390720239875362,0.640414241217495,-0.507804043527649,-1.07639340023009,-0.941871027009454,1.62325856786413,1.68288265835084
"HP_G27_Oxs_1 (GE) - TPM",0.463667045191024,1.17423266809871,1.46676685932605,-1.45426620932629,-0.281839360025862,0.912866673623794,0.900250254974341,1.75215468906037,-0.999076137509741,0.592018683818118,1.05465538223539,1.90224297694772,-0.174722946745382,-1.81142226613784,-1.43354747014471,0.790482219911654,0.315669023552616,1.01802603857801,-0.358001668095607,1.35285549980856,-0.214638897109615,-1.123758931946,-0.439976866049234,0.55553372063262,-0.716310925679643,0.491651460157603,-0.557463468072567,0.850476646778334,1.19243221951407,0.527374513475676,-0.37858496951893,0.908678924396039,0.310805967768492,0.473721415505226,0.634885639730943,-0.20951779378913,-0.590182300474869,0.797507804033186,0.0463801163818415,0.610222644594545,-0.219709411490095,0.947739656351557,0.0735533152575695,0.606736367900102
"HP_G27_Oxs_2 (GE) - TPM",-0.046566461176987,0.701309831672694,1.48017423332707,-0.935525142930974,0.174199740510726,1.50543127791547,1.01743936767445,1.46868695742197,-1.02703692166058,0.781984300298441,1.0803777724261,1.7304210386198,0.101746284649827,-0.744930467478671,-1.19427030001423,0.833644293359103,0.808099072503151,1.12221698526994,-0.454860869667836,1.220060025312,0.0366079172401141,-0.229201488201222,0.321195835407774,0.448372825618395,-0.857030994231552,0.078534532436948,-0.1144603823242,2.11802634890826,1.05566636169103,0.475711744535372,-0.529133054715402,0.45646503473992,0.22057690807577,0.29149211479501,0.344152199789433,0.356056320494971,-0.400722110207707,1.8483705360856,-0.184884065497347,0.511068490730586,-0.106735960986895,0.854360017929744,0.18281182590636,0.146229022005621
"HP_G27_Oxs_3 (GE) - TPM",0.6561707979325,1.77723236036398,3.02753803916998,-0.66641007044064,0.358233846769939,1.83044084966512,0.730057394367533,1.75711022293809,-0.935762558354914,0.466869936084431,1.14646746005115,2.81198292520558,-0.374687386051474,-1.83873566135683,-1.76609817783841,0.797092087768876,0.356160072679063,0.940656714095108,-0.385362162921607,1.17176257708027,0.451766925656873,0.0409228581064638,0.273331307301047,0.912378748183643,-0.567372208511776,0.29813710489019,0.0700942980598163,1.1380074386733,1.63824633191844,0.908658006167307,-1.00057223224205,1.84908298188138,1.04921369952189,1.17404708861496,1.06394212811714,0.585772922231811,-0.11184000627277,1.73497959280819,-0.366938829106704,0.578976445645454,-0.227886885212208,1.07955642552653,0.698936634750452,0.866035945067693
"HP_G27_Sp_1 (GE) - TPM",-1.76433685805516,-0.58696273441712,-1.04352718798701,2.25541407262579,-0.977018003690087,-0.79489424701293,0.409109983077495,-0.936933181516672,0.0820797875278241,1.3497476035198,-0.937355082689363,-0.835962670534868,2.19802738864832,1.49486769526655,0.583560821858838,-0.0408935280605146,0.140796005118144,0.605697654342425,-0.408890938522685,0.176239519623697,-0.277932485983742,-0.776226032002247,-0.238835546322006,-0.664626401324725,-0.827317508280509,-0.526054676529322,-0.310600580843806,0.107880041396494,-1.47671321425627,-0.421326813740396,2.22572942755965,-1.66946128518484,-1.34467606576741,-1.51979951995924,-1.46532053586467,-0.813408698317242,-1.67033233621305,-1.16053214138916,-0.620945091827721,-1.18371649476,-0.302628448496583,-0.541057054134582,-0.230302876460319,-0.937781874174946
"HP_G27_Sp_2 (GE) - TPM",-1.51001081625288,-0.947434210951811,-1.16951762914135,1.47709589881197,-0.855475469483072,-1.15323598302273,-0.422204848731635,-0.72838687536986,-0.092691294680778,0.415146513029146,-1.19188294406811,-1.26265876940788,1.17553409802476,1.32040960950578,0.86306681544397,0.107547683983363,-0.423831825375854,0.144945800426886,-0.375056187264947,-0.730097660616775,-0.598316348599136,-1.16285580794456,-0.831348391507065,-0.999875490351529,-1.02245172037857,-1.2570528101337,-0.440509350032688,-0.994442637744287,-1.58696934419366,-0.684255284604315,1.47431541505666,-1.49518985657334,-1.37450902618818,-1.35481783692156,-1.40064673618385,-0.979353560291765,-1.49981055784687,-1.42240424850913,-0.63921209955618,-1.18504345487465,-0.305209270763608,-0.481537757663692,-0.114366769934042,-1.05311218624057
"HP_G27_Sp_3 (GE) - TPM",-1.68178853478208,-0.422518070358862,-1.08475861378462,0.139547708988581,-1.25567533918921,-1.23579447047164,0.0413226169559883,-0.711196661349828,0.16874948433078,0.764663494574743,-1.20640963573924,-1.00062474387558,1.35591950951035,0.593134885184301,0.579025365642502,0.115317685548796,-0.540813379836703,0.52141658180424,-0.531327683769377,-0.287446084518672,-0.866842249591901,-1.18502388185639,-0.996746485140391,-1.24338263838684,-0.928397697094909,-0.627383752456331,-0.52884285545052,-0.885269723861971,-1.48541696485682,0.428652410490966,1.73947765449296,-1.45372512650128,-1.42457282120499,-1.41300188065271,-1.42087295450043,-1.14209704795577,-1.52518409563654,-1.45210485886995,-0.719619860429723,-1.23403685521096,-0.475079117941976,-0.331919298896312,0.251856333915247,-0.763267032575909
"HP_G27_Tm_1 (GE) - TPM",-0.0495639445274556,-0.210638087796313,-0.116133770595823,-1.01992949500362,0.414473445321246,0.657906462403814,-0.0615408672478818,0.255060036045036,0.346722662986387,0.618747224068834,0.544194738617824,0.0498342310317215,-0.57699681342786,-0.0552900856987317,-0.10443592323961,0.780936954468508,0.754812893781783,-0.785579403531741,-0.43065589993542,-0.310814364473996,0.313440951504167,-0.482077896398074,0.100566772161007,0.253598127647211,-0.201573323690793,-0.131447158925127,-0.0780390127466694,-0.658120064956722,0.289912915480967,-0.383975869799748,-0.650978654908966,0.0879395428915062,-0.0211298229644531,0.0252611466988429,0.0881059626178527,-0.0941975239090955,-0.0554016947835458,-0.206961894769746,1.0744723376501,0.174562530387361,-0.39640924134666,-0.0272815463241748,0.658021518222666,0.420873717439442
