"","JHP_RS00070","JHP_RS00075","JHP_RS00285","JHP_RS00410","JHP_RS00530","JHP_RS00560","JHP_RS00565","JHP_RS00570","JHP_RS01205","JHP_RS01210","JHP_RS01320","JHP_RS01700","JHP_RS02010","JHP_RS02455","JHP_RS02600","JHP_RS02780","JHP_RS02865","JHP_RS03010","JHP_RS03040","JHP_RS03050","JHP_RS03060","JHP_RS03065","JHP_RS03125","JHP_RS03270","JHP_RS03440","JHP_RS03445","JHP_RS04360","JHP_RS04665","JHP_RS04870","JHP_RS06015","JHP_RS06495","JHP_RS06955","JHP_RS06990","JHP_RS07100","JHP_RS07305","JHP_RS07580"
"HPJ99_Mig_2 (GE) - TPM",0.0312541837812264,-0.320486094963738,-0.532214608481894,-0.559060008838859,-1.02545280513113,-0.102170160877645,-0.842555498148085,-0.98535358124956,-0.681924594474254,0.439740498539235,0.112137997298901,0.349980789109677,0.0842316280880315,-0.677393882260168,0.393102303447891,-1.18679820905882,0.211116285302701,0.667309329503026,-0.438176465363082,-0.808297745524559,-0.98201762944921,-0.934294760700329,0.771697257859751,-0.392733157033022,0.00890091500490192,-0.015924134420263,-1.69926000850035,-0.999090922871246,-0.664544592003678,-0.097146133174546,-0.169433493111414,0.453338729103144,-1.09850472572572,0.0379114804290873,0.522875609500287,-0.935388507196106
"HPJ99_Mig_3 (GE) - TPM",-0.181004806314841,-0.471282222154935,-0.648888411586628,-0.701458335290858,-1.53556117647914,-0.360723079129995,-0.999179795828384,-0.978546117737927,-0.612423135293145,0.342440053404233,-0.427435083723055,-0.0409783879288325,-0.557110420362986,-0.549143302299537,-0.124736111031723,-1.06234496749856,0.0584100830062286,0.118851047364588,-0.98406607642183,-0.854130239110917,-1.00622179601294,-1.04095665183766,0.890652420436065,-0.899438343247818,0.322211167263182,0.253411065916263,-1.38738361118289,-0.844344194204626,-0.719266757795614,-0.416544824202012,-0.0640517513539624,-0.698969744249708,-0.870819825295565,-0.237347323678134,0.238573834012822,-1.0660008972463
"HPJ99_Nd_1 (GE) - TPM",-1.09272959745456,-0.596199651121136,1.20641838142358,0.588657926972438,-0.58361625238228,-1.13957614168337,-0.763895822277156,-0.517446120087941,0.338293204351883,-0.013616516987524,-1.35699931825789,-0.140994133298142,-0.636976861126803,0.30951435203432,-0.0387201839286559,0.241296441478888,0.349873511102862,-0.627136027595888,1.08604048031076,1.45456698598875,1.47759377805315,1.50703157798273,-0.281293133310967,-0.00510660241772189,-0.527677160966835,1.42273870799855,1.15632648786047,1.15846614424405,-0.834879768318348,0.755988877587081,-0.853069716230314,-1.05812635351312,-0.235423163136618,-0.265779391019486,-0.34123241577351,-1.11211831685452
"HPJ99_Nd_2 (GE) - TPM",-1.05378134481934,-0.60888134399774,1.17525153433255,0.176233264082955,-0.428339646648859,-0.958933315266582,-0.519800331071826,-0.461595663783767,-0.145541404790831,0.0486639680823263,-0.746680744653254,0.163274611648264,0.120772251874417,0.0636859752719662,0.397165579482482,-0.0562066186506411,0.816785030027589,-0.632406205832483,0.744285551175701,2.26253475178663,1.48167526495097,1.59239441511409,-0.215462462612366,-0.322410658239777,-0.998598147172102,1.05258634689924,1.04943966263567,1.23912348447375,-0.861017984095574,1.04660584815321,-0.871886469224479,-1.22774817022384,-0.646455092398203,-0.350721973865558,-1.0397859470342,-0.903715754390368
"HPJ99_Nd_3 (GE) - TPM",-0.904652838349177,-0.602317501772838,1.55708580640152,0.726068378528268,-0.652044757357335,-1.08562989455593,-0.713096377596559,-0.51066085396938,-0.294899746577643,-0.102450831662412,-0.831948799024368,-0.747725774172549,-1.09842602880306,-0.024507552017102,0.33177912462392,0.0353185688284412,0.841998367278998,-1.20623795184379,1.2481591896854,1.13143056484363,1.42129206450633,1.26630904160803,-0.385568843996167,-0.129242381720268,-1.26914324608296,2.20251130443511,0.636558309187897,0.643709749231637,-0.674846062274691,-0.0498097787435681,-0.829525492531705,-1.36144517075205,-0.605119323905976,-0.432745426485341,-0.663243641957976,-1.15052538937652
"HPJ99_Ns_1 (GE) - TPM",-0.00580790699444118,0.184806663222073,0.0594917999491993,0.343677439841692,-0.464228225495763,0.0606681732675091,0.470773235048088,-0.0436676589072036,0.179494217363431,0.016595113544532,0.189021355233191,-0.509719481242424,-0.0398776430254241,-0.660393411417502,-0.321037882417324,-0.5657525388549,0.0302519505231821,-0.32945331832994,-0.312265766241631,1.23147330173704,0.673467389721082,0.173839132022967,-0.491079776741416,1.22800966903089,-0.346644951028828,-0.0723503558903075,-0.0113670760139237,-0.621286115511381,0.209079520514245,-0.794255786238789,-0.241282450492255,-0.905752572106358,0.479230591998361,-0.735293155897899,0.813270477109228,0.448685953195746
"HPJ99_Ns_2 (GE) - TPM",-0.0902733024110319,-0.213218703276412,0.383677239987555,0.53719150260542,-0.545169335575709,-0.269377752045403,0.160996501196104,-0.0450078612888156,-0.0038318647708607,-0.153520562513852,0.144292740364492,-0.673090509731645,-0.498005800275498,-0.456170509064154,-0.629750351613162,-0.635239384597686,-0.271456281815546,-0.0984700366850274,-0.653375457956651,0.640329164205378,0.308908994076607,-0.378620958522479,-0.524704162082916,0.723211619123736,0.147106031238277,0.161750162448674,0.158136775445279,-0.89347842638605,0.115435920065891,-1.07614519244983,-0.255852698480016,-0.445809514707509,0.0546975931821584,-0.561742617243133,0.779748561560813,0.199606378980085
"HPJ99_Ns_3 (GE) - TPM",-0.432295385457206,-0.263755554148595,-0.0512917174931225,0.547307148874586,-0.871513225363394,-0.579588088471999,-0.0747795582801708,-0.346312634937718,-0.182331754639916,-0.436399484955257,-0.687725643398361,-1.35953315536419,-0.420170185634171,-0.689396422097051,-1.04516240431907,-1.15589475043694,-0.670138522757552,-1.19294680355358,-0.529122417393547,0.508518046635093,0.112047847551345,-0.585039825868943,-0.936715797763524,0.553892511943628,-0.098968346437718,0.0322600396837994,-0.317300482593877,-1.12691609808483,0.245266282418284,-1.19410718466924,-0.375764351114625,-1.35218468399325,0.694570663137159,-0.929283469878008,0.351946770270226,-0.396603225928044
"HPJ99_Oss_1 (GE) - TPM",-0.165293533933482,-0.0890093022133699,-0.440829606460579,-0.135104823963696,0.97001134068842,-0.27828352412455,-0.0506201918310227,0.123265407477856,-0.539888182287871,-0.886001602216365,-0.46584408008411,0.99243357772205,-0.66464207874141,-0.00869122641915998,-0.718651859943067,1.05236302517556,-0.515779324301057,0.888409901638637,1.27384872904428,-0.194079419613181,-0.268843878296223,-0.267803252794651,0.0269792565710621,1.06079695551676,2.05532480537036,-0.860199831930691,0.148418347142738,0.0239015819336265,1.17856270281253,-0.302222867577593,0.981925338136107,1.27041265605396,1.15708901807237,1.1248974575114,0.225307291196384,-0.149705284281922
"HPJ99_Oss_2 (GE) - TPM",-0.142921861647371,-0.296002964596829,-0.485068650588378,-0.155019975850812,0.672267978466535,-0.0600451754813851,-0.274758334531279,-0.277939177278505,-0.684803231606813,-0.597272230358168,-0.30059644114403,1.20011048371066,-1.10349559379209,-0.153599201531781,-0.601538254818836,0.919482041245142,-0.856240366819675,1.08064723645739,0.734616666255468,-0.634549336271234,-0.517605102810327,-0.138842701849984,0.0250270324278187,1.15689712771654,2.46296549009853,-0.784195721278912,-0.171988669906466,0.213769255379105,0.727779901128046,-0.0718890729941069,0.627497769514189,0.797764322595805,0.948873266536529,0.798870156409878,-0.0679159588067545,-0.570637248086685
"HPJ99_Oss_3 (GE) - TPM",-0.0593434231979784,-0.187340510085541,-0.798605807966797,-0.0938664855881866,1.3311110174401,-0.123318528087543,-0.111713890700871,-0.0954634147759282,-0.658222770880256,-0.782551074361649,0.0475995233830968,0.707707451922218,-0.803386971502733,-0.279885784102836,-0.0891569009829155,0.465106871834113,-0.299254088686594,1.6090309108529,1.19999208023663,-0.126272586946517,-0.205176062952724,0.0253141648623543,-0.0297555374879521,1.72133933180696,1.50948379475339,-0.78186262169197,0.104271448918584,-0.352614764164015,3.62002851760199,-0.51180898928125,1.20808873017296,0.935472088045598,0.558386165497072,0.805131864315587,-0.296471730556238,-0.263143185436094
"HPJ99_Oxs_1 (GE) - TPM",-0.679689679526646,-0.659449336807873,-0.744594800406117,-0.866947334215147,0.391848615519719,-0.262876188995782,-0.200582331417225,-0.171331786390687,-0.291570399912998,-0.584935288437486,-0.0512399177779486,0.690176478606738,-0.282041843840634,-0.669771693041952,-0.782151929920808,-0.0829459449980761,-1.33089796280418,-1.38202609174828,0.216754896224609,-0.757622555489417,-0.68782379551272,-0.578198910881802,-1.18633618950353,-1.08717770456059,-0.782037363199983,0.438071847454487,1.13071241393969,-0.838480493439017,-0.727248101015157,-1.26451678992832,-0.479019073597851,-0.125102340307482,0.264600294915142,-0.952502371732076,-1.06506113753029,0.479693831888173
"HPJ99_Oxs_2 (GE) - TPM",-0.58926331176313,-0.582050899490951,-0.675070545171345,-0.701963016804611,0.786470544254952,-0.234007609149956,-0.0325160024007026,-0.0933954337499516,-0.319569749555773,-0.76480093912194,0.254299750154188,0.272472940607393,1.14910893348272,-0.378522738989846,-0.548450919495969,0.779604871977727,-0.985339025137474,-0.823348015082888,0.888299815334736,-0.401254778396994,-0.364129229070702,-0.318388773230384,-1.25271418047327,-0.294680706507726,-0.268700301489335,-0.276481388539346,1.33787007659733,0.022989705710266,-0.775644127794707,-0.573733173467777,-0.483654172905057,0.809153294120528,0.150711290222807,-0.813966958043955,-1.13814622607886,0.845713016937178
