"","SAS_RS01975","SAS_RS05325","SAS_RS05330","SAS_RS05335","SAS_RS05340","SAS_RS06020","SAS_RS06025","SAS_RS06030","SAS_RS06035","SAS_RS06040","SAS_RS06045","SAS_RS06050","SAS_RS06055","SAS_RS09010","SAS_RS10880","SAS_RS13930","SAS_RS14035"
"MSSA_Oss_1 (GE) - TPM",0.198814967801613,0.32000670400699,1.24241375265125,0.214317762442703,0.313337076828644,-0.463390579772666,-0.370426647784848,-0.588157362429417,-0.825692439684924,-0.927024099425151,-0.975069587404014,-1.15430587698953,-0.381570082547277,1.13631224283893,0.0191710954154211,0.648000506606638,-0.0246163107766629
"MSSA_Oss_2 (GE) - TPM",0.450572784274791,1.60875695663838,0.652245886213381,1.33175269598602,0.136738169021773,-0.490774563949556,-0.35408031528183,-0.260322308406219,-0.185807415538345,-0.380083516466797,-0.70984911965703,-0.666978096113928,-0.415279058263471,0.62083097178663,0.170146800312132,1.79009484873578,-0.130612337126235
"MSSA_Oss_3 (GE) - TPM",-0.742731287820137,0.915813478230163,0.150846401176558,0.378413847588297,0.241447165354076,-0.609226887924789,-0.61630061744125,-0.687439672011503,-0.822388572528269,-0.866256754894348,-0.980796324322204,-0.83739066502169,-0.862683735879596,0.73291296865018,-0.0603985261613725,0.983056597128807,0.269615155200088
"MSSA_Oxs_1 (GE) - TPM",0.550822447163491,-1.29208323708984,-1.10624862394532,-1.56435309105465,-1.40975849985968,-0.60757546173069,-0.608923956693337,-0.791865416986099,-0.688396846279102,-0.648879630731418,-0.75143278716486,-0.792479969115145,-0.924047252016095,-0.595358401483298,-0.754838377013806,-0.820476915839368,0.135787100587943
"MSSA_Oxs_2 (GE) - TPM",-0.280157353891633,-1.62905377870477,-1.08325871588114,-1.34095244004667,-1.08108956085748,-0.394258412352048,-0.314935985419724,-0.489739523676416,-0.27203463743254,-0.332969808690158,-0.23857835595643,-0.127065751286557,-0.261028573622499,0.391356776929512,-0.774728809032427,-1.20520110990731,-0.288565830603187
"MSSA_Oxs_3 (GE) - TPM",-0.147946861244872,-1.21619835090577,-1.57974489176868,-1.18760010730927,-1.5917247339424,0.31826642157178,-0.162543865250123,-0.164151938034345,0.0218065837187998,0.196092238815831,-0.193267304882034,-0.195630493295877,-0.256149744456918,-0.00179350143977051,-0.694639207593536,-0.705929587572093,0.786860491364864
"MSSA_Sp_1 (GE) - TPM",-0.514587345446452,0.53479193458601,0.409727057696141,0.504545214817975,1.1354493361636,1.34119935175578,2.81246616929629,1.86054670732587,0.897751084870958,1.52432448778967,1.16065736561093,0.925446345176127,1.2491559561719,0.285249969267192,1.7188706034886,0.311380087525537,0.215201796569896
"MSSA_Sp_2 (GE) - TPM",-0.831953898225141,2.36222354757681,1.60229004318896,2.02990939290433,2.09378640312939,0.354411798762517,0.915419033908025,1.4555631865122,1.01929871029517,1.04583797928453,1.16100484949079,1.4182832292108,1.54722986998385,2.51444182286783,2.36111322871256,2.63499425037467,1.97817178908415
"MSSA_Sp_3 (GE) - TPM",-0.73753442585057,-0.209144664045359,0.240024710918187,0.575630317990797,0.69811903636857,2.07589593476753,1.9845446101011,0.765710025519734,0.904015587000425,1.14946611943142,1.18676958724365,1.49557338874484,1.25830359804554,1.00178884078613,1.0055364568178,-0.991097842944468,0.658177079303882
"MSSA_Tm_1 (GE) - TPM",-0.0587467076010052,1.73007725023107,1.7216559188569,1.80757555174324,1.44720917535106,0.379251368024932,-0.0190951286523328,0.684205746498735,1.04743934510442,1.12696744287945,1.79148964635333,2.02974920286225,1.151248190163,0.836092432042869,1.77186781305949,0.247343700253389,-0.716568831372896
"MSSA_Tm_2 (GE) - TPM",0.301394429882333,2.24839603380093,2.3527489215825,2.79810348226636,3.09516831308541,0.193671562608632,0.325754925179516,0.932957694155058,1.15758732831174,1.50282122866843,1.99596400806632,1.64013441368791,2.3540629080661,1.10970776162098,1.18621128996316,1.89556078589404,-0.719471926744952
"MSSA_Tm_3 (GE) - TPM",-0.0840915276523963,0.786606885892609,1.17681396962474,0.83215299888683,1.57850028502897,0.345582246314507,0.771891083821545,0.925085195983704,1.27230377203687,1.29495679168649,1.39870747105777,2.37055986844776,1.90553186367409,1.2098804023998,1.04232022005528,0.267624372719983,-0.105715615985277
"MSSA_Vic_1 (GE) - TPM",-0.385684274277561,-0.112634441514074,-0.37502570523461,0.283331648522081,-0.0888668179980637,1.65263398521492,1.25713318005384,0.587516337473643,1.10229175119738,0.639487012316727,0.409809589867748,0.367115569650009,0.923552901707946,-0.55108380026201,-0.997085232964908,1.59477878299811,0.359115482774859
"MSSA_Vic_2 (GE) - TPM",-0.444000414452676,-1.12253680949805,-0.388492880584423,-0.569983828025612,-0.510164199259366,1.25052347579916,0.33275128326665,0.737124797960926,0.500167557394303,-0.0678235038461223,-0.351512543036589,-0.149821015187326,-0.652909884374519,-1.16395161732593,-0.822661143076337,-0.852453601386801,1.65594812169128
"MSSA_Vic_3 (GE) - TPM",-0.408252445670051,-0.704546773447698,0.00532161907873898,-0.381046953929579,-0.303814098103396,1.88867521746468,1.24731697180817,1.03655226023288,0.536418314692794,0.102572491761514,0.0326443330929644,0.134274658626097,-0.502341041444039,-0.380487761247487,-1.01764574742494,1.75333633347985,1.6319985817458
