"","FTS_RS00355","FTS_RS00370","FTS_RS01760","FTS_RS01930","FTS_RS01935","FTS_RS02115","FTS_RS02120","FTS_RS02265","FTS_RS03265","FTS_RS10260","FTS_RS03810","FTS_RS03875","FTS_RS04150","FTS_RS04300","FTS_RS04615","FTS_RS04630","FTS_RS05170","FTS_RS05175","FTS_RS05185","FTS_RS05190","FTS_RS06395","FTS_RS07685","FTS_RS08180","FTS_RS09335","FTS_RS09355","FTS_RS09360","FTS_RS09365","FTS_RS09370"
"FRAT_Li_2 (GE) - TPM",-3.35158561885532,2.71216058506122,2.84134496990533,2.78647885382803,2.85129597481363,2.88491069286298,3.39798022873015,-2.54421430031079,-2.78351333952327,-0.210666549578278,2.05968817504469,-2.66246694827902,3.06920949191397,2.42049967631942,3.03635831142019,2.97181867385893,1.40723766279036,2.38945675467797,3.48011492067045,3.88751041613172,2.94296514572037,3.40185765304982,2.82466249188142,-2.75960761491886,3.70509313235349,3.79645887033043,2.96256169838327,1.17438267448207
"FRAT_Li_3 (GE) - TPM",-2.18463674032586,2.12387568311182,2.15613442934228,4.58337976743041,4.83622571113455,3.3477550898774,4.03837547150786,-1.95034618130267,-1.92806276929219,5.56112908400723,1.39443255143111,-2.75505450401609,2.149671062248,0.431606123762151,0.80312951533202,1.01741965846884,0.334634097207441,0.427202898426587,1.72116051889793,1.22755991897435,0.979656098494509,1.7172770645703,0.810866702206602,-1.72397053952978,1.14557079599099,0.425579659739827,0.163890941183713,-0.339647031658125
"FRAT_Mig_1 (GE) - TPM",0.54274241668048,-1.93082918828797,-1.64746038836024,-0.243173068480372,-0.21998628313032,-1.14229465064911,-0.56359421125993,0.646326734432565,1.30060927272974,-0.210666549578278,-1.53072276511739,-0.719702524090574,-2.11783237915791,-0.204589467044172,-1.05667362021375,-1.00480402832266,1.19828419430511,1.93346262997835,-0.334439471955901,-0.331081740476377,-1.84511306964293,-0.806645204857957,-0.407825137292798,1.68810831509342,-0.310586347824825,-0.329840031820741,-0.405195079680615,-0.761950459766478
"FRAT_Mig_2 (GE) - TPM",-0.125808301023299,-0.737548860087342,-1.53142733934275,-0.196821053580211,-0.069897970123575,-0.241167489554616,-0.378257738496414,1.12144101738322,1.46481104644129,-0.210666549578278,-0.884075035830567,-0.422484020574789,-0.500370506892206,-0.323179013776479,-1.37725468260568,-1.35969033640812,0.943022817693904,0.458127431636428,-0.564166345634689,-0.525307412510961,-1.440311597789,-0.852776294428126,0.0129975192500174,0.172230985360564,-0.307349934353674,-0.289914217319227,-0.340369443682103,-0.251177691981839
"FRAT_Mig_3 (GE) - TPM",0.185963235713605,-1.28280596017327,-1.38451214841774,-0.253642715675466,-0.202195039194995,-0.153955563508921,-0.330723960454636,1.09478255744969,0.866001558172376,-0.210666549578278,-0.583223469615794,0.421521305079687,-0.325344459660457,0.979307417429038,-1.12178787980425,-0.75393559978396,0.885624576011034,0.953942504705633,-0.519007753524039,-0.464786562408636,-1.35774652318957,-0.777829377816416,0.479267738202429,0.393007312150496,-0.304516348577415,-0.293163905201611,-0.324009437641345,-0.416729578369181
"FRAT_Nd_1 (GE) - TPM",-0.222007682546482,-0.0930102258809457,1.0502517155219,-0.192270262076971,-0.227459104782736,-1.01646352343149,-0.161951562679176,-0.758579006892766,0.34911221076871,-0.210666549578278,-0.144601621270982,0.625427190900819,-0.169455318701786,-0.451327358622736,0.665878528824696,0.38006262771538,2.29268655877308,1.32488523927551,0.797834741236139,0.182018603329867,0.664368051913906,0.533956965962779,-0.947601520467625,0.55286465763496,-0.0923075034327488,-0.337491404439028,-0.403877820421135,-1.33747107735299
"FRAT_Nd_2 (GE) - TPM",-1.0627784432464,1.12032111018647,0.93855215409933,-0.109068138939315,-0.220369121438789,-0.808555956271294,-0.0543994263284527,-0.521563135077158,-0.672114749335725,-0.210666549578278,0.511074189663598,-0.31500985954263,-0.563865693675034,0.772403374365371,0.685852095997684,1.04416523582703,1.6790045622025,0.501507038923976,0.927051287713824,0.620149222875255,0.583048772645844,0.229175752139058,-0.890560225937141,1.03453725424325,-0.136693345445434,-0.326112798119048,-0.41292816734067,-1.31597430648249
"FRAT_Nd_3 (GE) - TPM",-0.155171064724974,-0.0172868102527995,0.394599225939252,0.0949270425051697,-0.178174071245074,-0.885553058301159,-0.112890849256579,-0.358384903990621,0.569151059687272,-0.210666549578278,-0.541127681192014,0.962210014123214,-1.42639026177571,-1.23691661044007,1.34178701931494,1.41521399890253,1.94558121511305,0.688749465360181,0.904826204856043,0.337065232947345,-0.730312606540072,0.821311150074367,-1.8949892522822,-0.418328091296548,-0.166140151208562,-0.325111809059501,-0.377874934433507,-1.37065039313397
"FRAT_Ns_1 (GE) - TPM",0.357716726700471,0.165850436909013,0.572842568127539,-0.336131210794025,-0.326464767709271,0.54512636489049,-0.226150436212719,0.0759468162693731,-0.361351908017685,-0.210666549578278,1.0885892172322,1.30634096900883,0.15115304608768,0.664452981334946,0.0665732121185129,0.151117336528656,-0.475690583091737,-0.405313881786624,-0.375069614333736,-0.249779983461667,0.77100490199147,-0.214934780812002,0.773143979007038,0.476427436290986,-0.283676378532406,-0.217998339090516,-0.178713388099152,0.188365080214508
"FRAT_Ns_2 (GE) - TPM",-0.942469528903008,1.20703265646987,1.77920138037465,-0.334340196493094,-0.298497411649291,0.915223971287239,0.05363448452661,-0.71019130786204,-1.22558609332604,-0.210666549578278,1.65053126226749,0.168200510609054,0.601574715045698,1.84914704022169,1.30892991315364,0.914452195910723,-0.403682454522699,-0.442262498580161,-0.348306076670375,-0.227454975563498,0.857669690165791,0.0240305237812522,1.02611154031093,-0.614186636562173,-0.286438391420892,-0.240654798295611,-0.215402188565681,0.0218370997887822
