"","KPN_RS00070","KPN_RS00685","KPN_RS01190","KPN_RS02130","KPN_RS02135","KPN_RS02415","KPN_RS02500","KPN_RS03680","KPN_RS04185","KPN_RS04845","KPN_RS05185","KPN_RS05855","KPN_RS06810","KPN_RS11480","KPN_RS12020","KPN_RS14190","KPN_RS14530","KPN_RS14555","KPN_RS15040","KPN_RS15160","KPN_RS15640","KPN_RS15750","KPN_RS16260","KPN_RS16300","KPN_RS18085","KPN_RS18620","KPN_RS19050","KPN_RS19245","KPN_RS21150","KPN_RS21160","KPN_RS21875","KPN_RS22785","KPN_RS23540","KPN_RS24350","KPN_RS24445","KPN_RS24450","KPN_RS24865","KPN_RS25145","KPN_RS25665","KPN_RS25900","KPN_RS28370"
"KLEBS_Li_2 (GE) - TPM",1.57205448710046,1.1881490926895,1.00742945935805,0.755380468432796,1.19916394545843,2.72430476793756,1.56558354756287,0.8915762016894,1.20862499756423,2.69640240345997,2.17565366799541,0.15404711579702,0.839691894747856,1.27720476631235,2.9221968503748,2.35046054129816,2.11658902511393,2.64247368483092,1.75287773754576,1.55981495568035,1.04652526148009,1.08570990210362,1.71667840190451,1.33906968193899,1.36076184162402,1.06822821818321,1.90479791230222,2.26207172132393,1.44756975746013,1.89778034345189,0.357251589135036,2.31145122009652,1.91294670777909,0.29070945425055,1.84653805465736,2.64184348022924,1.101618688501,1.61339108558017,0.0275916041680975,1.1466477877158,1.6279669029228
"KLEBS_Li_3 (GE) - TPM",0.734237795997186,0.097840526369635,1.13264013861922,0.334738623577992,0.788205837588139,1.2873295084736,0.934125747869474,0.620310512158442,0.965373951020847,0.650510334780691,2.0147474025558,1.50370132490976,0.0626266764185808,0.070170756751656,0.506988147003588,1.2232302864851,2.02554490261322,0.693867132888882,0.0964286873514109,0.571207836618662,0.636243506719324,0.345015724906273,0.944661892473362,1.09331796925277,0.953989379033385,0.681757206998154,-0.258457799675345,0.225970815289685,0.282716645579415,1.36441178175356,0.705461403205355,1.44212029470835,0.497741299452016,1.41370691854726,1.39399260155132,1.29340568706509,0.090427311584579,0.0326437094735208,1.25719585633708,1.81361298051277,0.522030495953663
"KLEBS_Mig_1 (GE) - TPM",-0.541085493761509,-1.56190237158069,-1.4647545572736,-0.607381320276261,-0.952596193961575,-0.777752343588108,-0.755699239540939,-1.39768661797204,-1.62802052812352,0.102343702338714,-1.41773357912772,-0.617898583880594,-0.570188777471833,-1.28627315944296,0.590399189143388,-0.847105705784755,-1.0568115246277,0.359417157926925,-2.08175608368769,-0.664844585244812,-0.694496288301081,-0.805705245249242,0.101232250744511,-1.0086965707015,-1.00870645774769,-1.28290439234118,2.01278401666342,0.851624045002723,-1.09308897297122,-0.167186816096853,0.0784007953544626,-0.157417786947755,-1.33623174002201,-0.361353836119272,-0.633495494474059,-0.775832605134903,-0.181612765709487,-1.002091618003,-0.72670531740885,-1.59163370105558,-0.723988683160666
"KLEBS_Mig_2 (GE) - TPM",-0.666613153605674,-0.317265315695188,-1.00016691747047,-0.539200220644563,-0.915190962325511,-0.802958238073709,-0.918532964599093,-1.43638991553121,-0.251773534125414,-0.774310138058541,1.94834703293786,0.754676865824497,-0.829444969023546,-1.86497271536631,-0.483593659916108,-1.00637513833039,-1.06258569895521,-1.22621413425567,-0.516529422307016,-0.884795696361885,-0.640513312178494,-1.0157668599627,0.697019680826549,-1.20250057580243,-0.450624257059022,-0.941614899630206,-0.630510784938956,0.512209223588713,-0.924025118972246,-0.207002710003362,-1.87177087619931,-0.745495522102663,0.0504695410709963,0.993386570977752,-0.689931632313536,-0.811782671208993,-0.696116280270368,-2.07407201413299,-1.30137414890508,-1.23537612820213,-1.51524305844545
"KLEBS_Mig_3 (GE) - TPM",-0.558895922331716,-1.06622356700363,-1.18054253066455,-0.0295893758970612,-0.860641091657176,-0.687714609823541,-0.285784331182314,-1.41987476648291,-0.443962318322706,0.666813570833269,-0.495609705812494,-1.45191963793319,-0.983507338849261,-0.527649128802422,0.0334060219202974,-1.0918383395326,-0.57875786093104,-0.0290902706907562,-1.37314948101732,-0.808912744666866,-0.622434555721435,-0.866832355867924,-0.310970373872963,-0.899161915495146,-0.929723212827906,-1.07206861385876,-0.361256475002932,-1.25991897227618,-1.16037995005519,-0.0209283669484517,0.37221122683552,-0.7019337199971,-1.33623174002201,0.498100760606469,-0.557416468961889,-0.818652538178975,-0.783271367194529,-1.32148860939581,-1.30137414890508,-0.283987805190917,-0.970336656251208
"KLEBS_Nd_1 (GE) - TPM",1.65216440263964,2.01783826299971,0.351247129226881,1.83748799043431,2.71417005161685,2.18463866781379,2.19130215975416,2.08692203454974,0.274396067581302,1.19810674402424,1.0458020562916,1.09749438363123,2.49747056412483,-0.35666779949169,0.58503858592226,0.706699629301221,1.87890740568422,1.10735583724402,1.0684283847216,2.08577738245352,1.65609606163541,0.837805148427027,2.0115923478827,0.581814562806639,1.50601010622075,1.90361013852769,0.278403704941302,1.39297141813679,0.966484885003055,1.63953971097646,0.943952311756393,1.68769036248263,1.83307446475726,2.49886818482109,2.21486083121097,1.40160605833476,1.44046030649325,1.62724349045447,2.08246537578554,0.542858029564109,0.975902823761982
"KLEBS_Nd_2 (GE) - TPM",1.76935327023445,0.718594691977681,1.71459334524988,2.05697959663081,2.54266461951595,2.14815945254177,1.39733773929662,2.35582288937898,0.367237203925505,0.872435801848838,1.25204320504819,-0.458338527475809,2.00612240325261,-0.0168114098275533,0.127982082664558,1.27203365758731,0.197934521308333,0.15306476661917,2.55343202901297,2.65753893647388,1.94393367255647,1.15815465969978,1.24913719033441,-0.167786025365995,1.80013511813373,2.66865264694686,1.28825841269613,2.01415812411713,2.81759083502581,0.175724264449446,1.48392993381023,0.980157406560727,-0.0182153149780602,0.46362489707297,2.1646985728908,1.7608451488519,1.50155757161611,1.37590927668165,1.54529960579323,1.86220603781102,-0.03297348204318
"KLEBS_Nd_3 (GE) - TPM",2.17442700735647,1.06169807683671,-0.45017336239013,1.66412245367336,2.5280518756982,2.25445977698236,3.00824682004123,1.38705383992157,0.830455068598314,1.66840707620332,1.06286810765099,2.97190234439258,1.9474726772854,0.46584665595571,1.32889754176038,0.580684960593765,1.20161302903464,0.483493162412581,1.76504842851937,2.81733971829857,1.83843296750563,2.18029914302697,3.11915308305373,0.30742538545246,2.15962643302333,3.01846567094888,1.39313171081937,0.570872069820071,1.48666765917782,2.95834975339746,1.8498092312121,2.22598687844345,2.04539466693415,2.09025877944297,1.85157055677593,1.67822026832883,1.8999408278243,1.69227285935746,2.25580540067664,1.7732446938942,-0.0810934190772705
"KLEBS_Ns_1 (GE) - TPM",-0.531331446676003,-1.17916685098171,-0.525501893265436,-1.11108836863559,-0.279206484890288,-0.533553606949323,-0.887962256225903,0.910430414029413,-1.03048620243824,1.2811396105151,-0.329290163070542,0.496723182031814,-0.984852643123571,0.182121751033487,-0.0509925457707327,-0.693686316236448,-0.250649235962606,0.215586976951208,-1.43702824952653,-0.449537662934963,-0.336284281891421,-1.17017825606172,-0.870026392010837,0.953665375582436,-1.30142816241507,-0.780922995773244,-0.92820840720587,-1.03070650567132,-0.87782435315041,-0.147893900258126,1.24624573730933,-0.908582953167886,0.0230320373233937,-0.935487620295166,-0.581332735034773,-0.54968122901345,-0.562304055025825,-0.779004235255492,-0.263235166752936,-1.59163370105558,0.783679801970791
"KLEBS_Ns_2 (GE) - TPM",-0.521879099469364,-0.166413764676381,-1.26956159275857,-1.45154679771416,-0.221895053765592,-0.545087073661364,-1.11100722094673,1.13585959846761,0.110777611430909,1.19289593429003,-0.00492058917778046,-0.458622572593514,-1.38684703203764,0.77393445788388,0.559663149790385,-0.454454400198364,-0.724700992384679,-0.486580988509248,-0.258811847309347,-0.222125062274895,-0.295851722310175,-1.10275576931402,-0.480941379086374,0.779134830318087,-1.03590520137365,-0.548449857254474,-1.08996408860301,-0.374108473082182,-0.929471676638977,0.635714142462386,0.504147845997769,-1.15094686747724,-1.14202774010675,-0.211683410783562,-0.579689410320429,-0.642133072773747,-0.429391183335721,0.176457515664504,-0.749472802894875,-1.59163370105558,0.204041565543356
