"","NTHI_RS00325","NTHI_RS00795","NTHI_RS00800","NTHI_RS00805","NTHI_RS01025","NTHI_RS01060","NTHI_RS01355","NTHI_RS01615","NTHI_RS01620","NTHI_RS02110","NTHI_RS02625","NTHI_RS02800","NTHI_RS02805","NTHI_RS03630","NTHI_RS03800","NTHI_RS04165","NTHI_RS04230","NTHI_RS04235","NTHI_RS04240","NTHI_RS04340","NTHI_RS04405","NTHI_RS04465","NTHI_RS04470","NTHI_RS04770","NTHI_RS04920","NTHI_RS05060","NTHI_RS05065","NTHI_RS05370","NTHI_RS05385","NTHI_RS05700","NTHI_RS05705","NTHI_RS05755","NTHI_RS05760","NTHI_RS05765","NTHI_RS05895","NTHI_RS05900","NTHI_RS05905","NTHI_RS06020","NTHI_RS06245","NTHI_RS06255","NTHI_RS06310","NTHI_RS06315","NTHI_RS06425","NTHI_RS06430","NTHI_RS06435","NTHI_RS06635","NTHI_RS06645","NTHI_RS06735","NTHI_RS06740","NTHI_RS06920","NTHI_RS06925","NTHI_RS07475","NTHI_RS07535","NTHI_RS07950","NTHI_RS07955","NTHI_RS07960","NTHI_RS07970","NTHI_RS08255","NTHI_RS08755","NTHI_RS08950","NTHI_RS09380","NTHI_RS09390","NTHI_RS09395","NTHI_RS09400","NTHI_RS09405"
"HINF_Mig_2 (GE) - TPM",-0.921714018932659,-0.674021567948096,-0.937659311788921,-0.715872378931467,-0.276793555528867,-0.499238005912042,-0.245168957609678,-1.01018693815122,1.44517559013025,0.197028124576131,-1.17030190311074,0.10003843082928,-0.385283884523356,-1.54037694060802,-0.399993937106137,-0.676426765418403,-0.040159098147156,-0.350264503899822,0.182885672611802,-0.137846778243295,0.310141778790137,1.17738680702935,2.52144311689777,-1.69402571861585,-0.731420766668197,1.35819180996602,0.797952591206973,-0.628829945487396,-0.572808654789954,-1.00751711801826,-1.14263705167241,-1.19477440078823,-1.1625495880012,-1.16711364543763,-0.867199420269182,-0.471120313198743,-0.489905287810876,-0.654525332905369,2.03094054016026,-0.497306611765921,-1.00935906556597,-0.519826071640859,-0.864341321832052,-0.7372782721073,-0.779349989404426,-1.03957900588779,-1.31029970614899,-0.896512210374761,-0.273414002879321,-0.50929200789552,-1.16256623625132,-0.917074686687619,-1.0061819715341,0.789692472495752,0.0834178583222916,1.1804199168642,-0.596468255593982,-0.583777404710528,-1.17777091184339,-1.66857980432668,-0.956007140442351,-0.700495931246066,-0.742726913076462,-0.799316850707385,-0.773689324158245
"HINF_Mig_3 (GE) - TPM",-0.957866973480994,-0.588001554093456,-0.674523450767981,-0.530813763355599,-0.206988174477803,-0.456333661792477,-0.445594520029628,-0.892441125496759,0.240826217074474,0.330762618621856,-1.53349604073729,0.0893354202786006,0.0989786510856466,-1.51013499844877,-0.339911381257337,-0.770722573762821,0.0649732963494149,0.163854107138199,-0.0143204385676723,-0.495486433736029,0.430540093925272,2.32899828060427,2.6832171644228,-1.68901565893807,-0.730357014137053,1.18992824741855,0.735983324694215,-0.608281671413044,-0.570971583212184,-1.03559734188003,-1.2531627817945,-1.17362899911506,-1.07054050741869,-1.14987275530304,-0.901779209244633,-0.575030530773148,-0.496945127460163,-0.680192475868508,0.96310881476238,-0.505894295259455,-1.06734283993721,-0.460816889679784,-0.78660024892106,-0.782888220852411,-0.821463176535926,-1.21118310053523,-1.45035175741583,-0.441364764400559,-0.355977709787718,-0.397788289958137,-1.09087213197504,-1.33961189688852,-0.93327900178039,1.06167588092665,0.365937468851667,0.918477508024402,-0.6874105634638,-0.593469144535312,-1.25576358084324,-1.6572242647393,-0.956101244342597,-0.59752150374905,-0.660856405240319,-0.708296146766857,-0.808113193934376
"HINF_Nd_1 (GE) - TPM",0.963525091470674,2.0736639918508,2.46761863296497,2.0587865516652,1.59994200327166,2.22204711838032,1.24390177843021,1.70015538540938,0.571665964186863,1.92827895870862,1.27476169304363,1.5871991459151,2.05868010869401,2.63802236299278,3.08565723899123,2.91480590467146,2.52825808634352,3.25572957469493,2.11770604260315,2.27308800763497,2.42220934797667,-0.813996173819848,-0.856790571584965,1.77939007655695,2.45393875849669,2.12764833128865,2.65379729712633,3.09632251813823,3.03930710810426,2.70071688026609,2.00994317590478,1.48956720307758,1.84727603504603,2.28724585501732,1.58452889524685,1.50025822992909,1.6365387656197,2.30839237955901,1.6439659850164,2.52154420752833,2.41053473314635,2.15287534225681,2.57206269561472,2.2277639678151,2.4447258739638,1.65961634600734,1.72798633625359,2.99879861259946,2.74129025684806,1.07199134018363,1.29394821254955,1.66841572581388,1.43115784050684,0.837275347736062,1.03083488775041,0.924434876507147,1.45196379673819,-1.6721454981169,2.02961265117543,2.21205212621896,2.38206572648002,1.99595404070696,2.38110688842762,2.17746269644281,2.60030683275871
"HINF_Nd_2 (GE) - TPM",0.889739666708738,4.10680725130352,3.71510479760962,3.98621794063517,1.99840781464002,4.02461635328613,3.37831794194906,1.62909353291759,2.19034278698525,2.98206049736227,1.24077887311999,1.9684333290265,3.12432913728815,1.99732626147732,3.02875763928202,2.51085469171751,2.92815061060498,1.88010408985999,2.40024435787569,1.61523143101312,3.0952730351876,-1.22477615695667,-1.11985591711805,1.63044237999758,3.10449441493554,3.23797738426597,3.05599167573641,3.45779608633212,3.50927844224217,2.51755166383004,2.05280784928866,1.26098582950654,2.1410350250723,2.18959295801865,1.94377737076809,2.68967403196303,3.47672668583715,2.99435677204542,2.36878482038367,3.60736406778609,2.85620709143193,2.44689415121819,2.75255536827261,2.58710185674812,2.3798456649151,2.54655799083495,1.76560195666719,2.50247638153158,3.65154508535604,1.60886628569384,1.49687578746584,1.74740349171923,2.37386366090423,1.83359635693235,1.39314624113328,1.73320878402649,2.11236863908228,-1.69639643235859,2.83371758659579,1.69748101518943,3.13484445281089,3.85396060150489,2.92992359767756,3.23947006569439,3.44532491432927
"HINF_Nd_3 (GE) - TPM",0.800038052909857,2.38152657446164,2.42823371653015,2.80079602521293,2.25117671314985,2.51242235150383,2.17568898288804,1.8248980639964,2.24526672772016,2.69233951969304,1.61963819389465,2.09692158185459,2.84118119492381,2.44774497917593,3.10753715045807,2.57517674560946,3.28708204706301,2.85222895399833,2.2667062966986,1.79458604749338,2.13182841926336,-1.21190348165015,-1.08858740136082,2.38056934951772,2.99162116910527,2.66199161608324,2.43742925792992,2.48539578163468,2.42148843311814,2.72958373412872,2.4336547481439,1.52253830685153,0.892333588272204,2.06700048736195,1.68653124656224,1.57806047286365,3.03572672733949,2.6728496845884,1.37422400122625,3.03235367637481,2.24262190477879,2.46482536649965,2.56710712153125,3.04581031110893,3.0355342953548,2.12820331508872,2.98249908567726,2.13286883252355,2.76339012702424,1.32143359090814,1.71551886716384,1.60842130654727,1.62012941004344,0.874562417631804,0.864254800935788,1.22352988366251,2.36975946221029,-1.5886292162773,3.08780062709721,1.9458994969015,3.05963464892189,2.5686945302041,2.54896161411958,2.84296322139028,2.69561550371272
"HINF_Ns_1 (GE) - TPM",-0.612117840590336,0.00195987269925619,0.0451089497561069,0.19073414314517,-0.168907686437359,-0.518547307801786,0.0640235649106402,-0.847050295393317,-1.04547803995001,-0.486464449445026,-0.301886574973684,0.128037748725785,0.187265953064095,-0.852437291289715,-0.267377813687064,-0.649187143042675,0.0597083959555242,-0.827488832450993,-0.886272080634951,-0.572821790296275,0.389971557634973,-0.0344200336530813,0.444361754805103,0.747034494483586,-0.0212953431666397,-0.483991592158246,-0.102996387635822,-0.474433325577829,-0.423994568168688,0.86590497352069,0.403969521702264,-0.605129429197132,-0.982032168823074,-0.989779075677536,-0.862369288627493,-0.839772952659773,-0.511401809154291,-0.733022274721055,-0.91421834659488,-0.327894801709339,-0.828784325295196,1.1372600315545,-0.404846508844866,-0.329873179787421,-0.280420619042388,0.799966964638582,0.403880378876322,-0.652246777284384,-0.453400017830891,-0.0701088256044657,0.0288336447095449,-0.759288139157816,-0.540184835379732,0.204907369610495,-0.170133781896329,0.29291893207984,-0.126046966373269,0.414352600073296,0.0498826810545286,-0.472651912197887,-0.37125851017769,-0.339181352567946,0.217155842500981,0.348709161468243,-0.0276166573085032
"HINF_Ns_2 (GE) - TPM",-0.704545303484862,-0.0659286409713513,-0.0371741977660922,-0.00258208547793486,0.0665126506506491,-0.328854260348485,-0.0403457934086057,-0.782787793907698,-1.13164604946024,-0.390364514489508,-0.801495125465987,-0.379231909529627,-0.322793498800963,-0.705075652615534,-0.231985367743229,-0.70574262738624,-0.0522306654422091,-1.10050444600346,-0.871312465351326,-1.04794731382836,0.53833951265353,0.324159788293025,0.576539904273045,1.11827092798119,-0.0305572433578335,-0.544286135064894,-0.266761568374462,-0.479692322519684,-0.455070104641165,0.762099509726456,0.703261427131376,-0.497839680704956,-0.921838524499607,-0.633553335560452,-0.862423135380003,-0.7799668538435,-0.549625975698754,-0.76849487028401,-1.08253491214505,-0.355007341376295,-0.739821770316396,0.782470558375524,-0.493743811262287,-0.459962841561741,-0.396514043159668,0.126908124972632,0.554360872823829,-0.195634719328463,-0.238179111431739,-0.199860962661974,0.283885795051133,-0.470142511560445,-0.782361297496665,0.125049087499387,0.193867661601447,0.359280075809256,0.391487683580207,0.56228956420853,0.060869787492934,-0.399135115793895,-0.41266426198391,-0.342588219187036,-0.0292488887337446,-0.1083217519434,-0.115097147957583
"HINF_Ns_3 (GE) - TPM",-0.79377085853231,-0.276569434853896,-0.0856083345010127,-0.16400275594781,0.516817814747653,-0.5796423190585,0.0589228911723229,-0.867856343231721,-1.14512931758339,0.187855456098122,-1.14100248664192,0.0992178163596501,0.149765935616807,-0.633137323981348,-0.190533634144159,-0.69477507157297,0.0341895546464281,-0.373502871239107,-0.984786182898462,-0.844048154206773,1.05902806151386,0.599239909657556,1.08408175218741,0.760624033449896,0.11232100817155,-0.453267281154432,-0.141777951054121,-0.507759288644137,-0.512533732929561,0.465249994921361,1.02593761239492,-0.360393149061111,-0.793983174381512,-0.476840067412858,-0.730984499260787,-0.84338148466545,-0.504191724209931,-0.642421717004012,-1.00006605543872,-0.28630717664798,-0.560318015680272,0.811347360771773,-0.334589455522413,-0.532726001069451,-0.366619578206281,0.1816134385479,0.977253117658926,-0.596716303779851,-0.472048941241005,-0.38366815750372,-0.149444985475067,-0.808015121628805,-0.732180344260019,1.34792933738639,0.256965114233642,1.46808608657711,1.07629589661933,0.454317416615068,0.24554813838668,-0.73945064048395,-0.443537136107752,-0.350433738640001,0.298049095257408,0.345088694100308,-0.075905113029135
"HINF_Oss_1 (GE) - TPM",-0.68034815702272,-0.783005269378955,-0.513708487680652,-0.335709370795154,-0.962838086644258,0.00537494346881004,1.03059248900834,-0.664934462775112,-0.585310900386276,0.687080601672591,-0.810157174231309,0.858611199644894,0.625656872730144,0.480676755247153,-0.322121794754486,-0.551390567027801,-0.65513547468415,1.06603337985071,0.763846383486097,-0.822315241661863,-0.518964322934279,0.691275908176547,0.139292103222741,-0.699139046716995,-0.173982843483261,-0.398396023522521,-0.271732298137042,-0.458306909630741,-0.408757399646787,-0.55208018082831,-0.822623903712217,-1.10792854522643,-1.1875918629699,-1.3874755495892,2.59151148208926,2.1976177348394,1.37525552936043,0.535259693980631,-0.213051655697584,-0.0376223298632665,0.229201731413026,-0.766275444342769,-0.732930168814,-0.425377857833248,-0.442147158099582,1.20806719109991,0.0398213069147659,0.222107942852799,-0.167386966144028,2.1768443432927,2.26561272861386,-1.11841371308422,1.93531658317373,1.10066170731305,1.310626877607,1.37286914172454,-0.261527283079658,-1.56985571820597,0.225782126986384,-0.78773231591749,0.563790199535263,-0.240358968311296,-0.336381460631504,-0.323883230103536,-0.193916622490966
"HINF_Oss_2 (GE) - TPM",-0.617389835080793,-0.678988179741981,-0.404359720186255,-0.421389121481628,-0.619271559767247,0.139259073811163,1.36590073058832,-0.0248209224771067,-0.200503517652265,1.59852026485843,-1.29438072878071,0.148172821985652,0.461504071326292,0.683183378972928,-0.450760906440173,-0.418006114105337,-0.819524023295382,0.243281084448525,0.613658095884501,0.587144889423939,-0.247651971513073,1.64002992997547,0.791920387653432,-1.13936238412741,-0.387011987427001,-0.256180095874731,0.66155309390025,-0.473060275127921,-0.453619759861878,-0.564924344909468,-0.956033856653391,-0.83593356880836,-0.920007708967129,-0.943454444805336,1.58749130754637,1.57023875546592,0.762389855614408,-0.052496206218543,-0.714584102850904,-0.409435902739672,0.432181534876624,-0.743649200917615,-0.497621922399507,-0.356593144756569,-0.30835934172331,1.53535693196386,0.469226978115348,1.32489471248649,-0.213706873138497,2.67984441810593,1.952151054445,-0.191982540495902,2.09607216219549,2.80272490561473,3.66897385099711,2.50993730175011,1.57006267151086,-1.73407054886628,0.0100699846748985,-0.770514846326367,0.690532717588534,-0.0930460500608575,-0.326497890210633,-0.137518126031022,-0.105594529853421
