"","VC0023","VC0024","VC0041","VC0066","VC0080","VC0184","VC0283","VC0286","VC0495","VC0565","VC0856","VC0897","VC0922","VC0939","VC1016","VC1023","VC1045","VC1065","VC1196","VC1420","VC1453","VC1454","VC1462","VC1542","VC1562","VC1583","VC1630","VC1803","VC2318","VC2367","VC2429","VC2504","VC2651","VC2671","VC2723","VCA0010","VCA0061","VCA0070","VCA0071","VCA0087","VCA0092","VCA0105","VCA0265","VCA0329b","VCA0374","VCA0380","VCA0387","VCA0388","VCA0448","VCA0450","VCA0465","VCA0487","VCA0605","VCA0712","VCA0794","VCA0949","VCA0991","VCA1013","VCA1048","VCA1114"
"Vibrio_Li_2 (GE) - TPM",-0.20965254238353,0.225041726556939,0.362514124714782,2.24115755308729,-0.37290906270822,0.909135493963028,2.14254709800757,-0.286450779655553,1.48857331160211,0.992744756309065,0.212670459849277,0.4832428285351,1.48864391757418,1.66666544637073,1.21717373150148,1.12850250802611,1.18366384933528,2.15469593482153,0.389479876449714,0.727893447904052,0.586349352078575,-0.20477901699765,1.0666907455916,0.0318502520071949,1.16431698135597,0.200331921984269,0.663696847963575,0.53944996211185,0.383309457850621,1.5320063713236,-0.833628857828272,-1.3321730397304,2.38926039220435,1.52947095124317,0.407583025580118,-0.319002883397507,0.728446254116079,0.750124158493644,1.17420257543409,0.647868436730582,1.18931448123286,0.00036410781115958,0.314261810537505,0.228927683468216,0.0497128243560458,-0.615976378750183,-0.429741182178304,0.408762564683374,0.593322680599119,-0.142144374909755,1.22644017565772,-0.18661690006287,0.218582820056465,0.816806572861699,0.577523315050219,0.448880463102772,1.54362163916888,-0.609013577009221,1.14705491271986,-0.506856426420238
"Vibrio_Li_3 (GE) - TPM",-0.586806909966235,-0.0165801377157971,-0.643148230480714,1.40752050508857,-0.837027102035368,-0.17886158976868,0.802253739467322,0.0495514843257368,3.20291719136014,0.549773880357656,0.573910480031367,-0.755903145876307,0.536855259318683,-0.727032025301302,0.468850322496471,2.16711217475378,-0.0206067553695665,1.33667894727075,-0.522640294456651,-0.932770106502909,0.356165318053946,0.460444485502425,1.14357639321326,-0.135155679547077,0.100372123258641,-0.221904986605868,-0.00213817967635613,1.25392548874983,1.57859013413993,2.61313404772366,0.720427111569895,-1.32489684717566,1.21722094653411,0.510451008611014,0.506738241198691,1.04837514215693,-0.328792018742642,-0.0146874319248665,0.12998052641386,-0.559862780826026,1.20779049211904,-0.0651123944029389,1.20489914639469,0.102090497885903,0.558676345018393,-0.55348008461775,0.595087399248557,-0.298066154592205,1.16728159446956,-0.660349482466651,1.62801009401533,0.251029591704104,-0.271394804103669,-0.263064287967382,0.59108251340644,0.0120473057344492,1.90693080508716,-0.728333369916916,0.136339273878161,-0.243888242338011
"Vibrio_Mig_1 (GE) - TPM",2.10815091259315,1.64849117596293,3.93382000464711,0.437330266596529,1.86268398896864,0.385747373655074,0.873170449534859,0.808637624961202,0.340398557223537,1.52362316177681,1.95135466706611,1.04771623142846,0.919034996699039,0.394313582621879,2.29683279666526,1.92564179347299,1.17766847558609,1.76015194881428,0.996361990298512,1.74170407836922,2.51581946364124,-0.652433954029236,0.0213457963745429,2.77576533648506,-0.549590342527376,2.34724859758969,0.596515615622504,2.93678518790407,0.963795237291597,1.9705649770061,0.507402809440827,0.318101119671482,0.984159652007705,0.477454822015156,0.564763338345162,1.3660150641321,1.81111679489836,2.29936352651172,2.50431747575015,2.76830536135336,2.04839236134307,0.407036617122367,1.55555393716927,0.680890535911153,1.83710759492358,2.29992520294553,1.01470911828537,1.96470485876581,2.88884463687535,3.45359588855423,0.720775828275924,3.49836853260212,2.59510260977218,3.42049540403589,1.00454375645146,1.29237875379513,1.46085589584591,1.45147882913077,1.55931839690643,0.181771105699519
"Vibrio_Mig_2 (GE) - TPM",4.83529391432655,4.67203209027856,2.67446800248983,2.95324901968959,4.29564553419565,3.87927203558586,2.92589879108086,3.88964937362754,3.65838651496708,2.8206830845037,2.65620676253655,3.56164103837191,2.67856572968447,2.00168148569472,4.18455074229981,2.69346195007115,2.65417707872389,3.12475267458419,2.63717845991813,3.72982781735713,4.21740551943507,4.50910421100511,3.35216135815579,4.8730351260031,3.29163764714253,4.62188325514295,2.07284725521165,2.85707612016746,2.33561623877319,2.73271001972141,3.04118980957136,3.8327744526307,3.7132799206742,3.93725557848573,3.21540769950604,2.84844842105651,2.7717445733996,4.78536685904247,4.28337896185532,3.79180846223887,2.45620708724547,3.57762888896825,3.39817255877171,4.27409952268128,1.95999759306343,4.39101941767795,3.58827042203771,3.66017136090175,3.69815794075184,3.64581791303158,3.9251523969506,3.03288115397679,4.12939869120487,1.68081406014324,5.01833653903665,3.1774015275435,4.11564238574994,3.59491589360082,4.05764077513374,2.80484605212694
"Vibrio_Mig_3 (GE) - TPM",-0.706288890469213,-1.02862580317593,-0.753005713877628,-1.66514487346325,0.18599900805167,-0.865591395304388,-1.00654177571237,-0.638680877065307,0.243466010778271,0.539624217477184,1.91686747895625,-1.25432008741836,-1.59535009649596,0.777983686884159,1.10602184071961,-0.523982137030335,0.636676746979563,-0.0845334594106831,1.52257569809504,-0.932770106502909,-1.01543508992861,-0.652433954029236,-1.11833655394866,-0.434065218302446,-1.35773895171156,-0.712647302449025,1.1192000337818,-0.148004407825203,-0.881612966826917,0.106172178373656,-0.334777502911276,0.123745072433549,-0.0387370251823465,-1.53445831805355,-2.62671367637708,-1.23916508670081,0.823489747326641,-0.475005387373114,-0.622147297345296,-0.559862780826026,-0.861780921214376,-1.07588879703616,-1.33443774267598,-0.669393251636397,-0.833138778841053,-0.688267058858044,-1.34193717850371,-1.01485280911643,-0.78385960938167,-0.723148967007104,-0.855046032519378,0.0687233101374347,-0.708503058011128,-1.3074621730134,-0.731223301251247,-1.63581738035906,-1.08083187703403,-1.1293012338468,-0.246925199379155,-1.5963980522073
"Vibrio_Nd_1 (GE) - TPM",0.211364633807995,-0.627922568181449,-0.687670992410332,0.711087916024236,0.243774745250293,0.107143693498914,1.007379427133,3.02895587151925,0.900563799056897,-0.965609531450076,-1.09979052468935,1.74270443055772,-0.375017872356347,-0.28612347437942,-0.492979505289283,0.887885008679519,0.115721165665006,0.20258042480141,-1.43258398226818,0.875070979961024,0.0427977951888646,0.156423368997057,0.534131076446245,-0.0449152077056907,0.772742113912798,-0.0231902171261911,-1.30872110377656,0.735323664761089,0.561241435756952,0.739478116326928,1.20285674743947,1.87388981653114,0.321290868231837,0.569423704366858,-0.305442738593065,-0.672122764769709,-1.24269663462948,0.598655474478667,0.888911708183586,0.519999417452095,0.640296850839138,0.377591510808713,0.0629966848949084,1.10132157998378,-0.0449627598359078,0.508525095369421,1.80158623240605,0.46045032932304,-0.312164471205567,-0.638449428757484,1.06869544524017,0.617949053620759,0.595632966001299,0.631025199826422,0.207425804527058,-0.558486917088196,0.107768909376204,-0.158192067720985,-0.481398992993988,1.78231489728514
"Vibrio_Nd_2 (GE) - TPM",0.74469104874791,-0.120826617620917,-0.888631111144911,0.446255950840428,1.07074564230813,0.119737311768188,1.56758396383941,0.511009288939329,0.322925467636919,-1.03306199932029,-1.35977586256428,0.889357538421277,1.25108057615767,-0.238023308184803,-0.632414552489542,0.563638158510919,0.584568382957127,-0.115458301390651,-0.869686708185031,-0.0374940433119641,0.112915867480574,0.586414442188321,-0.702147219814796,0.152017930637592,-1.35773895171156,-0.712647302449025,-1.38095955934255,-0.173651418106489,-0.881612966826917,1.35512891864894,1.47546291802999,0.146122066103868,-0.682010661254951,0.733960894431407,-1.33013503215544,-1.23916508670081,-1.60195765298947,0.392818719212711,0.0200717619219445,0.199750239225681,0.78162611608948,0.232820487431335,-0.348758835733505,0.347618881048542,-0.345578336921607,0.675768441303982,-0.0510366223585385,-0.674829303450035,-0.78385960938167,-0.723148967007104,-0.394678983025046,0.281045697938898,0.739190267543253,-1.07091019338447,0.430867330510679,-0.56649837324286,-0.247584908442355,1.28572577826883,-0.0348276597075857,1.58535729923602
"Vibrio_Nd_3 (GE) - TPM",0.177467915827582,-0.0512902500787362,-1.18720606285718,0.197445453100386,1.16866600905448,0.0937441664220092,-0.0458241675612543,1.27483119682533,0.622981435739988,-1.04723873781889,-1.43400996572267,0.863499988717588,-0.031814447865637,0.13520120113921,-0.565603874678035,0.598977703997661,-0.102891659157815,-0.806961437397158,-1.24577294918678,0.0291358893074128,-0.0796035425514292,1.44922128881364,2.31188022897598,-0.198862530914835,2.47438528740014,0.272035138809136,-1.27619719140395,0.30952303723195,0.306101331052633,1.23029682264178,1.31550502225433,0.856303406500875,0.0549925926082802,1.26476267581101,-0.0531083877977308,-0.824919712790022,-0.623226425656308,-0.137975077983845,-0.622147297345296,-0.559862780826026,-0.280401011185997,1.16980177445872,-0.909984778129681,1.40098974661528,-0.630952375854961,0.287482259761008,0.308643472928895,1.18481461449446,-0.436246151360404,-0.367361143426212,1.68643771223887,0.564124572536675,-0.0518769870671203,-0.41125905978459,0.45164001416454,0.157722135971347,0.670920258009614,-0.127813863655587,-0.794350160059707,0.894564578688673
"Vibrio_Ns_1 (GE) - TPM",-0.526881280159342,-0.772904289088937,0.0120162116899138,-0.845892827086434,-0.675640159655813,-0.793461571845692,-0.334768032860774,0.343908039156921,-0.475230912042199,-1.27759078290221,-0.472128435381923,-0.707619731395451,-0.966334386384254,-1.46154724655578,-0.89410783845917,-0.794678803372606,-1.365446644106,-0.932026458024914,-1.07353036334976,-0.0797383228104091,-0.313191005076363,-0.623990763863463,-0.290595801981147,-0.343345024280916,-0.556504442169954,-0.465716847307743,-1.64030887055594,-0.370330455048068,-0.612134074296999,-0.784381670208546,2.10448603340725,-0.74374210851253,-1.2138889440311,-1.18190664490383,0.0646724944512715,-0.69255314706321,-1.33231560107277,-0.599772039656716,-0.568082477020215,-0.444757173948168,-0.9205401706543,-0.859342074431837,-1.15256059434569,-0.638259961854133,-0.648436374205611,-0.292101841694117,-0.653670557637257,-0.997678006072857,-0.741519115233647,-0.650922034500437,-0.67337859673728,-0.857570922979121,-0.327649368105042,-1.08586424186794,-0.651180662349745,-0.883507636989873,-0.303006100561986,-0.554089549835121,-1.28539826422355,0.00211896883817535
"Vibrio_Ns_2 (GE) - TPM",-0.706288890469213,-0.33069900478551,-0.936092479161499,-1.07737668976328,-0.424843737457041,-0.71173343932841,-0.763258183941,0.0785883855206757,-0.554660960231406,-1.01186394155274,0.308237365511955,-0.41709941318817,-0.951005135645629,-1.25406920757734,-0.741746235776999,-0.972677740245887,-1.14950827948228,-1.05474951855398,-0.603348238493886,-0.482779740643559,-0.29941191075242,-0.396975792992809,-0.771700974198437,-0.369739728246379,-0.636030529048365,-0.461828291442871,-1.21829750970105,-0.499828075024526,-0.419848363381826,-0.961212353597009,-0.930440807488558,-1.6351002506596,-1.03572563673286,-0.845716652386733,-0.234063442897409,-0.524347753873408,-0.348501560758586,-0.605639493772202,-0.531102001674301,-0.258336790653983,-1.27571615540918,-0.624855480307851,-1.49555841334835,-0.616964711961837,-0.729459004820335,-0.369198553132512,-1.08776113667507,-0.995571200985006,-0.474886440658279,-0.669091038490829,-0.540959514528377,-0.7982147696359,-0.708503058011128,-1.01661076248046,-0.731223301251247,-0.0278396660051036,-0.587391240827698,-1.1293012338468,-1.35236119359163,-1.39046268181433
"Vibrio_Ns_3 (GE) - TPM",-0.240837671628542,-0.641227593388956,-0.707936482486423,-0.778492751668428,-0.579306278950183,-0.742717187624753,-0.695675526196387,0.1885533505635,-0.432188615429383,-1.24671356585264,-0.7285891145759,-0.697531591125716,-0.914431320959717,-1.41490103220845,-0.914361032746355,-0.903790250189843,-1.37446095209867,-0.73493200192556,-0.947131939703233,-0.877482138143715,0.0248110438723696,-0.21890362253109,0.041995469334074,-0.386974500050297,0.296196838943746,-0.459624964743969,-1.3740257550157,-0.593072086080241,-0.563703528379528,-0.676810328404138,-0.11431702117575,-0.181844783210923,-1.44374931226107,-1.09359160117042,-0.01737513196696,-0.5444292662939,-1.20566312247126,-0.562682376887191,-0.622147297345296,-0.147054186489859,-1.16240264425657,-0.810205885366494,-0.62229014267263,-0.669393251636397,-0.281133088178832,-0.564720471653813,-0.984674169154236,-1.01485280911643,-0.78385960938167,-0.442532257209697,-0.503223948026591,-0.965286135926807,-0.585574460007013,-1.14032723460706,-0.420240940631055,-0.822945318427956,-0.333289052136842,-0.75584367339968,-1.30506271966401,-0.698023743698403
"Vibrio_Oss_1 (GE) - TPM",-0.30075949459287,-0.497643937733723,-0.0464537495181865,-0.134729660501797,-0.466629343909915,1.14941490659966,-0.181668970866069,-0.25539258879736,-0.142293686196656,0.215042175792536,-0.74939900439457,0.199912753767,0.899424027828426,-0.421641909029512,-0.614219119868496,0.313479570872693,-0.784946081290333,0.573347311988533,0.0865945675884678,-4.86662220135846e-05,-0.186637529976238,0.0877097768747309,-0.123735673362994,-0.306737064264458,0.750060674377107,-0.520461481730454,-0.465603218405401,0.367257977036245,-0.253278675847503,-0.550613365270743,-0.773532138404617,0.281247023492531,-0.451409659475986,-0.172718215150128,-0.586078275932473,-0.0533068053128295,-0.458076607508159,-0.385665935544554,-0.0485493179212587,-0.559862780826026,-0.0589758981219203,-0.779312954715669,-0.0446892548781106,-0.0902399856508279,0.124589171853797,-0.536392597333397,-0.0837999258718509,0.229874030251609,-0.304298294016361,0.0224285378059052,0.112296124264457,-0.173955319269693,-0.174482284340027,-0.74688414770678,0.12659187310776,-0.0241497225409717,0.0522939939124544,1.19119564754775,0.272822062760656,0.789377354319857
"Vibrio_Oss_2 (GE) - TPM",-0.327054532566306,1.02427522849939,0.433120457234049,0.359222528315108,-0.00584764937775794,2.58008199983824,0.0232671472425118,-0.751211724563116,-0.413297510207132,0.772957223114999,0.247001484503219,1.04832416137611,1.14720535400232,0.797007824768784,0.0390099281450567,0.94617034521136,-0.199002604728895,0.664662544891139,2.14973816740663,1.02766749025834,-0.432354585989889,0.411954532911469,-0.332966364719153,-0.0245278341394886,-0.342658389892306,-0.327138787363958,0.295160108874537,0.512679195047937,-0.393131702761406,-0.413852120998165,-0.873479735271754,-0.520211839568037,-0.178426729061876,0.14769945010587,-0.792957437703959,0.825637298860407,1.65971360522758,-0.442862318304287,-0.0820332075509449,-0.242205618922229,-0.209747657583354,-0.722987671552369,-0.347756585406186,1.37976533270199,0.0435857733643368,-0.442988051297079,0.205582697415773,0.364409684045246,-0.204297784833184,0.456853865732134,0.235084987840767,-0.0392870093619255,0.0205001249515938,-0.503078476257034,-0.218749633067422,2.29928657621957,-0.040775926073874,-0.613665773366103,-0.61202475449956,-0.0726374237913459
"Vibrio_Oss_3 (GE) - TPM",-0.33269869053795,-0.165604052987234,0.147281144029342,-0.580705581988555,0.488509070651324,0.949681011411063,-1.00654177571237,-0.572180352071528,-0.906460549762515,-0.398370551539745,-0.53203232933807,-1.18010938135115,-0.501091532398664,2.25726314785443,-0.458701691771153,-0.358085708326577,1.22093978009734,-0.0221656564166981,0.674868445628334,-0.932770106502909,-0.351385960557638,-0.652433954029236,-1.11833655394866,-0.434065218302446,-0.576170758284162,-0.712647302449025,0.0832570371000816,-0.188168282265803,-0.881612966826917,-0.220032695214123,-0.245057356277879,-0.0865003860085065,-0.5901007012263,-0.464301152623012,-1.36638968916192,2.79202604943076,0.476803561158109,-0.623096830130944,-0.622147297345296,-0.559862780826026,-1.09624786444785,2.27046411458035,-0.596102555295236,-0.669393251636397,-0.833138778841053,0.275035977834776,-1.34193717850371,0.545991385178866,0.597437615514928,-0.723148967007104,-0.855046032519378,-0.517264941356476,-0.708503058011128,-0.586099160140811,-0.731223301251247,0.454384400943125,-0.633906353738844,-0.158674659963985,-0.140593105016154,0.0207044538692284
