"","PA0114","PA0276","PA0305","PA0506","PA1830","PA1831","PA2077","PA2078","PA2953","PA3013","PA3014","PA3092","PA3136","PA3628","PA3629","PA3676","PA3677","PA3678","PA4033","PA4435","PA5026","PA5158","PA5160","PA5180","PA5188","PA5454"
"PSEUDO_Ns_2 (GE) - TPM",0.397269364532311,-0.309258178600414,-0.548707285522515,-0.441914061658738,-0.378437906683086,-0.702292680802214,0.750528102699454,0.104590717603408,-0.945764711427938,-0.589394493171703,-0.481586824520176,-0.317274824436618,-0.895824381901816,-0.429146664693712,-0.650434319983964,-0.566008625767442,-0.740511868827998,-0.6494535217497,-0.147778237839586,-0.177311935825106,-0.0788855138920317,-0.891075641750379,-0.441364928066994,-0.606154134843169,-1.22536391404065,-0.841474625011504
"PSEUDO_Ns_3 (GE) - TPM",0.543298190761838,-0.208590408462702,-0.363617971772024,-0.418199474250478,-0.372239105752019,-0.546750947293414,-0.301428671473593,-0.243948665341068,-0.921888853297244,-0.673948335382072,-0.456832624902676,-0.48673426877365,-0.80162962383989,-0.670614998438929,-0.622535536902015,-0.672831003677999,-0.787663825277222,-0.469660504360474,-1.0810648641918,0.0797332511708544,-0.0376830152230267,-0.614866924828342,-0.94069722214332,-0.620012483957236,-0.813258252339208,-0.783978419854622
"PSEUDO_Oss_1 (GE) - TPM",-1.1858536980844,-0.106938304755631,0.54542702337324,0.451193216368815,0.402246151467957,-0.640161212301081,-1.29585894229931,-0.40227754857834,0.0266150297470317,0.517392953509078,0.389622852156071,-0.497572699645366,-0.893220872031247,-0.0515315817423824,-0.221088426788823,-0.316846600156425,-0.298002853251456,0.045033446006486,-0.175547159381151,-0.37018310955596,-0.658260692927105,-1.20694753378383,-1.19166190201978,-0.824644597645369,-1.23467834306687,-1.15242822551381
"PSEUDO_Oss_2 (GE) - TPM",-1.12012349533521,-0.0736986348522907,0.511603032890666,0.683525568375725,-0.275330654558728,-0.492885198713618,-1.67772276286057,-0.805237907976444,0.111981970406744,0.667542190880506,0.681503887612213,-0.326923610253132,-0.778346679391903,0.161152060164672,-0.188539519844203,-0.357401516316035,-0.201166581691996,0.451601788661134,-0.111718692438275,0.00703438973736392,-0.523753705815653,-0.926811110814068,-1.17968953182597,-0.737977244685979,-0.383775061308022,-0.948558043859122
"PSEUDO_Oss_3 (GE) - TPM",-0.972300744505117,-0.182767809092127,-0.662836446079647,0.558110177282936,0.352525721573877,-0.508800059934786,-1.45600393451611,-1.34187557454794,0.459665635033093,0.20432357963715,0.449365264408003,-0.706308401797712,-0.53715796496823,-0.126251693673734,-0.360737756532849,-0.537297598637986,-0.210837020290497,-0.144138625626035,-1.21671382167041,-0.604161394519929,-0.428665316229561,-1.15819811231406,0.150071247910269,-0.627916318566121,-0.856076959033476,-0.853460467999868
"PSEUDO_Oxs_1 (GE) - TPM",-0.171398944381071,-0.340973749593498,0.144772598367783,0.343289759226105,-0.13339412690181,-0.312861300379733,-0.586315154612906,-0.470684347038992,-0.179026538207356,0.0167276289732263,-0.192261308601907,-0.201423004910116,-0.709549103112737,0.195219533653887,0.0754956489136422,-0.426279280747303,-0.384784524436726,-0.273175838405302,0.288163467742645,0.456279864435817,0.504596035205334,-0.267646904018006,0.501883126061601,-0.565565148541553,-1.34136601422707,0.0536464565659586
"PSEUDO_Oxs_2 (GE) - TPM",0.0319974868970692,-0.304586481344587,0.286067772904224,0.326831676503124,-0.446871178903108,-0.148126776433464,-0.586980162600493,-0.18729689251929,-0.132463381603032,-0.171443182981099,-0.0872402917520648,-0.298498709433884,-0.552382879845259,0.0328494421983999,0.275038223656466,-0.195655405284327,-0.45075205032502,-0.0123004229241258,1.46087810717768,1.1988204883701,0.110707829343199,-0.3625795557331,0.516934092052173,-0.531676271349208,-0.772812103653217,0.356316553122268
"PSEUDO_Oxs_3 (GE) - TPM",-0.160097644050647,-0.309814117547068,0.644808327410547,0.317979074347359,-0.255567154469978,-0.1847430179611,-0.179285147438027,-0.764709559929425,-0.254680055077733,-0.15787869436951,-0.205129936013169,-0.162425836340257,-0.484077882142909,0.627278046691087,0.110105560156203,-0.240027799773269,-0.32166313520782,-0.0612014335375327,-0.0572934776254166,0.525654300872693,-0.0649091839613195,0.178734120142577,0.357039284114816,-0.589325204064457,-1.11481266676776,-0.221196388127478
"PSEUDO_Sp_1 (GE) - TPM",0.180458901435839,-0.51069614650223,-1.40557765820014,-0.488984570534369,-1.42134438020175,-0.251025594942339,-0.504226746142717,0.732546779650997,-0.44323745613261,-0.380618737509607,-0.378301454672423,-0.464491433074413,0.206857354791923,0.0182022036463479,-0.265219239052818,-0.888358900108699,-0.218173740580048,-0.323455206307325,-1.27398920858639,0.364168383794949,1.04579715336392,1.16615804536149,0.133005983821441,1.01538634374777,1.03250832645721,-0.619061285768125
"PSEUDO_Sp_2 (GE) - TPM",0.457290878439306,-0.308173066747638,-1.89581008174519,-0.507241630153709,-1.60442735405362,-0.413802076040269,0.674469250953605,1.54613104463228,-0.279275141045424,-0.467046037400147,-0.484747993967973,-0.422730098949712,0.458201634385218,-0.177881907408513,-0.0981054829498887,-1.03564868416376,-0.306580520813428,-0.766452522696422,-0.38493956804247,0.0386537329023855,0.798938586369259,0.597894611487657,0.234201232684506,0.673890101395122,1.49026623035125,0.145325552005258
"PSEUDO_Sp_3 (GE) - TPM",0.234492361672231,-0.629214658484661,-1.25362406969988,-0.415450764199795,-1.79279197158104,-0.525490120803246,0.128711069156144,-0.265796630147955,-0.308720540946644,-0.170346870344412,-0.350739528768584,-0.350918778792135,-0.263518721581095,0.183139657142022,-0.261980621809535,-0.724193637590975,-0.217972273820625,-0.591257068166739,-0.690370859955863,0.0719949249007262,1.10823509140918,0.985252874132366,-0.123187957591301,0.503573414244441,0.402386106824502,-0.510929436228951
"PSEUDO_Tm_1 (GE) - TPM",-1.15129394425796,-0.777391274316034,-0.398977781564886,-0.932191695491429,-0.44589429506667,-0.448126799762193,-1.37494035656794,-1.14715579110165,-0.631495561133922,-0.352587458785445,-0.703187996869078,-0.469229084175516,0.202034675434688,-0.558562401162206,-0.281135358436947,-0.875558117473232,-0.777717002529026,-1.11746650570172,0.279903704464685,-1.01772759037589,-0.85888822539738,0.616233499087642,1.05778997424881,-0.337280693251724,-0.207196056557071,-0.2832236004467
"PSEUDO_Tm_2 (GE) - TPM",-1.0635538592342,-0.770708669056149,-0.305183432257718,-0.897344593087873,-0.30216146330289,-0.581413212837455,-0.65947270097011,-0.905806917420829,-0.558658843609275,-0.296498996541634,-0.564792949483906,-0.254273316360796,0.288530984121935,-0.625160073783886,-0.19589424315421,-0.759371049567098,-0.746521761644911,-1.08085070411726,0.09934265139064,-0.993007899969936,-0.542693522254616,1.27262104367843,1.20830020978114,-0.30162627646483,0.259211753512279,0.0104289318168364
"PSEUDO_Tm_3 (GE) - TPM",-1.15339012593887,-0.71677365399427,-0.894108978559957,-0.907680207966446,-0.498114692944409,-0.565988836756681,-0.737199131230389,-0.136048108655553,-0.602677390865669,-0.183994443219856,-0.552171681143425,-0.325100168409771,0.0540386692453999,-0.48690419204231,-0.279019163676919,-0.799156030453141,-0.793013941763543,-1.01770773938704,0.26061508956325,-0.654881482049939,-0.813055517486868,0.656358080882845,0.960650909759789,-0.321950936987238,0.0682599045618683,-0.385238807870339
"PSEUDO_Vic_1 (GE) - TPM",0.40687493380638,-0.625982597005969,-0.140276569593331,-0.784648764179555,-0.516138796793671,-0.218623888141938,0.477820377295782,0.222950579004859,-0.662205532470534,-1.01513218998439,-0.822205406340271,-0.225153057784886,-0.568917953549992,-0.409156344808986,-0.104344810484366,-0.209356767020977,-0.345785945305234,0.419138206788782,0.429908893417598,-0.484988661539251,-0.576579396344798,-0.135699551288473,-0.674277693896836,-0.425924122389255,2.22695959639131,-0.0299479843609536
"PSEUDO_Vic_2 (GE) - TPM",0.442515502075125,-0.568526923623406,-0.0432106205923327,-0.791868010589486,-0.114496082502951,-0.514539324131882,-0.595761743055907,-0.23623009696289,-0.755695409161021,-1.12594611035218,-0.855947865580521,-0.38216980036089,-0.38245929158903,-0.402385719358918,-0.0957354857472605,-0.455598811414896,-0.465697089782316,0.359482542280462,-1.74363665080714,-1.08178173241779,-0.670349557755656,-0.64127338239368,-0.662149787795218,-0.68059179497076,0.767986930359142,-0.214075851087712
"PSEUDO_Vic_3 (GE) - TPM",0.299783744081054,-0.589685959312616,-0.57722337583456,-0.694685519747787,-0.0618039787656362,-0.0548049241689554,-0.754254416030941,0.0167881672320738,-0.580625240644046,-1.03678908353766,-0.767052116451842,-0.103931893453355,-0.7038950015785,-0.657952244285894,-0.21807750816733,-0.394895353013739,-0.320848343376679,0.425667030967231,0.366329767642325,-0.851132160584233,-0.759254015284988,-0.549628548106775,-0.884747855401647,-0.384039777526085,1.0591117879836,-0.157772832050355
