"","ETEC_RS27295","ETEC_RS00635","ETEC_RS00780","ETEC_RS00785","ETEC_RS02865","ETEC_RS03290","ETEC_RS03295","ETEC_RS03300","ETEC_RS03305","ETEC_RS03310","ETEC_RS03315","ETEC_RS03330","ETEC_RS03340","ETEC_RS03345","ETEC_RS03350","ETEC_RS03355","ETEC_RS03360","ETEC_RS03730","ETEC_RS04055","ETEC_RS04135","ETEC_RS27660","ETEC_RS04785","ETEC_RS04790","ETEC_RS04995","ETEC_RS05625","ETEC_RS05925","ETEC_RS05930","ETEC_RS06375","ETEC_RS07000","ETEC_RS07420","ETEC_RS07715","ETEC_RS07720","ETEC_RS07725","ETEC_RS07730","ETEC_RS08320","ETEC_RS09020","ETEC_RS09470","ETEC_RS09475","ETEC_RS12485","ETEC_RS14545","ETEC_RS14955","ETEC_RS15585","ETEC_RS15590","ETEC_RS15595","ETEC_RS15600","ETEC_RS17170","ETEC_RS17175","ETEC_RS17180","ETEC_RS17185","ETEC_RS17190","ETEC_RS17195","ETEC_RS17200","ETEC_RS18175","ETEC_RS19505","ETEC_RS20325","ETEC_RS20510","ETEC_RS21050","ETEC_RS21575","ETEC_RS21610","ETEC_RS21615","ETEC_RS21775","ETEC_RS21780","ETEC_RS21785","ETEC_RS21790","ETEC_RS21870","ETEC_RS22480","ETEC_RS25405","ETEC_RS26380","ETEC_RS26935"
"ETEC_Li_2 (GE) - TPM",-0.276833615254237,2.81860568672746,1.86644188533001,2.32174791025793,1.67592373897567,2.00942165436738,2.29693358160723,3.2104422603992,3.03516729845719,0.432238963573878,2.7708188567181,2.20030814390697,2.69944840398959,2.72494599179534,2.40471572441874,2.031620059831,1.50913216609579,2.66365104434963,-0.556667866880675,-1.58868697564553,0.669664247079803,2.26874117634995,1.6961419068851,2.46472720184223,0.947025198506014,2.54653657340311,2.21033951820674,3.47849243338034,0.643072192703502,1.37915754297365,2.9413310038978,3.89719366306259,3.90780852976126,2.26944289428811,2.10185105546527,3.71677413935208,0.242452065602553,1.18799112754622,2.09880736038519,-1.30809427225351,0.8637355701999,2.77786446131686,2.61209992438435,3.63261759487829,3.44001601316034,2.75711360410018,2.49262416618189,3.31046147972888,3.02671512017868,2.80884176132236,2.50210097723855,2.6995820189426,1.95614140279867,0.749906443145139,3.10391519547617,3.18655096473001,-1.81097390262191,2.46606311652954,3.05302785052763,3.13276724637965,2.46850897831181,3.64913922809055,3.17116131090725,3.65190293684101,2.35038744000495,2.78652680055235,5.17247798464942,3.2818762547396,1.52272471647459
"ETEC_Li_3 (GE) - TPM",4.16732283962845,2.53245289509925,1.8418879710033,1.93015087704957,2.12889235998595,1.87513337407438,1.91804951752803,2.22149056011811,2.68408400089244,1.20368561729909,2.2734524713153,2.2754764400075,2.29878555701095,2.55591553224279,2.67939444123733,2.22618903997548,3.03641796449097,2.24962209679365,2.10252380613042,-1.24653816366136,5.77326829974182,1.6846161222725,1.31849873955048,1.94021048672077,0.557081258531991,2.82707604121592,2.07795977336589,3.13762767728341,5.03267941369883,1.76321049368183,2.93059216876347,2.34864157981097,1.94136362000897,2.60057517199848,1.87780232300972,1.7217744355329,0.907454808493718,1.59030197763682,2.13605501394234,-1.59903124259635,1.69574166864879,1.74381319606634,1.80392077960425,2.83642294749847,3.04971282812041,2.61219924489512,2.85293473046878,2.59599869555822,2.47115392049484,2.42951563806665,1.61275169649916,2.44899011918331,1.84037767224929,0.699234792389684,2.61696881980891,1.92028578701056,-1.41500529126982,1.63530793118843,1.37820140920791,2.58026094644982,3.8409031518995,2.04514935422733,2.64023114829459,2.82601336930406,1.79967912310111,1.04770446456397,1.58392151356303,2.75013468726204,1.42498624259185
"ETEC_Mig_1 (GE) - TPM",-0.276833615254237,-0.36543666966726,-1.14004533890415,-0.90181014674893,-0.479471783713125,-0.541591482054097,-0.53193918625358,-0.0284114222324757,-0.512070732973039,1.22448013152339,-0.638049220208423,-0.796637988704085,-0.647190351480696,-0.575920611747419,-0.495555799499162,-0.665950389664295,-0.312323503207121,-0.976710266210796,-0.556667866880675,0.570276036177708,-0.189498016082989,-0.216961103443925,-0.397893168186848,-0.695704083465185,0.402104781681228,-1.06179104250092,-1.02015444910087,-0.212963868385597,-0.936846406366434,-0.988707500381034,-0.11257137255031,-0.503950693243923,-0.0635304004209008,-0.787539401289048,-0.61996732085937,1.43478006603105,0.549390218428208,-0.288673156917723,-0.505090450789781,-0.16271989008987,-0.166241054867075,-0.667285930360433,-0.654698996077114,-0.288417391992638,0.067777514945878,-0.595510875872991,-0.448025954580286,-0.568040908806214,-0.622191979716149,-0.401339715440647,1.44695505257228,-0.635497236527882,-1.05490979778898,-0.585552475237071,-1.3294222764815,-1.26677096048284,-0.178395864579765,2.24798343035045,-0.982894704730743,-0.769782150996517,-1.11933377347434,-0.236683319372784,0.668225062948419,0.389618577892915,1.29973638514309,-0.810190219910205,-0.0624002275556877,-0.826062834705909,-0.711365868160456
"ETEC_Mig_2 (GE) - TPM",-0.276833615254237,-0.177772096385298,-1.2602940064514,-0.878713110797005,-0.55541815869313,-0.571041922567501,-0.536476437904738,-0.571537187979871,-0.533822311952942,1.81862419647185,-0.613264327037301,-0.581269384295881,-0.616425497231421,-0.557794279106615,-0.608158160621374,-0.591156106353189,-0.134591555892933,-1.03220878656615,-0.556667866880675,0.699048566198749,-0.189498016082989,-0.0889131293892348,-0.426783357047544,-0.381821417023263,0.815719926986697,-0.859411605042254,-1.11122930356437,-0.147726226084249,-0.937532503121747,-0.994698558419494,-0.317183185136062,-0.623899855000267,-0.26971786897306,-0.956390546568627,-0.681266320826467,1.54807586007867,1.47039330236423,-0.313067876538517,-0.56882703276415,1.03419112700361,-0.952046981866144,-0.599842828109714,-0.710972325879345,-0.314247859124788,0.314173271774434,-0.57962784055294,-0.63225381450333,-0.55258803261115,-0.638153722759491,-0.663525127039805,0.0610332437555786,-1.04875209564515,-1.02259528862638,-0.439530737645725,-1.44151119476592,-1.36306185306373,-1.16234558908702,1.75812240171691,-1.10206615603053,-1.00803045911886,-0.63681092977487,-0.445062384792818,0.652039380792763,0.506724598046981,1.32449118384855,-0.813617800536447,-0.189358488173141,-0.873494094992513,-0.904650383453674
"ETEC_Mig_3 (GE) - TPM",-0.276833615254237,0.60870628236735,-0.740780459116601,-0.804052997224463,-0.334566670073016,-0.575507132506328,-0.544909536842681,-0.571537187979871,-0.527733314122165,0.6948926207064,-0.582221084926378,-0.312434045074335,-0.621317419328848,-0.528286227211472,-0.623344570435854,-0.457394400022346,-0.514597367203038,-1.09602349550635,-0.556667866880675,-0.459134420306824,-0.189498016082989,0.580797615748218,-0.431163622859806,-0.855799013112336,1.29500304985431,-0.955418302510613,-1.3742956561873,-0.278445151156798,-0.88889865612652,-0.918671215745347,-0.535455686442263,-0.363664922643153,-0.858960204578259,-0.956390546568627,-0.558816682501713,1.23273763143644,-0.684124884025281,-0.321448486571355,-0.533383543466004,1.42404982717444,-0.527806719869612,-0.667285930360433,-0.450784171305023,-0.292389482756313,0.104106114168282,-0.665430405430597,-0.536564958007961,-0.544378056789135,-0.628491868984768,-0.759790313686482,1.56771336824245,-0.102714091349972,-1.10359388598624,-0.736985554227391,-1.42587055409438,-1.06923352547567,0.240432773788352,1.33176134508574,-0.677274362362197,-0.914037064608914,-1.33575346572911,-0.154619615069346,0.705655827293583,0.566284894568847,0.614125650508506,-0.550016541524741,-0.221669520029831,-0.81754598902996,-1.09467280032322
"ETEC_Nd_1 (GE) - TPM",1.3087282006427,-0.359327523586439,0.882206782214992,0.28666868642103,-0.576290525647254,0.534964574053412,0.0782117773237042,-0.13932849521068,0.207763726196606,-1.0140188414533,0.230253520372881,0.436254743698884,0.253148286063238,0.179865594802011,0.122395038468762,-0.0723197106829718,0.119253971300072,0.6048965714637,-0.556667866880675,0.732899928198721,-0.189498016082989,0.263777627704098,0.016618002293279,1.27745743917118,-0.668060663296409,0.331988455300467,0.689385760718174,0.35452638186374,0.474669387269107,1.55411497623141,-0.237276745984676,-0.0824414979551335,0.0518948673668798,-0.150180227911402,1.85490384290454,-0.69766391751866,-0.265276011853583,-1.03459920346559,-0.117239214074197,-0.0108929931661687,-1.26034508988897,-0.538253117859011,-0.0354400418936803,-0.191237193882668,-0.288920007040988,-0.0592140460230036,-0.0865579078687497,0.491576406933819,0.463116163900426,0.446046914799297,-0.151411136748673,-0.568847175503044,0.639788466961174,0.151479130700019,-0.135097500384687,-0.486399981612641,-0.918881678826887,-0.895790583610709,0.636100035688071,-0.325091356877522,0.69655016437155,-0.467531497392513,-0.83265389770326,-0.797765689348541,-0.889048889633973,-0.522559572230198,-0.157449075976094,-0.898515188606783,-0.109164471784273
"ETEC_Nd_2 (GE) - TPM",-0.276833615254237,-0.504504634182242,1.85353497907396,1.08720427708479,-0.622519189157227,0.333712256616989,0.116919517909885,-0.113070770996301,0.257465710460049,-0.667062910614041,0.486067142533645,0.751101951932328,0.265016347542454,0.0349621685549572,0.177973837589859,-0.260472080312627,-0.0334213937268764,0.293141705153843,-0.556667866880675,0.347372351904808,-0.189498016082989,-0.403852823027532,-0.109194398098986,-0.351314033190465,-0.230801307057227,0.0338138681764893,0.572109348803206,0.214601025497988,0.316513772996422,1.33106371763581,-0.155992397059709,-0.165856005583557,0.147425349151776,-0.386264181956883,1.9238551887771,-0.254502080701442,0.234418533351519,-0.179479225390685,-0.062276051217909,-0.174556823363012,-0.93951889909426,0.0855093446117677,-0.34439624631855,-0.108302996350081,-0.195191694999147,-0.0450847741307847,-0.398986607725994,0.499887136344442,0.219856442357924,0.666633116995911,-1.00795139070176,-1.193736080354,0.416939244726187,0.53150227037089,-0.0178710167799431,-0.413343079269536,-0.471986859612884,-0.888372273884204,-0.056381610059903,0.538593926488921,-0.12700027599721,-0.262305804083347,-0.867616317546898,-0.647139330647531,-0.889741962976138,-0.438520357480072,-0.298522431841401,-0.91239551218841,-0.338313756597835
"ETEC_Nd_3 (GE) - TPM",-0.276833615254237,0.680296242231512,0.403990433143291,-1.10448368871261,-0.455570903706266,0.628694032561274,0.119713922636728,0.752995794139368,0.306599238027705,1.94528972577597,0.952988122483396,1.99925912582445,-0.030410619985726,0.102937428625117,0.183954902922379,0.650837512684182,0.268134654554062,0.35149549045551,-0.556667866880675,0.204576299741586,-0.189498016082989,-0.0842811394784775,-0.10185577812524,1.54837066148179,-0.461314986654191,0.551344034549447,1.25649873471471,0.310348274225672,-0.0819958142054175,1.75012712499343,0.0421294583606742,-0.30061112980809,-0.0523539039567132,0.25150060304144,2.03339866651823,-0.16383653543927,-0.485712956571729,-0.853235139448486,-0.207228355317752,-0.608517246309603,-0.738601137972298,-0.0345981802473439,0.188821559782087,-0.313959241238285,-0.259540729196313,-0.3625446623331,-0.33273340629976,0.652712953413589,0.336410061311252,0.153057466186192,-1.32733145255683,-1.11298169476387,0.51109300655198,0.0814680582866368,-0.154429728457176,-0.163134489341381,0.513317268517429,-0.887126052785364,0.127185665679662,-0.0688694370056934,0.0133078469159581,-0.0858249046275476,-1.12045996375402,-0.662223849905689,-0.810186503115853,-0.673120147180422,-0.349740632432251,-1.04988328010973,-0.807517548066851
"ETEC_Ns_1 (GE) - TPM",-0.276833615254237,-0.0174069509158884,0.423859174172763,-0.0449233028608235,1.77285218658558,2.03816270603341,2.45991141478347,1.17836536719904,0.784808478575507,0.0153752193060963,0.0551191069023893,0.532671745607144,1.51200395971066,1.28024970255852,0.706840565284633,0.867266851598697,1.38640172428897,0.776722671753288,-0.556667866880675,-1.24646839658065,-0.189498016082989,1.70397515695634,2.69225352886703,-0.492991768404325,2.68925929568846,1.13915369546236,1.0934950987026,0.117532923023565,0.627113784689571,0.571132218090348,-0.489936475659808,-0.507563439337452,-0.336752624293444,-0.0357357961480461,-0.0102532004293883,-0.0803568204420156,1.53353201956216,1.82916185110488,1.75630653450617,-1.63629078430783,1.8479766985965,0.699045617791133,0.896599565031795,0.899512757096582,0.351827860197251,0.941662611664798,0.661414928637971,0.465895910115777,0.481132183024444,0.828346374101393,0.648900654652665,0.980467087246575,1.74394163548823,2.20410672075886,0.628948893584411,0.374616001598527,-0.529001096318515,-0.498859348664431,1.99689875919819,0.323212495393414,-0.942702091808093,-0.448640508317701,-0.637265679730622,-0.657390279057709,0.793240567051582,0.116973301890131,-0.461659045169511,-0.438660366175968,1.65913709778835
"ETEC_Ns_2 (GE) - TPM",3.65945826311867,1.44187209721699,0.342776606646059,0.840524168016747,1.85380018512512,1.37243179569404,2.16816298352481,1.63406321334738,0.5000573042107,-0.120461996371812,0.0742234735091743,0.106098635276103,1.26498815742733,0.794964364957897,0.650969477396536,0.783179090770788,1.10728264495187,2.09175814279887,1.01353706645106,-0.573281855094272,-0.189498016082989,1.36135353541231,2.13451153044971,0.955525220292517,2.76359588403961,0.883516108674033,0.433233017566028,0.101281383611012,0.265262222903463,0.108224685321386,-0.398326625221952,-0.174801443713919,-0.392018047629941,-0.400422326563459,-0.0494449217416246,-0.38816991951578,-0.029719499107187,1.41707806518117,1.16432306688106,-1.19737688378533,0.801865619739748,0.631850119594387,0.634243423925428,0.323249239272533,0.204753128795054,1.46255407800992,0.74270256963546,0.518557594171745,0.663623914933197,0.532894280381836,0.0998702961623652,1.18082583240356,1.42914305127443,2.27538926033067,0.502546765842604,1.25994624132692,0.543949850812564,-0.168742941727231,1.72437374681674,0.488023042897495,0.292984313958031,-0.0975316658705482,-0.614545453783631,-0.491312704663115,0.732550883132515,1.62946572094656,-0.33744862700179,0.15953611775031,1.19712905307564
