"","ETEC_RS00070","ETEC_RS00075","ETEC_RS00510","ETEC_RS02420","ETEC_RS02640","ETEC_RS02810","ETEC_RS02905","ETEC_RS06435","ETEC_RS07805","ETEC_RS10275","ETEC_RS10600","ETEC_RS13405","ETEC_RS15230","ETEC_RS16775","ETEC_RS18715","ETEC_RS30155","ETEC_RS19745","ETEC_RS19825","ETEC_RS19830","ETEC_RS19865","ETEC_RS21070","ETEC_RS22820","ETEC_RS22825","ETEC_RS23570","ETEC_RS24450","ETEC_RS26385","ETEC_RS26420","ETEC_RS29400"
"ETEC_Li_2 (GE) - TPM",2.50621068371397,0.660761171527655,2.23040633812058,1.42765727739124,2.06233802533517,1.54716143746462,1.39471102993926,1.85006498200109,2.26389024428637,1.14927027717053,1.38835209718708,2.16247923868514,1.02344185082971,1.26119792205379,1.20419413501469,1.40075051231125,1.41783296249443,2.05895865687189,2.32038221842642,1.14717947934176,1.53351673472758,1.91883437375173,1.66023075847613,1.47852652778436,1.05919519239531,1.86819989836,1.17284193601436,1.02603174911755
"ETEC_Li_3 (GE) - TPM",2.18238523560253,0.82524892211565,2.1537881622452,0.684074295730346,1.93628850564851,1.44639657526249,1.69396704737297,1.33300048570396,2.4780447583193,1.03138771843919,0.853003050859555,1.2302469235157,1.36404936081836,0.79679794521153,1.00425566195641,0.0828339937805272,0.763543169084812,2.01637758812809,1.86650640451713,0.392533813372602,2.50676228800363,1.82724618638166,1.68484068161227,2.594688896809,1.16476243387669,1.35197636209169,2.49600274712646,1.30129122536774
"ETEC_Mig_1 (GE) - TPM",-0.695047759994582,-0.86732171052347,-1.3602872998219,-1.22663734880212,-1.32622096328015,-0.784242339764995,-0.66849650246523,-0.672886016990588,-0.96075208272332,-1.39123476488004,-0.401580860110318,-1.76744210491505,-0.673433860263999,-1.18290811154826,-1.09748296354478,-1.32825859030152,-1.68199454719969,-0.646371134210329,-0.954015176981622,-0.865225557327311,-0.16262857700285,-1.11534163185393,-0.333891067292612,0.132739119372368,-0.816023521676449,-0.968269954185455,-0.346395849320243,-0.314378490853657
"ETEC_Mig_2 (GE) - TPM",-0.732523898740997,-0.676747663669599,-1.40736732815172,-1.0830020198788,-1.38743306456661,-0.898846244987276,-0.822726953379224,-0.836826351248347,-0.837790299750105,-1.5285554881393,0.00373259483890273,-1.78728655536554,-0.743258824772594,-2.11133909375358,-0.621341298314322,-0.554476234513064,-1.6210013130676,-0.314962446027778,-1.05826991461008,-0.616161919913677,-0.392600772952805,-1.20808194301509,-0.698762979778505,-0.544966180734415,-0.88998755616461,-0.954758261312475,-0.242930637987683,-0.531963405046631
"ETEC_Mig_3 (GE) - TPM",-0.691564512035016,-0.806089519820789,-1.33795760108744,-0.656862514509182,-1.31468458414628,-0.852647213025272,-0.784700462783199,-0.907607931560709,-0.490493039655672,-1.35136942091321,-0.455842431231213,-1.4790289708318,-0.657254988819636,0.195122241498674,-1.33577911295252,-0.973731312329998,-1.43520015737077,-1.62229859192327,-1.41747420230837,-1.30703719315501,0.0196403358516338,-1.10835903412686,-0.575987760574914,-0.388562714175041,-0.821720003792594,-0.943888932925196,-0.253344935700301,-0.332934103639479
"ETEC_Nd_1 (GE) - TPM",-1.07361114968442,-1.36324523135942,-0.759964170109025,-0.242667841658461,-0.385684692123151,-1.1311221466729,-1.28237302654289,-1.14566808307631,-0.765946206630265,-0.90604553079691,-1.42820098981996,-0.223152125471549,-1.10141469873277,-0.418317824420882,-0.754681914688142,-0.390989705232547,-0.198917862690143,-1.4388921121787,-1.26041998227309,-1.35100875522843,-1.10170787786423,-1.27496448935365,-1.25446601423601,-0.874755229566238,-0.950404948591453,-0.953578834873215,-0.650377837650872,-0.132024161579234
"ETEC_Nd_2 (GE) - TPM",-1.07374346946189,-1.49981957919082,-0.465968666954671,-0.12778962694498,-0.252310206661478,-1.10843243186389,-1.37331148386554,-1.18562490326164,-1.35221859544127,-0.765258273934164,0.303085838426603,-0.735707010243432,-1.07482523176163,-0.74285162696249,-1.20929799229856,-1.06984782847455,-0.269871456812997,-1.13269152394102,-1.47381895805743,-1.22407814679804,-1.11064621537589,-1.29020027499534,-1.24266036605721,-0.855828156617707,-0.939999194009186,-0.921627686476178,-0.611979326602306,0.0685155573770235
"ETEC_Nd_3 (GE) - TPM",-1.07074817118161,-1.34233331433298,-0.939292271096874,-0.285136990171219,-0.0788793158343946,-1.12931137712711,-1.30780540325498,-1.53100204311457,-1.21492048283173,-0.790963656665569,-1.04035695621441,-0.251440865658038,-1.10098692238208,-0.139690973426911,-1.54824940866772,-0.586607849476208,-0.314699144743387,-0.689487880236456,-1.28189153881217,-1.15346766857049,-1.12617474690861,-1.30343797894914,-1.17125440036489,-0.481254260879035,-0.962205865762098,-1.0429075034172,-0.461981767668458,-0.426896081471785
"ETEC_Ns_1 (GE) - TPM",0.251007420751082,0.0235310353667,0.486518733800383,1.48689670331191,0.387023840993599,0.310304785121795,-0.354617330989834,1.73122367800362,0.449133533959399,0.2651735257026,2.02073339588056,-0.188016796665341,1.17610826329273,0.299826604771098,-0.595725000452044,0.764985180245009,0.265130899095115,0.085798767443709,-0.136340831523084,1.51913774203255,-1.03741058060808,0.440775033481628,-0.671688813599404,-0.616073736502243,0.103321430273917,-0.50275650417979,-0.539260383919077,-0.923668753290995
"ETEC_Ns_2 (GE) - TPM",-0.0789103352987019,-0.565459457657082,0.996663644703056,2.59811209828475,0.346319995000137,0.308428217358079,-0.390392445033171,1.15980935817305,-0.558374411943028,0.409539936180925,1.27754559439223,0.878477611000574,0.462564531202375,0.615847436718845,-0.352661357661671,0.731948869184793,0.186140989348947,-0.143798841181319,0.0393966874128754,2.20654942610854,-1.03918197103609,0.40136058938899,-0.77569998489568,-0.564907116686247,0.0836561130364127,-0.103316297552834,-0.233465345378733,-0.793332716696304
