"","CJJ81176_RS00055","CJJ81176_RS00765","CJJ81176_RS00770","CJJ81176_RS01145","CJJ81176_RS01255","CJJ81176_RS01315","CJJ81176_RS01605","CJJ81176_RS01830","CJJ81176_RS03035","CJJ81176_RS03460","CJJ81176_RS03465","CJJ81176_RS03500","CJJ81176_RS04175","CJJ81176_RS04375","CJJ81176_RS04775","CJJ81176_RS04825","CJJ81176_RS04855","CJJ81176_RS05000","CJJ81176_RS05710","CJJ81176_RS05745","CJJ81176_RS05865","CJJ81176_RS05900","CJJ81176_RS06205","CJJ81176_RS06675","CJJ81176_RS06680","CJJ81176_RS07470","CJJ81176_RS07495","CJJ81176_RS08060","CJJ81176_RS08340","CJJ81176_RS08435","CJJ81176_RS08455"
"Campy_Li_2 (GE) - TPM",-0.00513169395534056,1.5202910620967,2.03675156861187,0.91604231147862,-0.00567270554324605,-0.685758003834719,0.960844362312774,3.76456559405639,0.651785270864871,2.79104349208108,0.799774663183417,4.13745861292474,2.95637168620379,1.44032215063712,-0.0067385222759034,0.680296895002501,-0.671033343398414,0.67108719296816,-1.0517746586432,0.764210840338339,0.999017881593819,3.08487237163873,-0.347915745073991,3.20440652931614,1.6749355888732,0.240953262145003,-2.02311467254259,-0.744504474736613,0.877226518916617,0.384570144382084,2.00330314113297
"Campy_Li_3 (GE) - TPM",-0.514785628102761,1.82737457231405,1.0077786198725,0.213458334367737,-1.07719105543595,0.3576965356276,0.589347043698029,2.11011939865379,0.145985578480154,1.99133990580744,0.662945778200644,2.18764037157611,1.31075510269732,1.75149570017001,0.733206917000722,1.70377507888517,-0.0736270927158712,-0.258708638379521,-0.950780035144694,0.631341631030515,0.340962353395921,1.78219570307855,1.53280703903171,2.09888778404376,1.29813500152716,-0.224399536649794,-0.395444661945452,0.231629950032403,0.265673517989506,0.348442206014281,2.15389379605893
"Campy_Mig_1 (GE) - TPM",-0.10321721949532,-0.968543413804806,-0.966658214785161,-0.775367522635281,0.819405319161807,-0.568262155734707,-1.00078589685238,-0.775185408850104,-0.164921321352146,-0.929033157465722,-0.998499141347228,-0.812049418054746,-1.14806114844035,-0.909417281252632,-0.839615639871421,-1.30450336538716,0.096420351709282,0.331657372063015,-0.162263971550663,-0.572422167836892,-0.704665899740851,-0.325522227590871,-0.613459480550775,-0.581101260856643,-0.58688218333576,0.411848430470536,0.868842237193119,-0.25505344636917,-0.777844299969634,-0.23672454124854,-0.484825100434654
"Campy_Mig_2 (GE) - TPM",-0.459037128711723,-1.04580004221889,-1.03388915265703,-0.666843175911009,0.00124387389170223,0.416183026214812,-0.944862909766123,-0.81620005851663,-0.189312887612487,-0.995986210327139,-0.87755638608418,-0.444193885638047,-1.21717897929359,-1.09559684438242,-0.407245314195969,-0.84663799936511,0.508137253117852,-1.35906479292405,0.0637597955865981,-0.854472895181968,-0.794135756999965,0.387116401676956,-0.100129187267219,-0.580149069053527,-0.994041901057233,0.310098642225759,1.00336541550889,-0.809623983044413,-0.700333340751265,-1.0880979668067,0.0419073854715685
"Campy_Mig_3 (GE) - TPM",-0.784415118689456,-0.469122512273184,-0.25170455214367,-0.274276372434988,2.53006272131388,-0.229106693838631,-0.378736064294526,-0.30808471610442,-0.601881613354722,-0.506119041470082,-1.05976920423932,-0.202601590469899,-0.167838721992702,0.53580362439955,-0.395296651949476,-0.688803450564758,-0.449981992281075,-0.156054816431446,-1.57223025434689,-0.561000694470704,-0.287315993857136,-0.496638334521674,-0.100543215598571,-0.526293863711167,-0.699547731401826,1.27187968149224,1.77109332542044,-0.739533311567647,1.02846869250367,-1.21308604365149,-0.266802872042553
"Campy_Nd_1 (GE) - TPM",-0.53438315650426,0.181713356551672,0.742121278507377,0.814506051435533,-0.161890906391808,-0.68295959915932,-0.0148206404593872,-0.16042361886194,-0.219416575256148,0.180244994994529,0.280233101530513,1.30886873491256,0.697649376875149,-0.543133374705724,-0.389932828730999,1.09452962718506,0.52530550962718,1.20080330441135,-0.395791202420914,-0.17236297657865,1.03120783963475,0.265222036067307,-0.734678397902094,-0.374557972290881,0.315254738575425,-0.146943622833519,-0.55809754912862,-0.290500893378869,0.0811504781251647,0.445451191267743,-0.899938771898253
"Campy_Nd_2 (GE) - TPM",0.0210418338901287,0.0777973555836736,-0.283665503846424,0.618527141465451,-0.787895517130672,-0.0264146113657248,-0.238602665883059,-0.18028639498939,0.558580447366329,-0.403010043913165,0.0804476013635902,0.651065927373252,-0.473642168957421,-1.06596564020439,-0.0202462140326897,0.793158189198806,0.537050322229462,0.537930311306615,0.837043913960911,-0.351558314857048,0.391991937273018,0.0391476057710704,-0.644568672342513,-0.437800531666401,0.12916951393336,-0.57019759710912,0.0908223218993446,-0.859466541108872,-0.348564728540193,0.314133629429103,-1.05110555787658
"Campy_Nd_3 (GE) - TPM",0.0258232271611298,0.447153807188069,0.891223243215311,0.0289822439103815,-1.21809736370091,0.24391120028465,0.00942219512065407,-0.190102952809508,1.42076532531211,-0.144497911719613,0.460530570591117,0.25031751636047,-0.147294451150979,-0.823897664352397,0.119876114597989,1.20832592178055,0.775830646817011,1.00370112362951,0.371161862538653,-0.13344967586498,0.202556363608188,-0.400275337601659,-0.617462258831289,-0.362791854311763,-0.117101513105233,-0.663762676852205,-1.13166418223625,0.248010692208684,0.714584997048365,-0.0179815186154305,-1.38743231614321
"Campy_Ns_1 (GE) - TPM",0.282421944267984,-0.063339596944106,-0.297498482379651,-0.503507944285984,0.0792671286636392,0.313572585452847,0.046133405499499,-0.32781656855635,0.0402270249442594,-0.224365434368996,-0.323854147431136,-0.565722434381414,-0.553027592197279,-0.42743060263206,-0.00577083790100337,-0.684384170889627,-0.864809053559361,0.148376246977779,0.421654489412969,-0.159803541532504,-0.78240832717072,-0.641575306446505,-0.68479247900608,-0.165693019772859,-0.281966659095715,-0.134961653177509,0.411385016886305,0.154592473988318,0.0155424769832202,0.447051363103481,-0.901775538450841
"Campy_Ns_2 (GE) - TPM",0.271653636042598,-0.246674413067664,0.152744933904121,-0.569465783870091,1.06978234017428,-0.767625227265347,-0.410061182160648,-0.22056450964676,0.587584677481726,-0.316442278651984,-0.204239807074305,0.115886967370789,-0.55142750111903,-0.939738059239703,-0.0816305985948175,-1.09908130988252,-0.222082006262706,0.202229053041964,-0.704391099091052,-0.332093857115331,-0.914320599462161,-0.243664994898605,-1.00486046601146,-0.267415231613592,-0.317771161955033,-0.00827219448288605,-1.46617667694308,-1.43531607143767,0.866059149979826,0.0812887916231296,0.185940214481409
"Campy_Ns_3 (GE) - TPM",-0.0869049985207046,-0.0407123132109638,0.55726916042963,-0.218869737028625,0.344522070565832,-0.601969643918553,0.216759226530334,-0.0588561731463408,0.121958314065583,0.0513140861815998,-0.384697014835428,0.321497890142515,-0.764971238068968,0.0268232024278495,0.593430297299126,0.0121093842355754,0.216850633929548,0.0489442359602783,0.557693545978172,-0.198660718457843,-0.5426930794046,-1.0589522100374,-0.0751961628460166,-0.19018765527272,-0.328742693576683,0.992254867049621,0.844554045800848,0.0361791273750379,0.971103125694107,-0.263782079949883,0.388930519769784
"Campy_Oss_1 (GE) - TPM",0.113037702378184,-1.18079977650843,-1.04861065790312,-0.250311435873157,0.862484010656744,0.414127141198181,-0.921524132574425,-0.650577444351717,-0.839376441503996,-0.748613522032302,-0.606959728282102,0.163748019524773,-0.449458845084298,-1.26374155062627,-0.252893874117349,-1.76962803642068,-0.500870035734116,-1.64456238598985,1.33020795840837,-0.657486123625096,-0.588863786926338,0.0243945366039884,-0.705970124642129,-0.463301464173812,-0.368387538578056,0.731446632682681,0.948674783407304,-0.444801704410587,-0.38262121946661,-0.58610305119205,-0.449053242487775
"Campy_Oss_2 (GE) - TPM",-0.12400665147414,-1.00227249809503,-0.595757102988407,-0.279289479068543,1.40607377051609,-0.0717286402488295,-0.996699002306509,-0.753560149897187,-2.35166911289236,-0.471503972246232,-0.483691583144843,-0.325440725120379,-0.0682392147223105,-0.205661491824125,-0.317172765090291,-0.668788054105062,0.036150011688132,-1.08333796589483,1.52854802805483,-0.605883360821293,-0.220552891871619,-0.222622193328278,-0.998117006565434,-0.48046985831923,-0.148757002532821,1.07273823062857,0.77373430586229,0.820612475356286,-0.297291312862465,-0.167812109927704,-0.566648266505895
"Campy_Oss_3 (GE) - TPM",-1.40063177696966,-0.381669002973505,-1.31942096502423,-0.634693419622962,-0.290854526780312,0.346641270864515,-0.657745814343001,-0.660698650532751,-1.25655591502637,-0.610450773252814,-0.503684158097764,-0.420705249215474,-0.974241537733257,0.0789291164481753,0.623237119820237,0.114892874089079,-1.07514991685699,-0.22282784561951,-0.925464469256899,-0.546024815387209,-1.47141931727761,-0.154852415652101,-0.969722950726208,-0.481469392969522,-0.821329158445619,-0.513054614740746,1.35665577030972,0.82057494292752,0.447398326538008,-1.10692802101692,-0.905137514773478
"Campy_Oxs_1 (GE) - TPM",2.11255651678911,1.4633512519974,2.76183537039252,3.00060543781924,-1.75800931365749,1.72461656384157,2.50430722070707,0.801546493585546,1.11558483186279,1.26593030772592,2.63318549416546,0.0209072141624316,1.80166133658905,0.760337636671063,2.2666196319799,0.790823622542818,-2.13366674364084,2.03130995500869,1.07238755054896,2.45240956034066,1.62052471641322,1.24421830746028,0.976486290809146,1.40549291547399,1.79949091629309,-2.12920013074519,-0.355560816865418,1.72286702216449,1.97461412473831,1.89914666133119,1.12867170257027
