"","SP5448_RS00775","SP5448_RS00780","SP5448_RS00785","SP5448_RS00790","SP5448_RS00795","SP5448_RS00805","SP5448_RS00810","SP5448_RS00815","SP5448_RS00985","SP5448_RS01735","SP5448_RS01830","SP5448_RS01835","SP5448_RS01840","SP5448_RS01845","SP5448_RS01895","SP5448_RS01975","SP5448_RS07125","SP5448_RS07465","SP5448_RS08415","SP5448_RS08720","SP5448_RS08725","SP5448_RS08730"
"SPYO_Ns_2 (GE) - TPM",-0.620613610395079,-0.876132666092543,-0.833854305810141,-0.664736753346568,-1.02495653110778,-1.02656315474321,-1.14763529179814,-0.969544977616581,-0.81743819785446,-1.23810426650697,-0.790918150074588,-1.48043607048002,0.19572217736223,-0.678235323354492,0.991658581516127,-0.741496350373256,-1.26086867712011,-0.986573210826574,-0.747007853463684,-0.0962086907042624,-0.196058621526271,-0.164546181121102
"SPYO_Ns_3 (GE) - TPM",-0.871108437437611,-0.888855199192106,-1.13546236275992,-0.941658303657852,-0.880277565943854,-1.34434074577212,-1.20338573547843,-1.05561705882867,-0.232162872147321,-1.28052909741213,-1.22445726133101,-0.742473366175722,-0.717361435690928,-0.496963391729908,0.619506742421393,-1.0325001895165,0.17975756491497,-0.676864606217225,-1.27778760864101,-0.0403394042660339,-0.372892666373835,-0.0501518132535568
"SPYO_Oss_1 (GE) - TPM",-0.699156954682556,-0.593229361223088,-0.152543856302052,-0.448808628424355,-0.818111022703999,-0.474289811989725,-0.609532572673813,-0.639092580500128,0.283308780092192,-0.27753213192915,-0.12345579502546,0.113191430172869,0.0707420454130008,0.159921427013679,0.61097486396068,-0.856226050087172,0.777181793009907,-0.791013066028303,-1.22398405181771,-0.685250786602762,-0.914384487898567,-1.06352821169834
"SPYO_Oss_2 (GE) - TPM",-0.712197860769761,-0.62166648930465,-0.448316155888639,0.0662690885144714,-0.647842685275087,-0.833524610227507,-0.638090762165059,-0.631433678518462,0.239215188770815,-0.514973087138302,-0.600156550067949,-0.659196783363285,-0.984490376970485,-0.553132674054309,1.12853607193845,-1.03568207583531,-0.798586572393129,-1.03454936966288,-1.74181889161571,-1.35257491145639,-1.27969262138375,-1.30287654989183
"SPYO_Oss_3 (GE) - TPM",-0.411597780244358,-0.702326513101368,-0.642552625815739,-0.236873263788372,-0.57312094422035,-0.746740984254017,-0.848253070712623,-0.0410678449783095,-0.922483149375446,-0.837696747926787,-0.346834850082277,-0.304967085034631,-1.0294376479613,-0.899310253526181,1.84995686840829,-1.20107490236507,0.243494501034886,-1.33558776704976,-1.2717420434343,-1.34987616656068,-1.01468159623938,-1.3764133477784
"SPYO_Oxs_1 (GE) - TPM",2.55243573842504,2.36950981034493,1.5274142893564,0.55412071168007,2.18918823990535,1.55705407335931,1.52159485612639,1.54874773811444,2.44456648752425,0.894705939533956,1.86941528454634,2.70415115878974,1.56273246396607,1.24478246886752,-0.290651103792478,1.53246793418485,0.410500723954371,1.73956907308552,0.567517141477738,0.922810736716225,1.16667982362395,0.967995575609514
"SPYO_Oxs_2 (GE) - TPM",2.77376889547064,2.71160483153704,2.41628469362992,2.12237358156412,1.85638117506038,2.36330708051846,2.0036111111479,1.91692172711989,1.78504842962362,2.10168101109991,1.4831972666038,1.12599676707049,2.10987807994908,1.19918607157597,0.198779829287127,1.89592548836346,0.646406836585092,1.00174799608918,2.70358975166208,1.42425612875732,1.73476455327177,1.75835682301072
"SPYO_Oxs_3 (GE) - TPM",1.83654546890003,1.40914659928315,1.69686839507603,1.81049358524171,1.9828390570544,0.978988589078641,2.17663313226497,0.858335854206808,0.776056309456809,2.134920180851,1.49682371778255,1.2990406119707,2.08679635150064,2.15934464439205,-0.24812086317295,0.881329483609807,2.77020369675313,1.91462453664301,1.38655941116135,0.723711895552207,0.864895303511325,0.823385951850474
"SPYO_Sp_1 (GE) - TPM",-0.965163914626439,-0.0493586560683901,-0.415221542363745,0.33478446195514,0.544139421330412,0.933742831011353,-0.53517195647516,-0.181852172934848,0.519344411607884,-0.120285118277305,0.429178999704187,-0.69152819918495,-1.03085693849208,-0.45040650413214,-0.705678875151838,0.480933991118497,-0.690539873788688,-0.0442223012021477,1.06259593712716,-0.178749412282351,-0.664352752940873,-0.50968224613565
"SPYO_Sp_2 (GE) - TPM",-0.619793825113443,0.208666304382983,0.801451540452994,0.0742128974158174,-0.244128126180745,0.135458548480549,0.52679585424323,-1.81591694307123,-0.447857083026381,-0.872375720999934,0.576411920149803,1.0046798295218,-1.59662050739978,-0.0933440566297887,-0.129539269576847,0.372006014313694,-0.00398814190364727,0.564883265980626,-0.0363099031474764,-0.502525388246754,-0.752422543606309,-0.545585866622214
"SPYO_Sp_3 (GE) - TPM",-0.566043842714403,0.507429466361355,0.281829784659701,0.66298940677725,-0.0652439299827518,0.286351779583977,0.156745343806722,0.836300423534981,-0.182501881449787,-0.488998837384677,-0.211152210755283,-0.573736385200165,0.0439842771671208,-0.396109700319106,-0.100426907643093,-0.0773296196282387,-1.82153670087227,-0.509234157413674,0.0815606958008196,-1.05856050044264,-0.858314720085016,-0.583268827812514
"SPYO_Tm_1 (GE) - TPM",0.460714522417186,0.546122281954221,-0.173269188641977,0.864446753987023,0.850870576928892,0.517725273311478,0.706011911939456,1.09215652394814,-0.292152662375178,-0.010395572487721,2.08355295873249,1.38189699693766,1.11523388303614,2.0301481007912,-1.4452554913781,1.35744376478298,-0.120021161161676,0.864720375367964,0.331539543105394,0.684387277872394,0.556933677594721,0.806276534029282
"SPYO_Tm_2 (GE) - TPM",1.03391783172443,0.89061527429013,-0.00901277076641423,0.136141788187922,0.66677837677133,0.069069705173474,0.483185663444761,0.968658011483043,-0.290218489893139,-1.35254666987411,-0.274827663189213,0.970245342099529,0.166713263232389,0.518498554897197,-1.3881617948398,1.41530586259402,0.53381553942319,0.0852443726430051,0.0117993168415956,0.755619463214959,0.787959786102354,0.926453034385954
"SPYO_Tm_3 (GE) - TPM",0.270625784822004,0.983220459195804,1.07733579920132,0.684106382156012,0.525247606337674,0.565596837050233,0.618470004348289,0.36885568455891,0.330641507335689,1.3475932508464,-0.223148523085157,1.24728707168316,1.41416904483524,0.931196009311039,-1.3256284409174,1.56409194129887,1.32150381520491,0.447397211060494,0.858159521301103,1.51377039766125,1.3815646660486,0.979731960905441
"SPYO_Vic_1 (GE) - TPM",-0.83788042122405,-1.25567713435388,-1.09297011854998,-1.48770736349906,-1.22103551789284,-0.867388052749929,-1.28963944168032,-1.10020079041094,-1.2336888224047,0.196825440389572,0.133304644639524,-0.847305373991229,-1.27366948626811,-0.571110678776147,2.41292221733137,-1.20222922275784,-0.636382093693763,-1.10998069361325,-0.589791756284975,-1.32149304310992,-1.39130809682118,-1.45813251613255
"SPYO_Vic_2 (GE) - TPM",-1.01195118785821,-1.30592829545238,-1.08914132046923,-1.84968472715199,-1.02089385472693,-1.20925616592767,-1.28030920175538,-0.635656485553725,-0.883331565755295,-0.990088495171008,-0.738710150119889,-0.756017572407578,-0.342594862120635,-0.9596988374787,1.29327335713933,-1.28612140088717,-0.676466676723507,-1.00539887186195,-1.1661121081949,-1.44872483813073,-1.47849020429915,-1.39774883164122
"SPYO_Vic_3 (GE) - TPM",-1.10316652329951,-1.2921688453657,-1.12792637472652,-1.12974385194039,-1.11543886170696,-1.30733103011082,-1.12691112062329,-0.989876020460471,-1.7777862099872,-1.32496401074546,-0.782374196948749,-0.697795870095376,-1.31171686176802,-0.489512315224988,0.155572562763368,-1.75947854916066,-0.477661450968031,-1.46863881081949,-1.57067299315573,-1.52673656912136,-1.40129404935044,-1.62391471872577
