"","lmo0174","lmo0223","lmo0324","lmo0335","lmo0684","lmo0742","lmo0748","lmo0834","lmo0928","lmo0944","lmo1193","lmo1345","lmo1354","lmo1715","lmo1842","lmo1954","lmo2310","lmo2807"
"Listeria_Li_2 (GE) - TPM",0.172002530611551,-0.430332379995068,-0.0746489804644386,-0.433169198604049,-0.472914875645673,0.261892888101471,-0.323189555175563,-0.561330013013798,-0.317779205311337,-0.191484940891673,-0.647096694620183,-0.346179880299757,-0.115560938459392,-0.171200485596656,0.328495934005576,-0.711622529619106,-0.123579515412095,-0.434052153550108
"Listeria_Li_3 (GE) - TPM",0.876278632787674,-0.440702507574358,-0.40338988781598,0.293409864074504,-0.472914875645673,-0.671696828685975,-0.473685260297269,-0.112490683752764,-0.303579259969147,-0.217011428307255,-0.80601823682556,-0.804650394601919,-0.120718677474812,-0.147651378954965,-0.508810247236062,-0.654141924010647,-0.271685422605417,0.548009030703573
"Listeria_Mig_1 (GE) - TPM",3.86407706082758,4.53075029042247,5.45049137762076,5.20258474901731,4.71124133910688,3.49327307251397,5.1050747039078,3.49699640366927,4.08068934784913,5.78427234369753,4.30480134800381,4.09373351733253,5.82911214378944,4.47816721964213,4.5452742706796,4.15982946523647,5.66228064426892,5.46283745697497
"Listeria_Mig_2 (GE) - TPM",-1.01542619236518,-0.346476978199682,-0.40338988781598,1.1749361734872,-0.472914875645673,-1.380211071328,1.48003105777925,0.41697791424523,0.101705660702888,0.273605125574884,-0.976645906866674,-0.804650394601919,-0.201255172790456,-0.834151518414558,-1.20552679535826,-1.15982283227926,-0.271685422605417,-0.633769045784926
"Listeria_Mig_3 (GE) - TPM",0.439241800705523,-0.429795844406864,-0.40338988781598,1.09309769576812,-0.472914875645673,-1.380211071328,0.568910447851234,0.35439449293271,1.05590536101764,0.365568559982819,0.597848848220659,2.11594292099819,-0.201336364231129,0.221647215931978,-1.20552679535826,-1.16948685636188,-0.271685422605417,-0.633769045784926
"Listeria_Nd_1 (GE) - TPM",-1.01542619236518,-0.886043421973711,-0.40338988781598,-0.652369993020925,-0.472914875645673,-1.380211071328,-0.652592979156526,-0.980397421254408,-1.73007392590434,-0.222897568493393,-0.976645906866674,-0.342077255930424,-0.242888744778545,-0.834151518414558,-0.526689104752073,0.137514952611408,0.101892660477985,-0.345906104122345
"Listeria_Nd_2 (GE) - TPM",-1.01542619236518,-0.857028726165015,-0.40338988781598,-0.159092846176349,-0.472914875645673,-1.380211071328,-0.780861788719473,0.1512574668108,-1.68541131345646,-0.177017352851368,-0.976645906866674,-0.804650394601919,-0.238998836736518,-0.834151518414558,-0.478773421547296,0.0176938554220686,-0.271685422605417,-0.633769045784926
"Listeria_Nd_3 (GE) - TPM",-1.01542619236518,-0.815795985495628,-0.40338988781598,-0.652369993020925,-0.472914875645673,-1.380211071328,-0.780861788719473,-0.980397421254408,-1.66535012867371,-0.22955506196247,-0.976645906866674,-0.804650394601919,-0.239918142290623,-0.834151518414558,-0.39626810377963,-0.0354943711844837,-0.271685422605417,1.08207253676179
"Listeria_Ns_1 (GE) - TPM",-0.267550812639704,-0.78864371569353,-0.104317527077663,-0.452951856775164,0.0567978972464076,-0.135289674114428,-0.31823094401262,-0.294152852480759,-0.469061096799462,-0.260984101331959,1.90150817628599,-0.554393996330693,-0.176955580916062,0.613337316549197,0.851115458650164,1.37986871177026,-0.271685422605417,-0.1665594072991
"Listeria_Ns_2 (GE) - TPM",-0.574790530127204,-0.811280946846574,-0.40338988781598,-0.241141588938023,0.463378836409515,0.0867626498399137,-0.208455644625304,-0.17174978229674,-0.0732684049833323,-0.264302418650508,0.348166777422065,-0.509756628338535,-0.169321036246545,-0.407733415177213,0.438976418040024,1.63563589548604,-0.271685422605417,-0.0373461560628175
"Listeria_Ns_3 (GE) - TPM",-0.300272549967161,-0.816724873520121,-0.0816544345810501,-0.0802909661867473,-0.0930126598304347,-0.0409520745517117,-0.432480143368002,-0.652287741059428,0.110425918718144,-0.26489403094601,0.764997371523668,-0.086729550469296,-0.17398408837634,-0.444857373427322,0.954285262893378,1.23484954414536,-0.126735645745127,-0.354539140134487
"Listeria_Oss_1 (GE) - TPM",0.399729618150871,-0.236850516426832,0.2667727604541,-0.145932027951747,1.10972870749489,0.81429415486401,-0.13812935756644,1.13826632779103,0.282961393443527,-0.129701527119817,-0.546687226920791,0.615981192956426,-0.146407057836261,0.0307922903707726,0.0892515006838616,-0.832876578345674,-0.150915485201578,-0.121938854003121
"Listeria_Oss_2 (GE) - TPM",-0.32269068539555,-0.216981640459658,0.323793248220737,-0.236760572355613,2.10303827675956,1.90622359943916,-0.122009708514854,2.67458234492072,0.495252163547296,-0.132709225042778,-0.539263230829303,0.0646195609473322,-0.147341034177397,-0.331363751762552,0.376310796460165,-0.849168874936701,-0.271685422605417,-0.201006162379342
"Listeria_Oss_3 (GE) - TPM",0.281067711240504,-0.26386988175663,0.374304169972123,-0.133812212711815,0.215805530918918,0.723992676597672,-0.359810373992824,1.10149465202288,0.320637109382304,-0.141365179392381,-0.5088821603036,0.496860137765978,-0.152440444001413,0.106844384929309,-0.537027014955217,-0.832956771294555,-0.271685422605417,0.176171305885507
"Listeria_Oxs_1 (GE) - TPM",-0.125458675915116,0.661122015504716,-0.136469061016999,0.059549405316277,-0.472914875645673,1.06418059680153,-0.0789384405466462,-0.980397421254408,0.496961649702041,-0.233389308761913,-0.0133682425735454,0.982171885206759,-0.130635123973627,0.457726191111589,-0.41886483279576,0.343867583796865,-0.271685422605417,-0.0777921905783799
"Listeria_Oxs_2 (GE) - TPM",1.11232462755358,0.656515829616384,-0.40338988781598,0.056825874296691,-0.472914875645673,-0.317648004546877,-0.41890326444152,1.29741124079871,-0.0836990879510116,-0.0623698566934217,-0.0810262094358685,-0.092655761927693,-0.120065583145498,-0.319377326108831,1.61562218844988,-0.0626466935442556,0.303327624837929,-0.190689125212331
"Listeria_Oxs_3 (GE) - TPM",0.563943711751465,0.811297815740379,-0.119177230965308,-0.14701039238534,-0.472914875645673,-0.118273732749677,-0.414491308081988,0.178976504876381,0.785568197027744,-0.173188295134455,-0.520787545127506,0.463734475946678,-0.133248700909929,0.999940388643407,0.423186507687273,-0.337913332449457,-0.271685422605417,-0.0417745541496652
"Listeria_Sp_1 (GE) - TPM",-0.458339932373601,1.14014128479137,0.933269460764328,-0.20673517187096,-0.176980837930255,-0.197863054818244,-0.0184123042444854,-0.341424955600997,0.512567727582234,-0.112998733254881,0.0785614997118352,-0.245408555501283,-0.114184123734014,0.884265761143203,0.312770859126208,-0.407690966400718,-0.271685422605417,-0.372753563887303
"Listeria_Sp_2 (GE) - TPM",-1.01542619236518,1.1844739319134,-0.40338988781598,-0.652369993020925,-0.472914875645673,0.474514056358427,0.942245096862451,-0.980397421254408,0.133481908466337,-0.14083946836308,-0.976645906866674,-0.804650394601919,-0.144468847364938,-0.834151518414558,-0.384798114263242,-0.57541362418615,-0.271685422605417,-0.343742215423756
"Listeria_Sp_3 (GE) - TPM",0.375057389148991,0.863071946009199,0.430683312151807,-0.374294609315708,-0.472914875645673,1.39732563062744,-0.458307751841039,-0.342449019883664,1.52485476985315,-0.16200096823374,0.779214515430491,1.28914544343628,-0.104068851606769,1.18427579595777,-0.795833736141756,-0.254915382907525,0.855626376598886,-0.633769045784926
"Listeria_Tm_1 (GE) - TPM",0.209679533192033,-0.133799279237016,0.465095544960282,-0.028727648199904,-0.236261148856315,-0.212234505909277,0.448909794622305,0.654726043803459,0.451787372763935,-0.206841580551201,0.389559128673965,0.313391538455219,-0.183120438207087,-0.349142975303574,0.566488170438807,-0.0285499770473905,-0.271685422605417,-0.285885853977548
"Listeria_Tm_2 (GE) - TPM",0.238781984424522,-0.00220968532400478,-0.215307583021325,-0.27613640269585,-0.472914875645673,-0.440715284730732,0.528376681352378,-0.117258749212319,-0.244751070935095,-0.210410378890934,0.154622651573892,-0.804650394601919,-0.206659199480283,0.986458286762098,-0.0969044605831943,-0.112664055477566,-0.271685422605417,0.14975474024704
"Listeria_Tm_3 (GE) - TPM",-1.01542619236518,0.0672785969642553,-0.40338988781598,-0.357695590446137,0.309826342233926,0.827290067090084,-0.0630647824983408,-0.304368275769748,-0.278671493946253,-0.205157556600896,0.219500472421978,-0.804650394601919,-0.192289797482789,0.235304639603801,-0.337229459596895,-0.199802110216195,0.325616514816082,-0.403641663357981
"Listeria_Vic_1 (GE) - TPM",0.291357979019699,0.395604340751825,-0.40338988781598,0.0445281024869694,-0.0101236901744627,0.251254164165766,-0.437305309130813,-0.780548274504731,-0.707467948854182,-0.169466415399288,0.909259636094156,-0.586010291651326,-0.128043466915846,-0.676074087436016,-0.11460334454496,0.264601922160088,0.0814658683792982,-0.0895231488147226
"Listeria_Vic_2 (GE) - TPM",1.64660409250663,0.439337699420093,0.661145332209515,-0.652369993020925,-0.472914875645673,-0.0508378020918605,-0.698526057858353,-0.166178067663391,-0.0821332507249417,-0.203411763117372,-0.336354293762083,-0.804650394601919,-0.129161989389953,1.09795135262957,-0.682631813416551,0.047205474220727,-0.271685422605417,-0.633769045784926
"Listeria_Vic_3 (GE) - TPM",0.971886255046154,0.716057417544036,-0.40338988781598,0.937358008386656,-0.472914875645673,0.273839761060907,0.571410618444187,-0.980397421254408,0.415877370347209,-0.204666320544833,0.696365947705767,-0.804650394601919,-0.127295407119758,-0.834151518414558,-0.424802614800399,0.00385663592043692,-0.271685422605417,-0.426851432844616
