"","E2348C_RS01545","E2348C_RS04740","E2348C_RS26530","E2348C_RS06050","E2348C_RS06570","E2348C_RS09725","E2348C_RS09730","E2348C_RS11435","E2348C_RS11515","E2348C_RS11990","E2348C_RS13385","E2348C_RS13395","E2348C_RS13475","E2348C_RS13665","E2348C_RS20555","E2348C_RS23200","E2348C_RS27950"
"EPEC_Li_3 (GE) - TPM",-0.290470568354546,-0.36808995700493,-0.317728665655899,-0.746475994336421,-0.605514967082617,-0.558574277575014,-0.510215763189314,0.567248899184237,0.129491420667776,-0.772882778634336,-0.819714523976679,-0.54686332202908,-0.472311329824665,-0.0182866474040699,-1.06739718153993,-0.371595342887516,-0.277683282970586
"EPEC_Mig_1 (GE) - TPM",-0.440979176811191,-0.288018724589717,-0.317728665655899,-0.746475994336421,3.59927889408839,-0.558574277575014,-0.510215763189314,-0.564889848044668,-1.5156521452751,1.83098458585714,-0.819714523976679,-0.781300984182017,-0.472311329824665,-0.283439495276209,-0.360021723617375,-0.371595342887516,-0.277683282970586
"EPEC_Mig_2 (GE) - TPM",-0.0931029071603856,-0.18212294338161,-0.317728665655899,-0.746475994336421,-0.605514967082617,-0.558574277575014,-0.510215763189314,-0.564889848044668,-1.5156521452751,-0.772882778634336,-0.819714523976679,-0.781300984182017,-0.472311329824665,-1.61181360714586,0.012606984316945,-0.371595342887516,-0.277683282970586
"EPEC_Mig_3 (GE) - TPM",-0.440979176811191,-0.343740823850637,-0.317728665655899,-0.746475994336421,-0.605514967082617,-0.558574277575014,-0.510215763189314,-0.564889848044668,1.26193913282619,-0.772882778634336,-0.819714523976679,-0.781300984182017,-0.472311329824665,0.779692142538798,-0.89041167392657,-0.371595342887516,-0.277683282970586
"EPEC_Nd_1 (GE) - TPM",-0.0421205232769071,-0.374338818578297,0.290474176969041,-0.296613428811981,-0.187789049353032,1.13518181666782,0.596196548101662,1.12275034288806,-0.289472753331751,-0.427973953025479,0.309292066996558,-0.781300984182017,0.323586029057776,-0.556073300873375,0.336322030009047,-0.371595342887516,0.465284425921428
"EPEC_Nd_2 (GE) - TPM",-0.199924493284558,-0.422920839818506,-0.317728665655899,-0.0214640804275515,0.0677045676536155,-0.558574277575014,1.27291128261973,-0.564889848044668,0.460495095732957,-0.217017438936513,-0.213200970840311,-0.405825474726817,-0.472311329824665,-1.04465942966259,0.116761158634669,-0.371595342887516,2.71578895704393
"EPEC_Nd_3 (GE) - TPM",-0.214686689044425,-0.351262022237364,-0.317728665655899,-0.338108696309936,0.658468134952957,0.210187843346504,-0.00803727465243501,-0.564889848044668,-0.155224998837106,1.41877856754235,0.20515263885693,-0.358323330145545,-0.472311329824665,-0.972907640010767,-0.0488170268343412,-0.371595342887516,-0.277683282970586
"EPEC_Ns_1 (GE) - TPM",-0.266738601279378,-0.270964029279512,-0.317728665655899,0.0396101209928564,-0.605514967082617,-0.558574277575014,0.456452083594529,-0.564889848044668,-0.325310091117331,-0.772882778634336,-0.162108939943046,-0.781300984182017,-0.472311329824665,-0.0744870632338122,-0.989649346729294,-0.371595342887516,-0.277683282970586
"EPEC_Ns_2 (GE) - TPM",-0.372836395062039,-0.358618159448304,-0.317728665655899,-0.746475994336421,-0.605514967082617,-0.558574277575014,-0.510215763189314,-0.564889848044668,-1.14323271959907,-0.772882778634336,0.723361432243161,-0.14445098808736,-0.472311329824665,-1.37132379714435,-0.626063317949245,-0.371595342887516,-0.277683282970586
"EPEC_Ns_3 (GE) - TPM",-0.348997618157839,-0.386185353363603,-0.317728665655899,-0.746475994336421,-0.605514967082617,1.00382708163904,-0.510215763189314,-0.564889848044668,-0.761594598429518,-0.136562095535544,-0.125414859245592,-0.781300984182017,-0.472311329824665,-0.637948424109808,-0.853115798768825,-0.371595342887516,-0.277683282970586
