"","B4U56_RS02225","B4U56_RS03605","B4U56_RS03835","B4U56_RS04425","B4U56_RS04665","B4U56_RS04870","B4U56_RS04950","B4U56_RS05295","B4U56_RS06010","B4U56_RS06560","B4U56_RS06990","B4U56_RS07515","B4U56_RS08455","B4U56_RS09065","B4U56_RS09190","B4U56_RS09260","B4U56_RS09445","B4U56_RS09965","B4U56_RS10125","B4U56_RS10250","B4U56_RS10305","B4U56_RS10410","B4U56_RS10440","B4U56_RS10445","B4U56_RS10450","B4U56_RS10830","B4U56_RS10835","B4U56_RS11455","B4U56_RS11985","B4U56_RS12060"
"SEPI_Mig_1 (GE) - TPM",-0.479694950555324,0.0446384297541169,0.17900403529236,-0.392629642667381,0.476393040412684,0.797206936941483,0.651359742265082,0.194443318180749,-0.10184268515203,0.874164607472265,0.0117410116087422,0.0710263125916679,0.973994216380192,0.39997532344148,0.714567673380112,-0.423517391868341,-0.69137607139035,-0.0759124312013542,-0.533193132093619,-0.314634959907003,0.160461899236534,-0.112143056289809,0.150967583421859,0.83692679187891,0.863821245222218,0.956172276378104,1.17160261346541,-0.358996529745626,-0.17887614542345,-0.161215788212414
"SEPI_Mig_2 (GE) - TPM",-0.0126386807643457,0.024043029184871,-0.221433184012758,-0.79716668496327,0.0263539116110493,0.707541404473184,-0.0922426641206902,-0.0904944230052869,0.288255644117085,0.648386906255334,-0.0681718029149716,0.395230174754793,-0.0632630679644956,1.34325785785317,0.961242634752623,-0.550869684071803,-0.719203086496324,0.4884900556529,-0.518942468780298,0.351303333213829,0.0549653366221428,0.224904782776254,0.285146979837651,0.41810613408552,0.52194141452019,0.545988935518188,0.398650830843102,0.164033217100534,-0.543967688137584,-0.673809747890843
"SEPI_Mig_3 (GE) - TPM",0.812177951327967,0.301472723009209,0.0839687530798505,-0.547455362562368,0.454502648195278,0.588207385171362,0.338778344821115,0.819249926115616,0.337767084138024,0.426150121934348,0.0893811614993317,0.521281689962162,0.608092041690973,0.849684869430144,0.810496917895083,-0.56323640640591,-0.212177103139849,0.0554606257550008,-0.500072048699009,0.192303931297175,0.0373737480869204,0.00161131242826793,0.219609754158528,0.722639457081457,1.19398824419152,1.27459236539981,1.18721933735607,0.224231914373927,-0.105919103167204,-0.286555212899015
"SEPI_Nd_1 (GE) - TPM",-0.502563081789613,-0.636383839512695,-0.80217970829694,-0.559042492790244,-0.437487418504813,-0.42616718660289,-1.35607413159324,-0.996069953315581,-0.576412683739165,0.106795938114918,-0.1472680612055,0.916126078732565,-1.19935751983886,0.776740938599811,-0.846263799676049,-1.03104896691185,0.497276745311863,-0.832873183028021,-0.748814616521854,-0.621359347771701,-1.00206600493792,0.611081068258771,-0.188799615384317,-0.516798608775725,-0.532767525211416,-0.188582088380707,-0.390784656627001,0.879896516159425,-0.994206602168587,-1.03645879069854
"SEPI_Nd_2 (GE) - TPM",-1.00893626345388,-0.378804531401739,-0.229324457250591,-0.47727544233148,-0.636272257947878,-0.68939224226256,-0.791015302976468,0.237073152836796,-0.0527205665763828,0.386976174616572,-0.910957819445668,0.201250179731169,-0.3494482240985,-0.0199999884977094,-0.84995434263137,-0.734902233504301,-0.691955288345648,-0.175065424770169,-0.39462194103415,-0.90362521580666,-0.795668903974007,-0.705820859277966,-0.628942336059104,-0.321378492986578,-0.490165563348717,1.16495918428456,0.458024099219918,0.629969900688288,0.0563554602788541,0.456233681112689
"SEPI_Nd_3 (GE) - TPM",1.00640178839754,-0.287212225666344,0.85113203372356,-0.516853629879863,-0.622814837531617,-0.424233145765281,-1.01147376399684,-0.114441512653381,-0.342824040349659,0.399823216267972,-0.686811363105601,0.899142115973844,-0.162205457390922,0.348663208801805,-1.00572349498045,-0.747189175102235,-0.962194812707216,-0.356911722099449,-0.0635894727342687,-0.107220398124738,-0.737527364316676,-0.511754150946812,-0.46473432555475,-0.366045519786046,-0.371507801485875,-0.0208603074318092,0.747606771238639,0.226389605194275,-0.675406962616582,0.32388912653275
"SEPI_Ns_1 (GE) - TPM",-0.0286961977039306,1.57805168160602,0.546910215516482,0.52834576708415,-0.147620516503162,0.861987550886839,-0.566629733948766,-0.0522174311762045,1.30108203245534,-0.0281718115471749,1.07182767250843,0.112452532965344,0.868271995637109,0.384639861496581,-0.0232962140281322,-0.0360847188806835,0.909194324865084,-0.378524143081772,0.0870317203853225,-0.23928410272436,0.712560104963323,0.521618607691826,0.887876181820435,0.275350157226558,-0.105062058634761,0.0744357908739341,0.59964454473276,-0.885857300370553,0.944612939074501,0.100767996127511
"SEPI_Ns_2 (GE) - TPM",-0.230184251169776,1.32743337972853,0.130188288819716,0.135537129882204,0.348165010528528,1.29311050157511,-0.246057826688024,-0.0691611490956281,1.24064054759218,0.537427202124304,1.39063315620069,0.169524106916399,0.370479725810234,0.938983908193329,0.195433442523964,-0.0148339311905943,0.139012430086627,0.264351704074713,0.532751549124368,0.392898362668207,0.745472497745218,0.696861499225777,0.796125387981408,0.513369606135353,0.107962787333642,0.186348062792879,0.512587631444146,-1.10865394416547,0.550651000574958,0.114843596253903
"SEPI_Ns_3 (GE) - TPM",-0.855383430090726,1.07789012949684,0.783256642122033,0.303931387032853,0.211730857688969,1.35373406283957,-0.213836480877914,0.139398887707484,1.83612486851387,0.499362281100276,1.26968646574793,0.267840877405989,0.854879520725917,0.431101135475359,0.172554155512572,-0.30038077984773,0.15163111503722,0.361406114015454,0.458200393553864,0.207385986625191,0.848159767557763,0.196068283534343,0.950206894697021,0.628788605381694,-0.020202627288839,0.775237515032067,0.464825713097116,-0.889523155775471,-0.0365075504400327,0.561154784291102
"SEPI_Oss_1 (GE) - TPM",-0.696636425050173,0.084120392541512,0.502250518684662,0.115977935472437,-0.432802351009769,-0.0469227052331077,1.03767272020768,0.709372349852437,0.214019026853973,-0.123104767825999,0.172020840619939,-0.301421173282726,0.534060780506521,-0.435768170983294,-0.174030592450894,-0.305815002311688,0.525741192392752,0.13277311301758,0.254698946873415,-0.112948224503156,0.0143743013846628,0.294040770478517,0.599681941619012,0.134864117475721,-0.00542937750457526,0.128040974179123,-0.167388796993456,-1.32157645504881,-0.543566168364964,0.0209562737238831
