"","CJJ81176_RS00115","CJJ81176_RS00135","CJJ81176_RS00910","CJJ81176_RS00915","CJJ81176_RS01040","CJJ81176_RS01600","CJJ81176_RS01890","CJJ81176_RS02145","CJJ81176_RS02165","CJJ81176_RS02835","CJJ81176_RS02885","CJJ81176_RS03130","CJJ81176_RS08975","CJJ81176_RS05095","CJJ81176_RS06665","CJJ81176_RS06670","CJJ81176_RS06825","CJJ81176_RS07275","CJJ81176_RS07400","CJJ81176_RS07590","CJJ81176_RS07720","CJJ81176_RS07725","CJJ81176_RS07730","CJJ81176_RS07815","CJJ81176_RS07965"
"Campy_Li_2 (GE) - TPM",-2.35866707539972,-3.03910460721915,1.52845116462938,3.07209542775675,-3.11438201135981,-0.00731628297190783,2.79157213886681,2.98040551719668,1.40206485541175,-2.36790662316259,3.15026007146655,-2.53747886594891,2.8267365807265,-3.17009670083132,3.18584454631847,3.20068992158401,-3.0869921278863,2.68363867812508,3.18260420021219,3.30933806176055,2.42337787892519,2.61973940897894,1.48938897175713,2.76496633115385,3.64391040741251
"Campy_Li_3 (GE) - TPM",-2.38550101745067,-0.73216493521278,1.72748516234356,1.49786024531397,-1.07895020883642,-1.28971995562531,1.30896144483874,2.10317079574459,1.24305570125391,-2.02432148407738,2.78879294876613,-1.97057623320621,2.09590019208133,-0.741077744383579,1.78879721660443,2.20680427511013,-1.65691882476751,1.62622415231191,1.16726602024853,1.83213908622208,1.92450435531099,1.92835173235054,0.843435478384204,1.35859754649168,1.7096022532334
"Campy_Mig_1 (GE) - TPM",0.412510056855603,1.05807065475049,-0.747921742880714,-0.124077675219868,0.304747491376209,1.72368350390503,-0.195008779409848,-0.270734743823576,-0.838626050168917,0.536893188459243,-0.406962409284798,0.138385957025647,-0.646953402032949,0.468539667114609,-0.690198854993549,-0.466797416192775,-0.205457187964687,-0.532402746193507,-0.337050435901409,-0.817609411988807,-0.622094645981829,-0.543315498111454,-0.756767049533597,-0.463994717318003,-1.11994076768015
"Campy_Mig_2 (GE) - TPM",0.252147196292582,0.981584911047168,-0.955944516807805,-0.551628582995924,0.202625544145221,0.547734203454805,-1.18612025968187,-1.68268641034115,-0.928637498478674,0.433782484622059,0.211634102144771,-0.335421314841995,-0.552492821443337,-1.53033597475409,-0.817382875133123,-0.49056849942037,-0.0886442079027281,-0.149310683628801,0.278716720790191,-0.723782366366182,-0.62043544569434,-0.513316226716587,-0.847737638860035,-0.542315947299646,-0.989214555822975
"Campy_Mig_3 (GE) - TPM",0.404362026349417,-0.803530872924433,-0.289418761216176,-0.145489667254057,0.327675414408187,0.147159398736184,-0.48621150114915,-0.378903459445655,-0.662078880392262,-0.599317170058662,-0.673487043119332,0.355188169742302,-0.200713668904517,0.478920791380998,-0.645465697058898,-0.483167065226035,-0.716096830760538,-0.17667824955583,0.0372289121654856,-0.644901057810227,-0.512849619054693,-0.600929419282485,-0.5527823135545,-0.810924262326115,-1.00258869605473
"Campy_Nd_1 (GE) - TPM",-0.618836811462561,-1.15860018721386,1.34515676418542,-0.345964686513902,-0.240924747031393,-0.933301795866549,2.35674831379004,0.94003197248757,1.97374825947718,-0.587301328676255,0.214238839211062,0.11089898266994,0.33874564570391,-0.143245588962224,0.451346036124125,-0.155140787685786,0.45233895090174,-0.922823925616675,0.0329783496817967,0.860539297984261,-0.165679107593286,0.102328853450113,1.11922772372588,0.910883229473059,-0.0316417349823711
"Campy_Nd_2 (GE) - TPM",-0.738436993056522,-0.692708561490174,0.67682439566527,0.146578436954973,0.322608774075803,-1.13578799789794,0.742429689944711,-0.0805008643420307,1.15980501517433,0.550296162203895,0.478747041454954,0.49175739301426,0.438838509757595,0.848791620615166,-0.0805167837433413,-0.191318895685965,1.0848138257768,-1.14503504663588,-0.827844994764123,0.328794022476297,-0.432814368461289,-0.160263454132264,0.123484527182713,0.806201977687225,-0.426934754781597
"Campy_Nd_3 (GE) - TPM",-0.418006291402813,-0.151462719936984,0.368889690768027,0.204038472581532,-1.22624326975314,-0.190755794356005,1.17913094650001,0.0246273258271169,1.41647738248536,0.237449133650147,0.199957156611423,-0.866650272119476,1.36112329499499,-0.266339176775495,0.0572310464879062,-0.194530671150277,0.794161426879614,-1.11086383146827,-0.789998979785284,0.616794481812121,-0.275548697688174,-0.00376579390055079,-0.0452649752684649,0.224981145893686,-0.467152027748688
"Campy_Ns_1 (GE) - TPM",0.158301937553844,0.0456115077388082,-0.419887453936522,-0.641529370276238,0.159524280262879,0.637579580011383,0.270835567003029,-0.534883348263941,-0.0643921367595006,-0.297649203258656,-0.807133231617226,-0.585038017037721,-0.571945527919537,1.33402697577287,0.431705050287542,0.762902457135038,0.0470574754138916,0.0464165467454284,0.131083341642501,-0.0695493870283062,0.534955335304874,0.279454834925546,-0.308692906600263,-0.150650315906364,-0.216435910276141
"Campy_Ns_2 (GE) - TPM",-0.877647574178605,-0.0231457321798578,-0.4777768469164,0.42894476285663,-1.05193285485745,0.855158917981671,0.0338917133525803,-0.717386464656355,-0.335450452805502,-1.37794470476189,-0.146918626510843,-1.30535707055862,-0.627798090556323,-0.789727161447557,0.483981522928935,0.599597192706526,-0.995030011944924,0.231556432388931,0.265536568743933,0.443415719471954,0.344218404153997,0.346049531270318,-0.0553642291226177,-0.0740494967724702,-0.0188608371647153
