"","ABUW_RS01055","ABUW_RS02780","ABUW_RS02785","ABUW_RS02810","ABUW_RS19730","ABUW_RS04615","ABUW_RS04620","ABUW_RS05105","ABUW_RS06260","ABUW_RS06470","ABUW_RS07015","ABUW_RS09440","ABUW_RS09450","ABUW_RS09675","ABUW_RS09910","ABUW_RS09925","ABUW_RS10580","ABUW_RS11280","ABUW_RS12495","ABUW_RS13690","ABUW_RS14055","ABUW_RS14415","ABUW_RS14420","ABUW_RS14425","ABUW_RS14430","ABUW_RS15170","ABUW_RS15275","ABUW_RS16290","ABUW_RS16425","ABUW_RS16945","ABUW_RS17645","ABUW_RS17720","ABUW_RS18085","ABUW_RS18265","ABUW_RS18270","ABUW_RS18705","ABUW_RS18710","ABUW_RS19210","ABUW_RS19215","ABUW_RS20055","ABUW_RS19390","ABUW_RS19410","ABUW_RS19465"
"ACIB_Mig_2 (GE) - TPM",-0.057107507858166,-0.160895684545437,-0.567931521798888,-0.672112092375194,-0.703187362670555,0.35368988353688,0.137141181375503,-0.696782279421773,-0.38079985942455,-1.20714651447928,-0.991593624966267,-0.842664672624505,-0.907406553444643,-1.06077195103494,-0.824242634786098,-1.08684828837036,-0.476317283233764,-0.786095016458315,-0.531877222973397,-1.01759703746432,-0.604201671573106,-0.846369305638097,-0.438101216109533,0.0596932884627614,0.182842577461543,-0.722754386791058,-1.18544001055202,-0.850203126812551,-1.09430464610725,-0.72875029878756,-0.347218529127744,-0.861179075571596,-0.65128947250931,-0.856224822973088,-0.566340118144361,-0.695366432128669,-0.377004641137703,-1.04374322747584,-0.676330795271127,-0.430446817887007,-0.806028639944513,-0.734787128961089,-0.158790051157827
"ACIB_Mig_3 (GE) - TPM",0.531506437754845,-0.104783433159702,0.104528973809904,-0.293117692969246,-0.703187362670555,0.22842386358058,0.376364581456764,-0.568019013071398,0.0498709907096067,-0.890495951454838,-0.683918414963583,0.431759505031019,-0.709305698942088,-0.402791316633756,-0.467700624158559,-0.578498130749538,-0.433515040394584,-0.857481573054756,0.0493270719870759,0.312571800803333,-0.576386162204616,0.541975467561788,-0.233142557182705,0.163592374550308,0.273741938145412,-0.625374692693742,-0.670225690335783,0.120741784515923,-0.264387711655908,-0.622230139214159,-0.0745615056078962,-0.46040833773864,0.295833099843636,-0.83443266344416,-0.911625905022545,-0.444469758716376,-0.420761163234682,-1.05979898738852,-0.56400054287716,-0.430446817887007,-0.592779694965552,-0.734787128961089,-0.0696268941727895
"ACIB_Nd_1 (GE) - TPM",-0.704212627899579,-0.649807200177558,-0.234462701626737,-0.48660215191611,-0.703187362670555,-0.574769166068591,-0.504513209235213,-0.00862622266931587,-0.388027599169514,0.056758041767967,0.226739321621708,0.770266507526566,-0.993796089729696,0.205096587864065,-0.767681887123198,-0.48295848029087,0.510878777676556,-0.864244056367015,-1.1015781799019,-0.760850017703107,-0.293177252636826,-0.395164253388546,-0.426819068139793,-0.871785356277813,-0.73087854608326,1.63252294680524,-0.131683271299867,-0.850203126812551,-0.792772095760188,-0.991475320461082,-0.486071961609957,-0.210787262689598,-0.240407946012578,-0.675899682752077,-0.633927311893907,-0.652371845045799,-0.601323098623731,0.241316795630992,-0.066258513382105,-0.430446817887007,-0.0812867994793078,0.26812111393733,-0.337861678857546
"ACIB_Nd_2 (GE) - TPM",0.0960532347229612,-0.660131229094448,0.093473039028493,-0.550219064219915,0.974883781486367,0.110734210125016,-0.383547245901069,0.108603506115771,-0.692764712818695,-0.086108255730049,-0.67586527461636,0.184026251509217,-0.895459425859014,0.444321718013873,0.1837892658507,-0.891227364810651,0.585190239888822,-0.888860178390988,-1.19756417505703,-0.693267798366777,-0.393179711017211,-0.296744532167851,-0.345088092469926,-0.759859274563253,-0.639783475933337,1.07602461484264,-0.145544046739682,-0.252387979355362,-1.06055404443757,-1.0708362078659,-0.269106189688443,0.300044847459806,-0.792151128802645,-0.380711967759156,-0.0655614074204703,-0.724868163964235,-0.590525215317394,1.08050562497823,0.690124619983787,-0.430446817887007,0.0375576804704476,-0.409910249010872,-0.452356384139129
"ACIB_Nd_3 (GE) - TPM",-1.02695972444756,-0.755904852875369,-0.31190822358731,-0.11071771896244,-0.703187362670555,-0.215742235195206,-0.76435024797263,-0.485930801601376,-0.39961102603599,-0.516971280999752,-0.287864510585885,1.03438486600283,-1.0323629247697,-0.209460823225104,-0.955920699241188,-0.881662012479794,0.12729470949283,-0.911223533776469,-1.19953157295294,-1.023330587689,-0.501493110453034,-0.722982813508231,-0.502514395504691,-0.815093076980758,-0.675237687417338,0.890906214446276,-0.280286832009192,-0.379918066754689,-1.10766903383544,-0.937512967650567,-0.667526219265408,-0.238080496398997,-0.281560124856425,-0.899953833258565,-0.568000672334836,-0.87493251458707,-0.561917771931679,0.0593565696553783,-0.439416776653924,-0.430446817887007,-0.417568391318127,-0.394024617985476,-0.744848565073127
"ACIB_Ns_1 (GE) - TPM",-0.2527964549684,-0.787269986694347,-0.402934102896974,-0.536834635001817,-0.703187362670555,0.199435008472784,-0.659107534905109,-0.821173099768302,-0.78450167778994,-1.10484901772989,-0.825930443628681,-1.3402812417202,0.555663659824083,-0.702516081240222,0.917608655544092,1.17128931382545,-0.690697725008982,1.42653665750336,0.110209389047483,-1.08195867885303,-0.432159853970097,-1.16676955631867,-0.230648805270398,-0.0259740288971087,0.108334268001346,-0.700108709091166,-0.285456760062999,-0.850203126812551,0.250940415918462,0.154773940251652,1.55920240515993,0.710665822358008,-0.872097874457648,0.0961461111579221,-0.280664931142403,-0.19369805592998,-0.448989253037907,-0.310361411971191,-0.579674679797378,-0.430446817887007,-0.95930481430791,-0.05293340973417,0.400114424858286
"ACIB_Ns_2 (GE) - TPM",-0.532739568983017,-0.613657437563526,-0.290375782016826,-0.564114531968489,-0.703187362670555,1.02464222074062,1.72783832307647,-0.736387435375766,-0.204289570109486,-0.868046582232371,-0.692058843615262,-0.949762282801855,1.48247673064326,-0.352674019853375,0.57330021924735,-0.0970476911715127,-0.587977005103391,0.935727819325908,0.773343635550467,-0.57473687646548,-0.39961521288518,-0.422179468012023,-0.323211058393032,0.156488855643685,0.00595012041527376,-0.956938080848052,-0.504467778600811,-0.472100813423502,0.142633548673431,0.863238076877997,1.13643260757229,1.86711083394623,-0.336508493757061,-0.62715013113645,-0.303709392531913,-0.38515103492295,-0.340102054755503,0.0345786581686859,-0.281624335003198,-0.430446817887007,-0.625211312426394,-0.734787128961089,0.885409400749738
"ACIB_Ns_3 (GE) - TPM",-0.768901835353194,-0.581266244413077,-0.610586216555107,-0.644565172280599,-0.33862133411422,0.316400975366474,0.577115359495751,-0.684729676762483,-0.605130481330378,-0.730637698468235,-0.580035993879111,0.105381307996903,1.32966980239699,-0.62975057922164,0.630005028381154,0.443124242758144,-0.626740264102152,1.34301628019478,0.23587085945584,0.426604915204994,-0.277438017277168,-0.628177218357741,-0.22202242316834,0.259188221004182,0.0551910222027161,-0.857015844925184,-0.563229799832473,-0.168348100438179,0.110206339245334,0.677897693278213,1.0755977730895,1.22635180802225,-0.494684452649782,-0.651190357543417,-0.554485950692748,-0.362231733646061,-0.409300366805818,-0.401514472909999,-0.670616078825237,-0.430446817887007,-0.928112650581435,0.53566158718042,-0.162308101257812
"ACIB_Oss_1 (GE) - TPM",1.08201810184759,2.14380232897065,3.07962071762265,1.48577721257566,1.05158820116134,2.26384490849563,2.35953494029212,1.42372990918182,2.79232621557698,2.22232084762446,1.94447434165326,0.412256029861698,1.14830442218306,1.15732896291302,1.81970927504778,0.929555777207684,3.61367712266042,2.26681531022798,2.05059725907649,1.81667916772042,2.37169881409331,2.48418301167723,3.31937380001924,3.12405467335888,3.49641894125773,3.05354957451924,1.70667855708201,1.36011755340996,1.45950331213273,1.30942110152467,1.29881822216357,1.66989944067286,0.262569266635074,1.62910346830516,2.41386707200212,1.71383107899564,2.37036028060564,2.02428397534008,1.79282584394176,3.7913139568025,2.4303855304317,2.75954732761009,0.695987344485537
"ACIB_Oss_2 (GE) - TPM",1.537016992337,3.59804160980318,3.51459884074145,1.65866425893512,2.43145279416818,3.08014397180144,3.07878816927741,2.39722534273782,1.30614923211902,2.61686518348983,2.28169187780508,2.09984212801323,2.04387679663823,1.79960188891274,2.08758893309907,2.49427031030954,2.00395550922707,2.04159883606843,2.10167400512789,1.70073120502893,4.28309329490695,2.08668577135515,3.17121297764768,3.02600584683204,3.0862753063906,2.5056593236975,1.68683041370471,3.89585626462416,1.92810296857673,3.06258041491056,1.37205245955618,2.36675009213511,2.02334655119214,3.44854551607484,2.93400728423402,3.14307615890222,3.61897550605249,3.10681682708987,2.76411496544274,3.43818779066005,3.60996854160007,3.27055911288402,1.75341276254001
"ACIB_Oss_3 (GE) - TPM",0.984888478634674,2.53394026266683,1.84560542845656,4.40193842783914,3.14816753169854,2.85099809250953,1.71027933101681,1.93951190687576,3.00533106295163,1.6118614942228,3.24749617876249,0.809260123156074,1.74868238702183,3.70022862286181,1.89497839808481,3.22327515307888,3.02503496871436,1.93680816560598,1.14993063150832,2.55574776585264,2.19110592639744,1.96206377273273,3.17734129612097,2.97498302740955,2.71530567897818,2.21294582233734,1.33498825480035,1.82529528235346,1.07245064382771,1.97862609353005,1.36557921432691,1.71637687362627,1.93436260188225,2.64958816940737,2.86550051002212,1.89986704459795,2.41795794809729,1.90480634792375,0.946416346859873,-0.430446817887007,2.13406903907154,0.607342553593765,1.47982552212536
"ACIB_Oxs_1 (GE) - TPM",-0.0593463783925454,0.476010415968569,1.12962522367679,-0.249692499889467,-0.113268824611262,-0.834365921591084,-0.86761631287183,-0.144081987415587,0.956983579505277,0.694795410636999,-0.0759020808595779,0.476402387013354,-0.814142581555755,-0.0793737456624581,0.928600199970745,0.357314912570159,1.0491745422172,-0.849964822405449,-0.114459133006766,-0.197005892744738,0.379572989109188,1.12130223821531,0.158547535770928,-0.428007370552116,-0.419914032812087,0.221762549779191,1.3526866110862,-0.692583660245288,0.874448360545261,-0.389118926894017,-0.14039724860747,-0.730139183775845,0.119229608991751,-0.0663715939850695,0.300345287026804,-0.0595887824803083,-0.220830805541974,-0.502605994125601,-0.127893909462837,-0.430446817887007,0.0939973424074737,0.635721349103832,1.91789488456466
"ACIB_Oxs_2 (GE) - TPM",0.326238738282282,0.902215351938473,0.437463294843097,1.06966500158107,1.52757785752688,-0.470528168188641,0.412444616501441,0.781189909277594,0.861846289096282,1.31982706250603,0.897135118315345,-0.329595289915044,-0.666125684607897,0.908022042830909,-0.448774739568571,0.278420317514048,0.355498128714815,-0.659230172240419,0.404306008530691,-0.638844654272794,0.7738525429234,1.8714397722962,0.0501874282119808,-0.353098552467109,-0.495779846816153,-0.488226744457398,1.77755677991145,-0.105159529448369,0.740921288096811,-0.273853591953502,0.38604445298913,0.0106023400680389,0.142509031154747,-0.343070275540642,0.225172744963331,0.122461851828838,0.154298589645697,0.326284579693436,-0.062447756416395,-0.430446817887007,0.755425886683114,1.85648814874261,0.443720001577195
"ACIB_Oxs_3 (GE) - TPM",0.889158975614244,1.17631323029755,0.372297537123724,0.809293788417422,0.714187612579963,-0.777142850059379,0.781360431985948,0.513299416702137,1.77250992690842,1.57173968884226,1.1084994086063,0.182294384605185,-0.668068521717814,0.766226114448012,1.64062936200531,1.01983805999222,0.658841230233834,-0.701491981295448,0.215259828923624,0.418085561317623,0.470946588370502,1.57486245487014,0.0500394669043141,-0.442099610926548,-0.555534436401489,0.348443395827628,2.73553997830623,-0.282143624561475,0.6622354453959,-0.0692881347314378,0.129514771536678,-0.0172457973892014,0.140476042478923,0.247021487759522,0.7906823773842,0.168805473380373,-0.04315534783521,0.251293966948585,-0.00381541138081776,0.7539491065196,1.46941844887792,1.94066886888507,0.699000834912925
"ACIB_Sp_1 (GE) - TPM",-1.51653517402144,-0.697646164354585,-0.868079713457579,-0.756659851251413,-0.703187362670555,-1.28087003380788,-1.1009268882429,-1.23202278409794,-0.686248752383891,-0.986734731447561,-0.878875579893248,-1.20091238675039,-1.09025687134115,-0.941682683571646,-1.06141776922339,-0.993730230609772,-0.724136204135712,-0.974978639226237,-1.48816229206429,-0.954306433355092,-0.701528154190708,-1.13978564987333,-0.546171128342459,-0.999737716361163,-0.881442170618036,-0.674548779163519,-1.46044333941788,-0.761275737890635,-1.78706946855258,-1.16629403019281,-1.66186339382578,-1.50984746677982,-1.07822584509219,-1.06532485913091,-0.980521154047284,-1.25820606402932,-0.68220403219319,-1.23322346482918,-1.30522709070917,-0.430446817887007,-0.892997554898776,-0.232189111744996,-1.45352688523285
"ACIB_Sp_2 (GE) - TPM",-1.53043459172838,-0.659088556697822,-0.800032236181016,-0.76829480098212,-0.703187362670555,-1.27855384873097,-1.01509500099005,-1.17854981138193,-0.712924600527308,-1.04235141650527,-0.909478734324177,-1.20045201002625,-1.10192781714912,-1.01367946867378,-0.958621800864729,-0.857900655726955,-0.692687836354445,-0.973243068861863,-1.45646584660983,-0.980656869646762,-0.723546771676378,-1.05920402320443,-0.490490699871743,-0.962940271154432,-0.853955239680086,-0.159098142298384,-1.32414600498066,-0.753027965342212,-1.69137462006341,-1.15455100755325,-1.60973153298052,-1.43949888724229,-1.16758041162059,-1.03426894264654,-1.01000734697243,-1.19002886011845,-0.649169243514086,-1.14572237437836,-1.22155583355859,-0.224720939656889,-0.708865639243075,-0.481304385508156,-1.37888749938783
