"","NTHI_RS00060","NTHI_RS01340","NTHI_RS01345","NTHI_RS01350","NTHI_RS01515","NTHI_RS01630","NTHI_RS01730","NTHI_RS02015","NTHI_RS02195","NTHI_RS02200","NTHI_RS02205","NTHI_RS02610","NTHI_RS02940","NTHI_RS03220","NTHI_RS03645","NTHI_RS03855","NTHI_RS04370","NTHI_RS04445","NTHI_RS04710","NTHI_RS04715","NTHI_RS05345","NTHI_RS05540","NTHI_RS05950","NTHI_RS05955","NTHI_RS05960","NTHI_RS05965","NTHI_RS05970","NTHI_RS06360","NTHI_RS06365","NTHI_RS06370","NTHI_RS06375","NTHI_RS06520","NTHI_RS06525","NTHI_RS07845","NTHI_RS07870","NTHI_RS08170","NTHI_RS08435","NTHI_RS08835","NTHI_RS09260"
"HINF_Mig_2 (GE) - TPM",-0.530472448533914,0.915424339837869,1.08309112402771,0.353137642256118,0.0973730757547889,-0.0655514606533188,-0.991159384480923,-0.56110380076447,-0.367127615945386,-0.377873037733326,-0.577874349756921,1.59615890081833,-0.600783669331757,-0.960213266198328,1.07802790006447,1.1240806149658,1.62936709893796,-1.47601097490606,-0.77488633018107,-0.670733520814864,-1.79085328077014,-1.11124259538566,0.686236232537321,0.0482614679084278,-0.0992825555608958,-0.0261630091436795,-0.199505081904373,-0.487580077378417,-0.475806816210323,-0.577040407746844,-0.55930360946026,-0.954549626299616,-0.705471054955175,-0.757163141314511,0.495237356815409,0.722017771524434,0.362991136781496,1.00421966070065,0.375676465965267
"HINF_Mig_3 (GE) - TPM",-1.03704043897691,0.262343383678855,0.640035198797591,0.317278228734296,-0.0213916771915407,-0.140996683100425,-1.20861197832757,-0.00733397152983295,-0.337712418679746,-0.324081436810107,-0.452485164839901,1.48890184426112,-0.761608569693252,-1.00031108059867,0.589597333225899,0.791730987858967,1.00458462998809,-1.66633993564412,-0.730988902600789,-0.707431822359139,-1.8115957850824,-0.999808807894032,0.857139418363163,0.19907822973638,-0.0164853594009115,0.215689411064714,-0.0356063557166009,-0.48190304334776,-0.417208496306776,-0.573219865375874,-0.57434316566495,-0.98946327934119,-0.907243234278567,-1.95150277278678,0.464592802999348,0.741018706852217,0.136124788659141,0.955845118423365,0.323549493914558
"HINF_Nd_1 (GE) - TPM",-0.469648540501749,-0.137277150481953,-0.313159499976244,-0.176239155854209,-0.366751758952035,0.550338223860699,-0.771962428886529,-0.890811909652212,-0.612698698924387,-0.509263981253191,-0.590910535357802,-0.657791059839342,-0.422010554963223,0.0820016608238579,0.022875356111847,-0.0829879038479201,-0.0789961207174718,-1.27934498468135,-0.546997317853493,-0.607048626934152,-0.544318952225405,0.493588048803683,-0.770084837435343,-0.65736876069925,-0.595059269694408,-0.565346482754986,-0.594687779430846,-0.638834751717796,-0.597390672552685,-0.635120101416524,-0.687571994552961,-0.566043323816722,-0.81124954224342,-0.135986867827133,-0.700841352773885,-0.0132345870351587,0.164972752781227,-0.683087430916067,-1.36853756705442
"HINF_Nd_2 (GE) - TPM",-0.607430821080238,0.199662398455859,-0.47942479486172,-0.410851968824854,-0.615257498908761,-0.086910184999575,-1.17901452715145,-1.34356248228661,-0.622343106929506,-0.579845429510752,-0.607816535339332,-0.668918886332817,-0.706908707739426,-0.19883883340168,-0.342075864747771,0.0464256557552986,-0.556066660400808,-0.125186166782163,-0.631556369506012,-0.706080123356399,-0.841383381017403,0.393077990097504,-0.754646786660394,-0.648279922361317,-0.578148968864742,-0.499461682362707,-0.51520095513225,-0.628408605025268,-0.593972166064612,-0.628580278107661,-0.680634238141829,-0.594944596765055,-0.556659262378949,0.16350871906381,-0.71732918605803,0.045476151962038,0.161248636877155,-0.592013245883019,-1.40625696846442
"HINF_Nd_3 (GE) - TPM",-0.345875701417717,0.255269204098412,-0.0116309722262023,-0.431042458291358,-1.19549583533661,-0.619021433013364,-0.949759535577982,-0.97789008131254,-0.620989843018818,-0.57933420243726,-0.616313114570101,-0.72021264076434,-0.47659482767753,0.0205313202552173,-0.22133980731885,0.141326025706721,-0.79242760440703,-0.816026884937688,-0.708926054867293,-0.633002505394425,-0.713292876251921,0.39563352925165,-0.770792148127982,-0.644667843658458,-0.570578760409993,-0.580938178286021,-0.553415128908368,-0.622866411227112,-0.574481284248616,-0.630723672139488,-0.705050527501295,-0.627644748413978,-0.719334087520045,-0.917751051356963,-0.693180565065873,-0.0159450929284754,0.0794779049604341,-1.03845938123093,-1.25353632590708
"HINF_Ns_1 (GE) - TPM",-0.80443147017886,-0.137178720360003,-0.666428094815178,-1.04687484471639,-0.378756732144107,-0.61582005093595,-1.63049161097703,-0.292015057138997,-0.578671416439394,-0.571783708831648,-0.29128133187981,-0.977494392632026,-0.364190571656374,-0.851757045085594,-1.11305185034661,-0.0510458263339136,-1.44922989830364,-0.0203137671078581,-0.555115045688092,-0.407239517766576,-0.336185402360515,-0.260062643922391,-0.749122817417979,-0.6351100408976,-0.645603058483994,-0.697899552997464,-0.558088597181061,-0.427063468362313,-0.333243936692022,0.00180574936296674,-0.360672656470086,-0.750928389388942,-0.643145921938757,-1.28187815295348,-0.811579157575078,-1.02053320731676,-1.20951585817624,-1.02947150657465,-1.29222007201636
"HINF_Ns_2 (GE) - TPM",-0.57146088371181,0.160367624130962,-0.638144320070573,-0.870267312795916,0.0610016167368724,-0.226793465004848,-0.906511322326546,0.232271975101919,-0.612502043361262,-0.60563511087827,-0.348247982654521,-1.07628604762303,0.175850304516513,-0.682327696226668,-0.449730360093486,-0.164916415292645,-0.312239161565003,-0.895461768335448,-0.447189548990522,-0.249837244739031,0.00127830055866192,-0.337495890240698,-0.714653120250393,-0.62172927775349,-0.669937545741985,-0.681771602438314,-0.594796611364035,-0.294217320925373,-0.218125979313968,0.300976240162394,-0.343933957084943,-0.697552824295438,-0.0382866407397514,-1.81704406081395,-0.811718561442032,-1.11931550079562,-1.01119259008814,-0.99232460854898,-0.905624306748454
"HINF_Ns_3 (GE) - TPM",-0.0675336758410868,-0.550069244106829,-0.699683863227607,-1.00914304298241,1.48749981087071,0.946786344433852,-1.02303856294194,0.141452030912189,-0.642755296321865,-0.584654039613567,-0.442185496620787,-0.687502205485073,0.796687826564425,-0.941603623696649,-0.836481572743697,-0.702086414893975,-0.451947611844353,-0.584181417483207,0.295983884328815,0.575811010374482,0.0114117229295641,-0.185197241810219,-0.703228516389569,-0.646845913070034,-0.688706743661095,-0.652188875059452,-0.472672145710665,0.419837568125644,0.536138066869716,2.21323821033111,0.202905418318998,-0.379737746737832,0.245043730811097,-1.03307802413092,-0.808720564711236,-1.08610758722328,-0.965156134928163,-0.918461073945554,-0.812264318587972
"HINF_Oss_1 (GE) - TPM",-0.353299236633929,-1.46737028239348,-1.15622669808453,-1.30973480568047,-0.991557356833339,-1.17583152855906,-0.238414278672396,0.166202366392943,-0.503355479976301,-0.487260479758756,-0.60771218286091,-1.16475411856351,0.119184400881996,-0.511895130935445,-0.252796598512612,-1.04858660896669,0.0781224952483903,0.0200023101744077,0.095040068241199,-0.314398506016991,0.191150201555662,-0.611992584701101,-0.732227070165745,-0.664367854367458,-0.677860331501409,-0.74723931620137,-0.723770727867626,-0.41394478448598,-0.393171221871514,-0.480391799660557,-0.518929271381996,0.165001283334516,-0.0617054637123527,-0.332340452208118,-0.31742947670402,-0.986003150250525,0.211044756490406,-0.451785578453355,0.850647686422315
"HINF_Oss_2 (GE) - TPM",-0.341040389285302,-1.6064629571932,-1.15881897747562,-1.17877231186327,0.150642119449525,-1.23779720789397,-0.140682235901979,1.59307380117399,-0.526447710018757,-0.583108271474322,-0.572530349249244,-0.900129417536536,1.55403640047423,-0.258208486113906,0.900341766722519,-1.5585178323145,-0.10784447234488,0.724228023234185,0.231641881859447,-0.0986104221951261,0.884352915246861,-0.861204155707255,-0.754378453280829,-0.62933571775473,-0.701822201840324,-0.783287737335603,-0.708836682148972,-0.302009732064995,-0.395343234578949,-0.392869654458451,-0.495376945595149,0.682600444105168,0.394451720196418,0.657538852366828,0.00319406450595619,-1.12826022382022,-0.247153735405787,0.164256577025154,1.0061472351921
"HINF_Oss_3 (GE) - TPM",-0.337728063821432,-1.41052749734804,-1.11633069731913,-1.22757734193536,-0.769309152921585,-0.69270615516696,-0.613984858164356,-0.127748880834957,-0.522041772892876,-0.47223577733472,-0.616779993791551,-0.960221134564992,0.536908879439652,-0.454239282301736,0.133716095771273,-1.14240061615022,-0.579293613132606,0.914414154142751,0.49293327596967,-0.186591680746703,0.162254294868242,-0.810671338646732,-0.545933134703606,-0.524512369919125,-0.589795515367827,-0.646583655006762,-0.674402885450376,-0.133032586369264,-0.325952034107143,-0.300188527372352,-0.278821768681781,1.05284910319719,0.054127368021193,1.47628157448965,-0.376315646783687,-1.05819478340435,-0.299861169361992,-0.142994712519402,0.576203971758968
"HINF_Oxs_1 (GE) - TPM",-0.440550581808392,-0.97001712144627,-0.661001698475172,-0.604508883843125,-0.906433153077021,-1.14534322303348,-0.189578911806494,-0.798723282089437,-0.6073285562005,-0.578690012165291,-0.673428034845868,-0.657522683379165,-0.583222731372774,-0.3696194217876,-0.576840436530587,-0.658725759639941,-1.03128869639718,0.216127548504133,-0.461621512236912,-0.696933569857535,-0.651327299732753,-0.415839246280317,-0.772682984645437,-0.660731674053912,-0.697551271990394,-0.686399787009557,-0.707023257629608,-0.585288757015689,-0.609236635911158,-0.637732683513286,-0.698142921323305,-0.858392798001462,-1.07936649995927,-0.795695843220341,-0.659800788665043,-1.01468096933858,-1.33885413229189,-0.702035195347871,-0.564428299344339
"HINF_Oxs_2 (GE) - TPM",-0.561987322028932,-0.659546984738429,-0.663020085640921,-0.441886942836887,-0.698976846228715,0.377172897490043,-0.319969326304863,-0.932256633461947,-0.575400685990324,-0.579236032287678,-0.680990047842151,-0.358750196191522,-0.312350694549091,-0.25017448852977,1.12148711808699,-0.72139471775782,-0.291981726864754,0.343646218095278,-0.357557283745666,-0.588812838201565,0.446750437814605,-0.122748461262875,-0.715598634089514,-0.650864615107342,-0.636731396176405,-0.641191764298758,-0.730025936028547,-0.589806391332396,-0.537146270011937,-0.615062065194614,-0.655728042536621,-0.703757562435654,-0.921941863972922,0.609142415978277,-0.631188487292762,-1.06875066486664,-0.916625234019093,-0.809186681689002,0.0588233913865561
"HINF_Oxs_3 (GE) - TPM",-0.0537921966608111,-0.917630776313539,-0.468528290170838,-0.503673518177025,-0.212889529545762,-0.52617811400959,-0.0460785822322887,-0.740594683573838,-0.529085280604121,-0.474305873724042,-0.642777410951218,-0.923672860046758,-0.231764181838503,-0.243478834272279,-1.0536641725981,-0.350581133785476,-0.635703517973028,0.406906574119002,-0.381844082825557,-0.442791926424087,-0.295619761508565,-0.106175077436232,-0.644135576707718,-0.56612352248748,-0.567001438507598,-0.592842565018099,-0.646000116948288,-0.491315518113782,-0.437841997681568,-0.494372734852812,-0.506877637262093,-0.253642599141442,-0.19927255380921,1.06030873344493,-0.620583334153657,-1.02122015257095,-1.22606150649104,-0.581032604819459,-0.191391252230322
"HINF_Sp_1 (GE) - TPM",0.348788398895805,-0.778211122077102,0.0523556063699267,0.80544544802069,-0.57609412791186,-0.389483024064313,0.0337432845026174,-0.0493078725496034,-0.273061920670448,-0.402057584133703,-0.228447593829846,0.288117306153084,-0.91382417709214,-0.566720860040745,-1.38335103178357,-0.814360651671511,-1.52061557373104,-0.164013096135682,-0.887076061386806,-0.609269187856416,0.271122496425141,-0.97318019200346,-0.436284949446872,-0.0877682531538865,-0.210673871623811,-0.154165561228948,-0.11701629425006,-0.633959003000763,-0.597130684434355,-0.630180213645551,-0.581116372382721,-0.0765921289849007,0.0271487370016514,0.226761343225126,-0.36873423080482,0.987274341997805,0.10333787263136,-0.785595845919811,-0.498243360768461
"HINF_Sp_2 (GE) - TPM",-0.0394262518230593,-0.41726261229541,0.165005338183906,0.350972943056598,0.118548042381384,-0.560006828762672,-0.655934577262422,-0.0324347335322067,-0.570513694195633,-0.562540216733425,-0.551624389568672,-0.570847270627206,-0.233600263039629,-0.563751390036574,-1.22303583360036,-0.957543629776062,-0.867276462045634,0.916356260936478,-0.793102465353342,-0.460234258583227,0.275437112001572,-1.29696284677103,-0.623280314094802,-0.55269538568909,-0.559926879034458,-0.520705703142441,-0.445772065409161,-0.618511094961226,-0.609541043190994,-0.659985984231818,-0.668865277073991,0.0601922170192707,-0.0309794291074238,1.11312207993615,-0.704149694761439,0.545317512388538,-0.127492659955166,-0.836989533035026,-0.579212922230874
"HINF_Sp_3 (GE) - TPM",-0.176559739019986,-0.300984670421161,-0.0697179853633836,1.28726576551331,-0.0971798111077501,-0.11975375997104,0.0609760862909894,0.194013212470955,-0.257782461669197,-0.45332305459237,-0.0706873485353037,0.361480001697873,-1.21339446065709,-0.66292660893596,-1.35249133327194,-0.873898380807402,-2.13679280967796,-0.576657817521139,-0.917853257097609,-0.469444022382162,0.556499064276317,-0.699220010090093,-0.375189228536373,-0.14925590489758,-0.159381627174639,-0.0298170982494215,0.0153328212968946,-0.590333516514377,-0.584496891121172,-0.651000265327678,-0.672890731346906,-0.0396020494302895,-0.175844025915552,-0.488733317522101,-0.0652799108178331,0.964295120031036,0.00414511566609424,-0.957057370245474,0.083937423483349
"HINF_Tm_1 (GE) - TPM",1.97313653843009,0.141228956142206,-0.52879415819574,0.0337284947081398,2.03238223417861,1.50678862714183,1.30608482976846,0.280474937643362,0.905137413442119,1.37210534059498,2.00921188227534,0.503732702480492,-0.10029171017394,1.18403626302846,1.29865197469358,1.51649129033074,0.594087522606144,0.0718278791611923,0.649804249299717,0.2434181390792,0.891882446904322,1.15747163130657,1.43767281643039,1.07773245501599,1.41238636428095,1.3648616480162,2.05530759400406,0.202000115945243,0.261643182486972,0.199840129433237,0.16362146872357,0.677498357247604,1.38731089782714,-0.374854129703201,2.0517862596846,1.42560962745332,0.935716574920347,1.17500168254603,1.55823708440185
"HINF_Tm_2 (GE) - TPM",2.35544779332729,0.26799843725023,-0.00259385894881973,0.168428140135902,1.81779994843613,0.710693918385237,1.81150269737532,2.61080588013216,0.602513557921729,1.27355726124545,1.20498304920476,0.649506563574382,0.699695670222039,1.97373225433525,2.51506038104379,1.29302561420589,0.727689608262772,-0.0974647103294794,0.540616819624812,0.243297354428349,1.65373135601687,1.05263225066085,1.17419939927662,0.944833541515348,1.44717301783859,1.87117861564254,2.04944474962617,0.246724676956761,0.174021021085853,0.233004847510664,0.247709139492195,0.470145081658678,1.6475239744646,1.11642460140978,2.29502721652369,1.35874254310352,1.33822391327332,1.06641423145561,2.24388343872149
"HINF_Tm_3 (GE) - TPM",2.83844191773426,0.458068808516397,-0.0169964523960303,0.309464398975146,2.39353359091669,2.0981776129652,1.5097227132703,2.30344722135149,1.10592830350984,1.23539836279093,1.20760990463688,0.701961358227723,0.474984350301166,1.2142263363997,1.57959497744412,1.44860486616749,1.53999196615095,-0.222775121721814,0.566724007645099,0.367348742644594,1.31123268987187,0.554287365913765,1.70180210117498,1.75483399209068,2.08010811936124,1.76119949637986,2.26926540658563,0.642283068207072,0.606363075459717,0.485655444090834,0.253628329057394,0.389107488472465,1.17412318468509,-0.311684598559826,2.2989707132226,1.1643876300787,1.61148840117516,0.820706170002326,2.89172841652165
"HINF_Vic_1 (GE) - TPM",-0.390163655321478,1.58851917925984,0.157987407383486,0.348779296851647,-0.308177422100714,-1.3383996387381,0.423943629102949,-0.50570653078121,1.05719908845059,0.471441667511693,2.36751977950271,0.72919494239369,0.998889326081592,0.275467955554518,-1.12918743984545,1.35246207324574,0.594061508751944,0.797532194167419,0.737893754304111,1.40915000929647,-0.761343115237023,0.6425787174848,0.522474212528769,0.621539312438911,1.18574249390974,0.985482851847166,1.15576187834309,1.62631061554896,1.61521491870234,0.968167730265368,1.23466726579306,0.336598344606676,-0.0328062351428506,0.250856626999087,-0.29799076103668,0.29252465844955,1.42192712763118,0.610292787187607,-0.388465482345756
"HINF_Vic_2 (GE) - TPM",-0.199645973119339,1.86101468721485,1.85797857560494,1.98793862795477,-0.184673691736779,-0.592580081710668,1.99824166922278,0.418994706959972,1.04037716870964,0.357209764008343,0.431712609748961,2.14878205854441,1.30540932706082,0.855066375242422,-0.436765376395789,0.540638275484046,1.96829631980832,1.34767752470242,0.673386883668348,1.34810154186333,0.383163776671355,-0.305352904449259,0.421162138530185,0.349747597778625,0.396091347286068,0.391199064527479,0.260527624120004,1.18178675511241,0.997191005317281,0.802676344230601,1.42718508849158,0.789010070997569,0.617746193712314,0.00322314883075829,-0.136424297451911,1.28081808457585,1.82725646452001,2.2146760497205,0.217547228215159
"HINF_Vic_3 (GE) - TPM",-0.339150501821559,1.65991792501256,0.799482711965378,1.07479613293657,-0.107924684710212,-0.95803102372911,0.487668845181612,-0.0338340558730485,0.564112266275897,0.273826704958851,0.831384015429782,0.99619194656814,0.868413333153477,0.118928893911338,-0.794954865650228,1.66439446729479,0.142899557525662,1.11755753620544,0.520569941983061,0.980562368301224,-0.192065322717274,0.132987089264335,0.416557172136489,0.579927033527339,0.328903768955383,0.323018314838426,0.153711485606237,0.631533615056254,0.477507543889389,0.283917479384691,0.842720921893909,0.67546482901037,0.167361103473572,1.18071089231513,-0.404924453966101,0.614788213196727,0.670728855208573,1.13261563369457,-0.0623072026592901
