"","CJJ81176_RS08630","CJJ81176_RS08635","CJJ81176_RS00245","CJJ81176_RS00445","CJJ81176_RS01010","CJJ81176_RS01545","CJJ81176_RS01920","CJJ81176_RS02230","CJJ81176_RS02305","CJJ81176_RS02330","CJJ81176_RS02340","CJJ81176_RS02365","CJJ81176_RS02550","CJJ81176_RS02955","CJJ81176_RS02990","CJJ81176_RS03775","CJJ81176_RS03825","CJJ81176_RS04300","CJJ81176_RS04305","CJJ81176_RS04310","CJJ81176_RS05195","CJJ81176_RS05205","CJJ81176_RS05395","CJJ81176_RS05405","CJJ81176_RS05460","CJJ81176_RS05800","CJJ81176_RS05980","CJJ81176_RS05985","CJJ81176_RS06025","CJJ81176_RS06075","CJJ81176_RS06300","CJJ81176_RS06475","CJJ81176_RS06550","CJJ81176_RS06995","CJJ81176_RS07040","CJJ81176_RS07095","CJJ81176_RS07125","CJJ81176_RS07145","CJJ81176_RS07475","CJJ81176_RS07490","CJJ81176_RS07615","CJJ81176_RS07620","CJJ81176_RS07625","CJJ81176_RS07630","CJJ81176_RS07805","CJJ81176_RS07925","CJJ81176_RS07960","CJJ81176_RS07990","CJJ81176_RS08220","CJJ81176_RS08225","CJJ81176_RS08230","CJJ81176_RS08470","CJJ81176_RS08475","CJJ81176_RS08480"
"Campy_Li_2 (GE) - TPM",-0.951370380348048,-1.51926259009101,-1.82485682044975,-0.0540606107275741,2.18408225286569,1.16679518203521,0.926297399975631,1.39689927969462,-0.87865412420803,-1.59011142057017,-0.842451238665207,-1.93779348786191,1.09051780357871,1.9151630394398,1.76469989844729,-0.632127173223871,1.98352524292249,1.76158963812284,1.76263899449076,2.69070755969352,-1.4940298646603,-0.147550417435761,-0.802924584039832,0.367294829094138,-1.07925697324892,1.99719123872395,-0.0510452797077009,-0.704588203173008,2.02583117889725,-1.92715367787155,2.04695505098239,1.34855340951627,1.88143446280548,1.76325076452144,2.35905856296148,-1.1733833606152,-1.61815887987221,-0.609264759268955,-0.0489772358543926,0.136264927099559,-1.55122395934,-1.30188777824942,-1.16064416716512,0.179565941678241,0.991051440129145,1.95407996288228,0.232473658509515,-0.580448021568665,-0.712687938466047,-0.769573000169482,-0.652778811510445,-0.755401626045454,0.234019952630909,0.677454386545565
"Campy_Li_3 (GE) - TPM",-0.563746878541497,0.432980630622257,-0.394449401785685,-0.804965806008111,0.842095699832438,0.822264341527188,0.151715983979237,0.968712762611168,-0.297365006633376,-0.478488781701281,-0.15812415521111,-0.893324410976228,-0.106277431838945,0.384165288198666,-0.0269914183620163,-1.77191561359647,0.277425186131612,0.326740359404102,0.0790588280980788,2.00245483626834,-0.785788792245299,-1.29581005274416,-0.601602509328403,0.278952413514002,-1.67170960771952,0.236148429898444,0.22343998435693,0.0882461068148973,1.23760613301809,-0.725938237723398,0.172084982811664,-0.344175730039712,0.213523989382478,0.191347959247296,0.462514787556292,-0.802347945918238,-0.845451718376332,-1.06509646182167,-0.0192538885138437,0.330906717687619,-0.91841756220324,-0.599106070600317,-0.285185283225562,-0.0212998158213606,0.852146386974361,0.743867224123583,1.77992025673608,-0.122570992341263,-0.328360372870931,-0.456573378979982,-0.475412310583901,0.580575692437846,0.19855602344382,-0.844137004099965
"Campy_Mig_1 (GE) - TPM",-0.248857254196768,0.464459396753377,0.25423204669551,0.623301524304929,-1.0174086052593,-0.909748700425337,-0.319983393282033,0.719373976047299,0.640038811433249,0.149620177374244,1.0329321722033,0.788105520255149,0.145773960017198,-0.412843856912785,-0.116061619536516,0.62147806879178,0.251760212406277,-0.65793184535782,0.213606971986079,1.07713919530611,0.814494230911321,0.0753509931962894,-0.810238597154254,-0.00298185072656707,0.188265166623652,-0.460726593771336,-0.430090992024638,-0.0174791551921198,-0.0629437754069783,-0.156029755202103,-0.131447127461714,0.00670882593554773,-0.656404211474617,-0.276804888291435,-0.439659461069004,0.821013028578988,1.21014598391431,0.73287220342076,0.786458042323924,0.586467225516105,0.530583184475532,0.432608361807746,0.610065332448306,0.401034294533057,-0.57053594511522,-0.131146377975028,0.267506330613532,0.0239931176975812,0.600760050663513,0.5010267716899,0.600479423725186,-0.781713869272945,-0.904433049770764,-0.917037724997261
"Campy_Mig_2 (GE) - TPM",0.589263127212325,1.29735741517285,0.593609625381006,0.623184593161844,-1.16652483968197,-0.759754348213345,-0.950237310859534,-1.31564868452491,0.727771521600588,0.156861908683061,0.823110550462982,0.870851359629196,0.265235451651439,-0.665260918176125,-1.71843413661687,0.916399784356966,0.00464351585670097,-0.764420700340949,0.278089520049096,0.653023674253782,0.69752032798259,0.500124069805092,-0.0120013880943468,0.447730286222089,1.15410871369963,-0.152596788847518,-0.875628107111293,-0.897191636589418,0.744092571796961,1.1272304864211,-0.586859588353077,0.417251245060499,-0.116374143420983,-0.979325016547387,-0.0115294441729955,0.600316410497357,0.708551397907035,1.21987325641857,0.250094949233083,0.596341993367046,0.49890874881127,0.606895847869824,0.946778933053083,0.00889866782152556,-1.09425203170401,0.0322503444431,0.483319087853923,0.123378603003451,0.723151716915485,0.734518761704972,1.06759991397052,-0.500523119848411,-1.00589986179792,-0.796184351767178
"Campy_Mig_3 (GE) - TPM",0.570563897108267,-0.0084634998719531,0.658526773173014,1.04380479568084,-0.841387635220026,-1.00013870324765,-0.558621836785048,-1.09518854633278,1.17866742240496,1.44272452760902,0.838003481869939,-0.297225934543014,-0.951498048668818,-1.33275554247182,-1.07919159860637,0.982928725476899,-0.272268437330796,-0.470793913184365,-1.29933743718012,-0.829975319613159,-0.50834794117657,0.445309645889518,-1.04720509471134,-0.236387248991195,0.181692383791964,-0.540741057958683,-1.26388570573277,-1.23196724009813,-1.02194348631586,1.14152711376395,0.00507961246831875,0.22818830480371,-1.13019940572267,-0.259836565186533,-0.42488863964998,0.763662075552694,0.30734956191788,0.814887904347066,1.57305706225786,2.33773168933115,0.111587323863693,0.810761442319994,0.718461884304959,0.438272009314893,-1.16551197299723,-0.492189507585771,-1.01883021258599,0.681721607281115,0.930403684614754,0.519423901937717,0.842936469084167,-1.10832881988907,-0.846138431523997,-0.92985330544339
"Campy_Nd_1 (GE) - TPM",-1.26941169404724,-1.3862428430352,-1.99032113593094,-1.30157524227619,1.6068426450869,1.08521527795503,1.33608942440654,1.24892847324138,-1.43540318344106,-1.91346020130354,-1.72849745056164,-1.56647822724595,0.289421845741546,1.11665227818509,2.265223903565,-1.66363687664554,1.34720782718531,0.584601141758245,-0.000393037132651934,0.359028598084159,-1.46156376302912,-1.88208525734512,1.21623188806433,1.80993428876489,-1.01905792111732,1.16462510096385,-0.243341502033945,-0.0431675514745491,1.76370086733801,-0.42986975945674,2.56957969591129,0.0868922183905251,1.6963840243214,1.91830818375364,2.30695450045981,-1.48447824145468,-1.37164479772805,-1.14526033748451,-0.575432681394799,-0.427302048806077,-1.60425387760942,-1.58481357570561,-1.73215123931563,-1.90359681463835,2.97586767373489,1.77345479338221,0.742976660284544,-1.28516695836239,-1.77829185471668,-1.82346120422394,-1.48537767227147,0.0650245892087801,0.724261253926276,0.42566462182115
"Campy_Nd_2 (GE) - TPM",-0.898488454769623,-0.978013784602027,-1.36160510694353,-1.5964052719133,2.26647076888556,0.713931982651353,1.42500103739561,1.15974559126137,-1.33169190149517,-1.61394904378321,-1.59375555138176,-1.31082296609102,0.661065089822443,1.19572505148812,2.19986401232885,-1.66958187891184,0.726084878016871,1.59213408555101,-0.0486037228942723,-0.0743392640708037,-0.871944340992043,-1.82474561350782,1.95824716787463,1.33569196110019,-0.0242834983245228,0.304481141800868,-0.165758455271655,1.17950221353237,1.45370405010597,-0.77411577835683,1.51581890848668,-0.175688017803728,0.819014471801363,0.928624182265009,1.7796164077255,-1.45067661050403,-0.764746907350749,-1.44817933082648,-0.997722166396502,-0.775483084105176,-1.36283623332967,-1.36544294427618,-1.60695778798122,-2.03412348858302,1.20934861379423,0.291797526814747,1.00727411793327,-0.71420149442006,-1.60946203986691,-1.55297118583722,-1.21158130488491,0.498421338614206,0.530881339641367,0.247034721323313
"Campy_Nd_3 (GE) - TPM",-1.5831076881577,-2.09655411083875,-2.0950297643713,-0.765723006357044,1.85985879049979,1.18000329941801,1.30631314727587,0.135055506813336,-1.74567841033549,-2.25046493937524,-1.88660916987581,-1.52665768206704,0.607276191911156,1.6379660114438,1.47343315904165,-1.79263822752377,1.25605269410812,0.0413524891060216,0.484140321271908,1.95201810673495,-2.42828306915831,-2.53540057127986,1.77978242988654,2.16948778995962,-1.46481218105226,1.46470241745616,0.589435997016304,1.1680127520411,2.01340246694946,-0.862377845034148,2.45027070845406,1.54464354906965,2.28369185310992,1.05848418588567,1.65737177428411,-1.55012100806934,-0.56278299183873,0.0214993602137623,-0.932944162128133,-1.03711126184764,-1.53089852322584,-1.7005623835189,-1.78759967775602,-2.34780991051055,2.32810321988485,1.24849635136758,1.65338599684886,-1.14984262106976,-1.86724908098625,-2.10018559032066,-1.7466025579083,0.625424884685221,0.32786129107561,0.615376098296856
"Campy_Ns_1 (GE) - TPM",-0.35921405568689,-0.15784678737089,-0.275928919235192,-0.788308923391972,0.0777835233748149,0.472562268096604,0.320451477836957,0.199933290850806,-0.0313016157725844,0.155821409670971,0.496426360166437,0.332800294880309,0.538209764207099,0.200927159950342,0.42136987283106,0.258022926804104,0.582557645726279,-0.567298882018315,-0.0350911151886449,-0.728456105713797,0.46787021008701,0.280396262832424,0.738062632281741,0.921909328530168,-0.334443808729035,-0.980824075175109,0.514176906568003,0.768653916900086,0.142771831887034,-0.0271121598195206,-0.196925871182691,-0.379510962239204,0.237098594588184,-0.0439713105599569,-1.51523678186427,-0.199546195863269,-0.00704859967358176,0.0696796202707485,-0.392606158609427,0.0403910541115127,-0.495185650812428,-0.276312843233606,0.0937550099815739,0.703836372894581,0.00455662707114377,0.219565081389743,-1.22472857124731,-0.583437792851159,0.280770014976472,0.330858564860734,-0.58327638464062,0.654460609544925,0.036090825974403,-0.0257665545163406
"Campy_Ns_2 (GE) - TPM",0.412578009010358,0.314711625920777,-0.0899978773439984,-0.232109597395145,0.314511521739472,-0.0127729958481232,-1.42455808821163,0.0565382551773514,-0.261260151349267,-0.262848404500476,0.0320258035911512,0.147323158682418,0.000355059751508196,-0.240455357609747,1.29550392074366,0.424300799431104,-0.49270217102198,0.79166983454269,0.418250041941515,-0.674421506712844,-1.27383727859697,0.917448466858503,-0.32268074754715,-0.957659895297488,-0.503082431109089,0.110921706072024,0.374255139237606,1.00101421201674,1.20985616884769,-0.517386188333656,0.760320932022189,1.09683515207016,1.66318730035168,0.111855570879691,-0.761088768922285,-0.044233135363626,0.289587386923079,0.206155929866005,0.0596248184212266,0.10651475384444,-0.560394490796325,-0.274444290725028,0.0454383369694482,0.646063649181776,-0.144912756705656,0.470261033400801,-0.985776152720181,0.216074127723751,0.118117969600771,0.0556849777434239,0.17897982005497,-0.250929714934754,0.81698888743471,0.544482413153463
"Campy_Ns_3 (GE) - TPM",0.0573639633319239,-0.30684592131576,-0.000437335906239682,-0.63145430995256,0.00062279769433645,0.249243756463421,-0.841001751698672,-0.0176324794587337,0.0864485217130328,-0.196777453718085,0.0398172482952811,-0.67510253463807,-0.377424963608208,-0.878002936795341,-0.196371077963942,-0.10891404564052,-0.755662516521009,0.12859122212049,-1.70003537816572,-0.931590477501299,0.372612729817844,0.928110290781444,-0.18012847604511,-0.647600917781586,-0.361612307832654,-0.28926219997336,0.544652657757394,-0.050449643929689,0.0328769531639406,0.423456665084706,-0.0270862688719375,-1.05352566714943,-0.0365347446267204,0.434840811692994,-0.566728931020695,-0.0181505777989025,0.130737662966644,-0.371710993905981,-0.260438619416521,-0.352241763721845,-0.483391389087394,-0.268678597378426,0.164591176657878,0.349841147372235,0.524405905002707,0.846118239376667,-1.41523518863652,-0.190735176204597,0.147056613432625,-0.283122437233101,-0.485556047865401,0.119638505505263,-0.189380800952052,-0.422164743127279
"Campy_Oss_1 (GE) - TPM",0.451917501473876,0.755935873747889,0.231242124672238,1.01579093834501,-0.813051595509035,-0.936654725716752,-0.273316034359909,-0.694637194248803,0.882147245194478,0.21123353035303,0.730514531684731,0.618709397029418,-0.0302243427727146,-0.0227327649817579,0.190398596498955,1.13315556677285,-0.168995339571457,-0.460940388939595,-2.09121998880811,-1.15651395948434,0.246289107174505,1.25581505473772,-0.173147838544109,-0.979301579366231,-0.557873651196346,-0.276548039953774,0.065815081103505,0.151930166277438,-0.204065960896356,0.355032306720286,-0.316135583727083,-0.501845469952461,0.134401728883483,-0.788095103213378,-0.3113405866657,0.824716535341446,-0.234094864443098,0.551706296253029,1.16465695009046,1.23023238785895,0.264038767239783,0.492810339888668,0.56096273850087,0.807431953261837,-0.450338704143833,-0.26474687302825,-0.322415544508748,-0.348511005058633,1.03364505058436,1.00280975510692,0.416665373453807,-0.0973462655819722,0.628150309592135,0.0898350834444645
"Campy_Oss_2 (GE) - TPM",0.851191443102884,1.07518159657174,-0.0203833474377588,1.14952893665905,-0.320058209930492,-1.02617722351463,-1.04135599038448,0.571707394507347,0.354016549533919,0.399341436908833,0.404999784286371,0.83949015226728,0.208862766424655,0.394910259226372,0.0943494972757889,0.945977027354516,-0.314827321460129,1.14004563557077,-0.386546129443076,-0.234248223274487,0.171959363280429,0.785406139751061,-0.0869809257902958,-0.801477465696823,1.17500883145174,0.0940583936718525,-0.0326763005264613,0.247220141238633,0.951133796405654,1.88059679740404,-0.115586154834394,0.790277046687083,1.69321095788235,-0.356927394335909,0.253457956166959,0.391700717937572,0.377669160688537,0.0711841964755624,1.70037243727696,-0.0433587962248021,0.600446627463553,0.304659103351523,0.646974768804389,1.04667258413002,-0.00317804485950447,0.373702624504635,0.0179588404366988,-0.334693592174947,0.209849915455096,0.967097983099283,0.945307192622028,-0.267438937541271,1.43757968016249,-0.590928745379866
"Campy_Oss_3 (GE) - TPM",0.732218416772573,0.448983331294594,1.2530473654593,0.252314562311079,-0.776416006596431,-0.937102947297519,-0.49318826364366,-0.979433206354252,1.16887591053017,0.717708963964554,1.05770974183344,1.05609951001624,-1.43292467195246,-0.573525510983396,1.09079191772329,0.86004272088581,-1.43835995427713,-1.73870413785667,-0.0670269870675286,-1.09154997294165,1.35965807116807,-0.0290864591621412,-0.019169464389766,0.152669159803198,1.97830262137904,-1.88447209807416,-0.569699507800903,-0.261836665940607,-0.779960338638463,0.60771344258061,-1.65945078793384,-0.775465019294544,-0.983892047013477,-1.22177963535027,-0.852589287408744,0.956718687969381,-0.521033142667736,0.264278060405619,-0.0318063587860756,0.76078503178666,0.504097148189203,0.955588055510901,1.02744585860915,0.720535394757326,-1.00117350373296,-2.0044406494641,-0.358822666746086,0.525854889952202,1.22027103873221,1.20269924684211,0.580173525546995,-0.226677103722463,-0.98621415502213,-0.506921647061844
"Campy_Oxs_1 (GE) - TPM",-0.664230251929152,-0.152694759666808,-1.02124170140336,-1.10788016209363,-0.182970659311914,2.09015746715966,1.18077475745478,-0.150782060687518,-1.10566988735269,-0.0198914839062231,-2.03510483367775,-1.47145441963568,1.77945120207734,0.181505975563522,-0.415159634009174,-1.23225540917167,0.658654145600616,2.24510753776523,0.504880060208584,1.11779026399854,-0.601183499413468,0.135019460118745,1.75286497312374,0.391610221359583,-0.522359990201628,1.61915554190526,1.94062476135712,1.19211665946146,0.028536942191581,-1.52744580759595,0.000873288297705808,2.65277326366717,0.632093821324352,2.10980799622812,0.716859987015109,-0.995645468975462,-1.77207403287818,-0.99548320684814,-1.58496245484684,-1.66036924085725,-1.21638521764488,-1.33198192095848,-1.59262265301973,-1.72895647218739,0.443384373284976,0.287492333572106,0.816982348468797,-0.733918037309237,-1.85998972158433,-1.70845002414294,-1.46771755029879,0.81874853505941,1.10508576803163,1.12087045994334
"Campy_Oxs_2 (GE) - TPM",-0.513628309615149,-1.30049573471374,-1.34039891634495,-0.9543771234377,0.654501195820004,2.58632966490002,3.05311695280238,1.24816504146851,-1.40973452118664,-0.740177397776467,-2.0751737029182,-1.18693961033513,0.0149785698020654,0.601150150495246,-0.675854867221293,-1.33859844526234,2.57242501522922,1.56087523638951,2.03016970534438,1.10039477950593,-0.436981455150414,-0.628526817594626,1.07202509816935,1.66185551593573,0.0637117720504687,0.783309589176143,2.00327244090216,0.510950986469042,0.0618248149454112,-1.07113705210628,0.286844751140648,2.08489659903249,-0.337982225990371,1.61441166233694,1.01381617051278,-0.920149618440907,-1.42885484982746,-2.14064092270287,-2.33835923020617,-1.98870196424502,-1.18836748130228,-1.45099549792924,-1.64370040495383,-1.98633320364653,0.627152068313681,0.450009411149242,1.09966496127061,-1.11109035315767,-1.77829306873907,-1.72964477701956,-1.69808975662594,2.08557385937222,1.234769617705,1.40267028863422
