"","lmo0278","lmo0361","lmo0362","lmo0365","lmo0366","lmo0367","lmo0484","lmo0486","lmo0541","lmo0679","lmo0847","lmo0848","lmo0971","lmo0972","lmo0981","lmo1007","lmo1131","lmo1132","lmo1211","lmo1641","lmo1691","lmo1692","lmo1734","lmo1914","lmo1936","lmo1957","lmo1958","lmo1959","lmo1960","lmo1961","lmo2002","lmo2003","lmo2004","lmo2063","lmo2104","lmo2105","lmo2104a","lmo2150","lmo2180","lmo2181","lmo2182","lmo2183","lmo2184","lmo2185","lmo2186","lmo2261","lmo2429","lmo2430","lmo2431","lmo2720","lmo2744","lmo2783","lmo2840"
"Listeria_Li_2 (GE) - TPM",-0.57218401538384,-0.649126190311848,-0.855047983729841,-0.552768000613887,-0.729279101493109,-0.663945912698875,-0.40091119939448,0.716839062974748,0.449204205719935,-0.264179492816651,-0.557410770936357,-0.53316414831284,0.0361936572713572,0.0318453746368736,0.117478905214975,0.648019308127967,0.649398877691298,0.580015466797152,-0.239098483831348,1.00155110059682,0.669477979025805,-0.191872279617424,0.081161824470698,0.423805914666418,-1.3352846376568,-0.129705611231716,-0.164236868315552,-0.260599470539686,0.660731405812075,0.0671315664813984,-0.520135467532618,-0.256131611737163,-0.212798484994461,-0.247032819307414,1.01175209264052,0.930238676404379,0.492737263018306,1.17506515903374,-0.718415649700444,-0.672312798781251,-0.640974823439839,-0.63335967387486,-0.572561317400449,-0.523174997921286,-0.326277749459165,1.36406900761309,0.563772435453769,0.327036771513852,0.241539628929229,0.856032502741019,-0.631620342419982,-0.743907874095327,-0.673440302767524
"Listeria_Li_3 (GE) - TPM",-0.437588837140146,-0.727855948049516,-0.795984431812434,-0.618535843640018,-0.726532597394497,-0.714062660745665,0.174343374823702,0.447820450703597,0.063000390274995,-0.364699245918809,-0.597513122482744,-0.587073270528238,-0.307019045955363,-0.557708703578129,-0.382470639413647,-0.0221188665543809,1.0777786336856,0.577380463071165,-0.0164424960062486,0.931447842038554,1.50396637577727,-0.250600395924265,-0.206873778630758,-0.400562747335274,-1.27805401221454,-0.123762764786121,0.346338179463505,0.034945121394704,-0.238500399211953,0.0086766169762923,-0.28961048656303,-0.100402581954304,0.12933131157032,-0.0673906424053057,0.159111670911103,0.883826358720115,0.495053817338595,-0.192059226714958,-0.693422020622064,-0.700271313246351,-0.730730682634362,-0.571333881175009,-0.537503172662781,-0.555577507836245,-0.196701348993913,1.14460763676285,-0.158982191687729,0.687327568707253,0.385330760941333,0.413854642208597,0.581156844260039,0.848668980603068,-0.59364511816102
"Listeria_Mig_1 (GE) - TPM",-0.980482671107284,-0.852703903635853,-1.11607279427374,-0.818467043603576,-0.8997989905791,-0.899937918312617,-0.966871349231359,-1.04307499874646,-0.861067250861205,-0.997550753521289,-0.771090477220938,-0.875450725308357,-1.2227722862307,-0.0585988719252722,-0.371628326848733,-0.76423583785021,-0.885919377715211,-0.766698016867698,-0.855520865795241,-0.766851559017165,-0.579152139679557,-1.33707030351343,1.54939209217151,-1.6904192389848,-1.09967020845867,-0.975081405390318,-1.0567788913538,-0.880260055921372,-0.869121856549291,-1.19873276003889,-0.703805474909266,-0.594186899908122,-0.534032057637259,-1.07009503312237,-0.933311766786513,-0.789362377778884,-0.731846891559157,-1.24895340594042,-0.925375481133044,-1.00884073159978,-0.968033254020206,-1.02927727578317,-1.00490733187012,-0.857810383070933,-0.724077838033969,-0.874602742949264,-1.21339148814696,-0.93923972798932,-0.00464221236640891,0.727772484312814,-0.957010295620421,-1.52644338497051,-1.0829978429286
"Listeria_Mig_2 (GE) - TPM",-1.05028244892935,-0.83521378785842,-0.428927408207698,-0.809939898957566,-0.902735211690238,-0.952438514064504,-0.954589341463078,-0.938855402842834,-0.78990655510995,-0.997550753521289,-0.817906427060864,-0.945042062683401,-1.49385734830429,-0.808362380702647,-0.418630997284677,-0.97882192595018,-0.888017740499834,-0.805975311050919,-0.329060108242887,-0.766676461976651,-1.11893541305482,-0.136159631049967,1.87179397219616,-1.61892987544022,-1.46778099805437,-1.0043870304495,-1.06660501476321,-0.764364571465145,-1.05221495693752,-1.1220968887377,-0.670391050758993,-0.585732738960875,-0.508594850515299,-1.07009503312237,-0.933311766786513,-0.746119290947808,-0.731846891559157,0.452701614664682,-0.987898981636684,-1.04033894183381,-1.0194292456206,-1.04990343916653,-0.998687950105426,-0.874443027656999,-0.765572377433011,-1.03226876553059,-1.24232410310216,-1.0805976856092,-0.350001905561297,0.789014152060671,-0.926998858172359,-1.0765545155252,0.492769226243527
"Listeria_Mig_3 (GE) - TPM",-1.01328787797237,-0.830608154528761,-1.11607279427374,-0.798103932418053,-0.520397013744371,-0.955643261133846,-0.922656651156647,-0.986155193525024,-0.808042766172176,-0.0242606077176352,-0.77663368984024,-0.92680264412468,-1.41958091543583,-1.28322785666072,-0.909757807722791,-0.786905967771953,-0.840306714864457,-0.798635206836089,-0.499571373555201,-0.898875935718089,-1.41916547461849,-0.211143429161126,-0.439802660023575,-0.979370943552944,-1.63986063347711,-0.98593216695099,-0.966003835161475,-0.722110138705193,-0.93321723229019,-0.9990592166137,-0.656784518964721,-0.526753807710799,-0.558040056664723,-1.07009503312237,-0.723301014973355,-0.631469532455667,-0.705456618563876,-0.436231402927754,-0.968612209111452,-0.784022783841735,-0.945591590502769,-0.861704826730038,-0.933617275881937,-0.865051294487742,-0.73482005389605,-0.88665623238328,-1.3019120974148,-1.11384518001887,-0.449713909666711,0.0199475062156804,-1.29514097046856,0.192516467905898,0.422196280162629
"Listeria_Nd_1 (GE) - TPM",-0.0503745563697123,-0.658952790260458,-0.457671315443338,-0.741062813157481,-0.477484750614756,-0.165469576715737,0.134631497288292,-0.258964233252155,-0.852506097875348,-0.997550753521289,-0.369294479706383,0.449529779102246,-0.606071110094609,-0.978136897940743,-0.175183570499154,-0.918029369416907,-0.886197504826805,-0.785487045142025,-1.38289512171078,-0.562847659179182,-1.86733856139747,-1.72101395062802,-0.569707401097191,-1.24989378488143,-0.210238563839183,-0.931188112818041,-0.952061882113054,-0.830163451805544,-0.975266264508579,-0.568574653716459,1.56173600562536,-0.538225352307565,-0.552459223272055,-1.07009503312237,-0.933311766786513,-0.747342082092088,-0.706768224137088,-1.24895340594042,0.477654155554364,1.2229126748173,0.773069697468047,0.733944757744104,0.417777901154641,0.536630486593281,-0.458153810187769,-1.18332276078467,-0.932197337715729,-1.27701339090756,-1.59724123014384,-1.50953704761991,-1.68506353331964,-0.981934397602681,-0.924066125114334
"Listeria_Nd_2 (GE) - TPM",-0.388293067531117,-0.596998516175982,0.275127220658704,-0.694165344405186,-0.41171106715916,-0.268947248415224,0.142258857120996,-0.616266748328995,-0.803201464062044,-0.997550753521289,-0.548816068265538,0.207500530887402,-0.795410576979788,-1.21510754504385,-0.388515225366572,-0.97882192595018,-0.85850367906114,-0.777286700976946,-1.45886299690317,-0.681655074061773,-1.76036381949466,-1.81041309270974,-0.505183844403113,-1.05866778134417,-0.413757595544923,-0.899241091941075,-0.884669913460847,-0.853443722237791,-0.673053450438473,-0.635499834364292,0.83381478676165,-0.507785102973372,-0.538645423983772,-1.07009503312237,-0.933311766786513,-0.736587925378803,-0.66472478560737,-1.24895340594042,0.266678311538894,0.51887761983169,0.395463748562801,0.511338451484829,0.188796236389439,0.296853247051141,-0.522648187341667,-1.00741347354511,-1.11586086028118,-1.30849498122595,-1.6109198129382,-1.48825719273872,-1.52150206018286,-1.16210395132743,-1.0829978429286
"Listeria_Nd_3 (GE) - TPM",-0.295000434910063,-0.62949690047217,-0.289866275093886,-0.649295404560214,-0.390241287733027,-0.280364257541367,0.171579436550509,-0.284547352136682,-0.854167074460984,-0.997550753521289,-0.363715168266338,0.238061311226323,-0.719542832016955,-0.753187852427207,-0.463906609641637,-0.797641264421281,-0.874825344687236,-0.801346091647099,-1.45886299690317,-0.629642653698084,-1.74752868885743,-1.72160070826072,-0.956142661221451,-1.49338026278477,-0.105850024075728,-0.897784703349634,-0.847445256651504,-0.775747670291329,-0.815427920128117,-0.571521883373919,1.04870047781663,-0.570747357602896,-0.579091417150166,-1.07009503312237,-0.933311766786513,-0.740407434234968,-0.682018756722711,-1.24895340594042,0.0926921487382645,0.637705672549568,0.777410278118166,0.823626943593478,0.380397711509716,0.208255377835026,-0.466797069612938,-1.11479182140358,-1.09986057750479,-1.2144855975949,-1.38630698540805,-1.44305857189199,-1.64165505006894,-0.715040606727311,-1.0829978429286
"Listeria_Ns_1 (GE) - TPM",2.42062077514203,1.74035343851098,1.62105347193862,2.2524699287069,1.87435305247704,1.83710409691184,-0.176538921517909,0.0864512235206294,2.01806905644388,0.336819683809288,0.912448176120218,0.754101494999369,0.752926046923969,0.850304370996756,0.741519618097407,1.86062461485705,2.15066135058791,2.72448091708498,0.226209599574452,0.0158303047047868,0.875590888307831,0.591753620308623,-1.03787915149264,2.0302149016973,0.740051388079902,1.73012739759411,1.94537784367198,1.87337749359778,1.69086618767923,1.76311473442658,1.74025921940852,1.44805535329262,1.37610626675908,2.23335342631889,2.80968082252689,2.43190619977423,3.32040086733457,0.0741985444721185,1.14860040931886,1.33872342981776,0.892247678945004,1.1265653111731,1.27360765884694,1.89693407239914,1.95843147173977,0.907067088910886,1.57434845557101,1.77874654444216,1.44075582323481,2.85372722020076,0.923017733866049,2.00857012641803,1.23855793126454
"Listeria_Ns_2 (GE) - TPM",1.71062541212893,1.49394705984719,2.03194547033256,2.36556839501339,1.93971646214144,2.09486616537076,0.169844841848524,0.20714214310314,2.0002966201252,0.0834587620498223,0.480610001882979,0.216430899191878,0.705355464472856,0.376014815178408,0.600701503379941,1.87618133598113,2.4138847855226,2.57045079743108,0.563092728829649,-0.318939548133865,1.34436996628856,1.30518283104,-1.00823949612518,1.263971419851,0.794432645122907,1.60022975619747,1.92593851921935,2.66953219446956,1.58143191433965,1.82582504619848,2.18144870701438,1.55815918058371,0.754213281981259,2.35545732660359,2.1307949167376,3.12504485810603,3.11589189814595,1.00772262839334,0.996104947427641,1.07638752889079,1.33444050601876,1.46218458487384,1.53305539900392,2.20826249819375,2.0995285834143,0.916159534287167,1.50411552738726,1.30752781888233,1.71702226596103,1.18905663012575,0.564569342550145,2.8994446143035,2.46320688612944
