"","BPSL0002","BPSL0083","BPSL0084","BPSL0129","BPSL0131","BPSL0266","BPSL0310","BPSL0361","BPSL0507","BPSL0512","BPSL0551","BPSL0553","BPSL0624","BPSL0625","BPSL0757","BPSL0872","BPSL0911","BPSL0952","BPSL1073","BPSL1074","BPSL1083","BPSL1191","BPSL1203","BPSL1228","BPSL1288","BPSL1304","BPSL1339","BPSL1805","BPSL1912","BPSL2007","BPSL2020","BPSL2126","BPSL2461","BPSL2464","BPSL2523","BPSL2547A","BPSL2548","BPSL2588","BPSL2659","BPSL2768","BPSL2849","BPSL3038","BPSL3175A","BPSL3229","BPSL3230","BPSL3248","BPSL3249","BPSL3270","BPSL3316","BPSL3317","BPSL3347","BPSL3394","BPSS0022","BPSS0229","BPSS0455","BPSS0557","BPSS0703","BPSS0776","BPSS0849","BPSS1014","BPSS1049","BPSS1062","BPSS1063","BPSS1363","BPSS1573","BPSS1792","BPSS2015"
"BURK_Mig_2 (GE) - TPM",-0.146230794878281,-0.115340023253411,-0.719242416202484,-0.719433975469791,-0.776374478651516,-0.426398411137651,-0.811667709596276,-0.55718247116996,-0.849189347372726,-1.01107667779836,-0.904529903500844,-0.275624016552143,-0.333500947355082,-0.406200669301319,0.807990013556979,-0.595761636131076,-0.215626021004959,-1.01742266440958,-0.326191038031885,-0.805142524455612,2.0949009959807,-0.29718220812523,-0.242409762954567,-0.433707515503968,-0.792809649651283,-0.916548146619566,-0.395435148867794,-0.522284917969974,-0.200503175613842,0.200748985632011,-0.501390098666689,-0.820460615048548,1.31845710506639,-1.08213553269535,-1.09525964807953,-0.701935781258375,-0.607897502224714,-0.0864796536024635,-0.629125556920143,-0.356464168271487,-0.130574606183112,-0.487421164610534,0.125992444887711,0.747071204625172,1.52112853433595,-0.644258515226596,-0.617095576989851,-0.548412938408843,-0.211023045804738,-0.378644819155349,-0.597035688329311,-0.503046625713086,-0.623833058558803,-0.281491925134384,-0.660843263747909,0.127715492983924,-0.438718733238168,0.322497666000709,-0.641680260394351,-0.297840154988684,-1.03901640123203,-0.431922093573544,0.955776457204724,-1.02402259838787,0.322160974723519,-0.843654264928472,-0.856888639379911
"BURK_Mig_3 (GE) - TPM",-0.046072095430433,-0.380744142629164,-0.713881385104573,-0.666427619147336,-1.08898538898983,-0.487912749511294,-0.459156985599012,-0.781574731369021,-0.768167056428546,-1.1332087131864,-0.851725199628239,-0.205254418188118,-0.47502002651613,-0.0121582970900275,0.387656557200277,-0.285795149771566,0.0778582461531575,-0.508436274022561,-0.320859541462807,-0.845731783959445,1.90144410975178,-0.668494489910358,-0.245011084916793,-0.333618146046984,-1.0821030805422,-0.655993671405956,-0.376874198518825,-0.444613848786049,-0.14099995599134,-0.722938101897772,-0.828369756766706,-0.895248749267879,1.06207741688845,-0.851418514938351,-0.483259010040076,-0.613952160569101,-0.57641603246322,-0.660861273775613,-0.932457654547725,-0.238076831880087,-0.178022980123671,-0.316486388300807,0.419046952986998,0.851883101392214,1.67697289721654,-0.529410416027885,-0.632039644083614,-0.660182175768662,-0.155731211169257,-0.437793316189045,-0.135309639176844,-0.719340060709365,-0.986458237120711,0.164150248434998,-0.87309602203085,0.0706051954663994,0.476224620848089,-0.288524186649654,0.0119955280066209,0.0262265312046142,0.434397494158537,-0.0581328029130481,-0.626032901268116,-0.943472195121607,-0.534086127678392,-0.521762920367992,-0.321907583977261
"BURK_Nd_1 (GE) - TPM",0.515115417510398,1.12291085839554,-0.0354140687713535,-0.694794717399736,1.20493493462098,0.346578572025497,0.118907873117465,2.81745474865067,0.138502857866067,0.393079835443583,-0.337837476295228,-0.832195734682994,0.512685064647932,-0.769649077723752,-0.341906625781277,-1.39314981928233,-1.86456990045765,0.103845593412851,-0.292417947023304,0.923761798836508,-1.31964654111995,-0.328511533265742,-0.164494734339775,1.05874205350725,3.10830435484968,0.501724476524293,-0.405860685561574,-0.138968858905169,-0.721441821378649,-0.719418713756289,-0.831231871129656,-0.493737558300624,0.936600477409548,1.34273479589396,0.739230508178732,-0.718442405252981,-0.710700750849805,-0.245292927327839,1.36886021594676,0.178369329508993,0.914677425806426,0.958827948097452,-1.60261430501958,-0.745125144324135,-0.365232201432832,0.992960837100968,-0.103394187714744,-0.254660170366483,1.43378648588656,1.71679568568708,1.19229738782359,0.482191057637272,0.207455755625693,0.525372902839481,-0.462734076440638,0.250049927289186,1.47841466467055,1.87122951031919,0.0642389137216795,-1.10258891887028,-0.291520363671814,-0.420473440849086,1.34084407431336,-0.528777093952873,1.89964587623307,0.896417502777478,-0.313909717791714
"BURK_Nd_2 (GE) - TPM",0.154027319724151,0.362292322069655,0.283089290025664,-0.769303046157176,-0.900643244007875,0.109724701181212,0.760698730371885,1.52370158893505,-0.289247294286391,1.04907333577181,-0.447182705112968,-0.778483696710994,0.504447456660475,-0.790268760701608,-0.450689932821179,-1.36135846425601,-1.64048439790399,-0.0580731819865521,-0.303766989407355,0.611701799240972,-1.24005326708541,-0.0384652873848596,-0.194626458338098,0.439543541101195,1.217357619905,1.01219142501778,-0.412664369400613,-0.144025153382343,-0.730499525370702,-0.409890032538704,-0.461483698765929,0.0254005779489818,1.48966342095704,1.90008122114004,0.974562270442086,-0.729672347506804,-0.692719391459302,0.348633571524187,1.51665161339831,0.0805120019502532,0.997918685399277,0.973800094268078,-1.3631043782561,-0.570392040592573,-0.337818571177652,0.771695065780352,-0.209289934420835,-0.239057620749731,2.02384756643691,1.48689729987766,1.67561962332482,1.18518891009253,0.364785041019126,1.02738203251089,-0.496494707956848,1.11440115128754,1.15347129883015,2.56859709961179,0.230722390464991,-1.20855164188268,-0.11746367366297,-0.759003996205554,0.321384832579858,-0.171932985185899,1.8100721306208,0.0317993501792596,0.0999244921903455
"BURK_Nd_3 (GE) - TPM",-0.230039290263572,0.366609169920323,0.135921388946358,-0.71792056225905,0.560635851651469,0.719531887189852,0.460367379666706,1.88676550358229,-0.495847647486413,1.08535492551305,-0.547243156227645,-0.803945489709352,0.304404640401108,-0.8092694359678,-0.122127998297372,-1.30803107000471,-1.56929391948012,0.0120805512340003,-0.303320024588034,0.534025243245207,-1.18456278380918,-0.624647748962022,-0.195841571161123,0.0764484235904946,0.594063514879617,0.236241102595862,-0.408057864473835,-0.0712298155476084,-0.729046318392064,-0.738685381235315,-0.942935829910587,-0.336391873443913,0.46515987902192,1.48281638162753,0.607705070589487,-0.710289291931731,-0.711459180514455,-0.177664742207145,0.023294286002765,-0.0424544246945899,1.14677816573159,1.00504325277287,-1.49151012469092,-0.661740913066777,-0.248707096438648,0.848646132844335,-0.187939690743568,-0.237580068321588,0.853218875212474,1.54961400735598,1.76856419882238,1.00656109766102,0.0564233495008547,0.896505681551566,-0.464389364580253,1.33210466142456,1.61932349411101,0.585616339500431,0.0110435393331277,-1.04871135503449,-0.717193528342167,-0.799704794261115,-0.15191112453786,-0.567805710632515,1.87188128336023,0.0688704107621069,-0.303142780305178
"BURK_Ns_1 (GE) - TPM",-0.69531939571469,-1.36596829215508,-0.798904589767402,-0.998049315160961,-1.04464894027526,-1.27400509062777,-0.440195672641585,-1.11053736240893,-0.606402064376919,-1.09456789824512,-1.0893438655239,-0.848585374277698,-0.788551215351652,-0.517068875982207,-1.01136077124509,-0.660470596513367,-0.0259704134599624,-1.85725319948168,-0.322137024217888,-0.731972818855878,0.257608227898984,-1.25298720271623,-0.396098004664947,-1.89593629171719,-0.35812497203477,-0.822404153085568,-0.219723977541882,-0.290201564727456,-0.232861585421478,-0.847837340114507,-0.42349210503021,-0.888251132083315,0.482420702289838,-1.07044429059005,-0.361697456189057,-0.726815719083994,-0.542931247769645,-0.795644836512121,-0.693405579812164,-0.765307197440863,-1.24030844151573,-1.42923598246578,-0.73516473210299,-0.938660743677475,-1.00196734199684,-0.60671218101949,-0.667981564048793,-0.774558391302694,-0.787253426415564,-0.904982424353807,-1.05986129226411,-0.746756132285788,-0.252933991909297,-0.873895093538255,-0.0237077145461436,-1.08778247392327,-0.814606422970924,-0.696102907698494,-0.939228564641948,0.189144655365203,-0.549190500306351,-1.00772934802993,-1.70336126083604,-0.406612477230269,-0.0870956691132633,-0.930372487470026,-0.431465618201642
"BURK_Ns_2 (GE) - TPM",-0.668511137545058,-1.70207304804691,-0.369277133680586,-0.993663620784121,-1.37085660190203,-0.582349955645641,-1.06389295164345,-0.576394789950769,-0.60368202037956,-0.341176535098779,-0.874439754580271,-0.754785604970123,-0.829336881617265,-0.550370018796874,-0.927048757595369,-0.6059077680213,-0.0807136915521129,-1.82922024559415,-0.32003605608358,-0.646465045293604,0.178204401694474,-1.46093497994413,-0.365027054641934,-1.9165100662258,-0.880893445314206,-0.96400257100578,-0.217423915773547,-0.282111188629016,-0.256359245892218,-0.644193330518282,-0.363064953747592,-1.01365532985062,0.854912955364823,-0.837534848179136,-0.450621973106162,-0.657388519839796,-0.401568481658361,-1.07651056488243,-0.0382094653882032,-0.658801757109823,-1.50157413279306,-1.23058913911686,-0.837937606255296,-0.79988964778568,-0.943689514715404,-0.635193179523035,-0.652127290582106,-0.7420086058844,-0.935396508260449,-0.82025093096137,-1.12868590047461,-0.630295102686834,0.291167830860995,-1.23662111805304,-0.267177359097394,-1.06152454352298,0.0386090712027287,-0.699098623143397,-0.844917204199025,-0.274716941414139,0.112002269180289,-1.14740471727911,-1.55122786518906,-0.0148628464278354,-0.162628036733267,-0.703063176496493,-0.455731093417738
"BURK_Ns_3 (GE) - TPM",-0.256308395207129,-0.485742136477351,-0.590513399834405,-0.95876373780159,-0.340113414753848,-0.905612485838006,-1.13920573936096,-0.900473901861056,-0.64542011885816,-0.0866013574743581,-0.948270961799278,-0.551682197796322,-0.769437091446664,-0.426016294883478,-0.830660049121754,-0.487660927105812,0.0824215365941132,-1.73839407744097,-0.315440895927985,-0.671485028703129,0.234321075995094,-1.25906948631753,-0.382596024170667,-1.81159346931914,-1.07767216322341,-0.505354927389487,-0.134332640373958,-0.419030269031349,-0.23600682405553,-0.275039929773428,-0.905007616260077,-0.676697654427605,1.57253457132046,-0.538526505082359,0.302250639122791,-0.635312965119047,-0.158005072318995,-0.825419703272848,0.67220539544749,-0.44901874390351,-0.822708292105169,-1.1396131172773,-0.396164330792149,-0.950369567451974,-0.960575824590208,-0.628640725980746,-0.536173317948229,-0.606283070183123,-0.48041576958178,-0.853793570589022,-0.835036423589321,-0.616587290258939,-0.0332590090351245,-0.741312561298226,0.352776761852415,-1.01813243526076,-0.877291452735784,-0.599301705552376,-0.896259292344203,-0.0564349369214283,-0.0779186500653974,-0.372440079365411,-1.87743080595019,0.00605925897768158,0.417864584474538,-0.854795288596478,-0.308568481864991
"BURK_Oss_1 (GE) - TPM",3.12842137531083,2.16160228986625,1.15313045335873,3.01929023484373,1.81144548786079,1.63584100909671,1.5626640806634,0.807063640327002,2.01408984255707,2.16805847667594,3.19242512148307,3.10082158134519,3.47010631400323,3.50451302169022,2.7326250484578,1.58632595483476,1.96055726664845,1.46495232728516,4.16634664071538,2.96815987291615,-1.58688811766591,0.497776265588921,3.90629746811801,1.6277684351245,1.79828234654419,2.94295341820094,4.10423116971384,2.80126308869064,3.33292296485337,2.09452251616676,2.24747512067923,3.40576859036655,-1.90797315117856,2.24498281508113,2.07934483695915,3.19068479337959,3.18267381399481,3.07410264951099,1.61923735470988,3.50808053323178,1.36920337313718,1.73588226513027,1.79228184308906,1.82766291550488,1.52583563165491,3.45015598733164,3.54031757648663,2.53706170242384,2.94214257158771,2.42820325650451,1.66473752809985,2.42646974276336,3.48132298828709,2.42618858323413,2.08853914555791,2.86772545758004,1.83567572202506,1.3613931483729,3.16513431479282,2.90684963094508,1.43955945765329,3.06247429724359,1.871552800981,2.63023563992493,1.20078298968222,1.55640628269553,2.78120840647467
"BURK_Oss_2 (GE) - TPM",2.58038621212133,1.9807922802328,1.66496568546244,2.71234957314838,1.81998068895474,3.0522355408861,2.38936395333769,0.886413518778751,2.26313307168827,1.38976825990893,2.35332938359165,3.0684227238467,2.70689461069448,3.36108633242412,1.92864739525479,2.54034824082196,1.64845998081341,1.37200500959565,2.64336504616841,2.01727513146156,-1.76965934930234,2.3359853172706,3.07752614915406,1.59834301076438,1.3313120827376,0.739949413385977,2.95590155802366,3.3180861231589,3.32787928129185,2.65994383068906,3.24527516568067,2.71123657483393,-1.57734627281371,1.22195654060754,1.07918317913174,2.79249400580152,2.84237082606604,2.58346411464342,2.72462598044329,3.38393944630656,1.46806165760193,1.77301825022952,2.18036271545397,2.18612266812511,1.54321893388661,2.56775527412817,2.66591765278868,2.5754974761099,1.90347653372983,2.75309330132056,1.34542939257413,2.54372891996242,3.26570795582707,1.84401220061339,3.40787790742971,2.21649577627286,2.00947270698176,2.22816915471407,2.85609600976447,1.48854343195603,2.2742720608308,2.37270991793069,1.86473045397712,2.98119236316671,1.77447468292095,3.02412186390763,2.545477103898
"BURK_Oss_3 (GE) - TPM",2.23028980478641,2.39140093353698,4.31226479656192,2.2798762339121,2.94759622371252,2.96267708892631,2.26737409466968,2.62836865567502,1.49759398424374,2.29311730077595,2.18389126033695,2.15470679561872,0.896454725397064,1.83767988973207,1.57856113895603,1.1853647625258,1.5743977281689,2.52616482932839,2.21523370090628,1.21795141163777,-1.74434774696983,2.96597372124882,2.03441124105232,2.36500794945318,1.67178413215054,3.17673056330995,1.85679160006793,2.07420779821501,2.15741924083896,2.86334025421465,1.92319259936987,2.19828993638689,-2.28113837743557,0.927785438608439,0.915124718884531,2.44414190753021,2.21218172198831,2.03175321615835,1.95604822308851,1.68123846211869,2.78538555188468,2.89398563898873,1.09606092913341,1.41558732528976,1.35928316411242,2.41708724738801,2.68234923266547,3.31638270110612,1.36701601813319,1.84664246897375,2.13917052768889,2.86397787777364,1.4418099570511,0.693075607247004,2.67513646466525,1.19860302617702,2.95781364605694,1.24247683448889,2.52989852464291,1.11560723836287,2.6897281585512,1.26978039012316,1.41073398018344,1.60372653859599,2.17210745489452,0.800506314966318,3.14022737585617
