"","B4U56_RS02775","B4U56_RS03265","B4U56_RS04695","B4U56_RS04945","B4U56_RS05595","B4U56_RS05865","B4U56_RS06760","B4U56_RS06765","B4U56_RS06770","B4U56_RS06775","B4U56_RS06780","B4U56_RS07065","B4U56_RS07410","B4U56_RS07415","B4U56_RS07685","B4U56_RS07690","B4U56_RS08950","B4U56_RS10190","B4U56_RS10195","B4U56_RS10200","B4U56_RS10205"
"SEPI_Mig_3 (GE) - TPM",1.20950934222501,1.70081374946629,1.45991324168684,1.12561592898151,0.615450824945764,-0.465650585736861,0.911367363020816,1.36021092753888,1.64448987713272,1.21227743810535,1.0751113310354,1.32648997278603,-1.11458935814892,-1.19217672487531,0.812399052643275,1.26987364336279,-0.868729637307153,-1.1262097175234,-1.16522357075726,-1.16588131210658,-1.12913134322719
"SEPI_Nd_1 (GE) - TPM",-1.95120860642789,-1.22681949104947,-0.900187825264542,-1.00043352195595,-0.78757485514638,-0.95725063825184,-1.08316621670778,-0.59095836576426,-0.625991353597833,-1.33223372159662,-1.340874622732,-0.701456723156987,-0.0136863976967488,0.598327231909431,-0.28128826034357,-0.358711295559273,0.777840005355783,1.80895476007105,1.81185684837613,1.06455277308769,1.38225540773729
"SEPI_Nd_2 (GE) - TPM",-0.678729572763532,-1.00759408039313,-0.91152159299781,-0.967757622721264,-0.794613613652942,-0.57825308016666,1.01598188879119,0.655388833021738,0.863113219000937,-0.637006547990596,-0.674179016871444,-1.11077646752039,-0.584546835190095,-0.287624246216509,-0.284923893943458,0.0671713671996721,1.55065676441236,1.56996344209396,0.857124989878732,1.38663172516945,2.30893219872496
"SEPI_Nd_3 (GE) - TPM",-1.03449479277567,-0.93476386660159,-1.01186739200489,-1.27295843428982,-0.322257171322464,-0.676852507927202,0.72329133072839,-0.196960728762957,-0.184061916516703,-0.922598580090694,-1.21792084454451,-1.1637732967408,0.455844070084586,-0.0765268162984136,-0.105437465060704,-0.208377758131237,2.4576750291589,1.70606653194292,1.22682382218907,1.38749321967407,1.67835502532591
"SEPI_Ns_1 (GE) - TPM",-0.0401818147085245,-0.288052993351317,-0.552666421889361,-0.571298339387469,-0.403531884153099,-0.134843826744617,-0.31647959932339,-0.586642412430493,-0.62963319023001,-0.144475024940564,-0.194450352579545,0.348166019358307,0.667477591651532,0.878594253408368,-0.928420354257639,-0.882958181117889,0.520154748221637,-0.540961901522557,-0.724921447136152,-0.645552678723543,-0.602216124934043
"SEPI_Ns_2 (GE) - TPM",0.330947550849113,-0.0258388328622681,-0.597630203463135,-0.687366857643742,-0.266429738221002,-0.0894226144771564,-0.667073640919317,-0.861161244163699,-0.998147710728323,-0.201332080780257,-0.207811028194243,0.544773892475172,1.00999718178665,0.461869934111131,-0.695808225194717,-0.889591240561153,0.173118714388953,-0.63078716984532,-0.707934236627243,-0.660369990668187,-0.653355237362438
"SEPI_Ns_3 (GE) - TPM",0.808609698029586,0.148223657298529,-0.748434104760485,-0.676014257703013,-0.140497463170299,0.0240641311044312,-0.85826107621905,-0.778461632674137,-0.602938834436204,-0.109524076370292,0.24382422954007,0.590190598247455,0.592135681729885,0.375738654406466,-0.776712244872897,-0.754307173569214,0.151356676931902,-0.654409697556527,-0.680116445138787,-0.655115240367423,-0.633952788668737
"SEPI_Oss_1 (GE) - TPM",0.395514927694045,0.43656344228253,-0.141878192952804,0.617551471663064,0.843632310509892,0.649882651745794,0.676411541803457,1.37761974979186,0.964077574937974,0.579842886269698,1.17098873617144,0.784780292770108,-1.2028849692785,-0.899596691127038,0.0253248600910329,-0.336321212230039,-0.610796218929682,-0.210088568308882,-0.291022774005638,-0.141754921031547,-0.0738025442777405
"SEPI_Oss_2 (GE) - TPM",-0.105981747237238,0.258989610110873,0.800998340760962,-0.226618268413176,0.215854440629365,2.69150132964611,1.81735333654747,2.00151262456506,1.43741332849713,0.846463606496906,0.98452696998746,0.374794432938692,-1.32662730540956,-1.08421344431812,-0.0435381040580637,-0.5590784856206,-1.324476222887,-0.128403818478733,-0.0150774079023805,-0.125754942406396,-0.043841782195115
"SEPI_Oss_3 (GE) - TPM",0.424816613268853,-0.192093426816293,0.591016858566085,0.604031842318649,0.364988004649901,1.29802045750209,0.17933395999612,0.983462651901896,0.363485760519402,0.47791901688773,0.782801296432328,1.0799665185564,-1.39586318664885,-1.30785129916116,0.652950518798851,0.552841274501662,-1.00708311451695,-0.149189066096225,-0.152417984527406,-0.260851576760499,-0.308098873809427
"SEPI_Oxs_1 (GE) - TPM",1.10512405474061,1.0143940898117,0.278291496312243,1.1680956410362,1.96921917902096,0.0296648381272053,-0.244221447107193,0.733045660535709,0.63847818795258,0.479151098747726,0.673569021681015,1.44965507335111,-0.941406126265263,-0.713955647481366,1.34353813299938,1.71171677484506,-1.55628063820516,-1.06094840600977,-1.05640975048129,-1.08739897300775,-1.11168002258951
"SEPI_Oxs_2 (GE) - TPM",0.745387922682058,-0.464870832843529,-0.155656308638971,0.621798925407203,0.300801733549823,-0.134588316781067,0.0569087635204738,0.529209240167495,0.29026603756725,0.41199767375894,0.268901798157336,0.0172629537133554,0.428402517337477,1.19699458589673,-0.542587758539728,-0.325768125281287,0.484791246382733,-0.986678570680821,-1.07455059285082,-1.1107801925454,-1.05462400668893
"SEPI_Oxs_3 (GE) - TPM",1.50380341407681,0.198649266258955,-0.463741909607741,0.785707424553694,1.60567118346799,-0.248098939219179,-0.0538191985876053,0.391716040335226,0.184084091482395,0.0804894148068228,0.312137297682963,0.7273076219185,-0.306985654882813,0.0961631053222694,0.138807936334419,0.097214937111904,-0.624630715552807,-0.997796070162474,-1.04201304014768,-1.10221132953812,-1.07839666517486
"SEPI_Sp_1 (GE) - TPM",-0.00306683874791858,-0.394966563630588,-0.318070265673105,-0.564985100988688,-0.761580789341812,1.39745784070361,-0.735826156451614,-0.303489164293421,-0.431562587796179,-0.358324676475693,-0.478040349690393,-0.751810652021018,0.399672484254711,-0.383540310776218,0.418048052279012,-0.581594429954257,-0.792467422775543,0.22628572302347,0.647461124671624,0.640649213277486,0.589973284328744
"SEPI_Sp_2 (GE) - TPM",-0.603543652270619,-0.569582394142748,-0.668982135720275,-0.601948844815834,-0.642522668431316,1.11790609368793,-0.945423361793921,-0.294524226180382,-0.128250790463595,-0.638648694285942,0.249425256527142,-0.816871059886904,0.686631599634849,-0.219946046730044,0.233578589032659,-0.357206932320123,-0.241348684551577,0.0384422149797592,0.148674869870003,0.45752668955001,0.301176586462284
"SEPI_Sp_3 (GE) - TPM",1.02088539829689,-0.205757811609834,-0.329614314078885,-0.709577969530246,-0.367195264245236,0.732741045784228,-0.148994306950339,-0.42844917654015,-0.0897575346201835,-0.0204812397355229,0.212274945068013,-0.463762820355346,0.639522100062881,-0.299692882500365,0.636362860332194,0.486998698679522,-1.00945642403556,-0.115833277982796,0.213153084180265,0.278165411849387,0.177635260756717
"SEPI_Tm_1 (GE) - TPM",-1.8803898903795,-1.43368455163474,-1.58290540029646,-1.73686361819887,-1.57646878807429,-1.60511375796391,-1.95412482529457,-1.91462066823233,-2.06155758716401,-1.66500583976079,-2.09381907093221,-2.01922811557175,2.54059911977705,2.76524474348657,-1.96152148458731,-1.92582620591714,-0.466467267430024,1.29861095119908,2.5151300170777,2.26237704212811,1.72939769052112
"SEPI_Tm_2 (GE) - TPM",-1.52744025915086,-1.75368250642968,-1.40629588259257,-1.51137917355095,-1.65387675779363,-1.34425302130456,-1.44737952052034,-1.80549170824989,-1.655430100115,-1.47976032713954,-1.92181391439269,-2.06710213359348,1.80413617034927,2.30026177465103,-1.87886840754182,-1.50942145952092,0.652393564630857,1.55087290779276,1.72160950779425,2.02076705543117,1.81088222231069
"SEPI_Tm_3 (GE) - TPM",-1.50975431736311,-1.44880291272448,-1.37167230767574,-1.473440069344,-1.57307048862469,-1.44073364638725,-1.95636758619385,-1.84453601867354,-1.67117380594244,-1.70780091990614,-1.91353252150391,-1.88609005491217,1.77526973690309,1.98555004183087,-1.76361627925055,-1.63395623898952,0.06343987107048,1.53635170847626,1.80896619855154,1.71440331005598,1.59416012947702
"SEPI_Vic_1 (GE) - TPM",-1.4754793854172,-1.15875471496039,-1.31184539412467,-0.552708342857189,-0.0933649656702916,-1.29252165736645,-1.22359349239378,-1.55696229696078,-1.44180240100822,-1.32942986775702,-1.32190137840509,-0.737392509229137,-0.0195115326098617,-0.0415204395632133,-1.34752831239854,-1.56349462556958,1.55727120386413,2.07154874178385,1.24713744094171,1.36119463243495,1.32099505706415
"SEPI_Vic_2 (GE) - TPM",-1.34672251618146,-1.19319512925225,-1.22267089177943,-0.487898554654436,0.0754970265474117,-1.32412468537585,-1.14689651250385,-1.42083640046917,-1.43076087012208,-1.532290118419,-1.34733431504901,-0.828176557273613,0.169501857403448,-0.23469173288185,-1.22851152926382,-1.67617271425877,1.41194382991058,1.78020823699571,1.27847068220269,1.35875111006213,1.0471579982949
"SEPI_Vic_3 (GE) - TPM",-0.696822620495563,-0.366635303208403,0.0920357848163439,-0.710733156759746,-0.893662351516976,-0.899030990884743,-0.0142247238615909,-0.398770441516569,-0.453535862949682,-0.202192856203847,-0.151101065793006,-0.223475854804631,-0.497005804883735,-0.352407581721628,-0.454258721516298,-0.20329078271837,0.652169943234422,0.316610536725655,0.17915610989801,0.384544748288945,0.486156527186961
