"","SAR_RS00560","SAR_RS00565","SAR_RS00570","SAR_RS00575","SAR_RS00580","SAR_RS00585","SAR_RS00590","SAR_RS00595","SAR_RS00600","SAR_RS00605","SAR_RS00610","SAR_RS00820","SAR_RS00825","SAR_RS02160","SAR_RS02165","SAR_RS04005","SAR_RS04010","SAR_RS04015","SAR_RS04020","SAR_RS05625","SAR_RS05630","SAR_RS05635","SAR_RS05640","SAR_RS05645","SAR_RS05650","SAR_RS05655","SAR_RS05660","SAR_RS05995","SAR_RS06000","SAR_RS06005","SAR_RS06010","SAR_RS06015","SAR_RS07020","SAR_RS07575","SAR_RS08150","SAR_RS09275","SAR_RS11840","SAR_RS11860","SAR_RS13375","SAR_RS13380","SAR_RS13385","SAR_RS13390","SAR_RS13395","SAR_RS13400","SAR_RS14000","SAR_RS14005","SAR_RS14085"
"MRSA_Li_2 (GE) - TPM",0.408781960595093,-0.0231564829561048,-0.103785310246138,0.0769618225820195,0.3611511659905,-0.205500227890185,-0.0891876908313343,0.102352045412441,-0.0173383405775142,-0.775266609516091,-0.708996054457569,1.1837022059621,1.84885076418183,1.32001401995547,1.13968778739456,1.27300747706574,1.35571886757987,1.251066457462,1.55824641902609,-0.156566689667859,0.626105612086397,0.0185323240627285,0.0241487923025963,0.278323910632921,0.374036361243896,0.183047688989595,-0.178047377767986,-1.25705335883427,-0.929715515432904,-0.946159682738437,-0.877272685163725,-0.840756070983632,0.284657595129266,0.277230206095155,0.693188495555505,-0.974004461926244,1.26486456921234,-0.213104176979867,-0.495763037015089,-0.690257919416905,-0.711549363174243,-0.658082823325839,-0.592321575749458,-0.715454401757869,-0.434001525778523,-0.869160919464305,0.682049477576233
"MRSA_Li_3 (GE) - TPM",0.342717866422969,-0.129582651016284,-0.100086155731885,-0.0976911299124236,-0.330765277044826,-0.353339354511102,-0.385722569409673,-0.0316788934440319,-0.138308923484195,-0.503862764664244,-0.710400223149475,1.21867996630133,1.08052014826971,0.129523560448242,0.263802699303431,1.53371246196088,1.45106752497713,0.968700425715907,1.21486819774207,-0.189246520965743,0.436266222150173,0.429763257952564,0.0518405146131021,-0.00530566873742146,0.16834927102966,-0.124719729027885,-0.110564319232247,-1.03557415388588,-0.84506891085136,-0.832103180192366,-0.752276399801875,-0.552762594518232,-0.739811569530607,-0.757272530563189,0.571102823024555,-0.663664812317481,1.57765533060572,-0.544070880639509,-0.791581447379344,-0.661574024404644,-0.600832880598318,-0.680722877310194,-0.628858566230537,-0.775476799254768,-0.596362445977663,-0.500891582953247,0.322140607170588
"MRSA_Mig_1 (GE) - TPM",-0.593013173896898,-0.536919561466914,-0.572459921455761,-0.571788061595819,-0.498970235021641,-0.526021102169896,-0.61728905213242,-0.238019813732156,-0.333391385367934,-0.413402577575217,-0.571180963530274,-0.760314541555204,-0.810011081533437,-0.721056069455779,-0.785193816845264,-0.277364728826189,-0.686994281315412,-0.757204122355762,-1.08216792879085,-0.619262317697608,-0.854990943724412,-0.623042914026274,-0.629370183945164,-0.640450332283126,-0.707294481079015,-0.552091129208203,-0.655381661813117,-0.39206044356387,-0.359688440618036,0.275418332719459,-0.0735400793496029,-0.354413745668489,-0.862903511821873,-0.138465191355361,0.0174766245378081,-0.194928716569081,-0.849969671470407,-0.590728471467351,-0.762303553819211,-0.570621018808915,-0.659593603131137,-0.651339979134811,-0.638345083886749,-0.67613885708869,-0.326946902916428,-0.545638285454066,-1.14124897115688
"MRSA_Mig_2 (GE) - TPM",-0.612125734999548,-0.550922432287317,-0.574895445545862,-0.578005292101786,-0.629961527467693,-0.576961556791159,-0.652644528306436,-0.267536058791894,-0.387793490688101,-0.798630398779395,-0.574490257428741,-0.869965763699175,-0.855636271556806,-0.733682581804003,-0.785496370582975,-0.361586201897366,-0.857469866552092,-0.825351144545571,-1.13509224128118,-0.667835577489205,-0.908792377736384,-0.685692185428806,-0.711636282771766,-0.709114410136542,-0.785340760777505,-0.777982999212416,-0.715634366487651,-0.619838641036084,-0.856597967294325,-0.278006252367117,-0.801702087777393,-0.725408516397791,-0.815798074381906,-0.330248070253148,-0.189863711328183,-0.479273997295426,-0.891393634405328,-0.823242224262545,-0.878365055455554,-0.735445679060454,-0.730874910646309,-0.719540692695507,-0.742710687157564,-0.88485458519296,-0.636451621871458,-1.21124089739873,-1.30206943586908
"MRSA_Mig_3 (GE) - TPM",-0.607285378721812,-0.52426654547725,-0.583160003207471,-0.486193026243807,-0.595559797289869,-0.671591693180918,-0.610867369858138,-0.463420232966115,-0.149761657292304,-0.25648052223496,-0.165300968787954,-1.05816494032363,-0.671678096029006,-0.753915966738558,-0.773943425242798,-0.447673719782602,-0.866487479324939,-0.883857126828627,-1.12916719039661,-0.697014202700782,-0.930041796255307,-0.762906844901702,-0.745778037694579,-0.695305497324126,-0.825222928542151,-0.81692182853473,-0.81509156664707,-0.507165561704632,-0.831462058864946,-0.168439555531007,-0.664049787200945,-0.579025288083144,-0.862903511821873,1.63874219188882,-0.0970512760238616,-0.318564194487933,-0.928035697319095,-0.481814621494489,-0.878971158921356,-0.822203116245517,-0.800801727728462,-0.74913918051919,-0.87894045901315,-0.946502232465272,-0.759556000087354,-1.37064965842157,-1.37782582754967
"MRSA_Nd_1 (GE) - TPM",-0.357648751795513,-0.455383086529806,-0.552570411664367,-0.485432838636523,-0.519527216547223,-0.584795535969187,-0.657230199744251,-0.744563690837656,-0.867754655091465,-0.925840177565906,-0.736515536002129,1.54481091742938,0.966538300240162,-0.724501095455453,-0.794183263770586,0.0657344558523086,-0.418153454787618,-0.483811031555198,-0.289401229618233,0.653619012995531,-0.538790983217988,1.54887901324824,0.160751888555032,0.344410868377065,0.354320162929787,-0.153408390423102,-0.322887731012786,-0.194381738946909,-0.255946364909841,-0.248339432073384,-0.496134297266237,-0.576503837002347,-0.862903511821873,0.58465288475359,-1.55841409761193,0.448055237469546,1.04452437318633,-0.585388596480589,-0.493399270831403,-0.393203844524471,-0.336004963501689,-0.416365985908883,0.503165638228062,0.281681543170229,-1.01109466899711,0.090664883394417,-0.0201289690937048
"MRSA_Nd_2 (GE) - TPM",-0.467487277207698,-0.532002316082784,-0.54847618957756,-0.52773532509374,-0.537028999389719,-0.599387334869394,-0.680507762288799,-0.84624175233982,-0.955168258476663,-0.670196236069591,-0.772111997747571,2.0382525985789,0.376171566656521,-0.710580390714191,-0.800881771768606,-0.203314452550872,-0.43911223093684,-0.549570263147546,-0.243992605209766,0.257074810658289,-0.637389052022035,1.3710466735812,0.0759265008882697,0.163669169553752,0.104695961240709,-0.273040874868974,-0.283002751278423,-0.0714803611542787,-0.37829406740422,-0.176710254857939,-0.280773633061796,-0.607308148697457,-0.862903511821873,0.384538606728698,-1.66082319913884,0.26526860478904,0.896148850057121,-0.592814040387828,-0.54554370240661,-0.497672269705118,-0.426931492772303,-0.339318807739153,0.233059520472029,0.331767174099448,-1.05856921972476,-0.0939394819355951,-0.172787550651211
"MRSA_Nd_3 (GE) - TPM",-0.351483072369205,-0.262947252603644,-0.369716896886588,-0.39964067419762,-0.504596913313921,-0.435616554066142,-0.234214218395858,-0.739553651948016,-0.774475968223557,-0.845951541561382,-0.693601253721603,0.41616631348531,1.46295084522032,-0.558900190975922,-0.560645113212776,-0.080798323381359,-0.359363009700733,-0.715743798250872,-0.309067818297695,0.980086711433162,-0.224788705509741,1.33807952451617,0.452204103394298,0.0801956764782321,0.037315992974468,-0.244415277282197,0.01699196894823,-0.161560293124908,-0.155252504731661,-0.400158231058412,-0.285123289717106,-0.416791841269595,-0.862903511821873,-0.981032303619865,-1.73523253817833,1.17889475817826,0.770807225781206,-0.168602334958018,-0.390718233501003,-0.39018613876739,-0.398682350897675,0.151513772096777,0.251271023204806,0.322723794547052,-0.920971411643091,-0.0125443607115531,-0.342608928273367
"MRSA_Ns_1 (GE) - TPM",-0.569965408599513,-0.532350779699783,-0.480416088761,-0.474511007280126,-0.713218313462067,-0.441094022871833,-0.868420468405413,-0.597841605604463,-0.383610841515047,-0.987567881974203,-0.557439633187264,0.571986160392808,0.162948554850742,-0.560626025918272,-0.595360474409263,-0.0727892237009476,0.338911089237094,0.916641750142708,1.69610917538024,-0.685377692961687,-0.958748930388697,-0.728816786361981,-0.680622436917654,-0.77552487585999,-0.822528213500597,-0.616525393527304,-0.778082608330978,-1.56210873483234,-1.32227861618,-1.39755598317264,-1.23702896857056,-1.27900124604919,-0.862903511821873,-0.981032303619865,-0.376960724233462,-1.25352416532627,-0.396241190476433,-0.695001682517375,-0.851429543700955,-0.735465965164792,-0.611136045730082,-0.777421577112762,-0.448714516167546,-0.444358604500484,-1.2004945783919,-1.23507707305628,1.45807183872241
"MRSA_Ns_2 (GE) - TPM",-0.601248507780803,-0.494222552722087,-0.378317531686845,-0.417196851420226,-0.508883616796692,-0.505275233638226,-0.790943963527148,-0.692878150233045,-0.553262429186403,0.0171411203374356,-0.613345456254123,0.337516883019591,0.217833281305056,-0.602957403640362,-0.579717552735618,0.0677806303799708,0.764494190983567,0.976314860696166,1.44996217716735,-0.706725022077193,-0.94694116270459,-0.805441400575921,-0.776420547731671,-0.751408024015047,-0.678653497745742,-0.763962108964516,-0.695278679882347,-1.58492170601606,-1.23343776492757,-1.30805900836855,-1.2912279981064,-1.26956451840579,-0.115678486712887,-0.981032303619865,-0.655596861858119,-0.991626148599479,-0.394736884301482,-0.983712344248258,-0.887954114265237,-0.688766238836473,-0.759518405503333,-0.653990983997377,-0.432474039967035,-0.538029640355059,-1.41040630452944,-1.54578249969979,0.848410920887023
