"","D7S_RS00335","D7S_RS00340","D7S_RS01165","D7S_RS01515","D7S_RS02430","D7S_RS04660","D7S_RS05190","D7S_RS05425","D7S_RS05430","D7S_RS06065","D7S_RS06515","D7S_RS06875","D7S_RS08025","D7S_RS08030","D7S_RS08040","D7S_RS08045","D7S_RS08255","D7S_RS09425","D7S_RS09430","D7S_RS09435","D7S_RS09440","D7S_RS09945","D7S_RS10815","D7S_RS11050","D7S_RS11245","D7S_RS11250"
"AGGA_Li_2 (GE) - TPM",-0.145499429447515,-0.213046443889048,-0.07022176848941,1.09305813341727,0.165367376186788,0.712916332833698,0.717560705687884,0.590700610297139,-0.843243109784232,1.72512584748723,-0.527774641502441,-0.820261656752957,-0.491999660559433,-0.844125148002259,-1.04803217544326,-1.17193058073324,-0.259066319659999,-0.111809312582432,-0.213258262666701,-0.446226132468104,-0.301014061041533,0.467424187505928,-0.00681492134796285,-0.0150673013211064,-0.18714748172382,-0.446113110686372
"AGGA_Li_3 (GE) - TPM",-0.43039291983502,-0.48761292015842,-0.234730950006426,0.506946804869115,0.203164106842838,0.933870574354392,-0.824552982925832,0.291168610253325,-1.04202060418342,0.538747595934154,-0.470579622003729,-0.841607574062896,-0.953075431510993,-1.25414820689692,-1.19915918698218,-0.868140697753289,-0.542791467582425,-0.283772853242753,-0.271673061455948,0.2424580367446,0.59619036143203,0.567460373214083,-0.0809954945970826,-0.971355994825417,-0.550785409021776,-0.648432387506635
"AGGA_Mig_1 (GE) - TPM",1.25121297633502,0.887792778454216,1.33067659255391,1.04476371174191,-0.837145155804932,1.89726171868157,1.33682407305832,1.30961772482263,0.988676456076145,1.42860898579941,0.893637285859064,1.80382284001093,1.7849829913597,1.89770791037781,1.2831067578787,1.29725818250375,0.731209882904687,1.19646014155976,2.25176445162604,1.74041972074753,0.980976638812117,-0.748635776545078,0.547414991962454,1.77051942231806,1.34150787011035,1.60605177048104
"AGGA_Mig_2 (GE) - TPM",1.48992913979025,1.54316380233459,2.60111643956869,1.42551183427863,-0.591195665779362,2.07920666642797,3.20049136191629,1.83383420810612,1.73796321913004,2.76662448054487,1.94916005494007,1.15605935980856,1.9779125946623,1.46938010477305,1.81385693321173,2.55439868139938,1.69891699556963,0.697216266757394,1.6799429748303,1.5970320137051,1.16040602592823,-0.526608846893438,1.01471167579595,1.42381328061572,1.44671461713655,1.70872750517971
"AGGA_Mig_3 (GE) - TPM",1.25892694718901,1.829652006187,1.84723128837219,1.13112922831501,-0.392297687691353,1.46691170899526,1.47577683546597,1.40144721704195,1.94357045160812,2.03520380276353,1.50178138592474,1.70364286357772,1.98091318182265,1.77676747448614,0.963438462651051,2.27287650371723,0.208626005054721,0.780459784334038,0.735144750502408,1.83435731550679,0.806963607849978,-0.578173198165748,3.53931621006772,1.46686596012068,1.9377378879731,1.45878936907487
"AGGA_Nd_1 (GE) - TPM",-2.19180909157433,-2.05566734063073,-1.8422517920503,-0.810637620882475,2.3033649687261,-1.14729018583734,-1.17619001083094,-1.72036655350105,-1.16408217074551,-0.772259098107371,-0.733008851227644,-1.63107896708072,-1.1860063590173,-1.35409959661401,-1.24468452734923,-1.41700349247544,-0.604388106105545,-1.77930712340666,-1.86465810619495,-1.91647807085855,-2.30370980306962,2.95805189159412,-1.70247061825979,-1.59645248187595,-2.0162126927687,-1.65617699343905
"AGGA_Nd_2 (GE) - TPM",-2.30409450517079,-2.08624785105408,-1.70841279257494,-1.3295491271104,0.970776698631544,-1.71902895330708,-0.960029235554056,-1.9208349785107,-1.52609234635047,-1.60891215760756,-1.11122677297209,-1.80877682723718,-1.22966645686905,-1.02530853634272,-1.25502547314845,-1.36533951914075,-1.66037924430779,-1.97954835651579,-1.84647855397672,-1.97021082213753,-2.26396328158369,1.95963266849213,-1.57187766480957,-1.54262768437049,-1.90766014122743,-1.53762581052843
"AGGA_Nd_3 (GE) - TPM",-2.11712930648141,-2.04674819050166,-1.64273430063929,-1.14195647234824,1.9423975212643,-1.32543329867823,-1.43845441049378,-1.77805740056786,-1.56053027541084,-1.07228568711068,-0.775213441690604,-1.58752971831134,-1.1341561548958,-1.12146573609369,-1.32465207364301,-1.37222898835288,-1.69115896275003,-1.84907071465513,-1.89955905659007,-2.03436882888308,-2.28494210202408,2.35816844893763,-1.5389940495658,-1.50608185599106,-1.96663542611146,-1.38535331992847
"AGGA_Ns_1 (GE) - TPM",-0.499205857149228,-0.548588721297672,-0.06059125415323,-0.441666933022964,1.14799356143274,-0.45710609589655,-1.19240063127972,-1.18747762413905,-1.23276183596486,-0.219401496263122,-0.128365393273728,-0.960215822365103,-0.824753204143468,-0.326638693507195,-0.358210595476829,-0.656868169750485,-0.782444761547006,0.23671087344571,-0.424037558058772,-0.508950408518973,-0.36636114484772,-0.112804131385319,-0.905311907260191,-1.00395285057294,0.0866742980040982,1.14941124554403
"AGGA_Ns_2 (GE) - TPM",-0.0994772879781312,0.66940536351469,-0.83173590037208,1.9101193684484,-0.0391409902635324,0.266552156911413,0.225449893621756,0.893112095062928,0.56728741373902,0.701708029623159,1.61609978049188,0.700473708519464,-0.766587097230604,0.792316599812203,0.286413231561812,0.75200583365068,-0.667647063560557,0.971982241729961,-0.188158085153819,-0.396983484777844,0.677189013307661,-0.442901081295092,-0.122586066594905,-0.0746251693510312,0.237502828317081,0.204646105762404
"AGGA_Ns_3 (GE) - TPM",0.0732270848477341,-0.120742679190212,-0.280634890220699,1.98422862893665,-0.0946219235894002,0.669049429376172,-0.717930865609687,0.0161476348403428,-0.649226620850144,-0.0214659225305518,0.667891729634006,0.0403892070613045,-0.881833024035775,0.125425505160404,-0.181761707773889,0.180535068325867,-0.488426163824476,0.335537932767933,-0.292591790046547,-0.436442788261909,0.787371442030736,-0.412716367979495,-0.0760289711954197,-0.558755166201538,-0.183552157221283,-0.222521502833687
"AGGA_Oss_1 (GE) - TPM",0.301621333798754,0.101685267456624,0.0524531580526087,0.620236977332228,0.024448407380284,-0.427928227844434,-0.165938837259616,0.089883502756213,0.97864078426853,0.327262140886867,1.65667447655354,0.208413848523742,-0.274287665256493,-0.773318101627366,0.100626473466481,-0.155294695919765,0.567420853059287,0.912248644800283,0.60068213795507,0.864536236948561,0.472815354275222,-0.745388029261476,0.249281837784224,-0.0481583737517039,0.455110996447551,0.152185768477899
"AGGA_Oss_2 (GE) - TPM",0.989730375758336,1.0313004162705,1.21099652612075,0.364569833690912,-0.478165522994475,0.800610288384757,1.13379446783693,0.906083263678621,1.67694166741768,0.406997623715946,2.83424263378762,1.90112221635944,-0.275249320359002,0.204638518042936,1.15211856115878,0.769717472650257,1.4651528590724,0.349879122563117,0.758019038306377,0.640108489543486,0.68000182644629,-0.896679523941648,0.756561187407165,1.3235179653463,1.15729844409318,1.34186372609677
