"","B4U56_RS01290","B4U56_RS08840","B4U56_RS08850","B4U56_RS08855","B4U56_RS08860","B4U56_RS08865","B4U56_RS08870","B4U56_RS08875","B4U56_RS08880","B4U56_RS08885","B4U56_RS08890","B4U56_RS08895","B4U56_RS08905","B4U56_RS08915","B4U56_RS08925","B4U56_RS08935","B4U56_RS08965"
"SEPI_Oss_2 (GE) - TPM",1.06262767357449,-0.134787172488203,0.091195221685941,0.250573520994136,0.08550693714907,-0.101656362533195,0.297221998827372,0.354867337913518,1.33038130354279,0.707477826439522,-0.263843134317662,0.527358261388208,0.511375573879307,0.849209183630267,1.20519881747646,0.416639727211174,0.0662528637339276
"SEPI_Oss_3 (GE) - TPM",-0.751989217970579,0.469592966665559,0.216364522305435,0.138285602861738,0.194837679696491,-0.279456565077335,-0.12841704273308,-0.0186560439062164,0.0847446201910213,0.385038341062528,0.0163407986495572,0.0365201218030621,-0.763607510769728,-0.572874059304633,-0.167852176796957,0.75381922701762,-0.426473914724022
"SEPI_Oxs_1 (GE) - TPM",-0.345245923248344,-0.367204681409403,-0.563905618787946,-0.940256480439919,-0.504480455541705,-0.473493153883109,-0.506221043147092,-0.854678045618634,-0.390051615756838,-0.637711351254475,0.218676313304188,-0.577721344534163,0.226857639208422,-0.254062708643286,-0.0935481117183852,-0.450543271558657,0.496235145067074
"SEPI_Oxs_2 (GE) - TPM",0.748483258555472,-0.256547500202061,0.0555035837707975,-0.351984994105084,-0.0278769278543018,-0.343921107034159,-0.278406286749457,-0.321583546363692,-0.0770127925936884,-0.152266103260544,-0.934793806141355,0.316851458526603,1.39131919696094,0.373724055664715,1.22036618508689,0.114763923010494,1.0277004531138
"SEPI_Oxs_3 (GE) - TPM",-0.751989217970579,-0.0596168511118292,-0.100408236647344,-0.53941797031955,-0.620427265375926,-0.34026238345977,-0.281565004753716,0.0616174897181068,0.0903625749791228,-0.269186998968912,0.615741237369898,0.14532189185641,-0.425329525248525,-0.160521724879389,0.678469285499221,-0.144661203977956,0.654661568564492
"SEPI_Sp_1 (GE) - TPM",-0.522389499216152,-1.23446941617222,-1.59351888509799,-0.887545825947849,-0.92341696202837,-0.752103510670175,-1.23032070062878,-1.14131517617211,-1.54973237322705,-1.62880247163101,-1.69114226910358,-1.67816037902016,-1.4656030906797,-1.63532526588377,-2.04463792232131,-1.92793254878734,-1.73733348339077
"SEPI_Sp_2 (GE) - TPM",-0.20024565616775,-0.896611936172032,-0.523207244136016,0.168803960948723,-0.608847433439241,-0.0499862339071846,-0.167135937515441,-0.771985878242098,-1.16012087307678,-1.27200626842847,-1.10061373842824,-1.06142672531821,-0.909797590414488,-0.666777877146555,-1.26373847183615,-1.47352223913835,-0.889370005000658
"SEPI_Sp_3 (GE) - TPM",-0.751989217970579,-0.467223041324719,-1.65432184203606,-1.07489673914351,-0.935788390572122,-0.70566677528996,-1.07172874795461,-1.31741512148897,-1.43499995969024,-1.73503009592826,-1.57844620394951,-1.64922251203752,-1.45212534409956,-1.67983424248057,-1.87510405733855,-1.64739460935378,-0.99454158348849
"SEPI_Tm_1 (GE) - TPM",-0.751989217970579,-0.633519170932096,-0.875948845740761,-0.808473286828842,-0.749732220998713,-0.875343358991145,-0.722251043633959,-0.450062261265459,-0.396673384856318,-0.494048867906864,0.0435519432312166,0.178815030533172,-0.654375255636213,-0.334045593885173,-0.378504334442092,-0.308693194324237,-0.402936359290379
"SEPI_Tm_2 (GE) - TPM",-0.751989217970579,-0.00698626493802703,-0.0227390606886772,-0.246185984331463,0.154817632720531,-0.177198415998775,0.174155008270961,0.133931344977851,0.293590791382097,0.212035413344061,0.845308580623596,0.204113866046672,0.698877311200262,0.394699173087217,0.469862979032613,0.946703520232294,-0.0419560996996671
"SEPI_Tm_3 (GE) - TPM",0.651527010429529,0.155640046577381,0.562181306588748,-0.149565914725717,0.163615737064243,-0.0194396918934736,-0.339025225864635,0.0458073057851028,0.338798599064623,0.276499576189623,0.205525836426502,0.245993175032328,-0.0383071550803521,0.207125943656865,0.245300875765376,0.499770595023569,-0.152845701897745
"SEPI_Vic_1 (GE) - TPM",-0.47787085259484,-0.421885396238341,-0.481158902754628,-0.790944812326496,-0.656820719020245,-0.711748430074929,-0.298759355789368,-0.644437251066998,-0.382991839989416,-0.39417210500733,-0.172431182264891,-0.0583186254004004,0.534709619181206,-0.280381841422898,-0.139708583304097,-0.0128435587620183,-0.865947068099579
"SEPI_Vic_2 (GE) - TPM",0.549916178524732,-0.865327879278088,-0.380108108413569,-0.50510742783364,-0.601586152507414,-0.883989328939993,-0.269807504976957,-0.92743259430481,-0.32078143436142,-0.479452288827944,-0.309349476386199,0.0314446518974003,-0.873990351988879,-0.964248317019595,-0.340157932249944,-0.66332929209019,-1.01445074565192
"SEPI_Vic_3 (GE) - TPM",-0.751989217970579,-0.528801270967165,-0.598016718933285,-0.412440349070137,-0.500471922191516,-0.783695099676432,-0.85218919448924,-0.810636976739758,-0.551717775924264,-0.185621773965165,0.0828089589114089,-0.488612618712814,-0.49140228590461,-0.308945633471187,-0.625415759694114,-0.629782720798588,-1.00651381269813
