"","NTHI_RS00440","NTHI_RS01270","NTHI_RS01380","NTHI_RS01565","NTHI_RS01765","NTHI_RS02025","NTHI_RS02345","NTHI_RS02350","NTHI_RS09540","NTHI_RS02555","NTHI_RS02565","NTHI_RS02570","NTHI_RS02705","NTHI_RS02710","NTHI_RS02715","NTHI_RS02870","NTHI_RS02875","NTHI_RS02880","NTHI_RS02885","NTHI_RS02890","NTHI_RS02895","NTHI_RS02900","NTHI_RS02970","NTHI_RS03055","NTHI_RS03060","NTHI_RS03145","NTHI_RS03155","NTHI_RS03160","NTHI_RS03285","NTHI_RS03545","NTHI_RS03550","NTHI_RS03555","NTHI_RS03960","NTHI_RS03990","NTHI_RS04075","NTHI_RS04130","NTHI_RS04135","NTHI_RS04275","NTHI_RS04475","NTHI_RS04650","NTHI_RS04775","NTHI_RS04780","NTHI_RS05075","NTHI_RS05570","NTHI_RS05870","NTHI_RS05875","NTHI_RS09650","NTHI_RS06120","NTHI_RS06340","NTHI_RS06570","NTHI_RS06695","NTHI_RS06700","NTHI_RS07480","NTHI_RS07525","NTHI_RS07780","NTHI_RS07785","NTHI_RS07795","NTHI_RS07900","NTHI_RS08055","NTHI_RS08360","NTHI_RS08945"
"HINF_Mig_2 (GE) - TPM",0.0778263452498087,-1.38545239778822,1.20826847186113,1.85913504347993,-1.91436942430181,-0.427523411743544,0.606277601444659,1.45050032744048,-1.59557469244115,-1.9760474702363,-1.86841545374373,-1.90999180697708,-1.5581467736933,-1.96710523839403,-2.02002875852331,-1.31512045432472,-1.42123829420868,-1.45185832720998,-1.48587507202631,-1.38900920627528,-1.40913816388851,-1.4713471749116,-1.84939188728918,-1.55211083668674,-1.73465024330109,-1.68894853364774,-2.18860303693659,-1.69761989195018,0.959215469944965,-1.59852098041384,-1.75151208013307,-2.05799979144804,-2.01641243149557,-2.27359051031184,1.36651276913255,1.03569149452812,1.53484644817283,-1.75394839581046,-1.23282466864055,-1.4865655475677,-1.39348772418345,-1.35357196528922,1.96127319717406,0.729239233970763,-1.75881255208177,-1.6852025748978,0.897721997348658,-1.08423614515442,-0.279192464759141,-1.22449948422574,-0.0893795453763749,0.396135687065642,-1.10257643048695,-0.568567533161721,0.90449599443097,0.740352016511332,-1.72184345038735,-2.28018617216412,1.47810503800639,-1.64766984875732,-1.64852864166933
"HINF_Mig_3 (GE) - TPM",0.680126133159022,-0.569241817253474,1.6938968017783,2.23476394411187,-1.84488676256007,-0.768237720787619,0.834656817509285,1.08047377230949,-1.51737052150631,-1.75370675885207,-1.61387380353519,-1.86040784958952,-1.25371160407787,-1.67245376653704,-1.82183631308095,-1.32732416316329,-1.34723248630868,-1.38477083528272,-1.42805096699322,-1.32310065665458,-1.31724424673674,-1.45831832705149,-1.44413169745464,-1.53400117487558,-1.69972221440842,-1.11642825670506,-1.79005200037622,-1.10840047483113,0.314577035695322,-1.78022522935041,-1.67511537875326,-2.03638759987522,-2.16216716998378,-2.12240768538249,0.556618170114438,0.524107527361523,0.872720905056608,-2.17597631596148,-1.01677083415567,-1.32442023148625,-1.36419906999031,-1.29545551367328,1.45321462148387,0.962107558653199,-1.59317997969731,-1.64532291855501,0.760682037803167,-1.08049553782863,-0.1757611472058,-1.23432346622223,-0.0415629231707439,0.13288947422695,-1.35903342054828,-0.246871088983036,0.997553215641242,0.843044168805034,-1.75634888287185,-2.45216431809249,1.18697521908588,-1.70522505647313,-1.69020956721264
"HINF_Nd_1 (GE) - TPM",1.6911368168763,0.465796670349394,-1.50599875200955,-0.840706357621646,0.81286446531015,-0.91491322243797,-0.743325782047144,-0.717426577808464,0.544283536986054,1.49520039319269,1.47305029280458,0.776703668291151,1.30058124643943,0.778496779960313,1.15255722298329,1.9165042606881,1.74801163039445,1.77920201969796,2.00525106112629,1.85682850260438,2.20469041945832,2.26373789643049,1.55911186853377,1.29818670903052,1.16772151691215,1.15198373357532,0.597293699530603,1.23191990348201,-1.17343190360107,1.85491886334527,1.66226602209492,1.53687576000959,0.0595140803961443,0.592267313527471,-0.749757139251252,-1.30014164571389,-1.27570680208687,1.0068932244553,0.358315961342811,0.614371012458399,2.29160763736651,2.09111883490655,-0.272978873017462,-0.237535631563378,0.438668277091362,0.523981434353021,-1.33934154931766,2.0109450174475,2.39238037380805,2.03026248470085,-1.28446695071574,-1.18684343899341,0.672910188368336,0.823616977360621,-0.560563936113924,-0.17199407616814,0.696208473996035,-0.28993531723208,0.016786071203783,1.16953757667903,2.66522164769578
"HINF_Nd_2 (GE) - TPM",1.81560895696824,0.714797254325752,-1.65469856360819,-0.745920338819883,0.837185520578058,-1.14973130376731,-0.778345506751125,-0.852436137461389,1.79511132375955,0.544678863878876,0.530937085255912,0.202941129055266,0.980318608196903,0.751856157240366,0.8716978147158,2.06227978054262,2.00816490056108,2.06347796658084,2.03400090687934,2.2033324364539,2.07941807340628,1.75960655880645,1.33265748222292,1.29526197715128,0.888182099597044,1.04414754605153,1.06401153850012,1.13076527546733,-1.24009490329645,1.37460877406056,1.47410163083144,1.57781679303229,0.278575121176678,0.0612100942043099,-1.08630554299814,-1.64240972415009,-1.47963796583674,0.982249628811784,1.0389070386982,1.07159193445931,2.00635543846664,1.8157598651185,0.131736970340122,0.261401016557009,0.603731126997832,0.705179646255287,-1.47463031037514,2.09589103316187,2.2386454306991,2.01744845684408,-1.33640970804474,-1.11933044053566,1.49444606727557,3.27098148478367,-0.749124991784843,-0.315532689311138,0.598297572720995,-0.213661195151917,-0.301860930273803,1.54811453619134,2.42346406438849
"HINF_Nd_3 (GE) - TPM",2.10673410056558,0.64650211555463,-1.46284678868764,-0.961924662915473,1.57004269751635,-0.952091015907465,-0.811291365898936,-0.854212111816326,0.513549399267964,0.253603525126869,-0.0666089330742039,-0.257888990593168,0.402232550333308,0.450863691735199,0.869187821520101,1.67898210841298,1.83229563469632,2.01001977082833,1.73451419086793,2.16851039673948,1.96416611142515,1.68876143101586,1.44861688307276,0.764961720505443,0.987001889272462,0.195006126203273,0.0440788979963399,0.244238245107501,-0.943788696863395,1.57708588500507,1.38246592139957,1.66708478451226,0.138894548084726,0.254152530885353,-0.777630616445314,-1.43050308458316,-1.03054381575288,1.47162231135236,0.770515928471248,0.407610531086151,2.33390924100572,2.26938161725165,0.413600281811593,-0.326859201603319,0.803941040267867,0.659388198369492,-1.09262238699891,1.95858756869555,2.59403554378929,1.99806564305825,-1.27050922463776,-1.15233759517327,-0.0832000119318414,1.10907144957675,-0.458632922885709,0.130966637781253,0.498699698048512,-0.170635971875302,-0.611138342790594,1.63702705049718,2.26603845128067
"HINF_Ns_1 (GE) - TPM",-0.647788954931839,-1.42340745706168,-0.448767781640156,0.254687577783972,0.35331710226013,0.393638261629417,1.0811071205307,1.64885145341622,-0.717996689692898,-0.340030093994443,0.233781558913585,-0.234272129592964,-0.876624486748146,-0.774275288673481,-0.767480019017569,-1.41126704702842,-1.36926628625917,-1.38213135393568,-1.38695868134395,-1.27900777001907,-1.19743933449487,-1.21387630983782,-0.761524256567848,-1.0449641778272,-1.06700575819954,0.201551118908064,0.0111451607210258,-0.199247837313996,1.26672836270029,-0.299646577817548,-0.747266422927345,-0.818237771890694,-0.113982451623021,-0.389156273982771,0.148166516875682,-0.391281842601449,-0.396403751782604,0.0216903818042352,-1.34137972979165,-0.459973296683277,-0.946578712828023,-0.968159022680794,0.00151399495105265,-0.208696530097556,-1.07937150982332,-1.04183673933244,-0.666751000160699,-1.26917629454239,-0.916114075183594,-1.03262442999112,1.09026830498668,-0.252950671214671,-0.944025691980767,0.177689408901346,0.188835646846121,-0.0173508238711199,-0.787205897991786,-0.840802509503376,0.280853459415764,-0.920111079173534,0.256014258770631
"HINF_Ns_2 (GE) - TPM",-1.1867353099152,-1.26171863507581,-0.444582316914358,1.64502595992116,0.260764383938915,0.785687041095322,1.64858914679125,2.06363954206908,-0.441912368367754,-0.230834211253382,-0.0338926023647361,0.0353469247220192,-0.829620491910135,-0.985492100048648,-0.927747445638105,-1.46899914304136,-1.44237950221122,-1.43618278887735,-1.48062433869609,-1.38402279595477,-1.24131887075618,-1.15570825207871,-0.795077534681283,-1.18955593925864,-1.17243308950382,0.052979002795274,-0.162512668565716,-0.540110891376699,1.21054855591096,-0.547128634753527,-0.538045017361864,-0.55732782052743,-0.23558096631027,-0.25362983698801,-0.0215501157548721,-0.128019542623484,0.242736655406366,-0.206888686738711,-1.22816486840762,-1.14335898590986,-1.1117210917401,-1.01574471139336,-0.0630457092688783,-0.0249721358736619,-1.08688209112696,-1.22589528324215,-0.142548400920562,-1.30955335624899,-0.827642378039651,-0.954131259377139,1.72883424035915,0.353903869329699,-1.11799044057232,-0.0541902214812213,0.0784223534449568,-0.35821813047139,-1.17808829886884,-0.956879845385862,-0.500086798617019,-1.37683533493945,-0.1623224477639
"HINF_Ns_3 (GE) - TPM",-1.0742094505123,-1.14499785296359,-0.391402672788066,2.73659826082654,0.207131002603148,2.36659009976447,1.46082812630286,1.8612244146647,0.715084120976736,-0.994837243252532,-0.651510324004541,-0.693758560761696,-1.07569455302257,-0.957508658069071,-1.14660508414875,-1.42800468826955,-1.46996615620516,-1.45385725551949,-1.48913444155052,-1.4627120496514,-1.39413380226639,-1.35858550528828,-1.13223339808748,-1.26959239319315,-1.34295343092431,-0.194068713545036,-0.529968430661617,-0.384499448906053,2.59066778637249,0.235383883168484,-0.740709898946469,-0.780625263226619,-0.578542513200039,-0.441466947786925,0.336947125687351,0.018412050970569,0.660585949946656,-0.780038088002525,-1.14211992720116,-0.81578673331285,-1.07904278125855,-1.0696891109746,0.76020052936325,-0.287313041067052,-1.22783244986197,-1.41959552234852,0.0171326693729063,-1.32340681033251,-1.12124358056133,-0.781131920388966,1.60868141494635,0.274450298309604,-1.02433233839816,0.751816310229843,-0.269368689752871,-0.635104085990742,-1.29896552594979,-0.654703268087107,-0.225005157562875,-1.56970016349856,-0.668372185775278
"HINF_Oss_1 (GE) - TPM",0.127860150899504,-0.62697316546878,0.933978670874411,1.08508926419926,-1.30836492650956,0.342365095999195,0.719088749689705,0.339283516010775,-0.16127698954949,-0.174722248939127,0.0766997549962104,-0.206153546644274,-0.729370228222202,-0.472109874567518,-0.476869482468736,-1.16127175711489,-1.09840135124409,-0.980405960538644,-0.920728764703975,-0.873982936238397,-0.79981645945139,-0.699743392699886,-1.20282977278604,-0.811904844131447,-1.15189630709542,-1.136615502651,-1.25910587702723,-0.932536365239159,0.713687245079308,-0.991758569018908,-0.331153535079446,-0.197848314170417,-1.58258354246994,-1.26898720101372,1.10178289597316,0.945980325400581,0.285505779298785,-0.831777084853474,-1.11997881255674,-0.551328490266485,-0.558942833130288,-1.15979526799593,1.25820689216369,0.902953826349443,-1.18916481370413,-0.85661924123291,1.48941339168059,-1.14940891419367,-0.906795935461282,-0.667303129930219,0.867381597674329,1.69830968936044,-1.02325940991789,-1.32741696584794,2.09969104310848,3.22372523108423,-1.46974599881446,-0.445273503734904,2.05702512437,-1.27130161829692,-0.532610435917328
"HINF_Oss_2 (GE) - TPM",-0.262722798107005,-1.09417422625077,1.55800273058657,0.608819546515554,-1.0725128542755,1.98942767468518,2.96177818187952,1.56629658097772,-0.782332973038498,-0.572008547703552,-0.637182875793482,-0.15907990753623,-0.785334796822133,-0.800161485333346,-0.217563848300142,-1.11645176878689,-1.07931517046953,-0.983628043221976,-0.93711219712786,-1.02577102825359,-0.993778910157955,-0.954241136435881,-1.54456809133909,-1.22004873542918,-1.41248491102696,-1.34708234107131,-1.21721764243573,-1.00709122055708,0.847250037257066,-0.704353822702629,-0.304163385110316,0.468585954872262,-1.68651637076475,-1.24986939088235,2.42332040796432,1.31326094394213,1.2947074962126,-0.711812464101518,-1.0232625105801,-0.626421262777187,-1.00833966051616,-1.39970605280752,0.924304317390084,2.87797965490876,-1.59872462865408,-1.35088270149716,1.13951277093945,-1.27567996761703,-1.05821087151698,-0.876492454726114,2.11971433975814,2.16836730586491,-1.44358472791723,-1.6766739060738,1.73253376245413,1.93698860045489,-1.51784664514875,-0.768846900239902,1.56629755365227,-1.3757718752714,-0.671317972570403
"HINF_Oss_3 (GE) - TPM",0.349509210405547,-0.932762460833681,1.24375814230197,1.355563039324,-1.28309623746454,0.25992254638624,2.35244809756974,1.88665452880346,-1.30384944391825,0.848469890260885,-0.0818143470667557,0.142595801656946,-0.668785479053103,-0.0649798323833805,-0.136405502772935,-0.979754594135984,-0.90334898653997,-0.770042067312245,-0.758343097830784,-0.838203191144283,-0.825068968622631,-0.919168111856895,-1.15457616348262,-0.835220134519968,-1.23105497512818,-1.52908136092308,-1.227927654278,-0.4074391186124,0.163163258149444,-1.56678116194549,-0.930664991669513,-0.234414654467113,-1.76283661918496,-1.20357604457557,1.65817626175437,0.214075400409734,0.652563831912476,-0.168949454473129,-0.868426155524557,-0.632754697372262,-0.520050985853326,-1.02479777457574,1.54855110616806,2.59854308108186,-1.27195925463097,-0.918621486848271,0.196220992017054,-1.15680471783563,-0.8757932663791,-0.589535422734785,2.02510079632927,1.81556338702647,-1.93644315741554,-1.65370163632406,1.92921079060598,2.1617417624738,-1.33349047529919,-0.43769566780601,1.36899809339479,-1.18735188898197,-0.440771375166295
"HINF_Oxs_1 (GE) - TPM",0.433264991292936,0.397521995708591,-0.586670466632691,0.00597655136785072,-0.453467859807904,-0.286066243793224,0.20418635605565,0.00256780554809728,-0.0133027612548212,0.319923252622172,0.31315162196886,-0.143744235989088,0.0734408636541586,0.110355393959723,0.666669709259544,0.403184422652961,0.587767087318353,0.451462005936292,0.47535519406383,0.394513181715929,0.577005845514383,0.681137013025289,0.768593369574109,0.786902827968251,0.726635714668571,0.438009643459703,0.495272809884608,0.924591887542292,-0.437236338740186,0.394775918337953,0.708898896339083,0.757671668325954,0.711959106888645,0.483681009763189,-1.26374799707074,-0.650142370478858,-0.596309429010561,0.884384880083854,-0.511427561488945,0.825609543653199,-0.492222764749646,-0.224808130025012,-0.474871125054928,-0.894081877182553,0.633797745446189,0.686011260314927,-1.20388568710214,0.274734245088557,0.272391079815263,-0.0392732687423939,-0.61619090734452,-1.12147028788314,0.42677393048148,-0.337306139419717,-1.02785487068874,-0.646329313237561,0.196011358928091,0.198368918182323,-0.925913596714158,0.234853145212426,0.294762065182693
"HINF_Oxs_2 (GE) - TPM",0.902769689290261,0.939143483804953,-0.35483670278521,0.290887985987784,0.522898358894939,-0.202468206308009,0.314776353695472,-0.193024574064099,-0.270235148439887,0.863169423056032,1.41466017182204,0.880258154107718,0.612261755268436,0.730407804316228,0.56806830697043,0.541148131730887,0.477162930890884,0.342959987440802,0.644195537967622,0.468703933106566,0.195691348518842,0.236330090883724,1.17561342234045,1.36366071705716,0.978909753868038,0.966276954461271,1.88504695814449,0.779917855277061,0.129125831618349,0.258005348298904,0.875088462194836,0.777067884008875,0.993798374777771,0.612886012286151,-0.720555964965403,-0.390775795100201,-1.01348082252464,0.861486330667041,0.322987725941358,1.09301458380873,-0.492591931817998,0.101979404052405,-0.805364783274552,-0.817768161897977,1.1600721316065,1.08129001028297,-0.673632171163663,0.608125954930319,0.532442297111027,0.261598344421263,-0.503774096942691,-0.917357551308779,2.26024245690127,-0.115796790394679,-0.947870472861646,-0.701476319375169,0.707903981150073,0.820389275480056,-0.859725315496286,0.516720582377179,0.343986490377807
