"","NGO0071","NGO0166","NGO0176","NGO0178","NGO0187","NGO0205","NGO0209","NGO0231","NGO0255","NGO0264","NGO0315","NGO0316","NGO0317","NGO0319","NGO0403","NGO0448","NGO0493","NGO0506","NGO0515","NGO0534","NGO0647","NGO0648","NGO0653","NGO0668","NGO0669","NGO0683","NGO0738","NGO0785","NGO0797","NGO0835","NGO0919","NGO0929","NGO0930","NGO0934","NGO0941","NGO0962","NGO0981","NGO1005","NGO1049","NGO1088","NGO1118","NGO1241","NGO1275","NGO1276","NGO1312","NGO1321","NGO1404","NGO1408","NGO1420","NGO1463a","NGO1499","NGO1543","NGO1578","NGO1580","NGO1598","NGO1600","NGO1605","NGO1625","NGO1649","NGO1670","NGO1736","NGO1801","NGO1858","NGO1863","NGO1930","NGO1996","NGO2022","NGO2033","NGO2083","NGO2178"
"NGON_Li_2 (GE) - TPM",2.28924669109259,-0.595945389833016,-0.317862320284343,-1.15503953737408,0.275634781931224,-0.227789451162235,-1.73731497361313,-0.820873273515867,-1.254193593498,-1.1777034748709,-1.66188741797961,-1.64440256761157,-1.73417583286476,-0.968511598459584,-0.186476897216564,-0.646688280878295,-1.55025954200881,-0.746872784778337,-0.818482823154666,-1.50349269949013,-1.13465932290415,-1.03558617610096,-0.117381302010262,-0.561838644031204,-1.55151237782948,-1.28775632858993,-0.944996391520263,0.0462970050345689,-0.131369228725002,-0.592968177632208,1.48458699013431,0.616899937738961,-0.961209977685308,-0.445946273379287,-1.15053340876298,-0.754752993354748,0.951228658771041,-1.71040573076659,-1.42818346670168,-0.653619604788387,-0.829106935832866,1.58257445295926,-1.93431914221513,-1.07672416965847,-1.35395239369008,-1.48353847789961,0.256937684639869,-0.371926180595311,-0.763737643211075,-1.87514706667927,-1.4752779919304,-0.476989049550366,0.206880366356831,0.548487023420103,-1.61826405907691,-1.03411493365385,-0.645560843892132,-1.59078608237188,-0.397254593858324,-1.64949404231313,-1.56048240057916,-0.301160181368164,-1.12306004030835,-1.10427056002914,-0.504006543705948,-1.14623981962908,-0.257128209861479,-1.30735626802682,1.09721648300419,-1.16869963062074
"NGON_Li_3 (GE) - TPM",0.3204780517938,0.00655814755297108,0.175883317523318,-1.09464809106543,-1.53602790782606,-1.56664962213657,-1.18518296037706,-0.104923606833207,-0.407100067580746,-0.873679640807832,-0.351448708438713,0.307115418651619,0.0614828182345709,-0.612177786529596,-0.615419073062066,-0.168657011605901,-1.14346619669313,-0.974843451707298,-0.232059487651811,-0.378579601689268,-1.07882339555627,-0.520849976554712,-0.503061715491603,-0.734915310121561,-0.218874797929196,-1.04669396932838,-0.708404488662451,-0.36103273931811,0.768692496860572,-0.000977358286449026,2.31595558682285,0.623295829327094,-0.241918132040047,-0.584391007472104,-0.159668917933038,-0.482551029062938,1.3733153213853,-0.277619832715041,-0.760512955580896,-1.0377655927625,-0.339135552200988,-1.47730852665079,-0.406593400561046,-0.141405427666166,-1.28990218020933,-0.641719249182384,0.126123250279682,-0.487445614761231,0.15970967303659,-0.918937051233857,-0.152165836382667,0.127319308612168,1.71419170439975,-0.397815221043235,-0.714294565803679,-0.613957735559859,-0.651668728941768,-0.560600933382726,0.113003291685148,-0.885632124592143,-1.57968591464367,0.160847360458336,-1.22932291505188,-0.328813998753856,-0.558856853685195,-0.350467976996161,1.70245479118263,-1.38143640908043,0.24684928994115,-0.687009168471148
"NGON_Mig_1 (GE) - TPM",-1.59887724537475,2.27357293564481,1.7145541539328,1.51178769790248,1.8913501945651,0.0269415877976424,0.946922323995647,1.60178956827182,1.93124535523783,0.150424231653731,1.44838155081845,1.52732780889801,0.666958219227362,1.55927433031966,1.7211016286766,1.9747023493155,1.9702329851073,2.29215595085243,1.31335103194985,1.96575586163054,1.35622220520747,1.13739282008259,1.70539535373325,1.63567134101431,0.894432326231101,1.84162106214393,1.49875003715145,1.97981039761269,2.37930191583588,1.89917948177645,-0.893990894150481,1.03829509058062,2.5294934812317,2.6545835813731,1.51112071707972,1.89085803866713,-0.991414689367502,1.7300381397651,0.988452833001778,1.74758641540174,2.0967485375768,0.823584499434027,2.31717361486287,2.01939780853413,0.574132304683506,1.22729950066032,1.6155951908051,2.26998061340241,1.24680755144068,0.239042132628948,1.13647186247677,2.51059182685515,1.29258031401237,1.03626182120776,1.17608403253108,-0.394931049124227,2.32534800791383,1.72985717990472,2.63716594488856,0.37424827299562,0.853007791013805,1.52478551316653,2.43814547033874,1.52965169885016,1.9671297942099,2.10835316620016,1.83016695883154,0.414150100455306,-1.35439405124709,1.04490765461244
"NGON_Mig_2 (GE) - TPM",-1.67416078029131,2.72491168341979,0.775981671900951,1.50036272430954,2.85244164344804,1.0839579141565,1.4053778747718,1.47034618314796,2.36561578671023,0.793656479339418,1.51105191076513,0.654920262039012,1.64705185893992,1.64720046876226,2.97923301801139,1.48789593431584,2.79716401685248,1.99302462644972,1.2450250875523,2.27431385971208,0.497827375742704,0.938841280760511,3.37858504034984,0.663398889808827,1.2730151943682,1.89043429028652,2.64420738267711,3.16650296432665,3.02041276379902,2.68340580826549,-1.2155450670416,1.91404707933342,4.07511801829232,0.946300389399503,0.240488074744493,1.35573020860881,-0.519977853009099,1.51307947352237,1.85164008994156,2.07363227989997,3.43607470395737,2.04913731217324,2.3239120493962,2.03186915472366,0.775577675818552,1.47937822935728,2.71020123046306,2.43866159379267,1.18891503866852,1.56870581276206,2.496507390142,2.85662146666456,2.76180796747902,1.70998113946002,1.88976602658107,0.280431175821414,3.15675903010196,0.744331432455595,1.99452909537257,1.08144743500294,0.894393991614482,1.54593533839989,2.34831072998013,1.366030248285,1.72453795676353,3.36643743507571,3.24036047948919,0.570892390044445,-1.17911080828939,1.13238603934539
"NGON_Mig_3 (GE) - TPM",-2.23474983298965,1.4345539361396,0.684036543032351,1.15238484033614,1.29070561848699,0.6933061495104,0.734196565648477,2.64048808520468,2.25536695476381,1.11784554270124,1.66116325290885,2.57883097930447,2.97590383998618,1.36636797155814,1.30605351236236,2.57822119221632,2.41543774958738,0.362102597368992,1.38055194815335,1.19509180607487,0.671280414653709,1.35532449021466,2.48979866161335,1.47151081919923,2.22620763332054,2.22858778261969,1.89352733096755,0.456293566001808,1.11999553011824,1.92362686691775,-1.37826310343169,1.83369348928784,2.09606761098392,1.95774902803896,2.73924918601679,1.08738686593959,-0.564738261129177,1.6285566128141,0.998942968768272,0.756519285193845,2.35058524932378,0.53249351416019,1.89056601578111,0.585202149132651,1.72153782486522,1.78298954459318,1.62951909601973,1.63104645082375,1.54216068303857,1.08814431033291,1.20711593438444,2.23436516713012,0.677889237942828,0.486410476445078,1.7073813974934,-0.10008949364843,-0.0645084967842833,2.01892274549462,2.30553934909031,0.895996052821835,1.02829099794062,2.54679319493523,0.728803175589202,2.69029991698853,2.29471094906455,0.11458989372774,1.46474476620969,2.48955636285078,-1.45117648292431,0.750597156965999
"NGON_Nd_1 (GE) - TPM",0.577295668873145,2.17818812745982,1.35241385345993,1.58707373552187,1.08077726661836,1.66603779674485,1.6118385212807,1.60678566872264,-0.026136362738149,2.51896001739876,0.427433971553709,1.31575545505189,0.773496185900456,1.5232301659227,1.28354873176337,1.41373617277847,-0.0247827871399913,0.54559217605338,0.336110473034748,2.26567449336706,2.53097246799566,2.04884744761775,0.887130881007142,1.02815721958361,1.19198063850924,1.30793222329232,0.759068978367956,0.715226632029872,1.3077392093391,1.8939606895329,-1.68167162489913,2.04979000755545,0.759032386223586,1.78997611625273,0.265910323481664,1.57512656150204,-1.42635430438545,2.5511051840081,3.28234136965185,2.53084820640161,1.01061606052161,1.65992381395006,1.57894361771618,1.28582604022659,1.8448455404357,2.08359993705711,0.775160992804844,2.06522453093431,0.862985310005481,2.21734187508004,1.48605733431653,0.16893647539079,1.30636045573605,2.69624818452782,-0.117768017961921,1.85770581651028,1.2586315722281,0.29298666976593,1.37454904102126,1.98578673975285,1.74643256913851,0.996081151943101,1.39635076824037,0.599594574194068,1.06458355603779,0.529897592436856,0.832784177489679,1.00835328414687,-0.816318938610217,2.66062991832938
"NGON_Nd_2 (GE) - TPM",1.55720715254041,0.407291220278445,-0.840512386203675,0.548424792462314,0.831794296977472,0.308569522502904,-0.765178194216698,-0.238983135948321,-0.313684093680272,0.775765722289211,0.704916388253518,-0.0118616872710556,0.228895185884599,0.553179490257825,0.0864621976355907,-0.75255136017158,-0.134337615699995,-0.515237674029226,-0.403986321699709,0.752365928163985,1.77133136424774,0.570779041521167,0.881503201172921,-0.201518780479813,0.163584942134169,0.0376302543446092,1.16364558862461,0.434802856776207,0.36568298093913,0.744273174636314,-0.957806117665386,0.55175010486654,0.339360317397697,-0.231385850861914,-1.08388174091224,0.400420524631753,-0.149265360553038,-0.565258049514308,0.117722175620974,0.683714476671412,0.271765313818804,0.0682933248331943,0.143961343121565,-0.0500002678690222,1.78200185640555,-0.0636630494014226,1.37472339772625,0.0410846741605138,0.41642571891759,0.787439409617705,-0.305755047766753,0.0167904451572361,0.872173840728121,1.77713216566999,-0.608182361073174,1.24131675561935,0.0222819301438377,-1.15503330918517,1.33714204468806,-0.0120071838084468,2.1933404923584,0.0897649454425962,0.353015973721172,-0.270931374483919,-0.155257676025262,0.390534970949298,0.781897108439312,0.0206635192257165,-0.405543783861045,-0.526466240916929
"NGON_Nd_3 (GE) - TPM",0.092213890139989,1.12434694186906,2.41838216901701,1.88868455519457,1.22177957004338,1.49226594609125,0.671815552258845,1.71057898879502,0.0910043884756696,0.866791717876923,1.61227210659804,1.17511043760701,1.39619705622962,1.73411618926125,1.51999474593613,0.948824107264806,0.596708108233011,0.0893522353280027,0.943701700439773,1.21744537631856,1.53170611417094,1.62183576546739,0.206406055446942,0.716497487602496,1.47213423930857,1.13359431490274,1.18264492797241,2.21989495474968,-0.117118073199115,1.18447345334552,-0.795932092022429,1.56858749811269,0.725852825573127,0.904022743693042,0.525845889187814,0.859364922570626,-1.20648532507396,0.26570679382534,1.29941984916046,1.69783916941264,1.37387455317526,2.25459129034312,0.561305919876024,1.69324804606804,2.57988130560328,1.98979159029902,0.365884740092043,1.42511235723884,2.77604994974135,1.15869374495558,2.10461183585917,0.543784298614414,0.640182970441805,2.14369628811674,1.41675125202448,1.44170254283267,0.807729512956601,2.07079390526104,-0.458932561428193,1.35820156563998,0.72540862221216,1.91764515900757,0.754744346482721,1.48064209546085,1.55705762622459,1.09917805421988,0.858436913653576,1.16933059773289,-0.825841016481011,1.64318741863934
"NGON_Ns_1 (GE) - TPM",0.455839144595191,-1.01412279534044,0.0277911761139691,-0.663690483188118,-0.604656986761754,-0.403052872902635,-0.337851100533393,-0.535486616476515,-0.253333410640348,0.0679367238381383,-0.0940760362598984,0.360711979455984,-0.904002070431065,-0.707789468449296,-0.0929575993677691,-1.15907196888102,-1.03036282473101,-0.782574255413264,-0.261559246599881,-1.16290410021672,-0.468738153318404,-0.955613143576179,-0.215018192752961,-0.485709786465183,-0.381512320560204,-0.939878293265861,-1.3370086917058,0.578831309867524,-0.678987686745006,-1.01248127500237,-0.0677097273165228,-0.798518270798589,-0.664022677762073,-0.906478247002762,-0.739494216605783,0.0473381188942631,0.0775022665917661,-0.31082287952028,-0.717849551700065,-0.417492430354443,-1.08909200900091,-0.653991363116781,0.348482180238443,-0.439240003559191,-0.956965783222834,-0.404131578160445,-0.378005172204028,-0.549395230671428,-0.965462564033942,0.073493490657387,-0.171875013877705,-0.640729346877322,-0.700557222148246,-0.167013478832939,-0.901089463017853,-0.813847388075543,0.240242750577032,-0.643270001102492,-0.116231986050976,-0.884775193089637,0.463974367287514,-0.247767649696576,0.146268128388506,-0.577572927225269,-1.25728471397475,-0.0528157534974787,-0.721729238610401,-0.794574199841761,0.384460722487266,-0.448246985075728
"NGON_Ns_2 (GE) - TPM",0.238370230960509,-0.721708533348722,0.773163147286282,-0.763143672325165,-0.484633571389156,0.0471161410866131,-0.161770559989067,-0.639773467934717,-0.550045868273238,0.0607973964739765,-1.3449252643264,-1.42833726070799,-0.390804865996915,-0.500393089295552,0.458585510131188,-0.362605537910866,-1.04296290409949,0.364681430722779,0.480144105612744,-0.0472437837769309,-0.525902346645806,-0.35541219488342,0.0456919305191357,0.425550934392089,-0.235087784625938,-0.649678232366648,-0.648761584612804,0.237354733017975,-0.886226820027799,-0.58870880257311,0.144317860550504,0.409713979568578,-0.257594590023871,-0.608147567737062,-0.0435947424855853,0.135965189411004,-0.29301735154477,-0.288005111314113,-0.188854270793655,-0.914233801910203,-0.408362987680111,0.609368979315849,-0.15466573623811,-1.39085412300907,-0.503952620193785,-0.411631762059114,-0.17306892593201,0.38456336753368,-1.19793235457275,-0.23781828035719,0.0875324032643016,-0.581919799691471,-0.614111848426824,0.713130901973109,0.0228020776161339,-0.849326471234512,0.501813281138103,-1.08644938239417,-0.648071543585337,-0.0317828260413384,-0.485182713970786,-0.0577239296874273,-0.304826358544221,0.0403193556409026,-1.1391472161216,-0.440824880071985,-0.163719004475081,-1.18484894215122,0.455885133662539,0.180495594402482
"NGON_Ns_3 (GE) - TPM",-0.803404221268986,-0.0399317452296399,1.62347912015369,0.145749179532432,0.717601273392903,0.437934225549513,0.170398718450915,0.255257912861848,-0.681857705159976,1.07148054757442,0.00759755484809039,1.05377261916609,0.376468223060783,-0.283895913125135,0.632292419173512,0.177223616813919,-0.358841817918045,1.01996610626798,2.41842330655264,-0.68323962420648,-0.629370907518918,-0.106678155474175,-0.473246717799992,0.788710632398526,0.99453942348122,-0.55672528402709,-0.509661681144669,-1.19788127238361,-0.770368429633024,0.604824653622012,0.181576256727535,0.560478818913175,-0.104703296772155,-0.36333148179086,0.261546568120534,-0.574796337879763,-1.18590330065576,-0.905667497561327,0.346878935115899,-0.224370549013391,-0.0377317958895089,0.378238869559905,0.479444858393006,-0.706430862350691,0.191202328286018,1.56415165220891,-0.0568665698428473,0.846566460472101,-0.290803458667582,1.15388428143772,1.00151947742152,-0.104476517124924,-0.53066981646746,0.115914830828592,0.198423797406184,0.473016147286052,0.75409561979559,0.625971782677133,-0.033341309191841,0.168502400060004,0.0431038624034247,0.514175299092955,-0.232723071228734,0.556246072887475,0.645767430861393,-0.555635311170797,-0.341654572538121,0.349993128743937,-0.000706047278445292,1.43307407079226
