"","SPD_RS00535","SPD_RS00540","SPD_RS01410","SPD_RS01900","SPD_RS02905","SPD_RS02910","SPD_RS03900","SPD_RS03905","SPD_RS03910","SPD_RS03915","SPD_RS03925","SPD_RS03930","SPD_RS04300","SPD_RS05410","SPD_RS08265","SPD_RS08270","SPD_RS08275","SPD_RS08285","SPD_RS08520","SPD_RS08525","SPD_RS08530","SPD_RS08535","SPD_RS08540","SPD_RS08710","SPD_RS09080","SPD_RS09465","SPD_RS09470","SPD_RS09475","SPD_RS10165","SPD_RS10735","SPD_RS10740","SPD_RS10745"
"STRPN_Li_2 (GE) - TPM",0.803551024600478,2.20500810768111,0.32037846761143,0.259957989475655,1.59086854397108,1.80310510625925,0.340126233467243,-0.213863520848276,-0.714778540721053,-0.197377367384286,0.217095751808202,0.517105101395837,1.98162257875748,0.751806966151858,0.361120398963926,2.00978374244914,1.55810555490398,1.87351854383896,2.02927299926174,1.55616817006528,0.865529343547603,1.21431189388277,1.36060432358227,1.29203454704567,0.655318028924297,0.691377520724741,1.37290426279391,1.71751695393476,1.01055785231226,-0.565848548776282,0.467149760493359,0.503387278314898
"STRPN_Li_3 (GE) - TPM",0.934144274111853,2.18125673213359,0.836906902827868,0.0104855112879067,1.47090477996708,1.90665093712669,0.519419848798997,-0.0823961519530465,-0.372528431553009,-0.204598421009102,0.388024947471258,0.330693199533123,2.20193481693945,0.40257922930093,-0.0154473623760747,1.72953719533685,1.78859937881222,1.85689364669195,2.09772184395271,1.88194200075058,0.958729719520166,1.06123327394672,1.24122120216627,1.26082004353427,0.837433444745696,0.739091519266095,1.68606491802068,2.67661834434029,1.25572556547868,-0.231739255607917,0.43707679645458,0.698226164367766
"STRPN_Mig_1 (GE) - TPM",1.39817262856429,-0.1125307430162,1.44130319357434,0.422344563249985,-0.0993760155346847,-0.296382891484269,1.33906490872482,2.08562229850886,1.9334103081544,1.81843736181185,1.59412098217328,1.08393897393266,0.29599699572103,1.22324800370365,0.525988396120886,-0.0239337536764246,-0.280372938742137,1.12887168408158,0.119421864558507,0.820189760925157,1.37489955995504,1.04454904243772,0.876126278979129,0.672867347596912,-1.85523435384255,0.965465030152647,0.717905301773731,0.261840139735661,0.880166085165961,1.71925364134794,0.60398208934399,1.76006887620621
"STRPN_Mig_2 (GE) - TPM",1.35178899782294,-0.143872251539537,2.32117016229245,1.41872731266825,-0.313476755285165,-0.423783846922141,1.4402829545087,2.76969399173287,2.3062748349743,1.73457736108188,1.90796451688854,2.05803249142957,0.781718688888294,0.845227501469142,1.18280235415792,0.419004248496481,-0.117434770378153,1.55748017517149,0.804482408768004,1.50525089348911,2.21194818593741,1.68259563281784,1.65835767268398,1.18423662878367,-1.92486818106502,0.987309545661113,0.843615930548007,0.444899875780996,0.692382508319758,2.06545793380349,0.346955905160762,1.52295666808274
"STRPN_Mig_3 (GE) - TPM",1.90484573202658,0.134230705946663,0.904002030592363,0.918182227971038,1.40973072123869,0.559774864883603,1.69181107916544,2.58245780083055,1.77832835571566,2.72016940134105,2.46744917582932,2.53983294679954,0.965217704983452,2.10161168175522,1.78141692748357,0.388328247581997,-0.15476825991489,1.54173138642713,1.90267979134002,2.68652534352731,3.38186425150131,2.78400055763911,2.360424867723,0.956672068086335,-1.86025370369151,1.84141688845218,1.51902232665285,0.805908744238033,2.26518872506972,2.75000868027386,1.48422834516992,2.09034039925341
"STRPN_Nd_1 (GE) - TPM",1.79584099588988,1.22395799051505,0.420186799875693,0.785181566074342,2.43849958951287,2.95110962506466,1.85077648902147,1.70726475027737,1.63254587742118,0.960847886085427,2.09461313054917,1.08830998177364,0.462256618911342,-1.05881683815699,1.60146334774803,0.50427612074176,1.27539059876981,0.802574615956725,0.56582280855697,-0.00440395378656054,0.185337723899056,0.431259247226839,0.30339054306451,-0.185595204907598,-1.48753259605833,0.840422411403919,1.08122111568825,0.78794541830751,0.465889672008135,2.10316728831749,2.9415008607011,1.80821207832922
"STRPN_Nd_2 (GE) - TPM",2.44749265688716,1.64851909056229,-0.061885333651572,-0.173036504012228,1.59012137873847,0.611123840420173,1.66534222913747,1.52953500246806,1.80192989996988,1.27040234451823,1.9386539146089,0.459437491181622,1.13690190347697,0.315999788455894,1.46184983665219,1.57253436366353,2.3950603723606,1.68228221576058,1.42138848693132,1.21781226630072,0.901441317932869,0.971493016573034,1.80485129495037,1.15728874164357,-1.06811888013076,1.84482206296222,1.50237883838542,1.38612364192724,0.0605144150623997,0.755561145408367,1.74911236789435,0.355492760912382
"STRPN_Nd_3 (GE) - TPM",0.359079269195741,-0.29164143328023,1.12682767700908,2.3119477938215,1.40758960307183,1.56171008557644,2.00061549410458,0.632266968071674,0.760113121770642,0.265855899586194,-0.162499037035363,-0.549098587481128,-0.177813550867258,-0.973388317009925,-0.586633982735899,-0.581835347030848,-0.483834657370451,0.154570637653095,-0.579495738010242,-0.454562051975369,-0.0681285528349644,0.370895300004793,1.1052355210343,-0.485311028877121,-1.68210812773223,-0.531102196518281,-0.252416692519697,0.449015562415206,-0.0520959793506172,-0.271032078455086,-0.0495651768407245,0.00162937577711531
"STRPN_Ns_1 (GE) - TPM",-0.189355284042222,0.0180665914904854,-0.480853431586425,-0.0825499109131324,-0.0771271185217323,-0.507793591678548,-0.203411682953831,-0.0541719251766728,0.187221995052048,0.0175305076918149,-0.0303207971900177,-0.0806932836951564,-0.0378723140042493,0.590819339167709,-0.0058848216656003,0.0586637407155011,-0.179768441884658,0.0748327735107666,-0.336604650313619,-0.337593953260317,-0.451025420774763,-0.380848219014202,-0.292723728920361,-0.475855469586773,0.430332723534045,-0.124150577147603,-0.38581878187323,-0.473510716827957,0.373508867037226,-0.00181864572686096,0.282204457038126,0.524174882592499
"STRPN_Ns_2 (GE) - TPM",-0.227974175222114,-0.0199400568566191,-0.350598709759823,-0.203655569391012,-0.0689060000549065,-0.396167139640002,-0.189081880489541,-0.019104075171447,0.483416889403522,-0.0441316811583247,-0.0405793074773289,0.313630989409561,-0.0819125068403363,-0.349166481099874,-0.00300455489274951,0.0458954191396793,-0.119233864912378,-0.0984428662242881,-0.368243713155753,-0.406967577192546,-0.298828482488955,-0.336888812450036,-0.39676647305719,-0.621497558917068,0.820160542429793,-0.071959148925315,-0.435492305032804,-0.642678478936411,0.41023839454363,-0.021178343253224,0.370556556052914,0.392208496543721
