"","VC0008","VC0062","VC0288","VC0301","VC0408","VC0859","VC0860","VC1035","VC1132","VC1133","VC1356","VC1390","VC1429","VC1700","VC1795","VC1951","VC2181","VC2297","VCA0185","VCA0244","VCA0245","VCA0286","VCA0313","VCA0338","VCA0340","VCA0349","VCA0422","VCA0504","VCA0919","VCA0964","VCA1109","VCA1111"
"Vibrio_Li_2 (GE) - TPM",0.222072115302671,1.15596680721511,-0.43954640699299,1.83860933126948,0.799596139337817,-0.538958203442715,-0.263310351720123,0.0504122371242045,0.656196244487243,0.884407230129052,0.950020546217652,0.877201281955914,1.11001810826012,0.935965622763085,0.0834671768439379,-0.633077344333056,0.519193250482825,0.0292120059057574,0.59598237960184,-0.5816093471275,-0.576100201044872,-0.0949816329561625,-0.0392858999398745,-0.444699908357971,1.13931556055819,0.627015831312727,0.136676416535453,0.371607988941858,0.398846218169018,0.602195894062464,-0.295000907524551,0.325162159647866
"Vibrio_Li_3 (GE) - TPM",-0.154053713044433,0.361075244945672,-0.361151872813796,-0.424838791578463,0.889325586812819,0.417867325471016,1.13892141359208,0.1765465942569,0.0543555346788091,0.733486188508105,-0.152250042275751,1.44760564473166,0.881641454128029,1.84701717123777,-0.562825661076949,-0.217086884596701,0.0560451799047789,-1.10872899558253,-0.0857281981941677,-0.360891364905068,-0.684485966045105,-0.877993481843751,0.0721613640632291,-0.102376652458205,0.177743772195389,1.88127557770349,-0.413162095697749,1.45720349858445,0.511461691600642,0.0242788546366168,-0.492742605377697,-0.615510725060477
"Vibrio_Mig_1 (GE) - TPM",0.278783350195159,1.49025421182938,1.84592779170194,1.16094786639614,2.04845788908043,0.427179326053684,1.21425898684135,1.98879095538094,2.0917655171783,1.67321390221172,0.202877412332001,2.00463267801432,1.14999167221446,0.861608741732138,1.44080114116598,2.49826683556577,1.25042971348282,0.538873011408466,0.560071421421405,1.19104531493369,2.30232140453988,0.543681214858007,1.60881613694179,1.49874700426518,0.341939507566881,1.27840217906753,1.4688555142641,0.97483621530302,2.35876817219681,2.09935609388536,0.958647616862665,0.622565387805733
"Vibrio_Mig_2 (GE) - TPM",-0.654909885546734,-1.17067707279324,-0.42236301046195,-0.424838791578463,0.526053274110498,-0.789056324471164,-0.78263227146208,1.43073975862682,1.64864077030028,0.694227388249674,-1.5455023832294,0.0240273527135969,-0.866029017258064,-1.669746163517,-0.562825661076949,1.72813911849203,0.656949326439263,-1.10363602948781,-0.555288174705013,1.35867258641473,0.682380464892807,-1.07237989128384,-0.795408373596754,-0.790895440305989,-1.1123430654867,0.293114183698829,0.185122076829653,-0.203036031565901,1.52558314407655,1.05000414950397,-0.749583908786263,-0.809265476745561
"Vibrio_Mig_3 (GE) - TPM",3.75657823244073,4.33845251603113,5.02413324227857,4.79839483860376,3.23709816707134,4.0181600193766,4.15035927599512,4.80152650241237,4.57102436424766,4.46161896605807,3.34946043152549,4.44073061344648,3.98822264872133,3.99990898395428,5.15674748027438,4.35702809195282,4.19123941164661,3.64291352275753,5.07779517557913,4.66048330648414,4.7263528416733,4.25057113424198,4.15395944197679,4.86528978136026,3.91724933477278,3.40262479558507,4.3179292968846,3.05862844007979,4.31044846370912,3.71949104200251,4.87695627448342,5.08590576579694
"Vibrio_Nd_1 (GE) - TPM",1.1785846072984,0.661413716344892,0.133149168087857,1.33312712040356,0.921721242494187,0.181055009566059,0.455828715863492,-0.116591052694909,0.404427825052531,0.795670750925805,1.13726784511397,0.597858004762942,0.267173246784206,-0.225579460462223,0.484557058968324,-0.0611807842563143,-0.138489538553566,0.045997799278293,-0.19842327037941,0.698670319762398,0.302283781990272,0.582598215494636,0.577854158973145,0.215115875686198,0.421197400094437,2.00019942544214,1.28579592368057,-1.01074215102193,0.108258667117317,1.12314736426474,0.0471580063920106,-0.00593978966971239
"Vibrio_Nd_2 (GE) - TPM",0.699421128704732,-0.233662131749064,0.0948637024928551,0.878131162600457,0.513450686823435,2.01460947521773,0.0833223962466833,-0.00575682411230212,-0.0465963031944669,-0.102934505595525,0.290109040070986,-0.344115232128114,0.243100072446286,-0.907115766811882,0.168859009390765,-0.197277376762868,-0.525916552248496,0.321149656784085,-0.555288174705013,0.0604100942982253,0.167641116231499,0.993156952964916,0.19231348801058,-0.163796518221527,0.148960250351474,-0.0955275631186959,0.374609547989054,-0.285648410747933,-0.111463994877199,1.36611376934338,0.9658996102623,0.497924930146589
"Vibrio_Nd_3 (GE) - TPM",0.254793462508863,0.664239910599316,0.134086487833182,0.475708728871509,1.17577133290422,-0.409179941627218,0.379726390453476,0.557858708924506,0.128810237977972,0.081461267066678,-0.0934124016779515,-0.0599854023188985,-0.403804472340457,0.759668335053526,-0.52489787845109,0.291972687028632,-0.356770818828941,-1.05522208632657,-0.175249290888031,0.329569369006968,0.47102908033398,0.625439079310767,2.66911061839397,0.314323880250998,1.30332103694543,-1.07381276537992,0.95545494944052,3.03603156463876,0.229482510991042,1.43626098501883,-0.0220221381201129,0.45106748137283
"Vibrio_Ns_1 (GE) - TPM",-0.0897492970250748,-0.478268124793245,-0.0282011003415138,-0.424838791578463,-1.3281227171055,-0.676886076085586,-0.748100755817361,-0.686010780324969,-0.86172612117938,-0.57234136677561,-1.12222502395791,-0.392484576383882,-1.44604514354803,-0.9518558203071,-0.532027446938562,-0.464740971341723,-1.24444745122992,-0.774032047854015,-0.546715948667535,-0.665287386291422,-0.314329241263784,-0.848812227055955,-0.594460695658137,-0.672113573567715,-0.902773227268962,-0.350683892492436,-0.857907089927963,-0.405413200394569,-0.566097197475181,-0.840410804358715,-0.434492414041799,-0.652451311584687
"Vibrio_Ns_2 (GE) - TPM",0.719873764537078,-0.735265123648348,-0.355441332590333,-0.424838791578463,-1.2692571762766,-0.710350080652155,-0.78263227146208,-0.695221596818788,-0.853000896467526,-0.770434022419651,-0.883616524199437,-0.517449209515668,-1.36123489735457,-0.704896185238708,-0.519605434896735,-0.676213674704037,-0.944302214094751,-0.65468830984787,-0.487921805328328,-0.679664947808728,-0.607171873435635,-0.978257761648524,-0.558141929480042,-0.646430074918118,-0.924121122148954,-0.370223372542285,-0.699980082379783,-0.456795800019578,-0.771906855842561,-0.859878918826888,-0.434531321816791,-0.735139033135045
