"","ETEC_RS27355","ETEC_RS01720","ETEC_RS01735","ETEC_RS01755","ETEC_RS02050","ETEC_RS03270","ETEC_RS05520","ETEC_RS06505","ETEC_RS06600","ETEC_RS06775","ETEC_RS09800","ETEC_RS10840","ETEC_RS10860","ETEC_RS11520","ETEC_RS12865","ETEC_RS12950","ETEC_RS13345","ETEC_RS30045","ETEC_RS14190","ETEC_RS30050","ETEC_RS14360","ETEC_RS14480","ETEC_RS14850","ETEC_RS30075","ETEC_RS15835","ETEC_RS15905","ETEC_RS17520","ETEC_RS28670","ETEC_RS18480","ETEC_RS19130","ETEC_RS20365","ETEC_RS21750","ETEC_RS23320","ETEC_RS24230","ETEC_RS24295","ETEC_RS25570","ETEC_RS26345"
"ETEC_Li_3 (GE) - TPM",-0.369545748682907,0.176781412946998,-0.614625460321675,-0.326054329753315,0.648872978943729,-0.306730063281066,-0.555009785194431,-0.338949096446522,-0.0537115028256518,-0.307056701185198,-0.47645172127262,1.03811797358873,-0.586996923387134,0.44941594067786,-0.404715307847527,-0.684899208918017,0.198838932221904,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.77892764205535,-0.0144432854099332,-0.843246147682723,-0.382922177113229,0.187302961361788,0.175817275829417,0.258316438332477,-0.175625452691111,1.97138380166934,-0.420093392383426,-0.275903524757377,0.97853699405278,-0.292959860792456,-0.348963614811096,-0.667131392768094,-0.639116217668256,-0.126256991721397
"ETEC_Mig_1 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.614625460321675,-0.326054329753315,1.21045590959336,-0.306730063281066,0.730701839340364,-0.338949096446522,-0.368856227158824,0.314616926457419,0.561007686098955,-0.581164113916749,0.344462871594321,-0.178297367064772,-0.404715307847527,0.758350631877083,0.868357836789233,-0.255915428255236,-0.24568325095994,-0.184638426888044,0.826252196469547,1.27756770245631,1.35721127599286,-0.382922177113229,0.932433435264252,0.774993528611907,-0.950587875727769,-0.175625452691111,0.740216574517817,-0.420093392383426,0.941023998574337,0.824200763764508,0.890205144340668,0.70552024705009,-0.917302271816691,1.59991066711241,-0.284003616537839
"ETEC_Mig_2 (GE) - TPM",-0.369545748682907,2.46355632838515,0.320710511372887,-0.326054329753315,-0.475501390995585,-0.306730063281066,1.2723297993753,-0.338949096446522,-0.368856227158824,-0.61386693244329,-0.808720551386228,-0.581164113916749,0.187865456781449,0.24570827658641,-0.404715307847527,-1.16043498759122,1.82474405933479,-0.255915428255236,-0.24568325095994,-0.184638426888044,1.22404684554564,1.5033058359301,1.96941298204505,-0.382922177113229,-0.545012944945783,-0.295169393511684,-0.443357025777657,-0.175625452691111,0.340608783925283,-0.420093392383426,0.433302672416671,0.638434985235151,0.625750786625667,0.877455993029672,-0.0775707155644266,1.2234845199731,-0.844186842630783
"ETEC_Mig_3 (GE) - TPM",-0.369545748682907,-0.389960708655048,1.13737609331091,-0.326054329753315,-0.55166791765408,-0.306730063281066,0.0571529117165755,-0.338949096446522,-0.368856227158824,-0.61386693244329,1.18494249423288,-0.581164113916749,-0.586996923387134,0.178287103110452,-0.404715307847527,0.334505043914536,0.680346441335387,-0.255915428255236,-0.24568325095994,-0.184638426888044,0.471679811972239,0.199514696781344,-0.627942723015786,-0.382922177113229,-0.545012944945783,-1.14353901010338,-0.950587875727769,-0.175625452691111,-0.710761821440565,-0.420093392383426,-0.103811216682407,-0.379768816701091,-0.682800396929014,-0.869375649505161,-0.917302271816691,-0.639116217668256,-0.281238953660969
"ETEC_Nd_1 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.614625460321675,-0.326054329753315,-0.719029945777857,-0.306730063281066,-0.546867875144724,-0.338949096446522,0.305757431988815,-0.531770376069951,-0.423368110612332,-0.581164113916749,-0.586996923387134,-0.817091787586279,-0.404715307847527,0.875473640865004,-1.02461495135015,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.566032605008248,-0.246014070623589,-0.157938646648785,-0.382922177113229,-0.545012944945783,0.568593231676701,0.181591068471887,-0.175625452691111,-0.139259193028891,-0.420093392383426,-0.415792209959456,-1.3039434152351,-0.265544878120732,-0.590871013455521,-0.649538481208729,-0.490635125420106,-0.246570962427533
"ETEC_Nd_2 (GE) - TPM",3.01602201652816,-0.389960708655048,-0.614625460321675,-0.326054329753315,-0.457826466335886,-0.306730063281066,-0.670787591032996,-0.338949096446522,-0.368856227158824,-0.61386693244329,-1.41299505913417,1.25728509757696,-0.586996923387134,-0.817091787586279,0.422243189464948,-1.16043498759122,-0.313697852052215,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.77892764205535,0.771715937197445,0.599061113990186,-0.382922177113229,-0.545012944945783,0.381648944623716,1.10820336256503,-0.175625452691111,1.12212209364126,-0.420093392383426,-0.576844114651156,-0.54414857357371,-0.682800396929014,-0.426238949202228,-0.917302271816691,-0.639116217668256,-0.0485335224609658
"ETEC_Nd_3 (GE) - TPM",-0.369545748682907,0.353622982789106,-0.614625460321675,4.22002608581245,1.13970198372983,-0.306730063281066,0.848254051555209,-0.338949096446522,1.28506338454203,-0.412594541061287,-0.926287931329545,-0.581164113916749,-0.586996923387134,0.013757425920483,-0.404715307847527,0.0874011488298921,0.42173758554842,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.77892764205535,1.95176362276541,0.953643512285431,-0.382922177113229,-0.545012944945783,1.40744369105739,-0.950587875727769,-0.175625452691111,-0.670591859909547,-0.420093392383426,-0.576844114651156,1.4595715215465,-0.682800396929014,-0.527977077737384,-0.917302271816691,-0.275091880016471,0.953467587763686
"ETEC_Ns_1 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.614625460321675,-0.326054329753315,-0.245326315993829,-0.306730063281066,-0.670787591032996,-0.338949096446522,-0.368856227158824,-0.460457096292505,-0.4764114806911,-0.581164113916749,0.336412308837056,-0.500455112475953,-0.404715307847527,-1.16043498759122,-0.4455710995379,2.15489089181238,-0.24568325095994,-0.184638426888044,-0.381101055743791,-1.50808590293005,-1.01046549390674,-0.382922177113229,2.38434081726062,0.0796586930458298,1.46729515222915,-0.175625452691111,-0.900331675102415,-0.420093392383426,-0.576844114651156,-0.636545728793598,-0.682800396929014,0.171480447791525,1.08412634597552,-0.361656832511837,-0.46976047283361
"ETEC_Ns_2 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.367815960315504,-0.326054329753315,-0.0920557864328838,-0.306730063281066,-0.465693444569335,0.672803894327873,-0.368856227158824,0.201379763164201,-0.593719918506498,0.853071380585257,0.0263978430302717,-0.817091787586279,-0.404715307847527,0.313740538885573,0.198860937123456,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.426574300938617,0.169412576911812,-0.198163157890009,-0.382922177113229,-0.545012944945783,-0.427574101421274,-0.816743571471956,-0.175625452691111,0.385110396291439,-0.420093392383426,-0.510206609283808,-0.00590082459776727,-0.682800396929014,0.0525062357370141,-0.695720153662527,-0.639116217668256,-0.608028683647248
"ETEC_Ns_3 (GE) - TPM",-0.369545748682907,-0.389960708655048,0.314428919520546,-0.326054329753315,0.709029957198518,-0.306730063281066,-0.670787591032996,-0.338949096446522,-0.368856227158824,-0.358133761474552,0.153632429780626,-0.581164113916749,-0.202167669342679,-0.817091787586279,-0.404715307847527,0.0286740468975271,-0.230394125571493,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.447340512380583,-0.626921575842801,-0.843056526281379,-0.382922177113229,-0.545012944945783,0.0960564297148972,-0.950587875727769,-0.175625452691111,-0.0409255859649662,-0.420093392383426,-0.326003420555075,0.62023033070115,-0.0329188323625093,-0.435600610938261,-0.083210241362954,-0.176593277849472,-0.89901170983791
