"","BPSL0169","BPSL0456","BPSL0798","BPSL0849","BPSL1763","BPSL2559","BPSL2722","BPSL3362","BPSL3427","BPSS0032","BPSS0305","BPSS0306","BPSS0308","BPSS0309","BPSS0310","BPSS0311","BPSS0321","BPSS0528","BPSS0529","BPSS0530","BPSS0532","BPSS0534","BPSS0710","BPSS0812A","BPSS0886","BPSS1163","BPSS1253","BPSS1493","BPSS1498","BPSS1512","BPSS1513","BPSS1518","BPSS1520","BPSS1521","BPSS1525","BPSS1526","BPSS1527","BPSS1528","BPSS1529","BPSS1530","BPSS1531","BPSS1532","BPSS1533","BPSS1538","BPSS1539","BPSS1541","BPSS1542","BPSS1544","BPSS1545","BPSS1546","BPSS1547","BPSS1548","BPSS1550","BPSS1551","BPSS1552","BPSS1568","BPSS1712","BPSS1830","BPSS2125","BPSS2243","BPSS2326"
"BURK_Mig_2 (GE) - TPM",0.799203686290719,1.84109337199969,1.38443021833601,1.17170016759488,1.33005885340347,1.39066072055283,-0.765376295383185,1.47934690413368,-1.34145378723532,1.53861044456704,2.53295896206261,2.89458346992537,1.58495333452666,2.27481622168588,2.20233365684434,2.0360822926404,2.02015864970859,2.54761031146578,1.44871267273715,1.46950753120219,1.58640598012992,1.45549574134275,1.51952832761978,1.49554579527876,1.69565576204311,1.95094085225892,1.77713557839129,2.75729934352528,1.92849785122521,1.70340040207854,1.67916792976179,2.64569406023418,2.43956670074647,2.07295455215096,1.45976057685387,2.93110418114962,1.87948733094171,2.04768166599718,2.05556578063565,2.33962565657221,1.78809857330902,2.27928734698141,2.03368760783199,1.84497834779351,1.361428229684,1.60373481315331,1.24707674568484,1.62244942524109,1.52140722724242,1.38005332885334,1.09282347139469,0.983901984975529,1.33197689988298,1.68108479583711,1.53158524154205,2.12415516652906,1.55068302520977,2.66351231043572,1.38590968617848,1.16493391890504,1.94243205497163
"BURK_Mig_3 (GE) - TPM",1.96583919837582,2.20131781624348,0.848040243268872,0.62503943995975,1.51920699090029,1.61452451848405,-0.787015658458662,2.48341911092691,-1.44053204650892,1.56144015276266,2.96195118300638,2.55156234660467,2.399318990168,2.47764186730872,1.89176564580054,1.66393567457679,1.55947119640686,2.21819206548055,2.51140761267044,2.25096687471123,2.53431911173411,2.29468515034139,1.76809288342543,1.39323593016851,1.35476600966697,1.68881057860886,2.78647600010998,2.15270908195121,1.0073147118369,1.57212504433765,2.88261056356817,2.29704256096373,2.27785315272798,1.72484374522968,1.53614419049575,2.50344891618909,2.66400642936051,1.96594898640879,2.20528616519115,1.74072368735948,1.93601668583488,2.22138791600155,2.10071298136692,1.42623749029454,1.85383800746964,1.50399656889111,0.922369492666743,1.24652667660247,1.26512147039084,1.24004720143104,0.978089927453651,1.02238161740869,1.10874818345306,1.76042380909271,2.19524973627279,1.73909238305604,1.64861373204805,3.29200487762843,1.9139838443528,0.432163820019199,1.17886354241294
"BURK_Nd_1 (GE) - TPM",0.669542920333768,-1.10772738085148,0.849263164414092,0.997358243822579,-0.89312690227383,0.282278410732374,-0.200281591341076,-0.429260530089736,-0.805458005931409,0.974326310102442,-0.168019976552984,-0.331248948788963,-0.453972180311462,-0.498684675474135,0.0505055540284216,-0.0392647111524417,-0.586237990280463,0.225977929631932,1.05937001279535,0.669014195888109,1.37895630537345,1.14892020095177,0.949979751626415,1.00358153622947,1.59289716974412,-0.529134083480601,0.154585270040675,0.0437330502894756,0.951719821771827,0.784051239451932,0.858812177456738,0.153343683320521,-0.2838923067569,0.43573984225276,0.0146636608455512,0.0542829895561578,-0.137309235083139,0.212862025931509,0.0835393737070857,0.200006667380518,0.276572628649953,0.0851712912727758,0.158536677261997,1.35875563490106,1.28795758740054,1.13063514127445,2.01494511715171,0.637470484117957,1.23858024281554,1.21918476430339,0.666986319842144,0.889207226744584,0.626156933274021,0.841632141495673,0.742441665418022,0.73427272798081,-0.187140645596327,0.472346684860881,0.36978444400982,-0.683025553802397,0.60101066322895
"BURK_Nd_2 (GE) - TPM",0.991799528294448,-1.00889672793989,-0.200922110027032,1.00558624122228,-0.532623126106508,0.367196985456514,0.471852975177636,-0.394995175868858,-0.843856170689971,1.06766618521929,-0.236517339016562,-0.333542026366387,-0.252974467291946,-0.188225750242421,0.506396942212278,0.302712630961809,-0.559178496647502,0.897706103526451,0.256809937929175,1.28372285936319,0.865513915275636,0.508571526684345,0.997461261673837,0.740986179753604,1.54354406219086,-0.487542632517663,0.0629241395156816,0.237013920766707,1.37080955342148,1.11834731886093,0.57473872421476,0.271410578371749,-0.287453946596704,0.280144252398876,-0.0105259317369255,0.163887763558904,0.113555255491688,0.309601336761649,0.13361380229235,0.240360071340673,0.343272387627281,0.220784049135866,0.0705166816963409,1.19377362242417,1.76979817665154,1.54652049083854,1.82142365007064,0.643760343653622,1.2389837097842,0.829943571455279,0.645982231379502,0.785006633032539,0.736848772734968,1.07930928751389,0.900261091276423,0.960541493134823,-0.0973462482554837,0.330548625705632,0.766857718186981,1.64419291096778,0.640966745753094
"BURK_Nd_3 (GE) - TPM",0.704392493899808,-0.977517060226499,0.185887299252244,0.860058227207849,-0.369482937002452,0.644920745880349,-0.0910560463065418,-0.709210603866862,-1.32763916502455,1.66274575631151,-0.18574868280641,-0.445855911353864,-0.388120288352865,-0.394569028469073,0.283060480632184,0.235447633376489,-0.573024575114257,0.612986744194511,0.611705058757731,0.755698033044146,-0.257087130115222,0.729504303784576,0.602689751693353,0.797382506282793,0.733408576830419,-0.527409161074837,0.0307510130249165,-0.0398225987487637,1.07376237652943,0.91507965227541,1.10737767242236,0.516894508096933,-0.177075239839911,0.451397336023267,0.060319540856683,0.0406971991764534,-0.176113948519747,0.128554808099335,0.168014934561693,0.189026143088282,0.323385634971598,0.183969583112655,0.101523404066811,0.900160256324753,0.808292574324142,0.780473550765008,1.29320095093623,0.335862178394962,1.04153219519789,1.05006702628206,0.552598430210163,0.659985709791277,0.181686142703844,0.0234178519569342,0.927768694221969,0.258536777236015,-0.362494195578277,0.0264030019954186,0.469656784427266,-0.107067859330388,0.282739613441031
"BURK_Ns_1 (GE) - TPM",-0.350798917143288,-0.533144115032957,0.074993145976703,-0.641710204310518,-0.512456026741943,-0.728303472622285,0.33600200426671,-0.842747902467409,-0.0883834869947826,-0.917482360282227,-0.486784359539527,-0.414910547326896,-0.39293675826686,-0.348770595615012,-0.545752539931744,-0.618212104446505,-0.614554831308091,-0.317662550724874,-0.827564845965872,-0.529234003917548,-1.11149332258187,-0.574830328007522,-0.758606019167219,-0.647979539429533,-1.35324350879555,-0.556241123223538,-0.679000823243982,-0.317999867862067,0.0956542602634147,-0.628750253083655,-1.21365923699004,-0.720938223405357,-0.670631835944567,-0.581916788762902,-0.556755141166657,-0.620839251968374,-0.810094837210494,-0.514778845200565,-0.669753438621846,-0.603320957531258,-0.655443755286396,-0.675920920079078,-0.538382738926505,-0.422664917656127,-0.423696288872362,-0.509113021161813,-0.756056963886416,-0.750376912049639,-1.03604144337981,-0.768022876161772,-0.77602031461826,-0.709091982708649,-0.46274596242271,-0.116043658964307,0.037945275817356,-0.987198309202489,-0.509666214581729,-0.706792358793502,-0.897866695753159,-0.689234227288835,-0.625247005311595
"BURK_Ns_2 (GE) - TPM",-1.11301267283908,-0.736598697857984,-0.0510862025009103,-0.574240495217536,-0.526348467347349,-0.860300400832216,-0.284552843239352,-0.632406499923484,0.0690894718614884,-0.9187978064744,-0.425316133480453,-0.383222706442595,-0.197603089546012,-0.151130599800923,-0.566966420638441,-0.561999258581735,-0.593122394633307,-0.423505307361928,-0.601558043872305,-0.497096013299269,-0.654272922570975,-0.895786731318734,-0.936483985948002,-0.599333872991445,-1.26568706325,-0.430214293860444,-0.757041375239474,-0.467556994144635,-0.689052305476058,-0.65073739777701,-1.14252851812907,-0.727074082186708,-0.629267659477819,-0.60365832756509,-0.616609396936897,-0.564517141359333,-0.624798467965509,-0.555593559587886,-0.7012486231562,-0.704417031817939,-0.711218598657222,-0.734204389130771,-0.553179011009457,-0.449204845995029,-0.346370357811357,-0.681947108438773,-0.787185760744353,-0.809130879655236,-1.0190765733625,-0.916805847697959,-0.769658124758415,-0.709855489953426,-0.613284455779349,-0.264068016486405,0.138871564587022,-0.998113802318026,-0.807167487858007,-0.390637926260625,-0.970850400557929,0.549690847069998,-0.615462554922275
"BURK_Ns_3 (GE) - TPM",-0.534426409385767,-0.131965943643466,-0.105887866669503,-0.470872712892651,-0.675896023394108,-0.844776268673093,1.38642182783,-0.949434440103589,0.0529297838536557,-0.945729549093148,-0.389778606946535,-0.408479558742384,-0.458051565079708,-0.26695932166826,-0.548004558664361,-0.546788289816627,-0.664297925939107,-0.672660399538627,-0.590503346236692,-0.459531169661442,-0.564940693869622,-0.887513330688804,-0.939900838674135,-0.649056699293231,-1.17609159505644,-0.534992079085704,-0.638397222124139,-0.192863201474477,-0.709275769063099,-0.672778563325201,-0.696962746948752,-0.725517770496546,-0.525076596522187,-0.600635002754942,-0.504659439384711,-0.454499807781366,-0.752105227663985,-0.63983204301248,-0.711898727714508,-0.682095026749049,-0.718586460628896,-0.739586078109789,-0.507870043758232,-0.588570833190893,-0.474620846530427,-0.714480023251976,-0.9052207323338,-0.83020153798849,-1.12395964561152,-0.848501619298579,-0.711050554976372,-0.709380795316234,-0.626057022386139,-0.389349988703684,-0.0527664669650635,-0.84512060953318,-0.77298511217466,-0.687270287228922,-0.96063249598559,-0.81294351867557,-0.758904192861739
"BURK_Oss_1 (GE) - TPM",-1.1269455421896,-1.2302685588432,-0.858470035300793,-1.39729768675958,-0.663182735916774,-1.09330868571829,0.431597735863689,-0.795292135816611,-0.371215025336978,-0.776433581855398,-0.657127696909057,-0.705460597891914,-0.589422167421028,-0.585444283133551,-0.655789603716755,-0.722514516819076,-0.531585249629206,-0.616063739916131,-0.323255982818044,-0.893513352983221,-0.781966415475263,-0.776604523128741,-0.998136748499534,-0.786007197380333,-1.1460132139662,-0.530910415333214,-0.62734416845671,-0.785339837710636,0.379650515946126,-0.667569639287736,-0.746988878638832,-0.62085091152865,-0.572672938881332,-0.606268783609046,-0.594641779608462,-0.574317859720242,-0.592701498947094,-0.699298251375893,-0.607315622513441,-0.591967529607132,-0.752273657239392,-0.667941969511062,-0.675155119450188,-0.91455214379072,-1.01834986455466,-0.984616639646011,-0.808114382591496,-0.971168119924749,-1.0142053778326,-0.740345250417913,-0.824378814643978,-0.716534137167046,-0.715279991077633,-1.23957281954274,-1.15071648537228,-1.20816757231255,-0.616159009669701,-0.553141589379754,-0.863259142391907,-0.323052614192075,-0.369836048728418
"BURK_Oss_2 (GE) - TPM",-0.780244841388186,-1.39774291456706,-0.522884600588369,-1.37740576476364,-0.858349277390954,-1.01350593294215,-0.610665310437964,-1.02619531487067,0.115733413753608,-0.802760226011644,-0.716612904899052,-0.689426092461509,-0.527189086194101,-0.436126891427735,-0.52059819486354,-0.71291149915433,-0.486050659631552,-0.478253002430164,-0.983302640404911,-0.693695764283074,-0.93265752540495,-0.911510270973969,-1.15854079314799,-0.739060974884884,-1.01600726569257,-0.474428310996406,-0.634048109342549,-0.715308358465059,-0.459756578099882,-0.7504169244856,-0.835394224119854,-0.65198674366951,-0.620861860493926,-0.617582978187004,-0.589634204390785,-0.611620593696596,-0.842538951297309,-0.689330597723308,-0.655857227634861,-0.718311070021132,-0.67095734052504,-0.649457326795353,-0.671184379472982,-0.871199693729834,-0.995318276166617,-1.07767707458528,-0.867583835576738,-1.03952488699437,-1.09584387494881,-0.865985937010962,-0.85126998473006,-0.731290893165376,-0.905503579393269,-1.11280419841905,-1.05067692256872,-1.0104971537235,-0.727650022857957,-0.628469174075803,-1.09538166906596,-0.724314718175084,-0.790216592353938
"BURK_Oss_3 (GE) - TPM",-1.18720824409215,-0.788869328884271,-0.862875134063646,-1.3076671500793,-0.888470514870904,-1.0669097886523,-2.34370631529997,-1.12941675382384,0.225403570864557,-0.906832585094505,-0.597384686955969,-0.654341149515905,-0.483636662649772,-0.6299900811952,-0.663415847887725,-0.73311939104254,-0.547297030109567,-0.878700844266962,-0.74620882843774,-1.2848191158964,-1.0836095214793,-0.946597580440497,-1.25588874921736,-0.755239278917744,-1.10496501673141,-0.522024860616597,-0.679633084529556,-0.410335207931722,1.16350770876178,-0.781919067454576,-0.299254805154638,-0.634872759546936,-0.722850907389304,-0.61040796190957,-0.583627975365624,-0.585422345294548,-0.766630806270524,-0.733866304264957,-0.684870760154387,-0.724373493694883,-0.653357441302065,-0.715966251708947,-0.691787468282419,-0.955913271166831,-0.989959880170677,-1.03045176797838,-0.873300967772702,-1.29445059796988,-1.05366007636579,-0.951915894192873,-0.870438318803135,-0.738334892770021,-1.06538791741602,-1.21698617975243,-1.30812376401876,-1.08203584656001,-0.483178727918939,-0.85849335141268,-1.14471586956648,-1.04681726154315,-1.11081438415833
"BURK_Oxs_1 (GE) - TPM",-0.44503414907079,0.448484127873919,-0.700631483358397,-0.673370828052361,0.0587715185534588,0.0553623647899829,-0.476821087232217,-1.12718881828615,1.68106542311311,-0.526221539416099,-0.730545863000537,-0.633378681142175,-0.639171388901458,-0.703334787733118,-0.688466623084759,-0.633997892712978,-0.694968431832392,-0.469424906570112,-0.676675987541968,-0.458753798768732,-1.1354940406893,-0.79253138300159,-0.220868608956709,-0.717160080717205,-0.206497485051216,-0.557674600495771,-0.59921841861226,-0.429835784905738,-0.493372784917528,-0.379494953874809,0.00753199230856426,-0.304409105535911,-0.17808584077932,-0.440711668224179,-0.465276337572656,-0.379930014003411,-0.498088526498707,-0.495540657744215,-0.566056513532663,-0.505853956686395,-0.643513542330436,-0.530641262932979,-0.420801689197742,-0.970347427054694,-0.785399615867373,-0.543875748309312,-0.570151663563716,-0.557422849352336,-0.317998347177251,-0.0882623429828111,-0.31028757163456,-0.439427336052741,-0.181994782021898,-0.347603379325205,-0.529999743374607,-0.668239064041701,-0.310912543805939,-0.386877649189407,-0.467493706813372,-0.699833131854089,-0.630291144091525
"BURK_Oxs_2 (GE) - TPM",-0.436411271315494,0.00762250211071272,-0.347125217665974,-0.616525586528874,0.00491151577554263,0.320691059985504,1.63847114052046,-1.02814262571801,1.25194834147624,-0.598803913972563,-0.509322681275043,-0.421674880622281,-0.683417438690055,-0.570656516239674,-0.592758465690616,-0.599826422011475,-0.667276471982661,-0.834080316631071,-0.37903804466827,-0.615262438213229,-0.3243444620719,-1.05396821517123,-0.172039692687911,-0.677456150981888,-0.0473735470453201,-0.438336540871457,-0.475038965909863,-0.606280674837604,-1.15674966096563,-0.505727762543805,-0.224833916942663,-0.407954256273318,-0.339283901770895,-0.456901443680087,-0.475014898180381,-0.563720004140716,-0.501923401630526,-0.387482525771397,-0.610887842409011,-0.37981855985855,-0.680685275730386,-0.467596692832564,-0.474201197208965,-0.825253539793864,-0.892800562672686,-0.574054769361574,-0.54927122479366,-0.250210727142606,-0.43726286514291,-0.24404338284766,-0.281565327677706,-0.476291710966187,-0.374720506586268,-0.338517593980034,-0.595985580825681,-0.255360466908405,0.0971382841410976,-0.673241300775126,-0.150285722598451,1.28650927679494,-0.253024519633617
