"","B4U56_RS00085","B4U56_RS00335","B4U56_RS00340","B4U56_RS00370","B4U56_RS00375","B4U56_RS00575","B4U56_RS00655","B4U56_RS01250","B4U56_RS01420","B4U56_RS01525","B4U56_RS01620","B4U56_RS01770","B4U56_RS01915","B4U56_RS02140","B4U56_RS02805","B4U56_RS02810","B4U56_RS03220","B4U56_RS03480","B4U56_RS03485","B4U56_RS03490","B4U56_RS03495","B4U56_RS03500","B4U56_RS03505","B4U56_RS03510","B4U56_RS04320","B4U56_RS04325","B4U56_RS04330","B4U56_RS04375","B4U56_RS04395","B4U56_RS06050","B4U56_RS06055","B4U56_RS06060","B4U56_RS06065","B4U56_RS06070","B4U56_RS08245","B4U56_RS08470","B4U56_RS08475","B4U56_RS08480","B4U56_RS08835","B4U56_RS09240","B4U56_RS11175","B4U56_RS11825"
"SEPI_Nd_3 (GE) - TPM",3.32226927457088,1.44253548245644,3.11834777057212,3.61413515136433,2.34529850427771,5.57112067837736,-0.132129617988078,2.11930380652957,2.55351671398524,2.36059631268981,2.06503647866097,0.777120194443618,2.94509399266793,0.20870840493694,2.31533762399436,1.74779239072209,0.35576763638419,2.91329749374058,2.56111766922954,3.08168056607509,3.11337160533721,2.45902196173518,3.55487554331792,3.13561934405663,2.85016147499937,2.86421411833474,1.92269615989984,2.00225206047429,2.23281771491163,2.20982695794718,1.81451898603011,2.58624701710339,2.34979527013677,2.05777225926341,-0.166666666666667,2.07510170741454,1.97668452321562,1.35153763629026,2.71514194766593,2.54301211320933,1.8697372822261,-0.240230455506878
"SEPI_Ns_1 (GE) - TPM",-0.479743301686412,-0.714527700197817,-0.715024139935717,0.211116725680904,0.62858140640325,-0.210015143277117,-0.217894169164193,0.908585876335969,-0.583415243436365,0.454789693305084,-0.205837670455588,-0.0111190324897636,-0.443489204416946,-0.950026917820481,-0.26182457995267,-0.405911476097646,-0.113487795678469,-0.777240430839208,-0.756430423948107,-0.761699651691504,-0.693669289201864,-0.698527890874915,-0.745258553192479,-0.615835600220566,-0.39713046251688,-0.447920270952453,-0.468702796943672,-0.0624492982083138,0.577500933899392,-0.586271702795168,-0.531396511861006,-0.458090628798121,-0.15778290419463,0.0142079853804645,-0.166666666666667,-0.0366709502247744,0.188842024570918,0.418218704792287,-0.369324005998753,-0.811265469744228,-0.782368132946503,0.972996687180911
"SEPI_Ns_2 (GE) - TPM",-0.612505922804253,-0.810457303104907,-0.567377934992503,0.160815267884534,0.0640387384700215,-0.210015143277117,-0.248577193683796,0.42574532589065,-0.479580406225372,0.0500682317247888,0.0649241106179772,-1.04593228377213,-0.258291726324521,-0.0413845728507039,-1.03022009225599,-1.00013905969528,-0.371497091721011,-0.801009352491639,-0.735242960999726,-0.748108833905317,-0.69333822780062,-0.695477713363017,-0.710781560817392,-0.586214007747749,-0.421662789254483,-0.482381482795946,-0.239174787979675,0.773872491661859,0.588334633104929,-0.600632459583719,-0.587193077258591,-0.466877015321082,-0.112810821037012,0.135433441901458,-0.166666666666667,-0.0573527340535075,0.145899791398037,0.312831063705987,0.0273723537003469,-0.914154059999265,-0.569386799528587,-0.240230455506878
"SEPI_Ns_3 (GE) - TPM",-0.389147333665091,-0.827213546680142,-0.689885064919893,-0.0402902174223099,0.381133641611278,-0.210015143277117,-0.298649422298799,0.0323399656328782,-0.236806673620219,0.000371582395344197,-0.154039301742925,-1.04593228377213,-0.383109379120988,-0.408034525668947,-1.11465901975359,-0.420609562335256,-0.371497091721011,-0.805937278562492,-0.812143523129583,-0.775178089947242,-0.691590890493784,-0.778150964932829,-0.735095823253641,-0.586716581446637,-0.466792905204195,-0.583576294618419,-0.290195773469884,1.1060371571258,0.774112433561567,-0.599954942504108,-0.550569571345217,-0.467979851593217,-0.234181695793197,0.161391738543492,-0.166666666666667,0.0048141989227843,0.282454295802667,0.940156136826158,-0.337124844885476,-0.925793945343312,-0.443573261541809,-0.240230455506878
"SEPI_Oss_1 (GE) - TPM",-0.529228113223323,-0.186814686757902,-0.47789883934816,-0.688958972613881,-0.597995954012762,-0.210015143277117,-0.427394345977556,-0.586186048228119,0.704947116091431,0.377480233214436,-0.958813104646802,-0.262489388496086,-0.244647994233731,-0.718758791674773,0.475691444988669,-1.05991193869128,-0.371497091721011,-0.528615118404397,-0.521985608774134,-0.491133996373864,-0.46178339246429,-0.596787039433965,-0.450934590358046,-0.370456513278986,-0.390960316120183,-0.492384545038619,-0.446212549676957,-0.387510749477182,0.240638598893551,-0.604318916237472,-0.727881999613933,-0.562210309301713,-0.82663194538686,-0.646595683566782,-0.166666666666667,-0.526205707062567,-0.463718692105734,-0.0261961426322433,-0.145660572483905,-0.30236211802689,-0.314081488150851,-0.240230455506878
"SEPI_Oss_2 (GE) - TPM",-0.680777515048323,-0.372485901211056,-0.406188099202166,-0.666728175959818,-0.752046287046835,-0.210015143277117,-0.427394345977556,-0.595083292296418,-0.529870346684659,1.85263259517305,-1.00517765961583,-0.959117028879256,-0.670313350855274,-0.824808670227342,-1.50688844969872,-1.3112700730882,-0.371497091721011,-0.57963600260439,-0.602706962109081,-0.505592583310568,-0.512820109060765,-0.496114150478562,-0.394845995397438,-0.339749028230144,-0.426417337056929,-0.444033631087711,-0.631201881108619,0.163758342698813,0.0907393737637654,-0.704888813950598,-0.653891626880901,-0.591204254583443,-0.712974745487207,-0.60899249812939,-0.166666666666667,-0.628819363545165,-0.604228695588994,-0.399105723683278,0.000164826056841093,-0.0267891852351397,-0.231761070943044,-0.240230455506878
"SEPI_Oss_3 (GE) - TPM",-0.543926149494391,-1.62820125071638,-0.481876304704873,-0.728251538802975,-1.20960562119396,-0.210015143277117,-0.427394345977556,-0.933561810445375,-0.416358113575412,2.08647271580686,-0.986885026160228,1.16409738347458,-0.115590283526165,0.475964798297795,-0.984409557169444,-1.19031995039692,-0.371497091721011,-0.690901448210159,-0.733118848032493,-0.463532869864685,-0.512558123328886,-0.179640240711944,-0.245886384563848,-0.438132466900241,-0.575930719802619,-0.42852803952659,-0.471871106229479,-1.2154233771844,-0.644825912643883,-0.683619090790534,-0.650895955490491,-0.603212480999821,-0.760204590486959,-0.678263669733585,-0.166666666666667,-0.277538394896275,-0.562710483441772,-0.709830582996089,-0.461820902963583,-1.44534473203505,-0.82904265930642,-0.240230455506878
"SEPI_Oxs_1 (GE) - TPM",-0.386574947172583,-0.330190150248627,-0.94424469711127,-0.263831458338836,-0.484767692320895,-0.210015143277117,0.246280018561912,-0.141848796036881,-0.54139973715237,-1.11794840551377,0.573340694881964,0.201907641110482,-0.279486664551111,-1.59514449446704,-1.34205342634261,-0.725324543038117,-0.371497091721011,-0.534254351183527,-0.531540195727338,-0.395961108737503,-0.400342906435261,-0.613567939713751,-0.401639086165322,-0.418041976737921,-0.766578516236912,-0.681781271791416,-0.731978187233078,0.118882267529612,-0.35751286985201,-0.999482504340933,-1.06769474826195,-0.789926332656702,-0.890286976607545,-0.621417127286798,-0.166666666666667,-0.779877376652472,-0.610061825159504,-0.409551475789846,-0.306764514069656,0.140514767223707,-0.152941391592477,-0.240230455506878
"SEPI_Oxs_2 (GE) - TPM",0.785128817303341,-1.23257277237734,-0.903223577883722,-0.0053918365042456,0.0628659792691835,-0.210015143277117,-0.427394345977556,-0.385928526164626,-0.54003032274987,-0.505442803625895,0.182445387501709,0.0906777482093403,0.00952468048662956,0.500171152716681,-0.478235232018711,0.280760480224069,-0.371497091721011,-0.466708707840686,-0.539251390143562,-0.580422470821779,-0.503204679341814,-0.778036391040787,-0.682097512250923,-0.422275842412828,-0.514139009144631,-0.652787734671384,-0.717221498779997,-0.24425861155982,-0.675157571995213,0.541713508514908,0.389284337943434,-0.560378443788458,-0.907800280468113,-0.421240718056877,-0.166666666666667,-1.01132185471477,-0.970205928253638,-0.691785122718869,-0.443431086726371,0.504729234352139,-0.417911151477525,-0.240230455506878
"SEPI_Oxs_3 (GE) - TPM",0.0907674497373169,-1.31593288449975,-0.905965219367118,-0.280472201632047,-0.485360996719189,-0.210015143277117,-0.29126982412017,-0.838500493077578,-0.30114792506222,-1.54885428152914,0.422626899237339,-0.224136080084782,-0.521685918069283,-0.497107996275792,-1.06240543577474,-0.923283522595463,-0.371497091721011,-0.415636354100345,-0.555313050162486,-0.494188949638247,-0.322775338936526,-0.57700716782574,-0.508467882303179,-0.49158296489434,-0.609843552443106,-0.663019476330058,-0.681993568767956,-0.368884484015921,-0.803475846381717,-0.357138666496908,-0.56110235010546,-0.647545331542934,-0.860227449931837,-0.492239921227849,-0.166666666666667,-0.830859562014419,-0.82807925871798,-0.73212658398682,-0.445560985743999,0.477314441176482,-0.649132726531863,-0.240230455506878
"SEPI_Sp_1 (GE) - TPM",-0.982422664126801,0.152055062319405,0.536912834920007,-0.373994680836306,-0.08511764913201,-0.210015143277117,0.238091801731386,1.42552137124547,-0.153212162282374,-0.32412691722482,1.0418330660711,0.388925149558715,-0.625038134878651,-0.43890884944357,-0.080457208776732,0.582117038912911,0.565162806136796,0.250687992185687,0.661446179390567,0.643886990875824,0.497233142496877,0.83007748161921,0.739297200563607,0.56234761448226,-0.447514468117528,-0.327829784603892,-0.140222040645277,-0.586372198327314,0.32407000247889,-0.107843788917747,-0.162592693104858,-0.0570327263982884,0.0623171336201787,-0.379608739659949,-0.166666666666667,-0.426913552907396,-0.382842648901881,-0.816429225755394,-0.783845991789724,-0.166500592108284,0.109904095530758,-0.240230455506878
"SEPI_Sp_2 (GE) - TPM",-0.54236636611505,2.42640090868806,0.480106409516851,-0.0980088500519942,-0.399104896285154,-0.210015143277117,0.486438772236578,0.999034500712178,0.335635459659963,0.224571751656064,1.08949891914978,1.96328274336082,-0.316583147816126,1.1686878545822,0.276199746196684,1.83440479696939,-0.371497091721011,1.14646349232138,0.672321787012065,0.67448676016723,0.858096325782258,0.83688358643741,1.23863881702655,0.496574412238974,0.225260408575632,0.262668982741185,0.892533073227951,-1.27074865415689,0.829073872256076,0.821757547415971,0.663177091522886,0.635446134475715,1.42343661625293,0.36613383542256,-0.166666666666667,-0.319395529634717,-0.263989207142738,-0.877370153092304,0.858474336541653,-0.216085351217202,-0.21039256243898,-0.240230455506878
