"","HPG27_RS00360","HPG27_RS00435","HPG27_RS00440","HPG27_RS00540","HPG27_RS00695","HPG27_RS00700","HPG27_RS00730","HPG27_RS00735","HPG27_RS00745","HPG27_RS00930","HPG27_RS01070","HPG27_RS01245","HPG27_RS02295","HPG27_RS02395","HPG27_RS03065","HPG27_RS03150","HPG27_RS03380","HPG27_RS03395","HPG27_RS03400","HPG27_RS03405","HPG27_RS03875","HPG27_RS04470","HPG27_RS04480","HPG27_RS05505","HPG27_RS05965","HPG27_RS05975","HPG27_RS05980","HPG27_RS05985","HPG27_RS06545","HPG27_RS06550","HPG27_RS06555","HPG27_RS06560","HPG27_RS06565","HPG27_RS06570","HPG27_RS06575","HPG27_RS06580","HPG27_RS06585","HPG27_RS06590","HPG27_RS06595","HPG27_RS06600","HPG27_RS06605","HPG27_RS06610","HPG27_RS06615","HPG27_RS06620","HPG27_RS06625","HPG27_RS06630","HPG27_RS06635","HPG27_RS06640","HPG27_RS07670","HPG27_RS07710"
"HP_G27_Mig_2 (GE) - TPM",0.0467020801193653,0.564631754200889,-0.807807144965212,-0.781796124977119,-1.62354400771228,0.740195969216823,0.539116488863396,0.67541293954071,0.0146746122833798,0.0964900501778303,-0.762517623922881,1.00689927769344,0.240630934818251,1.48852091233602,0.764856071414927,-0.611422628844583,-1.42070078013224,0.689390518553776,-0.965104164855572,-0.295851031146011,0.084784950977859,0.88726650373152,-0.185314213705341,0.585569212058179,0.687875686729536,-0.14180351428399,-1.37466916216224,-0.162901816429678,-0.797239898576691,1.23085370238662,-0.37120870146771,1.84540242838649,-0.832072734947303,0.42589691724391,-0.49244537070632,0.261796454333218,0.788043719626666,-0.588064671135503,-1.2884036946584,1.45052083726918,-0.10423524540379,1.11032157698482,-0.66812467648063,0.245077936506919,-0.513008202552906,-0.228437254622905,0.0396783326651282,-1.24046557223115,-1.10865024503804,-0.203128299608212
"HP_G27_Mig_3 (GE) - TPM",0.460559217817216,0.345759514144676,-0.984315749871646,-0.747321637373619,-0.947510500969246,1.1250690122512,0.910781770078798,0.439486791130596,0.55517668801824,-0.193202057895269,-0.763465225849838,0.577747914903842,0.959929578781579,0.528909771709699,1.03701750116309,-0.473525760622428,-1.2459998145362,0.346013137558529,-0.870381720893157,-0.0342448334350221,0.621951520432744,0.731614755205408,-0.387477746110699,0.130949494498377,0.430376351679383,-0.275601732751966,-1.2160924958927,-0.265223772575532,-0.730122320457932,0.313022294744263,-0.57050176591299,0.827894886925742,-0.781496776295317,-0.573085293119468,-0.59888060150779,-0.730627917734783,0.26360849108272,-0.991008469056437,-1.4259491152132,0.589084426793421,-0.208332028423411,0.462102801800659,-0.903726083153353,0.355246863949233,-0.559986994843874,-0.535762160156319,0.0505057309381623,-1.31384186875682,-0.767853979589388,1.31287248458113
"HP_G27_Nd_1 (GE) - TPM",-1.52924318401446,-1.7240364913455,-0.788866586787143,-2.24802915314185,-0.776332642066926,-0.849456721019738,-1.20299412146342,-1.5201462887492,-1.53043281335887,-2.3014230177963,-2.1971930272501,-1.87486492267613,-1.67308070256646,-1.85726444464936,-1.33820963395541,-2.19341979275222,-0.111833966704876,-1.93514457138637,-1.44995250927358,-1.66640145245382,-2.27961958380127,-1.55519192745738,-1.74421193401324,-2.45644636402499,-2.43164572749718,-1.81596334914477,-1.55161896525296,-2.05390225321421,-2.08387163074789,-2.07789377164746,-2.00220546614819,-1.85084254776378,-1.79430071694493,-1.83291070692983,-2.05547168894784,-1.97337792778555,-2.07206831077835,-1.78780279029142,-1.50483934954464,-2.14676413343351,-2.11392441420631,-2.09964193619897,-1.92472729081566,-2.05146848052894,-1.81844454059448,-1.73826226452204,-1.80653435986475,-1.35846805720792,1.04136229729423,-1.70283440530738
"HP_G27_Nd_2 (GE) - TPM",-1.24231771097778,-1.59648223489276,-0.80149144118549,-2.15259931200428,-1.78986545670092,-1.38420366646261,-1.46457348966278,-1.45647893641309,-1.394243243688,-2.13090885528083,-2.2967615678229,-1.78960487995568,-1.74862235172343,-2.08198575620117,-1.3467434104556,-2.1244916505519,-0.488568470361628,-1.87853918318079,-1.522392053629,-1.63927771353107,-2.00194163937519,-1.544616815131,-1.71557325113223,-2.16705981577187,-2.17539777221495,-1.63276929945104,-1.23928150863371,-1.68013784403763,-2.02978597194036,-2.12143370453861,-2.13239425606176,-1.76540133347459,-1.75040550827422,-1.83173383705505,-1.89937081315022,-1.68910772064629,-1.72024846176711,-1.55688367104007,-1.47296112632174,-1.91444508542516,-1.99287001903381,-1.91586952898317,-1.80790595410293,-1.93045320375524,-1.54096533117307,-1.67651534750829,-1.50413993530017,-1.02068812914369,1.58539553461441,-2.2310916308489
"HP_G27_Nd_3 (GE) - TPM",-1.1111092181612,-1.61513372894038,-0.884377686414827,-2.09119104373334,-0.917343249555013,-1.12546332391328,-1.14895994389915,-1.70802595116607,-0.475520612014814,-2.41229951658224,-2.07119497457965,-2.03732649125893,-1.07385743990596,-1.41580711660951,-0.967171921268637,-2.12076813448055,-1.13562255506725,-1.92299140544109,-1.5156442797408,-1.72981591665271,-1.44622747109629,-1.63513554927416,-1.67716146433247,-1.91080222964119,-2.17179013721735,-1.64503587467816,-0.970999551720655,-1.23886959052555,-2.02101102022869,-1.85447705480949,-2.00238141729033,-1.54135827328533,-1.61010186258135,-1.86987092576156,-1.69384472451993,-1.49101041238784,-1.71337308390233,-1.63397462586708,-1.4239630466442,-1.8344680398495,-1.95407798643117,-1.8962418391051,-1.66900421348023,-1.73436472095906,-1.62409528012152,-1.61030009169466,-1.26560388528676,-0.986855337922919,1.74838880609363,-1.88183613326523
"HP_G27_Ns_1 (GE) - TPM",-0.205719118937646,0.472658848650243,-0.0356243939361042,0.321321463379242,-0.164952565784656,-1.06632769377846,-0.524374045562159,-0.0541934502190313,0.0541484256627744,0.180717751962529,0.362980039980675,0.453995612939983,-0.81815970978397,-0.683839766092517,0.440357668603884,0.294646446187162,0.228938053350959,0.264979408155763,0.422261258757471,-0.3684327201021,0.0448582640972258,0.458677103049889,0.831825547447141,0.203368684869899,0.321516255318069,0.390175295451492,0.391453469767301,0.319340033855875,0.211464851841043,0.0667179367393155,0.241514087694052,0.47262828146648,0.546900306888152,0.568233535678978,0.530949927276536,0.479683357729762,0.256115732954139,0.682998714560573,0.591830192174273,0.447299069133787,0.490029038550788,0.284405358879188,0.769247002801233,0.741178459754419,0.792190475747226,0.570689007132102,0.197194211111294,-1.03643096579867,2.1966372324524,-0.769279549153528
"HP_G27_Ns_2 (GE) - TPM",0.0049844834800376,0.729256860633095,0.13152922697117,0.261669411449628,-0.173863882577553,-1.00117302235409,-0.580561725549436,0.286361162387569,0.423855072502239,0.33652817082319,0.629829827066092,0.604750624098611,-0.908201520089486,-0.0325488786026339,1.30657671723389,0.766261775716276,1.46333506150188,0.377810042450067,0.238443565824156,-0.209120959209985,0.218347297838796,1.02522109776392,1.25404737698684,0.1118591740038,0.526717149212778,0.107722433272012,0.191152615579162,0.252406658485856,0.389003585056356,-0.056842471495782,0.276650692403692,0.273085963776535,0.81718132193171,0.110509963639516,0.924797704403948,1.19281611402344,-0.140763580571128,0.489403162323125,0.688829535458199,0.385116764239839,0.726350966763288,0.548798532314479,1.11751147864429,1.07106832932153,0.736529271874095,0.874763419587429,0.122717429957018,-0.781845048235874,1.51904283782755,0.180388381198977
"HP_G27_Ns_3 (GE) - TPM",-0.245207012543289,-0.0605477688484376,-0.216695448676509,-0.403656825752482,-0.761667332332682,-1.2942626264283,-1.31439330784891,-0.376709532728097,-0.245631074106175,-0.562425729802779,0.159961744087868,0.402325815954813,-1.86263951328246,-1.0267044501014,0.25163910864599,0.0381951987170018,-0.127544864425512,-0.192414462046547,-0.306327599397977,-0.624815307008734,-0.206434546769088,-0.082224626907781,0.553163692362821,-0.731175373456279,-0.407893980686741,-0.339216950859023,0.00122950675342181,-0.485503914317727,-0.213041022648384,-0.669550128604081,-0.589191369336373,-0.439823316712331,-0.178938283015602,-0.526557135823517,-0.0804432667475608,-0.611711623768909,-0.732334587733016,-0.277071677065339,-0.731590552745682,-0.270106671285658,-0.255404682309183,-0.101611170368068,0.383799497118465,0.0575951988133186,-0.130633325574223,0.261927359961076,-0.309351432045216,-0.822977698411795,1.61800175721363,-0.815773779175767
"HP_G27_Oss_1 (GE) - TPM",-0.314303121727708,0.589699181349853,0.097818919338732,1.56280275410312,0.696756920158122,0.516461596428401,1.13848953999909,1.15280005096268,1.31869313832716,1.3996255101915,1.150081634147,0.0239570692254522,0.406778852210507,0.945647126265553,0.335027710598639,0.354218080950156,0.7596916608897,0.774500426825257,1.78172663712446,1.30690165406456,0.790102904222205,1.44199729571949,1.38902025652503,1.77456573341943,1.39727753267033,0.639407727347791,1.06079908578106,0.820816890717836,1.24863711670666,1.11144598156096,1.18208343885462,0.879996613479009,1.12238591365976,1.21449283749833,1.10874514027381,1.46566380592993,1.05958733385623,0.809616560483127,0.612268256631187,0.93330208183745,1.29270081083795,1.10616481838085,1.26263562731377,1.35155405304248,0.803182448117014,0.745952115855311,0.0379150974718066,-0.35448153786037,-0.982350428574563,1.52924634586499
"HP_G27_Oss_2 (GE) - TPM",-0.553445616194955,0.831576504850797,0.207964120776997,1.25189064108721,2.01616567979658,0.729664409354396,1.12665203062516,0.927729539487235,1.4689020408412,1.23360330820292,1.38187190380197,-0.137953703197897,0.628532679823091,1.08140513445384,0.869411459721183,0.912040010036372,1.47632317755743,0.993837745376088,2.25612508323705,1.65886008882424,0.453020075320284,1.10865687898395,1.58149247163256,0.936030018502245,1.35061379548499,1.01863562308398,0.95276245939251,0.673753755022991,2.13870452409297,1.3045434052488,1.20000357985991,1.06133560777547,0.985481867904595,1.47001297644907,1.290896809988,1.8954924669918,1.13867256274707,0.84861811563124,1.30003674176655,0.782409507438357,1.59403781851249,1.3022931280812,1.49636921346252,1.80470900693428,1.21462100996501,0.859016962460976,0.0666832445136889,-0.440402908971392,-1.05817131146174,1.71575881916161
"HP_G27_Oss_3 (GE) - TPM",0.0677957441557492,0.20259362031661,-0.340754935283076,1.10877731266595,1.32257812833787,0.925142983690238,0.547235574533134,1.59408165054495,1.69837587364664,1.12174422078685,0.683519220829172,-0.106758650049547,0.420253483390618,1.04529031972737,-0.408389611642843,-0.192968266275236,-0.232212905443149,0.35005378440307,1.16342237790533,0.588377908097208,0.0120271753145058,-0.952785009744686,0.981551649068851,0.498743770575966,0.965393033637906,0.375021724439127,0.867602699708663,1.3195052886167,0.256880017170818,0.780908331179529,0.8994196195883,0.475981265662186,1.14190505298353,0.603805594921275,0.705610416262499,0.446801237785073,1.01976918838252,0.429449602564304,0.608850041275542,0.711816747844075,0.54184501143292,0.770549001708509,0.642899641945192,0.315954883044889,0.678906445558339,0.310317635576155,-0.043623181551478,0.019564447738295,-0.834236465947665,1.57043635188101
"HP_G27_Oxs_1 (GE) - TPM",0.0742573798358326,-1.09789659150487,-1.14778512632029,-0.305497937091608,-0.854792870767935,-1.37760290905243,-1.40046355953212,-1.62735620916295,-1.62115907231443,0.444322336769416,1.22956821628184,0.49287034773913,-1.39334455981726,0.405347021676539,-1.28965117387262,0.297859320790412,-1.63810965991676,-1.18056081246497,-0.314410162308549,-0.0742856549445073,-0.495095444976834,0.0454358921711511,0.311557688010302,0.0220779558374215,-0.858444445772599,-0.384127176259865,-0.270123930377913,0.234083154569977,0.3688935677379,-0.346429219669705,-0.426117942277924,-0.922200671053524,-0.349135767783317,-0.74485940142995,-0.449000825349748,-0.875719225822026,-1.08706209277723,-0.555258223732772,-0.500119304328642,-0.855531713842142,-0.95756698845801,-1.09254550778256,-1.14209675295122,-1.15274291669686,-1.2464843031241,-1.02946590574026,-1.03834830585573,-0.665752368192774,0.789257553530922,-0.0993580449794815
"HP_G27_Oxs_2 (GE) - TPM",0.434002128513095,-1.06471649342908,-0.688413046623942,-0.102481728731096,0.206958733473071,-1.40185577675899,-1.37229033135318,-1.49456759665674,-1.43966955071496,0.367110969261066,0.95507227317937,0.428137422755275,-0.810022649609591,-0.317083119982848,-1.45803583371161,1.07362610214152,-1.66960339253981,-1.00035037258329,-0.105630426285431,-0.146065608517282,0.149376160840242,-0.705966827191971,0.489232523164813,-0.32608735915098,-0.557277250315599,0.251062177306472,0.265420916329709,0.829917137757494,0.741667979145773,-0.15352080445686,0.336132132242023,-0.515541925648759,-0.065324840895229,-0.249190777137242,-0.214783633487953,-0.405951945030112,-0.396572062638718,-0.298806929239738,-0.21976947834703,-1.07500302585367,-0.639530558676773,-1.05814384473385,-0.633525700484347,-0.897004882374825,-0.632744039975997,-0.841043672871617,-0.815516670944116,-0.287732364681569,0.873175227404379,0.311471255289771
"HP_G27_Oxs_3 (GE) - TPM",0.780798326960523,-1.18616270776373,-0.861424564825461,-0.541774518586379,-0.324902104218506,-1.04496129302016,-1.56734969285588,-1.56458835522703,-1.69804543653573,-0.0286521479104276,0.466836387758224,0.080805951998045,-1.3182869798347,-1.04766712743917,-1.67427082660367,0.0376547222434877,-1.64598230491799,-1.23742357917214,-0.491148131661554,-0.149558512282206,-0.88146973123703,-1.28748193446276,-0.0205960867217112,-0.716852240007912,-1.12375773134845,-0.343563837996725,-0.373313605439228,0.019773163693718,0.0809187574542829,-0.867822005615294,-0.605081464693029,-0.643355688640052,-0.588585291635522,-0.523367297600928,-0.590768491441688,-0.514153225059562,-0.55168971573342,-0.113611218104469,-0.222313393351991,-0.864769987002281,-0.666911318641302,-0.914287400528247,-0.72136855623876,-0.778130185648332,-0.598514894368841,-0.525918829560185,-0.382590626720337,-0.0545111826070305,0.754244022670553,-0.0786042378952714
"HP_G27_Sp_1 (GE) - TPM",-0.899623200188174,-0.636088612577103,-0.511184220396405,-0.878446749417634,-1.18361396713471,0.0531530522216702,0.470634826462132,-0.14450949842249,-0.197314093585168,-0.380684222918876,-0.787568540008879,-1.10824107250028,-0.326041412050344,0.140998665249001,0.522443193904421,-0.314437125430224,0.783787900764713,-0.14850589795118,-0.99651563673013,-0.579997185096336,-0.742073802470447,-0.123842663691356,-0.902069902844549,0.637093220808953,0.277653547493284,-1.15970370326185,-1.02423467277581,-0.593391094918494,-0.760369071887314,-0.506544776695796,-0.204634761661402,-0.708021146921166,-0.657310283680941,-0.570345547803901,-0.909969054989791,-0.580330792896724,-1.17099729085426,-1.05181445508349,-0.375040675209594,-0.806808512119793,-0.755229709006997,-0.715688608456346,-0.690696829240786,-0.931512094439111,-0.385636650849477,-1.18270629233974,-0.675874617300208,-0.468248729131909,0.484451246584979,0.355646208206109
