"","SP5448_RS00205","SP5448_RS00210","SP5448_RS00215","SP5448_RS00220","SP5448_RS00225","SP5448_RS00230","SP5448_RS00240","SP5448_RS00245","SP5448_RS00260","SP5448_RS00610","SP5448_RS00715","SP5448_RS09155","SP5448_RS00720","SP5448_RS00725","SP5448_RS00745","SP5448_RS00750","SP5448_RS00865","SP5448_RS00975","SP5448_RS01765","SP5448_RS01770","SP5448_RS01775","SP5448_RS01810","SP5448_RS02705","SP5448_RS02710","SP5448_RS02715","SP5448_RS02720","SP5448_RS03520","SP5448_RS03555","SP5448_RS03565","SP5448_RS03595","SP5448_RS03700","SP5448_RS03705","SP5448_RS03750","SP5448_RS03755","SP5448_RS04300","SP5448_RS04305","SP5448_RS04405","SP5448_RS04410","SP5448_RS04415","SP5448_RS04420","SP5448_RS04945","SP5448_RS04950","SP5448_RS04965","SP5448_RS05210","SP5448_RS05460","SP5448_RS05520","SP5448_RS05950","SP5448_RS06500","SP5448_RS06665","SP5448_RS06670","SP5448_RS06675","SP5448_RS06680","SP5448_RS06920","SP5448_RS07155","SP5448_RS07395","SP5448_RS07460","SP5448_RS09495","SP5448_RS09505","SP5448_RS08165","SP5448_RS08420","SP5448_RS08705","SP5448_RS09020","SP5448_RS09025","SP5448_RS09575"
"SPYO_Li_2 (GE) - TPM",0.0151098077924086,-0.0743034990464949,-0.0135492052922307,0.110050754885294,0.664483022347606,0.0754030509052632,-0.0362422110396272,0.300386493468018,-0.289441613344282,-0.291474532791126,0.420053081787686,-0.131278372350649,0.228903009156574,0.0857150748511871,-0.175575735960884,-0.568846139383743,0.350058472762178,-0.0121573766283815,-0.307645569104881,-0.415543489602765,-0.0656392214375593,-0.160300384938864,0.64555755878913,0.734635647230593,0.261636007104092,1.19901468697049,0.545639861950715,0.0733599141217433,0.0837626229977679,-0.537421190174532,0.652758847092711,-0.637904315955215,0.278680285309172,-0.199108113982507,-0.931309774462439,-0.759555757357158,0.189734170057407,-0.0117189187649059,-0.602235525549403,-0.0901549494785631,-0.0750076348142979,-0.169594131036299,0.449968461227839,0.26980410998315,0.232872652613263,0.579833085629258,0.360018163883478,-0.529069695067666,0.0698889967939375,-0.0761550105251099,0.356018804029412,-0.416959362322139,0.0885500752855814,2.74958879069653,1.0993324135119,-0.397902125205486,-0.44780536082532,0.106009255613363,-0.155653181344415,0.707829112713991,-0.276742012674037,-0.23759002174476,-0.261804226042504,0.40470886997565
"SPYO_Li_3 (GE) - TPM",-0.517447281270557,-0.0820527205569021,-0.112430281008055,0.131673724723821,-0.0501931473922177,-0.418156395424632,-0.0636947803062769,0.186305450800288,-0.6041850748497,-0.999058625152379,-0.158695400108945,-0.128905762322111,-0.158181852718639,-0.0120458803698672,-0.691604791672773,-0.496888345071446,-0.290782716937823,-0.305130216470451,-0.270145450936477,-0.348370303625507,-0.393035417344227,0.309383426347909,0.483914062202057,0.554745047840973,0.781009498329601,1.69061572269718,-1.23446372649288,-0.33640619325784,-0.421259637656941,-0.372985765851134,-0.867564792547179,-0.899275255898681,-0.0376809532963317,-0.383404256978514,-1.32072621832767,-1.26215665642955,-1.26915578000211,-0.501141427274353,-1.13058351286087,-0.38086722372155,-0.923060022856632,0.084373317646124,-0.314902871885823,-0.162665279111524,-0.0619279672267512,0.334263025587888,-0.0142031557307025,-0.541138406886749,0.216572857226197,0.077276826474088,0.868187425216963,0.428424803724051,0.811455382637345,1.52270812612961,1.53084232531598,0.265025688059692,0.334727654180714,1.96237238939644,-0.418825876976151,0.323643629401133,-0.168638929760374,-0.623746605808748,-0.378416595736593,0.235371844338147
"SPYO_Mig_1 (GE) - TPM",-1.56330963588448,-1.40155293544587,-1.04946831286767,-1.40147730403451,-1.53424468921353,-1.07154533719751,-0.669443498654733,-1.24442198663538,-1.22080577069736,-1.23367647345945,-0.820905968630703,-1.39405539295207,-1.13460320000062,-1.36172367564743,-0.6445247528611,-1.02780012998191,-0.525932812250402,-1.19313480537825,-0.0683922474901063,-0.00331060691379577,-0.88068504016248,-1.37598017511195,-1.21872069251307,-0.455385728925062,-1.05985559004873,-1.42843671656611,-0.793897160879005,-0.587745556312022,0.915051140602343,0.243395308092528,-1.78937573177741,-1.33268024783328,-1.41512307147119,-1.14464084821147,-0.87160350057784,0.977365297675436,-1.31749502430471,-0.652721137886318,-0.823382470636092,-1.075917409057,0.258164902102235,-1.49022861415128,-1.14450565463499,0.6694535045035,-1.44459050749159,-1.16648095249985,-0.787397309501357,-0.970367765280598,-0.978896283747602,-1.29656287299892,-0.679578149954953,0.143103110788685,-1.60200967033877,-0.623719676484901,-1.46025219201389,-0.38662322739043,-1.25811906130443,-0.882081874770981,-0.948484908084788,-0.289303955715452,-1.46072610343121,-1.75142815902299,-1.62673736678469,-0.746922807838162
"SPYO_Mig_2 (GE) - TPM",-1.75635779689695,-1.42641214902501,-1.38550145031105,-1.53036883971319,-1.39137798647411,-1.30302401691577,-1.0086754270648,-1.18065516496134,-1.58625662495208,-1.2596119619774,-0.97909396335467,-1.29032384604494,-1.1619089866304,-1.06642676057713,-0.795070148943162,-1.20637667505047,-0.666837236180822,-1.48332082796291,0.298373134915065,0.046794357682088,-0.65107176704217,-1.53776973407457,-1.2806088776484,-1.10550969672808,-1.69285078765775,-1.19073421716059,-1.30608300065788,-0.722876124147448,-1.66872540166152,0.41400013841758,-1.10737115918873,-0.616121400743139,-1.55054017291643,-1.4160582107193,-0.80863998086625,-1.13292917685265,-1.81643702497999,-0.649288437237937,-1.22791756707408,-1.81686472365691,-1.32784191672868,-1.20495285198922,-1.34646936441939,0.471861338512709,-1.5878083865998,-1.43811422260066,-1.16465463578244,-1.35843018593601,-0.99189401054687,-0.673305402545512,-1.16855418439657,-0.391661250122657,-1.45680193138071,-0.716907855634696,-1.39510451001432,-1.90124638727003,-1.06781565666843,-0.642762343240221,-1.24359660886207,-0.266203455288965,-1.16587141093999,-1.87580798224625,-1.53526351313184,-0.0031102989037003
"SPYO_Mig_3 (GE) - TPM",-1.6236166094879,-1.85747438938039,-1.36746830562348,-1.40409453838397,-1.81741869186806,-0.908420314627172,-0.357979028480835,-0.64574548414687,-1.52595997244341,-0.44490346124272,-1.08501416552144,0.128190375221879,-1.0144088875874,-1.11963948116927,-1.25895957233693,-1.158824312242,-0.805623238022595,-1.86400994471921,-0.0317311963134687,0.0773159542248414,-0.595412615172473,-1.78129651030692,-1.29411246283761,-1.74120160046832,-1.40645727600576,-1.65076688911241,-0.318098479619235,-1.13660069277449,-0.947892095126015,-0.794580257485685,-1.27546777840633,-0.888148910036769,-1.35555170578174,-1.58299352177044,-0.223940403991028,-0.0677027908886295,-0.536102512142427,-1.77696085052956,-1.85368438328724,-1.30214975953286,-0.275269151227072,-1.76861197654966,-0.988492784061034,0.300950482357896,-1.51336565246924,-1.46022263647651,-0.957055534232053,-2.01463149307213,-0.66984442055961,-1.40778675478203,-1.04207725029417,-1.50734931934785,-1.57131423033576,-0.0409695155782639,-1.72431192182262,-1.75953558595708,-1.22107387403692,-0.882081874770981,-1.49766933984108,-0.159512273008157,-0.97860622504366,-1.26273324796336,-1.75739492279669,-0.746922807838162
"SPYO_Nd_1 (GE) - TPM",0.955686518851336,0.788617062392562,0.594923036321158,0.66456487093969,0.540931190255803,0.286532180172143,1.79217554401871,1.09934797307867,0.654756257462789,-0.317703709970089,0.10725886873502,1.53886904368268,0.19444921721132,0.00331838818646156,1.09727013250936,0.887046802060867,0.938333126055302,1.39635151121275,0.139777739629436,-0.223137132998868,-0.0567940984006,0.332336312934088,1.05927772399114,0.633319348519138,0.417385866262365,-0.137247240302306,-0.852465004494955,-0.08035395074527,0.250296616222524,0.195875977347634,1.92701265418276,0.477046743340655,1.166514493287,1.12790506259318,0.546164961633451,0.461109950083676,-0.731550285520702,0.396594362391789,0.991113488294935,0.912496160853224,0.786752860276072,0.176180784472257,-0.0359477669923041,0.480209184638319,0.0269961295083156,-0.194375880526738,0.794206769625612,0.411207720288033,0.230098258052209,0.498084668318019,0.364064646914422,0.793266546345322,0.0819420152846837,-0.408210189250402,-0.106301584477198,1.32233015168597,1.59636409178041,-0.882081874770981,0.400637373099846,0.373713137617813,-0.101331684427374,-0.0675257461160839,0.348945565993127,-0.746922807838162
"SPYO_Nd_2 (GE) - TPM",0.708926858492982,0.483417420709079,0.762102120002552,0.493478579663621,-0.0371199144193041,0.371044953792055,0.695129531799495,0.642557144866535,0.804938234864273,0.0356067582669604,-0.0496838764217438,-0.923952466540294,-0.152238963021049,-0.0915261566664094,-0.266086279146443,-0.609526576264422,0.312902671855803,1.36912665844853,0.0729326098741142,-0.278474869884252,-0.141075993977517,0.371275325470427,0.627103064660683,0.0797370400999524,0.0323887346126775,-0.521789001940796,-0.123086539390649,0.510057485990312,-0.793508291872645,0.386194156627711,0.486851233733472,0.684967313284794,0.783651719820869,1.25874171778844,0.232949524184766,-0.501370966678574,1.70828802026979,-0.808598125831481,-0.0807689049947862,0.225694509590162,0.90361259264636,0.94060948611393,0.424524666194929,-0.934779068793367,0.108566100385605,-0.157794876022202,0.823679617057996,0.618209199260357,0.149328907495003,0.99623052251089,0.168932780897998,0.790132302787256,0.162694720458997,-0.380898000798695,-0.0658575143772225,1.25345432837804,-0.234219090542979,-0.0784820001272073,-0.559148638199014,0.148840763397798,1.03901538648488,0.364440000803269,-0.103056847875492,-0.122519488930507
"SPYO_Nd_3 (GE) - TPM",0.713254189345926,0.877309876989863,0.378708284664409,0.405210277612058,0.812934401328894,0.438541080468132,1.43850670165406,0.928420783204802,0.384538544978238,-0.861943624525211,-0.340246577177846,-0.121954383430048,0.0230833718666133,-0.134537884950648,1.18344575387298,0.667658086520008,-0.50832835011006,0.327432784594859,0.0883570280707179,-0.155691748084579,0.635890505466371,0.313248363926193,0.659996224667625,0.297612203137837,-0.337972920123521,-0.134898089230833,1.07362163003871,-0.359993054607028,0.948448467885037,0.99681868066796,-1.23869018520957,0.249013220816423,0.757306053289157,0.46905446110364,0.151909280121292,0.420584922701557,0.024608179593988,0.0759346530637468,0.620478483066803,0.800364669954719,0.0788202237417798,-0.317966090312243,-0.0977761021855941,0.0456399931057802,-0.0142775297281322,0.152574948667555,0.559104211396844,0.515632876945531,0.254619768789983,0.0342313493782003,0.34713743372974,0.439973321069979,0.15645835041302,-0.479407120983257,0.0534343893174376,0.435965933489902,0.709150805801731,0.711558325177686,2.00653137304482,0.123323150292694,1.11371764065183,0.199506008739046,0.626024833645662,-0.12778742608153
"SPYO_Ns_1 (GE) - TPM",-0.347112538808316,0.0277279260546026,-0.264478174594907,-0.70787962617176,-0.373470526396048,0.0614984729504317,-0.0932491239376924,0.73119325900621,0.218644486756787,0.318261994018139,-0.495205680187402,0.482869991025086,0.0024693981856247,-0.33985485001447,-1.06244230345201,-0.04253625875798,-0.245556880605136,-0.0258283407489346,-0.227974450831481,-0.327511611623852,-0.185318328012083,0.0304354006970698,-0.319521486793303,-0.314076486244709,0.674988444796423,0.477328742087114,-0.865037111766977,-0.38161722236498,-0.697938072636047,-0.120419444346209,1.76599816545322,-1.17931434830593,-0.0209833758954689,-0.00831660922333155,0.388190016341293,0.34281200730957,0.042425117492823,-0.287649600075932,-1.15569222491739,-0.72152993061726,0.00697338674974925,0.0869629830768902,0.385140295624366,-0.822235723799844,0.302821463424943,0.396662878261811,2.59128463062214,-0.354902062954407,-0.177834952987667,-0.30355606161024,-0.110393811313262,0.334410190697204,0.538130212611952,-0.270187595941751,0.32752701312342,-1.11471195117294,-0.341749328617028,-0.407519140648047,-0.0215661911375695,0.464250670968653,-0.52104102610129,-0.379992175922312,-0.22784275971155,-0.746922807838162
"SPYO_Ns_2 (GE) - TPM",-0.111657284757448,-0.481895153155446,-0.551338008876562,-0.32502381808527,-0.226347669335574,-0.44480319369659,-0.263525819313656,-0.314124846957324,-0.276596174514382,0.581112512657439,0.0938687020455117,-0.236909635556022,0.234256089789305,0.470826936852339,0.055147952466617,0.189699574639614,-0.349369223793941,-0.571405042507639,-0.457449172525894,-0.192802092149603,-0.337192932970102,-0.545696258533708,-0.305913172841301,0.0430124571796896,-0.423157994190751,-0.343798127833137,0.582556157838867,0.548497625050149,0.950273399499182,-0.673198143694543,0.402552544404467,-0.101311551110465,-0.429490501769332,-0.426981415923834,-0.157192791409582,-0.160745153998766,-0.0695209652332899,0.147007150913141,-0.0882475634045035,-0.604709909561409,-0.61701324252098,0.0675773772154406,0.0581261748893292,-0.546607435192753,0.285781249105656,0.593432744656747,-0.413312353309855,0.0152724065986034,-0.142941317245744,-0.600149652133452,-0.267867614562317,-0.804341168770929,-0.272351708225971,-0.212350939855755,-0.278996382719312,-0.780876527803423,-0.88708777482684,0.577760808370185,-0.384045744710348,-0.399060354804255,0.296669838014186,0.032196051262014,0.251399142439195,0.160524438186562
"SPYO_Ns_3 (GE) - TPM",-0.718807685482465,-0.7456589656496,-0.941763622310441,-0.551675566562134,-0.50288605144252,-0.290012998327355,-0.717348073417442,-0.408633355661026,-0.171342280512197,1.34668142326075,0.277341251773544,0.22067905670729,0.142062322529786,0.193190181362544,-0.434080992771376,-0.370027855954751,-0.759021288396357,0.526559999651428,-0.360614031032446,-0.403116158972818,0.156035434014047,-0.498898180162013,-0.0454986997210996,0.348782099339721,0.0953395865502633,0.0136625028738547,-0.494379209794217,0.0600357001072754,-0.24668430970636,-0.0794202430970123,-0.905421575336862,0.729965958397109,-0.291367103883458,-0.773283813380141,-1.28579173037262,-0.169087289969099,0.989908813435542,-0.0920001770312796,1.22721836902593,-0.269907377212429,-1.17697150501886,-0.217259448378241,-0.0338060507865369,0.34977777333731,0.313103432178124,0.70694100726473,-0.339815397729755,-0.205050261516727,-0.548367737602963,-0.159524833469878,-0.475366561090064,-0.153341748551041,0.161088195097424,-0.49702407085497,-0.321492443641929,-0.992090477916332,0.521589385126232,0.5965273201514,-0.574411411343081,-0.161271349038205,0.387694162551393,0.298624730307673,-0.414326042707055,-0.746922807838162
"SPYO_Oss_1 (GE) - TPM",0.160326365708053,0.117130364277555,0.0696823796992821,0.147451670394996,0.030961321432128,-0.019623123623963,-0.318445777047758,-0.343402971988029,0.234525330668002,1.03337676612002,-0.0167003447106456,0.562579882647614,0.0245256991872777,-0.290966052173662,1.44944382011439,0.764637254248425,-0.210073494713426,-0.0273402874568549,-0.843971360403927,-0.611811907174842,-0.126412468615345,1.10394391870755,0.336568252376146,-0.0210269786888462,0.390852926531226,0.093955285879568,1.1052849941729,0.092221013222895,-0.29597184399111,-0.78848405668732,0.466240635398029,0.687586081788737,0.342662164964436,-0.0933309428439391,0.607765740786053,-0.213662560051592,0.186891750216766,1.16065545719974,1.19096624658687,0.902783931715961,1.3427315637724,0.872151892644343,0.041282723370514,0.435988401600303,0.0421499563360578,0.181016271276498,-0.601013893220939,-0.0626958255851144,-0.143358923087772,0.0124693610306141,-0.661126861765865,-0.0903306573041682,0.0138506227555558,-0.394976534821625,-0.632524691387189,-0.243946076764521,1.66359477950512,-0.882081874770981,-0.38716561234342,-0.85530511466342,0.0962094647164815,0.285931993055079,0.301457465145027,0.422854512845721
