"","SAR_RS00675","SAR_RS00680","SAR_RS00685","SAR_RS00690","SAR_RS00735","SAR_RS01145","SAR_RS01150","SAR_RS01170","SAR_RS04205","SAR_RS04220","SAR_RS04225","SAR_RS04230","SAR_RS04235","SAR_RS04240","SAR_RS04245","SAR_RS04705","SAR_RS06900","SAR_RS07285","SAR_RS07355","SAR_RS09090","SAR_RS09095","SAR_RS09765","SAR_RS11235","SAR_RS12005","SAR_RS12010","SAR_RS13360","SAR_RS13655"
"MRSA_Li_2 (GE) - TPM",0.716527774721646,0.680131628171433,0.228730316186525,0.0827700407020834,-0.394281564367515,0.925339911307771,1.35165308267883,0.786580271222281,0.583136594118107,0.653167810968291,0.487654184755227,-0.0463933854013275,-0.302471774011532,-0.174633241654644,0.105577756916827,0.607459693662034,0.112506390826634,-0.60623251532363,-1.14208355390089,0.20174313564398,0.223615453294621,-0.501327186550659,-0.667444458899791,-0.684359151906164,-0.641038616508252,1.48315376560009,1.32666856078883
"MRSA_Li_3 (GE) - TPM",1.0266159605806,0.536558540981819,0.30467704899956,0.170041404148934,-0.3684708951389,0.177373270439525,0.29804024233279,0.548832561684267,0.756846378897766,0.947633386039734,0.191950169995138,0.0398191836739428,-0.016451445596799,-0.0666993944163685,-0.232573684048603,0.527460315234158,0.250604993601327,-0.606414812390133,-1.08717970727204,0.175165243270313,0.2233445006654,-0.83080354808396,-1.18649954541674,-0.604487254736247,-0.617041146089942,1.28581002261246,0.419938122679593
"MRSA_Mig_1 (GE) - TPM",-0.758109253561922,-0.63605631612184,-0.55663214148007,-0.346545010575855,-0.108593491824877,-1.22697666046938,-0.587489580715625,-0.825078908513542,-0.0952982813325888,-1.42360894232452,-1.31297379911142,-1.17572375223975,-1.10916587511254,-1.07704603590696,-1.35310777229273,-1.42155703003612,-0.748483562578201,1.76073371830692,0.932324178564275,-0.934508664025203,-0.904598562848813,2.41343428076152,1.63245608349241,-0.454828185732883,-0.599747566366707,-1.11783919516935,-1.25556747043456
"MRSA_Mig_2 (GE) - TPM",-0.753289442165766,-0.642763177012177,-0.558355210122177,-0.36594804316919,-0.157564518104385,-1.45507491330847,-0.504176023404876,-0.830266170461476,-0.532308358089261,-1.45064746927192,-1.33362280353171,-1.19986056003989,-1.13366940919152,-1.10376742525572,-1.42643566250155,-1.66410018384854,-0.890027225835818,2.11934955815342,1.92109430371049,-0.897385860240888,-1.08401079192895,0.573952961815114,2.1803122730982,-0.606580014592037,-0.638004428275198,-1.26972470769145,-1.37619172031749
"MRSA_Mig_3 (GE) - TPM",-0.756356584566477,-0.63678190180143,-0.725016454362192,-0.361251215302381,-0.164558973177319,-1.31473245245663,-0.349469276002271,-0.822766908333159,-0.476717956031105,-1.45126803383035,-1.33550176928614,-1.20412471136264,-1.16198863659882,-1.11302579130415,-1.39833143471114,-1.71661925803233,-0.911269004184133,1.491880713791,0.944412867674275,-1.03967324316595,-1.17855052540479,0.895645954655683,1.99002869052787,-0.550408048636052,-0.338938771198677,-1.53088252277365,-1.35282900757963
"MRSA_Nd_1 (GE) - TPM",-0.820673405272598,-0.735837378169576,-0.207922227621506,0.130054116449488,-0.471780444141629,-1.55432294893639,-1.21770096701935,-1.03083057938255,-0.0959472850736507,-1.32433180130828,-0.925790666469872,-0.818330751302359,-0.808125821887787,-0.786151399333583,0.980532200162978,-1.2020863905161,0.440092044120095,1.18035734803611,1.10647046979382,1.11112353354369,0.681915273050742,1.39172141726736,0.262543372218757,-0.75081069256572,-0.660986683861112,0.0268202793375246,-1.30150655663964
"MRSA_Nd_2 (GE) - TPM",-0.822094409884026,-0.737176442338691,-0.213393050060142,0.236966196245589,-0.468507126540954,-1.55422299158649,-1.15773574880169,-1.0309326996653,-0.158597069137023,-1.35476135172026,-1.00715785539308,-0.801807399019622,-0.813214427747593,-0.765018370820917,0.808891926230795,-1.32261591453258,0.204840321557159,1.28902343302833,0.875909106244286,0.877620061083843,0.709416465241939,0.979133102213732,0.906891022632802,-0.744419577657779,-0.669343324906056,0.898644300212678,-1.05775554283235
"MRSA_Nd_3 (GE) - TPM",-0.698371750820496,-0.616492651592696,-0.0924917142735131,0.148869100077108,-0.29965999309124,-1.34262114509741,-1.15432740134793,-0.953576959509473,-0.309090848831999,-1.2003816878654,-0.951199859214739,-0.737488804006145,-0.689071519921066,-0.697157316457065,0.688585346861672,-1.29716689183962,0.243093029762829,1.25786671263673,1.27212971240313,0.689973273246992,1.09224096924524,2.33805286239893,1.21124509176256,-0.436342484834278,-0.517446698215701,0.25808503446278,-0.941264857980641
"MRSA_Ns_1 (GE) - TPM",0.347884819294078,0.306838431207744,0.558302273512853,0.32565816716005,-0.237280406929497,2.04133143424449,2.72030013627721,1.83251891283459,0.316494604156468,0.661775165821463,1.80574824479817,0.90247778338758,0.76784721431153,0.658143036193031,0.660491771245441,2.18419569274232,1.2475417171663,-1.25957453875188,-1.51313748987028,0.552166341283793,0.591875217080192,-0.707867380759912,-1.22226081942432,2.49631949706809,2.55408403319008,1.12992500714358,1.86506566584626
"MRSA_Ns_2 (GE) - TPM",0.789760852599989,0.559258232993672,0.558255017853212,0.418829311613768,-0.289291315899884,2.01610959500247,2.7747876049759,2.01488724883595,0.357207611977253,0.656933115252516,1.43163001503199,0.809539845602444,0.687245475315485,0.658016613732397,0.301834612166087,1.27396908811961,1.00935736942202,-1.30790812887332,-1.11098193536217,0.0941145251666048,0.0413575907197204,-1.20523812857124,-1.46803424935087,1.8168383648353,1.99913338936061,0.108120192532343,0.672241941711124
"MRSA_Ns_3 (GE) - TPM",0.618671567966391,0.544199567900723,0.323930652516249,0.280208478070692,-0.306888411436882,1.6506834752482,2.0119463216644,1.8965854756524,-0.0665672133402308,0.568152085278039,1.50086498300779,0.689085320703001,0.478128536263037,0.493230815072102,0.363930746651534,1.4479603709438,0.937959216359023,-1.39646073856807,-1.53179217446173,-0.0256935679581451,-0.287549744492556,-0.603384428297071,-1.25960226691837,1.25979269873053,1.57844392679927,0.290403157879866,0.975700590453464
"MRSA_Oss_1 (GE) - TPM",-0.446670868609137,-0.405944435677186,-0.477426892734994,-0.488150013816765,-0.399398484983222,0.149470833446893,0.123925382443033,0.746907175418087,0.539489001655873,0.947676105117023,0.722366701826442,0.413630706907802,0.338861129137925,0.137193777796353,-0.0411083927499657,1.02860957069384,0.405125485564059,-0.850861546516249,0.481799477746084,0.156240155825122,0.346638641698558,0.196799940629991,-0.902839239712302,0.427511682221716,0.788462303973734,-0.518356732611872,-0.305643540529035
"MRSA_Oss_2 (GE) - TPM",-0.38728752932585,-0.446155865335242,-0.430819108524982,-0.415427494775308,-0.398156975629523,0.472589325967214,0.226809527997649,1.05539661224592,0.586960821908583,0.602166499811628,0.557588878378032,0.194732624166198,0.171673564924223,-0.0146226851974964,-0.133876733070646,1.0161698024233,-0.223667523175724,-0.593251177629626,-0.716218688412044,-0.307762260349775,0.162018779861761,-2.00391491169968,-0.0925642070862547,0.544827730184949,0.993850457814799,-0.401644580101107,0.0195682637851768
"MRSA_Oss_3 (GE) - TPM",-0.424932713033685,-0.462251186610091,-0.556046704064431,-0.550463410649922,-0.422808513559817,0.292886689628807,0.295264336003283,0.631208714902755,0.0618590164052198,0.882177077647168,0.457631321492914,0.0682073986861073,0.231179510389173,0.0291022056910589,-0.166316771216936,0.988526509919294,0.110372265099136,-0.892011715418338,0.323458961525152,0.112469152444957,0.283169004558207,-1.46232439157603,-0.450836437790626,0.131099282394762,0.619320176849161,-0.888227308053073,0.395242401437993
"MRSA_Oxs_1 (GE) - TPM",-0.730438672604367,-0.718029797495033,-0.755172346592328,-0.731071942757159,-0.479282120692367,0.275317912661629,0.128868436776389,-1.04140527985574,-0.882336328892456,-0.581849017661201,-0.421146255615987,-0.471161700367481,-0.568250418672156,-0.427975488716664,-0.485703974600162,-0.172030568110278,-0.415727452724229,-1.20228060184322,-0.286517528182637,-0.719108328776637,-0.930755554554982,-1.03028907055956,-0.86885011293937,-0.584495303300026,-0.702971394870285,-0.904107334965776,1.58734388831022
"MRSA_Oxs_2 (GE) - TPM",-0.710669899083145,-0.706461287017225,-0.732293239515533,-0.770562400558427,-0.479001446399821,0.247868879315544,0.102316098279406,-1.04077654638297,-0.98642911038045,-0.59443462866585,-0.446639535750828,-0.360484023274928,-0.548397550671943,-0.366912698630946,-0.464051756800309,0.0359886868990106,-0.269415081264448,-1.02321339757458,0.000589502991184093,-0.662735270920666,-0.819534154155252,-0.170507832292242,-0.631071960742716,-0.582579580190208,-0.676313378789739,-1.30172175945869,0.959464577360367
"MRSA_Oxs_3 (GE) - TPM",-0.73879496887073,-0.732888861916531,-0.760379506452187,-0.708835462927469,-0.47924665245079,0.476367550155491,-0.473743795789505,-1.04531930244385,-0.789731502431548,-0.261130915788552,-0.222126093827691,-0.283207346522797,-0.450594290535679,-0.323342754400371,-0.401141298781331,0.379990656508679,-0.468369409812262,-1.26386121757013,0.279377371439473,-0.725416732791156,-0.80101296504466,-0.843618513934352,-0.490767263030768,-0.642216740672455,-0.686692370426566,-1.12283606290013,0.994391385790171
"MRSA_Sp_1 (GE) - TPM",-0.824877661024919,-0.742026554058458,-0.97094843321426,-0.897750673879699,-0.341470261295003,-1.39432525550286,-0.734142637422545,-0.564732107664582,-1.62418738209285,-1.30748936952473,-1.21102000499194,-1.06482161274122,-0.998749692821799,-1.02117185123922,-1.09081089277853,-1.19975110320114,-1.06999000250866,0.906153017477995,1.0357919556324,-1.06732662799287,-1.57000423088382,1.95681121985574,0.676435529495777,-0.707609455506741,-0.802666012128848,-0.967129167880626,-0.891447036525533
"MRSA_Sp_2 (GE) - TPM",-0.817987409597912,-0.735267445821176,-0.942782626824214,-0.885115879203829,-0.285159016274419,-1.3432337549182,-0.571542489870672,-0.491027232352623,-1.61068334209188,-1.32607598178965,-1.23894012996398,-1.06707473031745,-1.03887834949357,-1.03012264834403,-1.11336376789159,-1.2375672928562,-1.14189532188801,0.883403924413499,0.254118392751404,-1.09053230699543,-1.5758711402404,-0.0571181403260655,0.212078422715692,-0.63931314959664,-0.765463337436149,-1.30521903181483,-1.06883356866713
"MRSA_Sp_3 (GE) - TPM",-0.817334048038602,-0.729493814000877,-0.955814368829028,-0.87040878024437,-0.166579495511543,-1.29985507757563,-0.418264320734164,-0.322629153843631,-1.38424429382346,-1.33692641468752,-1.25148654380013,-1.07815821840354,-1.06638762008597,-1.040926506921,-0.904346748199981,-0.934021942256749,-0.899776705612648,1.59431544186539,0.559047429856839,-1.08250826552857,-1.62583568201022,0.841486689000341,1.09601460798266,-0.710842124727354,-0.704969270583497,-0.111164381814342,-0.895690691026025
"MRSA_Tm_1 (GE) - TPM",2.2169398225208,2.4600659170578,2.70097594953629,2.53926618642186,0.523956459547818,0.459231524533965,-0.160682707237027,0.306129730985607,0.865467672181427,1.22592937326139,0.89456916542573,1.44390012349265,1.89884165652579,2.05952330468538,1.56883330039588,0.35447896125125,2.02952805293876,0.171128483676767,-0.928466756261637,0.498112894954524,0.427265938554354,-0.182096988679359,-0.500664831456919,-0.53165836644176,-0.671565244012568,0.295623138557448,1.60314719034545
"MRSA_Tm_2 (GE) - TPM",2.27026021782393,2.54040465754726,2.68625253285548,2.91108760658609,0.58691556121531,0.601122128419312,-0.0865277004162853,0.37076102903219,1.16350285373596,1.58283192552599,0.94962809794693,1.61720455738539,1.8170506812662,1.87085628185617,1.52739640174311,0.611275723927649,1.98590691519898,-0.301458432634457,-1.56158553584055,0.368154276685174,0.364068578548208,0.362605413591835,-0.134905247912701,-0.482887259299066,-0.60369636301416,0.788480633313909,1.12401655242467
"MRSA_Tm_3 (GE) - TPM",2.01245011535707,2.6865136567284,2.27193398398764,2.48702927371672,0.257639934371509,0.303173418101368,0.0987877005875858,0.293679542083729,0.921185629825729,0.920223550634062,0.555806828248936,0.945051632243208,1.17251427986691,1.20678164696776,1.26345218526609,0.357429828632775,1.42732426236305,-0.235707207813173,-1.06321822855891,0.0602768660639604,0.291470478669796,-0.156570315010717,0.169392519319187,-0.511963159903214,-0.495144458093562,0.522701519672667,1.26887175465029
"MRSA_Vic_1 (GE) - TPM",1.66146260591921,1.32694675089151,1.2282639141267,1.01911696068039,3.13362578233404,0.877694508538108,0.83138142192136,0.572760081691208,1.70775651978601,1.44400619921741,1.45358845847041,2.0900439813855,1.85185352554649,1.97946201538866,1.858089187978,0.962783206523497,1.16724017830672,0.0836390980633593,-0.423146304499648,2.41001376280946,2.2234302667143,-0.149271967420616,-0.103684965384212,2.05744692504449,1.9925723826776,0.181417816090164,-0.705806930460905
"MRSA_Vic_2 (GE) - TPM",1.38230871437785,1.21228422902324,1.17526599537648,1.15682997847309,3.4298164606817,1.10374397325295,0.45201843587451,0.60372593009567,2.10152373379761,1.54868349669188,1.6688878484915,2.30144500661115,2.20747328448155,2.35948869089934,2.15928144262522,0.981485436680835,1.52776947326106,-0.29324618729019,-0.327495882767818,2.68823786709969,1.90262694445123,0.0023224614848642,-0.511945729470272,2.52854128308443,1.85244434109053,1.04616323610221,-0.603809131186969
"MRSA_Vic_3 (GE) - TPM",1.2170278564358,0.886649772745483,1.01571425152436,1.12026552108905,2.90259207395651,1.14264388690593,0.546618483571473,0.796993413713015,2.17738006147617,1.06866261657587,1.41369524266284,2.0626467320968,2.08721571043041,1.99373284180777,2.03948157085722,0.454906577067884,1.07064576525584,-0.385896920936228,-0.236841618613817,2.68725617889838,2.85052710157939,0.108424771060081,-0.285771102419863,2.12080227022644,1.89474940752614,1.45394963117646,-0.306310099763249
