"","SPD_RS00555","SPD_RS02390","SPD_RS03100","SPD_RS03415","SPD_RS03420","SPD_RS03425","SPD_RS03745","SPD_RS04215","SPD_RS05240","SPD_RS05245","SPD_RS05250","SPD_RS06750","SPD_RS06755","SPD_RS06760","SPD_RS06770","SPD_RS07620","SPD_RS08095","SPD_RS08310","SPD_RS09765"
"STRPN_Ns_3 (GE) - TPM",-0.530547571170654,-1.08284045612397,-0.0481389762777132,-0.270263837747661,-0.247898173971838,-0.271455670047585,-0.448985923884204,-0.196214358099027,-0.435992428393634,-0.521571659635368,-0.715365982753329,0.393852583880115,0.0538867573204747,-0.0446858070693073,-0.033371732180771,-0.558448993136559,-0.109473193023727,-0.515148268902238,-0.586696551141012
"STRPN_Oss_1 (GE) - TPM",-0.825477314337742,-1.20508987386531,-0.549496835336716,-0.311756710637187,-0.303400800641354,-0.295173971351342,-0.892753908702347,-1.29325065422784,0.368724527804332,0.141119500475262,-0.131286779800992,-0.411986045057294,-0.239138254628022,-0.324862941289409,-0.196019832189385,-0.715579442032335,-0.712193512731261,-0.591329579553333,-0.538832289177567
"STRPN_Oss_2 (GE) - TPM",-0.75239383507792,-1.23091832940821,1.30901133943694,-0.326096579610591,-0.262236449452021,-0.259078060635177,-1.1540668549488,-1.44368723605793,0.515931812261689,0.0578851024237832,0.083977625683983,-0.297780846415716,-0.310197340109919,-0.272093261796344,-0.169221569958973,-0.342521335211866,-0.684457552226657,-0.972298730178726,-0.511759796951808
"STRPN_Oss_3 (GE) - TPM",-0.0793537091845463,-1.17103404086886,0.0649248011547359,-0.25870872865378,-0.304665637834817,-0.298980154518293,-0.449937465123194,-1.35117210926863,0.436080746535049,0.0701687403684155,0.44363777473003,-0.469643581241685,-0.34055225993876,-0.445667182503723,-0.0802168801127848,-0.148666814557545,-0.538206874973316,-0.100622809246493,-0.51766949512812
"STRPN_Oxs_1 (GE) - TPM",-0.0685902917089704,-0.556475697089831,-0.110347162080153,-0.275924191559155,-0.276257784202859,-0.246703165038366,-0.00515860778433714,-0.00475742720300649,-0.28578552037102,-0.214789345371648,-0.608151379471375,0.219314038916061,-0.14703151517177,-0.121131958438662,-0.183113030982519,-0.61023023059547,-0.486120658940851,-0.0609509027783684,-0.575889855148343
"STRPN_Oxs_2 (GE) - TPM",0.0443945175951647,-0.536189107623685,-0.124304966109033,-0.273065114686642,-0.263124050368418,-0.24884045744252,-0.00822227059869166,0.0150991774572137,-0.269691311350651,-0.206817610328639,-0.585741527042202,0.158091047067815,-0.145191895285167,-0.0998302953379715,-0.15663419961769,-0.58858120138735,-0.541099166906456,-0.0935397135242305,-0.575744665541219
"STRPN_Oxs_3 (GE) - TPM",0.213008452600222,-0.527183911873264,0.108455240675516,-0.242768976919367,-0.283186061158117,-0.262583535018808,-0.182181437284898,-0.268200371418835,-0.339807072929617,-0.237412811388421,-0.512290218124377,-0.203451547242894,-0.18402727289367,-0.274348073802884,-0.241836318020434,-0.14481176596929,-0.118591080484877,0.15098229617397,-0.552306116781965
"STRPN_Sp_1 (GE) - TPM",-0.846863583228618,1.03157573177682,-0.815281669418804,-0.333041133774706,-0.319717871988949,-0.33568142260256,0.528530405475494,-0.0947779665977115,-0.302499086693014,-0.269941315935388,1.38384984898014,-0.465959038495904,-0.375280126849003,-0.0296807431348649,-0.536095554882792,2.78091919425182,2.22445363732011,-1.09913037402279,0.52307431316713
"STRPN_Sp_2 (GE) - TPM",-0.588942031072053,1.1594951805119,1.10350272280059,-0.348883747399215,-0.329350570270929,-0.33338384249945,0.230433116978662,-0.281919830959428,-0.358235702147615,-0.284066823518935,1.17126127702039,-0.553461581226043,-0.418921058572932,-0.34398026361863,-0.567301590915316,1.64462625986322,1.33036506004894,-1.09913037402279,0.540997691674634
"STRPN_Sp_3 (GE) - TPM",-0.357242736474806,1.15817502937167,2.10749637803965,-0.349449503261861,-0.325398567705479,-0.330819617037694,0.0274895028012198,-0.412822168924489,-0.287399599614094,-0.169849092435739,1.57832756395054,-0.506320677674767,-0.336575923256554,-0.100012841825275,-0.464935050501196,0.95809685167809,1.67807386566995,-1.0215723885105,0.465725005698655
"STRPN_Tm_1 (GE) - TPM",0.537837165083956,-0.633707335341296,-0.815281669418804,-0.297958052986267,-0.258780658076515,-0.316530008388861,-0.799098479351706,-1.33122576259749,-0.888351812872891,-0.719475980015203,-0.629275369076509,-0.432668341704961,-0.272214042808106,-0.253641475599136,-0.246165526007082,-0.509425529307072,-0.507564661320549,0.764712723652415,-0.485165834928448
"STRPN_Tm_2 (GE) - TPM",0.995518883775026,-0.517404471779748,0.420370031840416,-0.27484483233512,-0.24345832984113,-0.304246145638437,-1.1101941021177,-1.02335145445607,-0.813501319028052,-0.736801829850216,-0.679783683310157,-0.456837887955169,-0.449516917171288,-0.242280218697509,-0.182020759577061,-0.512869891807248,-0.733709998014544,-0.213830261990967,-0.483635907833587
"STRPN_Tm_3 (GE) - TPM",0.0392478639027616,-0.670421464168228,-0.346631100945149,-0.282768015498684,-0.306430394841076,-0.328080211985811,-0.779442319335165,-0.825073604888326,-0.843064650832543,-0.720607400354507,-0.576159457687077,-0.318509826926017,-0.328820813115513,-0.268926471522927,-0.266427559454516,-0.49005971970448,-0.254132062755418,-0.119797362045429,-0.435765795867894
"STRPN_Vic_1 (GE) - TPM",-1.15035452880153,-0.838622806451278,-0.815281669418804,-0.319783453244104,-0.300279871357088,-0.334023107008136,-0.198764615701699,1.17382650877543,-0.90958627715525,-0.696451979955863,-0.684866013833899,-0.688088032467427,-0.53595987831488,-0.211687722992333,-0.335677685112947,-0.571892447914931,-0.920466631033253,1.99744454365628,-0.545566667118257
"STRPN_Vic_2 (GE) - TPM",-1.03806483870995,-0.367211332184828,-0.815281669418804,-0.301277944563137,-0.34051456951556,-0.33480496070283,-0.64158418070321,0.700000030311292,-0.734319848107576,-0.683568798420591,0.0238960775335662,-0.408563853471812,-0.41566152315751,-0.533432140325226,-0.523903742761391,0.351246310587299,-0.809971289729824,-0.0462594963252326,-0.523338390875552
"STRPN_Vic_3 (GE) - TPM",-0.717077788974315,-0.696146043792189,-0.815281669418804,-0.290332238373674,-0.261040914528189,-0.334478071578743,-0.373295592287735,1.16662942424128,-0.745063865124518,-0.704043926724664,-0.523608866289097,-0.555249376529878,-0.475492481550382,-0.245467338723606,-0.355439345582363,-0.00242103718029192,-0.310773410502385,0.056211309300248,-0.443847315944158
