"","B4U56_RS00365","B4U56_RS00810","B4U56_RS01630","B4U56_RS01665","B4U56_RS01700","B4U56_RS01905","B4U56_RS02800","B4U56_RS03290","B4U56_RS04350","B4U56_RS04355","B4U56_RS04360","B4U56_RS04365","B4U56_RS04370","B4U56_RS04480","B4U56_RS05300","B4U56_RS05710","B4U56_RS06270","B4U56_RS06640","B4U56_RS08400","B4U56_RS08900","B4U56_RS08940","B4U56_RS08945","B4U56_RS12245","B4U56_RS09245","B4U56_RS09850","B4U56_RS11150","B4U56_RS11155","B4U56_RS11160","B4U56_RS11165","B4U56_RS11390","B4U56_RS11920","B4U56_RS11925","B4U56_RS11930","B4U56_RS11935"
"SEPI_Mig_1 (GE) - TPM",-0.733731595224332,-1.09697397759731,0.682170253668122,-1.25907041685941,-0.658463158818834,-0.310954059131223,-0.151055785063775,-0.144788807011084,-1.1312417753667,-0.843715264250462,-0.939567996788295,-0.698925628374507,-0.497794619578786,0.981807295148654,0.123480890126289,0.221321266584817,0.574844333318668,-0.721196248079653,-0.768793554153182,-1.20710796210405,-1.05306809179997,-1.13580189584505,-0.244169663361903,-0.610399728212949,-0.751739499162844,-0.580406920758249,-0.721019347777631,-0.76479081538425,-0.753737623976149,0.628521338492894,-0.576522386908278,-0.575878794352004,-0.596072866525508,-0.867253892289933
"SEPI_Mig_2 (GE) - TPM",-0.690009348684171,-1.09416991865177,0.957937346767469,-0.972699131570088,1.03331100777169,-0.121744281656735,0.218895341136228,-0.501981322798777,-0.862593328936215,-1.39550881136028,-1.64571173112485,-0.958936394267613,-1.15295637564346,1.52136331625082,1.50162741278292,1.5129481471474,-0.388945418938573,-0.85338185390058,-0.534930525479071,-1.2820509698781,-1.06799695610071,-1.27643476236294,-0.244169663361903,-0.613469127780269,-0.815645524016887,-0.57596931160813,-0.749557086217645,-0.808401565786465,-0.760746497182521,1.9615145092744,-0.278577295455586,-0.625594387091195,-0.75280104734846,-1.09161813814196
"SEPI_Mig_3 (GE) - TPM",-0.643589152926789,-1.11573207054532,1.0050113876062,-0.942428884443757,-0.368666272259821,-0.338141548179501,-0.349609782048906,0.0849164827629618,-0.683480403854729,-1.07767796999392,-0.846088020836988,-1.09177144155578,-0.623504621478846,1.42924207418047,0.850634435777185,0.0466337553794325,0.045066806809039,-0.542081629326621,-0.72805780430077,-0.461454529748922,-0.988215518452709,-0.781747785226447,-0.244169663361903,-0.609254785945183,-0.76863355036227,-0.594992196379455,-0.726706169698524,-0.833395596184446,-0.729053104118975,0.938344027707812,-0.463059091438691,-0.593198189022992,-0.806195932672678,-0.912730754344581
"SEPI_Nd_1 (GE) - TPM",0.991439479294018,1.35282429754172,-0.0593955149939015,1.02508995758373,-0.658463158818834,-0.349762407540237,1.50948564159423,-0.42482693895712,2.42846746202453,1.35414392786796,0.47584107547581,2.42446128465852,0.818323331055719,-0.409530804155232,0.647473131952375,-0.809589819102207,-0.790136368689505,0.200309687908163,0.528615180264097,-0.270321660107931,0.333374924428483,0.116722658269588,-0.244169663361903,0.786939519629687,1.5467584643003,2.69904247642966,1.40456575047721,0.835115715148718,0.422135680895504,0.891998826650972,-0.193018974687346,-0.201637090018235,0.546079991121693,0.106466629124083
"SEPI_Nd_2 (GE) - TPM",0.629218338658909,1.16956817051365,-0.147360300589101,0.425016985508851,1.22552729215556,0.18548783780195,0.329543205039644,0.778695828204441,1.26053934042861,0.5839651985104,2.58282977465101,1.88411596917338,2.27732727367741,-0.269544700137816,0.687359176306232,-0.776260156231241,0.285148560582521,-0.273152679357002,0.447662145721121,0.796505927588498,-0.212958368575013,0.0663613341051024,-0.244169663361903,0.200335333480958,1.57404834750722,2.183750495846,1.08005333991022,0.525870842631404,0.271118087785751,0.98437890375901,-0.200075238055486,0.297664815145687,0.744014472918568,2.04076824149018
"SEPI_Nd_3 (GE) - TPM",0.745604803577109,1.10447869577089,-0.215523426290946,0.357567391621286,-0.108821430210773,-0.34395369188777,2.03194137778231,1.07966707331421,1.44787776114301,0.585434248084125,1.42759602705554,1.90893926659999,2.85475499011213,-0.800290190091276,0.495825763279376,-0.70911143588937,-0.268338331546836,0.0210225690777387,0.468345375803139,0.725313534326296,0.387894750798755,0.987433228956222,-0.244169663361903,0.47121692084326,1.20899782226125,2.42249418282866,1.04437532756598,0.820929999134129,0.351015119979364,1.24457738545592,0.0606489284281604,0.241147695987745,0.533046758453368,1.59984546931358
"SEPI_Ns_1 (GE) - TPM",0.41332696000379,-0.620181972834568,-0.909172244813917,-0.510019510885314,-0.658463158818834,-0.273701586107744,0.128790294871723,-0.891124454648882,-0.109078025881271,-0.241756600869287,0.260681370344858,-0.282940015543135,-0.263056549918147,0.924831972849944,-0.527071693400155,-0.283479417752675,-0.358650198138934,-0.113352979275567,-0.272048224290021,-0.576168882667854,-0.284289568181357,0.142167329706005,-0.244169663361903,-0.054398161213095,-0.289950947777236,-0.440772275521956,-0.186334027415953,-0.0954561191906284,-0.248283617696026,-0.271826539385477,-0.302779961533414,-0.168775222350266,-0.201471538412345,-0.750802232659312
"SEPI_Ns_2 (GE) - TPM",-0.229100052340135,-0.416464444738858,-0.79532169593167,-0.836093668363797,0.118238238577052,-0.212362353959378,-0.839151099362191,-0.950245279789129,-0.583137507395493,-0.477508162916563,-0.0014851094378981,-0.336098136420505,-0.350697267171359,0.980078392631383,-0.911302777972652,-0.646051538494219,-0.427595802580963,0.0428747080678385,-0.405053695224883,-0.892225148471039,-0.279808099413864,-0.0883317396472481,-0.244169663361903,-0.379038446652511,-0.572341086523273,-0.574654359024283,-0.543306421503126,-0.555272607784861,-0.533638029161718,-0.23049333966158,-0.299257959499382,-0.309402795698622,-0.364370750753625,-0.664131042281937
"SEPI_Ns_3 (GE) - TPM",0.0995143988669484,-0.556324940277263,-0.680115985060524,-0.362471498981618,-0.338914515847426,-0.590316279340189,-1.14980051566463,-0.470147645023674,-0.83264074042597,-0.341188773853319,-0.0944864876295384,-0.495578701772762,-0.188569998613721,0.395805122409731,-1.10825897135766,-0.461870905513123,0.355642187914992,0.451170098229762,-0.0243434071230438,-0.540445024423157,-0.171036510493184,0.0307112634240829,-0.244169663361903,-0.354574139689672,-0.544991097417851,-0.600715307752858,-0.518613977727236,-0.531994211096712,-0.496518768313178,-0.378163228307242,-0.544605349991136,-0.334300245018102,-0.606751564742206,-0.378937112731004
"SEPI_Oss_1 (GE) - TPM",0.00991079414971006,-0.619682645215482,-0.0285941851923272,-0.472459494471807,-0.658463158818834,-0.661340469805121,-0.71954909177109,0.304750897156538,-0.696772998933425,-0.326732649386167,-0.195945924832005,-0.447669571400643,-0.385238039535474,0.0893367406420027,0.190095793061756,-0.279756493938102,-1.28691085559385,0.314736148491354,1.20424963936819,0.766490924209002,-0.170892693555739,-0.513794040102318,-0.244169663361903,-0.00210028078590174,-0.11158153768602,-0.353901022088999,0.0971054717220108,0.311715115697124,0.303127392329458,-0.552795691250854,-0.62818593710611,-0.207716034148905,-0.521590958295027,-0.135106494718407
