"","B4U56_RS00985","B4U56_RS00990","B4U56_RS01090","B4U56_RS01095","B4U56_RS01100","B4U56_RS01105","B4U56_RS01110","B4U56_RS01295","B4U56_RS01500","B4U56_RS01545","B4U56_RS01550","B4U56_RS01705","B4U56_RS01935","B4U56_RS02300","B4U56_RS02750","B4U56_RS02755","B4U56_RS03795","B4U56_RS03800","B4U56_RS04200","B4U56_RS04400","B4U56_RS04940","B4U56_RS05160","B4U56_RS05235","B4U56_RS05340","B4U56_RS05365","B4U56_RS05380","B4U56_RS05615","B4U56_RS06980","B4U56_RS06985","B4U56_RS07300","B4U56_RS07305","B4U56_RS07310","B4U56_RS07315","B4U56_RS07890","B4U56_RS09620","B4U56_RS10100","B4U56_RS10995","B4U56_RS11290","B4U56_RS11295","B4U56_RS11570","B4U56_RS11575","B4U56_RS11580","B4U56_RS11585","B4U56_RS11590","B4U56_RS11630","B4U56_RS11635","B4U56_RS11775"
"SEPI_Li_2 (GE) - TPM",-0.793759242375744,-0.611113570130692,-0.492458295110524,0.312647999974606,-0.196560753909672,0.0111456243855206,-0.628608216741109,0.76521632920105,-0.994605608848726,-0.235365825827901,-0.103393252115526,-0.335094438686576,-0.475750191143923,-1.33267665405346,-0.332647643995481,-0.336342905140506,0.474628285335348,0.226464512808748,0.0122541581841829,-0.658094965649516,-0.261548632769451,-0.343318246370478,-0.807857972269738,0.686873118480822,0.522111091994243,0.939051235165444,-0.209577865929844,-0.352575730467843,0.244375705308603,-0.096001419376302,0.0988042043737975,0.53299215891798,-0.725325203469524,-0.311803464180283,0.836773336246437,-0.492256854997866,1.50245909403703,2.05120759232424,2.55259869719357,-0.079141932324081,0.0616820806424125,0.339845131555347,0.61646687240995,0.961361659293025,-0.688926810228118,-0.279277455458837,-0.166666666666667
"SEPI_Li_3 (GE) - TPM",1.74175251717431,1.77032817995394,-0.232295322502044,0.101862786588927,-0.193535614762753,-0.293158249052537,-0.348390671186661,0.326593618602127,-0.814605451790828,-0.0261575872584292,-0.195998922802933,-0.152781481012778,-0.475750191143923,-0.739579892993711,-0.334769205404691,-0.296206628630091,0.771815407900446,0.740232689026921,-0.533833849858095,0.388970730097253,-0.261548632769451,1.36477960581323,-0.120686502470863,0.386527040602793,0.256223971943317,1.95674502013617,-0.209577865929844,-0.46220701297564,-0.227806626302234,0.067230455449512,0.209884531497777,0.648421450734474,-0.102662112302996,0.145780475492858,0.589071846686806,-0.746117024645365,1.10427006620523,0.581624578957267,1.28307876146266,-0.0489715760321728,0.0486021455718168,0.169805888608421,0.982383454408953,0.853468562874945,-0.317376610547516,-0.184928807614691,-0.166666666666667
"SEPI_Mig_1 (GE) - TPM",-0.668416801145106,-1.66138732838987,-0.818845547164697,-0.71082925875568,-0.802283534418095,-0.86526734360934,-1.17110349595944,-0.775972413834306,-0.660429087242175,-0.919470969381626,-0.739908636887799,-0.641781699176169,-0.475750191143923,-1.39189835691711,-0.210704674515539,-0.183201027426457,-1.26717195129478,-1.27538301175127,-1.16055935106145,0.270095042024201,-0.261548632769451,-1.15407662981168,-0.540478962060087,-0.384352196011286,0.724732300436083,-0.383383691694942,-0.209577865929844,-0.99473785594197,-0.753806346068615,-1.12691432090426,-1.12743446945651,-1.02720006519515,-0.435019079492789,-0.384961609995858,-1.92861531282347,-1.46560063570824,-0.471482272128122,-1.26526202630193,-1.34821828947403,-1.10803169597926,-1.03057129239036,-1.01745340098355,-1.30994105555768,-1.38235988027894,-1.66676114506111,-1.42732018355998,-0.166666666666667
"SEPI_Mig_2 (GE) - TPM",-1.31416090359027,-1.80146453517293,-0.799932188733887,-0.724360732362282,-0.747336613835897,-0.913053937775198,-1.09333550076953,-0.813527319375267,-1.04342987487857,-0.8957030408533,-0.726489635800107,-0.614957577390939,-0.475750191143923,-1.03531215060596,-0.302269619891745,-0.289600415527347,-1.3497066803877,-1.26603290871612,-1.30138148938593,-0.125031909601226,-0.261548632769451,-1.13582927774884,-0.746909537651208,-0.653730447143902,0.706680090489811,-0.909739600611678,-0.209577865929844,-0.996034352603016,-0.744656430452483,-1.17615617037472,-1.148559107319,-1.04389345238655,-0.684439759031744,1.19815984751267,-1.51536789277774,-1.50482739569606,-0.0949712694385047,-0.737245306822978,-1.35220948817011,-1.12102516657033,-1.01250232678041,-0.990636402869063,-1.29439602212146,-1.59308389670618,-1.67276754756763,-1.46561007274375,-0.166666666666667
"SEPI_Mig_3 (GE) - TPM",-1.49189844658662,-1.51273516204851,-0.768422260212247,-0.731146311623534,-0.807170270619912,-0.960031166619785,-0.989562060805008,-0.789712072449483,-0.944562949388264,-0.936876100088843,-0.751259892779867,-0.677534312439045,-0.475750191143923,-1.29531591243997,-0.184998175390669,-0.282315105937846,-1.35950455645817,-1.27191603316582,-1.19914323881416,-0.658769874203376,-0.261548632769451,-0.802373013810766,0.0589054279195476,-0.361487510157704,0.460248025160405,-0.739802255839455,-0.209577865929844,-1.00628937592134,-0.747159498469829,-1.11125485740252,-1.13447299333645,-1.07497595921409,-0.354332844589516,0.0225660774518761,-1.9565961230292,-1.39971291237109,-0.268727382439576,-0.589897442751494,-1.36581829958259,-1.0975027175892,-0.97297624862071,-0.977363098090825,-1.33521222383558,-1.63576057315793,-1.65362457866233,-1.44085701110358,-0.166666666666667
"SEPI_Nd_1 (GE) - TPM",-0.320531530845003,-1.29207189399412,-0.594100695696077,-0.630191718035132,-0.695314127358814,-0.898768005857033,-0.418509912480828,-0.431463356790738,-0.684884161193678,-0.834464617491986,-0.908445212105872,-0.573922380635872,-0.475750191143923,-0.767111007580071,-0.463015875318622,-0.473877357093353,-0.418431505694277,-0.622984377521639,-1.16610282150566,-0.801095807816657,-0.261548632769451,-1.03693577935178,-1.34213373773023,-0.996934590592712,-0.670699536649335,-0.965007453445707,-0.209577865929844,-0.829506221290415,-0.630203052584278,-0.949693798280498,-1.00474902835575,-0.910813447882151,-1.197765252692,-0.760485677765909,0.110922270823787,-0.94876819894748,-0.848086511772262,0.372262827294534,0.272472223503675,-0.95658354496487,-1.0454100557145,-0.949308412503915,-0.765839445779006,-0.800111950930761,-0.119043024883839,-0.214350132998688,-0.166666666666667
"SEPI_Nd_2 (GE) - TPM",-0.0147284776729558,-0.337924634698305,-0.30886962282184,-0.79722190373121,-0.380191090584769,-0.390906411350833,-0.665855597703787,-0.379444300090727,0.169093130815281,-0.783826362717815,-0.88936392500577,-0.279590212278414,-0.475750191143923,-1.63159220886032,-0.505014636207871,-0.504527924575553,-0.326325919445483,-0.643377011897462,-1.16270818592372,-1.28149771255093,-0.261548632769451,-0.75951336213073,-0.982072158663611,-1.19143732294479,-0.532087001329217,-0.679945749243886,-0.209577865929844,-0.850297357759649,-0.625988122975582,-1.00381582766491,-1.00151849983908,-0.859408630785105,-0.963203289208103,0.108203276048895,0.909248953405736,-1.08184032615753,-1.42594872783048,-0.732553499171146,-0.194763284697549,-0.907818665501138,-0.472529216355728,-0.553715613465236,-0.992549874852184,-1.02007928178937,0.0304694816018867,-0.213211498559503,-0.166666666666667
"SEPI_Nd_3 (GE) - TPM",-0.0545065108361417,0.182241125642268,-0.52633241877491,-0.592993587406126,-0.567246907292405,-0.80133705447207,-0.523995849369413,-0.586925054786674,-0.088155698233629,-0.719407533355423,-0.855098199376184,-0.479709682090313,0.306558853466238,-1.12811334550316,-0.488110029444369,-0.476493978677343,-0.214523195114788,-0.480733182068533,-0.949287116600354,-0.965355772257537,-0.261548632769451,-1.21183571245963,-1.26298945417257,-1.22646266644817,-0.672324050834966,-0.784948915563479,-0.209577865929844,-0.782857224420364,-0.670634805881658,-0.853088264632538,-0.919277977236789,-0.968194729343336,-1.08083911507243,0.270117723736883,0.184054809058407,-1.20679009683256,-0.697173155604972,-0.142631716080599,-0.0929281213960755,-0.849514086896633,-0.840159260995052,-0.884311544634288,-0.839317980463608,-0.803100449119344,0.075894496989311,0.0596371209162911,-0.166666666666667
"SEPI_Ns_1 (GE) - TPM",0.0577691280934267,-0.297479280867342,-0.669724272413022,-0.490941611223779,-0.623932501532876,-0.773095215893224,-0.866954072269312,0.976591216009685,-0.258963871590409,-0.791719439867489,-0.838466586417938,-0.756965489845364,-0.336981601008625,-0.128054752332016,0.0448808516494976,-0.027247408818491,-0.925639224162977,-0.839902330033352,-1.06800324530691,0.714345055979649,-0.261548632769451,-0.495792852743754,-0.143904006017819,-1.07889329310163,-0.636583622748345,-1.20364898133674,-0.209577865929844,-0.9885498699323,-0.738716228255541,-1.31644928203054,-1.1291103565926,-1.13833059174938,-1.10678409487092,-0.815454175814416,0.447409400928641,-0.473722953681261,-1.65357837135323,-0.707269352785324,-0.740009621838113,-1.01525698723259,-0.868033256483938,-0.728703697114328,-0.134990781649889,0.110044427388302,-0.412202324817852,-0.597541159864015,-0.166666666666667
"SEPI_Ns_2 (GE) - TPM",-0.339480189681489,-0.5036668661391,-0.651102639579447,-0.645427889889315,-0.623958736897124,-0.619200418036348,-0.988468524476157,0.703606391007466,-0.274853650254866,-0.666390364573222,-0.810084768300667,-0.720221687646106,0.234918552908871,0.310273000667535,0.124186448123723,-0.00649445955569996,-0.807010045176281,-0.684958431304246,-0.877923512327872,-1.07521260647262,-0.261548632769451,-0.586521676704583,-0.38896613319696,-1.1177969434728,-0.619136274297108,-1.01063116540073,-0.209577865929844,-1.00540789718554,-0.752115089391578,-1.29666087145303,-1.14259714449795,-1.14675732754277,-0.920458216283169,-0.952194249083826,-0.0853673674958706,-0.0595334629319435,-1.42036838478486,-0.595526645339066,-0.78215715405779,-1.00376180026282,-0.890126910134452,-0.778619402589286,0.175488368609251,0.668841532276851,-0.174446335701819,-0.511527279007487,-0.166666666666667
"SEPI_Ns_3 (GE) - TPM",-0.732412178748951,0.00423425880020025,-0.698188435313705,-0.68388538937734,-0.78292533858042,-0.799694504382504,-0.551115011375886,0.848133230399946,0.00513842382714647,-0.697699460936498,-0.913791515417978,-0.702746237681539,1.22980941340894,-0.110989223119287,-0.057012828984949,-0.0264412548169426,-1.04590449711952,-0.789352686231998,-1.07631097524125,-0.68607916579298,-0.261548632769451,-0.537566882874688,-0.417141493551576,-0.932804355322436,-0.600172787026097,-0.878923867992371,-0.209577865929844,-1.01827322754907,-0.749408047437519,-1.32353973617033,-1.16066851482701,-1.13424340066712,-0.852687702245265,-0.663907588797658,0.0888308536572459,-0.179952705885327,-1.39636525905181,-0.915627916000202,-0.807214360421348,-0.997226829288779,-0.880755394104472,-0.853973907197588,-0.137095059494357,-0.123283813620344,-0.337284103355323,-0.481075240033947,-0.166666666666667
"SEPI_Oss_1 (GE) - TPM",0.569107445476252,1.08646064657779,-0.0861946012384658,-0.149665938753338,-0.201012504472614,-0.12669955274294,0.0913796733481527,0.0651296039299758,0.336552293671643,0.416650696063839,0.555446415805413,-0.344557043844417,-0.475750191143923,0.614994865231169,-0.392428099116409,-0.306634524816934,0.0349261142577261,0.476473303310617,-0.555942927424107,-0.0286649255546158,-0.261548632769451,0.395222400713096,0.201235860691153,-0.24070243306306,-0.247004961220419,0.489441444905262,-0.209577865929844,0.111063582515697,0.138013409349796,0.134503233030217,-0.294007539926877,-0.0298800612038058,-0.101481123088264,0.042189592274856,0.152289697185117,1.0352911327935,-0.2718492370641,0.463140203967904,0.703010135900675,0.353329644269361,0.476956184963052,-0.0817126866367444,1.32576408048961,0.598000548381135,1.27410434001024,0.885354314687977,-0.166666666666667
"SEPI_Oss_2 (GE) - TPM",0.659857761926973,1.14619418265282,0.313999859832124,0.321765485339518,0.545037547080435,0.758217825025081,1.12090756592223,0.448362092881557,0.211481411905467,0.620036483963769,0.5494893388309,0.016522524297881,-0.475750191143923,0.379327484327237,-0.327595566711451,-0.355993514017931,0.27761109890135,0.461630681399013,0.0939918299630893,0.766834546279958,-0.261548632769451,2.64453468974456,-0.232127249010529,0.632336383745333,-0.400374087248252,0.698573617027282,-0.209577865929844,0.645677973369459,0.402512317627961,1.23464415319127,0.954131941591596,0.970697230907711,1.53670399212265,-0.0612237188867431,1.21038125454113,0.758769767892535,0.155401549234064,0.233976579439025,0.981476995759767,1.14168775535228,0.376507236490658,0.190824268540281,0.530825226277159,-0.489183249959819,0.85662957683414,0.652001061815025,-0.166666666666667
"SEPI_Oss_3 (GE) - TPM",1.50458693082008,1.61804053797143,-0.550295516583454,-0.234540951477897,-0.471801276722786,0.770258214247832,-0.611700909203238,0.112671255763875,0.276546675191149,1.07432871063744,1.03432432552773,-0.344388458180616,-0.475750191143923,0.449152084659206,-0.432689746343977,-0.402000433565089,0.457809007906538,1.10033117013038,-0.880895848174606,-0.416142793578936,-0.261548632769451,-0.045912360673681,1.57822545344545,0.0146289670586331,-0.0612863960554613,0.591237515287852,-0.209577865929844,0.307324120527298,0.00435985325042597,0.568636112837106,0.376708125456399,0.194675064232936,0.174441070285011,-0.0223681835025776,1.01244407826063,0.417874507126107,0.201851463277186,0.224631669208271,0.803168816516738,1.02150372830191,0.31389944127649,0.382328565262867,0.787647717477255,0.291152070028946,1.44166489408188,0.945035136814938,-0.166666666666667
"SEPI_Oxs_1 (GE) - TPM",-0.589885408125354,1.38821830264918,1.08405937964663,0.971331601923891,1.00826277830488,0.607105550462647,0.941820967021306,-0.252309815239759,0.668523573439365,2.2645262392512,0.708279012634368,0.356943707381169,-0.475750191143923,1.89908274250183,-0.238467236276647,-0.161312581363808,1.12074086977011,1.2475391960313,0.995466253500258,0.213869946680633,-0.261548632769451,1.79191154093181,1.05740265649467,1.69298374566872,-0.442984076684262,1.63535192224383,-0.209577865929844,1.43480924630964,1.10711101198434,0.920153328576912,0.940227853345895,0.887671576027537,1.71329451453307,-0.629313926626818,-0.0404341413020114,2.42991360103231,1.1329816644684,-0.405250694185381,0.110871772479628,1.08299521990787,1.61260327532664,1.44792108510078,0.283473453169721,0.571661330799692,1.01852584403921,0.916695080630477,-0.166666666666667
"SEPI_Oxs_2 (GE) - TPM",-1.44408928736533,0.160994783757125,0.74555250209153,0.400830834457849,0.476262029584498,0.122739460971407,0.97300475706879,0.0601014198286696,-0.0277216458792474,0.542285437011636,-0.028338304557349,-0.27236685317202,-0.475750191143923,0.462864666322571,-0.246422524187758,-0.211144544445277,-0.177352605524029,0.30370972972646,0.651741594236005,0.0386381046317406,-0.261548632769451,0.678471831095608,-0.75260644330658,1.31546400070621,-0.442786995575414,0.981513742222439,-0.209577865929844,1.0832330623719,1.10420589192793,0.170963415220738,0.20889720061985,0.581579801600897,0.129544474958904,-0.90274065730286,-0.76420092639292,1.22279830353856,-0.156165435626086,-0.534527146673983,0.0711492581014573,0.818815347317501,0.546193900729221,0.815322196096013,-0.38075582574896,-0.756278163250265,0.0646035308985938,-0.4128218448602,-0.166666666666667
"SEPI_Oxs_3 (GE) - TPM",-0.0277659978734058,0.546391502983393,0.928035481003063,0.127203400597565,0.68793562628084,0.587073107182188,1.04534851500079,-0.209032623741295,0.0693524641146539,0.35857435750369,0.000737467355679106,-0.0462051643432771,-0.475750191143923,0.573025792830994,-0.161621490359189,-0.181586423070402,0.0395495718879891,0.37074211217136,0.503055599977987,0.983181861614015,-0.261548632769451,0.727739120414065,0.708859229537598,0.964188434108532,-0.633491291223151,1.05218452380513,-0.209577865929844,1.12918463632925,0.935529221303815,0.436312561146164,0.227321963653525,0.528273909899224,0.774256903133412,-0.489616015308453,-0.55068229291555,1.47627483382784,0.255393821165831,0.416555779215934,-0.18633643388453,0.618605055795706,0.822915034047436,0.874935775541562,-0.221593432853149,-0.481961539201854,0.432225333417913,-0.0158359537581841,-0.166666666666667
"SEPI_Sp_1 (GE) - TPM",-0.207307761211171,-0.610678469210597,-0.604047798511188,-0.65673994812849,-0.784035534488048,-0.732688472009064,-0.896760445624526,-0.95723475772533,-1.11463593815243,-0.840627175254942,-0.391559742325552,-0.655424556388876,-0.475750191143923,-0.932957320584018,-0.497481270144925,-0.526445971136748,-0.539021233280489,-0.684100487563014,-0.0391711190177411,-0.932898945027241,-0.261548632769451,-0.149256486458676,-0.619945596837093,-1.67814766709399,0.119724145990244,-0.410252697988116,-0.209577865929844,-0.330779412759372,-0.705837674743035,-0.185502170921843,-0.112533509318377,-0.505537811167924,-0.308663375116297,1.51814204574684,0.115676987835255,-0.265513819568208,0.750945923523698,-0.474175598677456,-0.969343413090055,-0.703060624801402,-0.776256033869332,-0.888691019954242,-1.01082135155197,-0.634565217330655,-1.05477669664527,-1.05227411947831,-0.166666666666667
"SEPI_Sp_2 (GE) - TPM",0.650509671345877,0.00641007929423222,-0.484746118860074,-0.222604738301916,-0.535924195631218,-0.861420188338795,-0.742725502798865,-0.769637439169201,-0.867863085155963,-0.623012989030897,-0.0605618528938206,0.170434379622893,-0.475750191143923,-0.922053223846875,-0.541785467346791,-0.499157548275498,-0.227285626450502,-0.501932620247021,0.668156634274831,-1.27656359221601,-0.261548632769451,-0.463334424950307,-0.898379859030564,-1.22854940199951,0.351902739858743,-0.691021798730574,-0.209577865929844,-0.281663881681934,-0.680389432588345,0.631295217547297,0.521695337517673,-0.299402553674348,-0.217116142057676,0.59516566266815,-0.332939134607217,-0.248623484659765,1.13166949290593,-0.105529784825755,-0.790114009852287,-0.316462634340148,-0.429776975233051,-0.67427236681968,-0.620405585874948,-0.107361438630674,-0.447496257572991,-0.538032944704987,-0.166666666666667
