"","pWR501_0164","pWR501_0165","SF5M90T_599","SF5M90T_1373","SF5M90T_1550","SF5M90T_1691","SF5M90T_2036","SF5M90T_2037","SF5M90T_2362","SF5M90T_2366","SF5M90T_2720","SF5M90T_3414","SF5M90T_3654","SF5M90T_3814","SF5M90T_3815","SF5M90T_3816","SF5M90T_3817","SF5M90T_3818","SF5M90T_4024","SF5M90T_4025","SF5M90T_4106"
"SHIF_Li_2 (GE) - TPM",-1.29516429747301,-1.00828057744031,-0.953488344962693,-0.782153206112561,0.0402525962262551,-0.749939562325822,-0.976143937611262,-1.01843747459282,0.238911422356106,-0.833279864999575,-0.975610641622817,-0.901076905962517,-0.290661731528967,-1.21270370105924,-1.42772804723685,-1.44132342938802,-1.08007271047921,-0.881209715782128,-0.782147147293186,-0.477634439575327,-0.424805398618393
"SHIF_Li_3 (GE) - TPM",-0.909728051314255,-0.780247158398822,-0.516529049705774,-0.584661155207523,-0.461244853790625,0.0421133423556031,-0.643234119340146,-0.488015934314939,0.170702419326706,-0.642476443374378,-0.975610641622817,-0.816058992434377,-0.216464911521201,-0.758562925245532,-0.601290818557992,-0.911187383706811,-0.736319224592531,-0.558912647168719,-0.582564090358221,-0.608119569314387,-0.0134285686633456
"SHIF_Mig_1 (GE) - TPM",-0.539889591915545,-1.00793913227968,-1.19362471505446,-1.16703399094508,0.413542328458899,-1.58878376175329,-1.25436859894965,-0.752774782865334,-2.02040086272885,-1.07331275812582,-0.975610641622817,-1.01990082026879,-1.16909627260389,-0.742004459963218,-0.233178885819087,-0.286230123866595,-0.916035854107735,-1.08578628129824,-1.05612923621588,-0.552863442072263,-1.22320080007643
"SHIF_Mig_2 (GE) - TPM",-0.879152719562979,-1.10123346934192,-0.845698261710162,-1.47218540197902,-1.08475016844716,-1.47466800602798,-1.02198149967122,-0.969068683475597,-0.507485516481545,-0.986311723037034,-0.975610641622817,-1.01990082026879,-1.49964295729558,-0.22556797543094,0.0405626689959781,-0.469795162435042,-1.17059458413856,-1.24246848254747,-0.896164036814747,-0.733829622744563,-1.14338369551089
"SHIF_Mig_3 (GE) - TPM",-0.673233308299971,-0.921394348409445,-0.807393731431995,-1.39132513755609,-0.870846124180257,-1.43978005044542,-0.656460730886758,-0.641503203271583,-1.14954799207401,-0.951400240492522,-0.975610641622817,-0.491346242656713,-1.16544091921115,-0.0138426466073522,0.188692042878318,-0.180457057167199,-0.974851011057101,-0.939851073265517,-0.855541976019191,-0.994322438965619,-0.943843210029592
"SHIF_Nd_1 (GE) - TPM",-1.04780865469587,-1.26635138301164,-0.760858594806378,-0.706640756153375,-0.302000044837096,-1.18283652306302,-1.41906468378297,-1.17526667042644,-1.44712584172173,-1.10507565705777,-0.975610641622817,-0.802091951247221,-0.887324239889022,-0.725462563180937,-0.859559565593394,-1.08331793630168,-0.879065466139738,-1.13108977720499,-1.09141269645793,-1.08553318330562,-1.08953054127681
"SHIF_Nd_2 (GE) - TPM",-1.03263136919646,-1.29422158634175,-0.673780294446792,-0.759464019372465,-1.46556254972367,-1.07390882556431,-1.41358188010012,-1.25009124295621,-0.348386826471162,-1.15854603784533,-0.0447924498454349,-0.883570231052827,-0.844317964553273,-1.0477223161417,-0.999481737213476,-1.14890843083566,-1.07785949819718,-1.09935917041829,-1.09384998059116,-0.909513515095586,-1.11624462590295
"SHIF_Nd_3 (GE) - TPM",-0.898436768052074,-1.20598598835703,-0.313535518153771,-0.542745143138019,-1.5181128993089,-0.846263895496098,-1.06922065061702,-1.24598725852635,-0.22309591472251,-1.00581400562172,-0.4277844613578,-0.859428095079699,-0.963878301082279,-0.75628916757398,-0.948823632254246,-0.839505841322913,-0.881990808861274,-0.971143221663081,-1.05235761856614,-0.611329839043583,-1.09369372906191
"SHIF_Ns_1 (GE) - TPM",-0.905529004033333,-0.594563011845922,-0.641961662954539,-0.147624664402765,-0.93306231578967,0.366683206332832,0.268697080859364,-0.233742409177613,0.0801848625744592,-0.99528858246135,-0.46657800229076,-0.908069014192032,-0.139331332029296,-0.898449198262768,-0.906182795404373,-0.527943647681735,-0.426325235450827,-0.934630506453712,-0.591253767652141,-0.386443604373137,-0.82758070948207
"SHIF_Ns_2 (GE) - TPM",-1.0372430363006,-0.663963902752179,-0.712198125605664,-0.319792866677693,-1.4414049263683,-0.26199872892522,-0.286450886466907,-0.650924995754466,-0.590517620837079,-1.06588351708842,0.593928949473047,-0.933695912409834,-0.103656178808246,-0.973483279537912,-0.794247366302922,-0.863936927905109,-0.534807763557169,-0.791383992004463,-0.683924316475254,-0.59441343471949,-1.06609121687231
"SHIF_Ns_3 (GE) - TPM",-1.04302828590608,-0.818019680444207,-0.798818983434047,-0.277201045463508,-0.964530190802148,-0.93565936687022,-0.149557431519439,-0.275387925054559,-0.045931380565902,-1.0357427633567,-0.18728560433802,-0.90444023110074,0.358082269473571,-0.741618729942147,-0.872030650020202,-0.529599512367283,-0.586978502089964,-0.866345642211262,-0.632677693172268,-0.437659913046705,-0.929491669004504
"SHIF_Oss_1 (GE) - TPM",0.846424428603739,1.15772918822156,-1.10926831664054,-0.983943699913194,-0.618107925673459,-1.1912877289635,-0.909649190441558,-0.966176598634445,0.00279752395888805,0.75912978830198,-0.095285509066654,1.27944385381084,-1.58271258413496,-0.959101317727519,-0.899754864087548,-0.719994328638878,-0.726794621678185,-0.451676811020794,0.231617049477228,1.16922972444262,-0.125853356868525
"SHIF_Oss_2 (GE) - TPM",1.22996815218151,1.23944899036518,-1.10204318729198,-1.02305647566824,-0.773092267041477,-1.17108539341043,-0.975503870805615,-0.869334654782174,0.381623956076192,0.905863187377696,0.399462126016767,1.44162449262114,-1.61768800703799,-0.818087979873529,-0.968395739296987,-0.732337612833113,-0.618617884424477,-0.388125268252694,0.154902123458245,1.37594243608286,-0.31181816431571
"SHIF_Oss_3 (GE) - TPM",0.602129180084122,1.05255179187868,-1.11392713903049,-1.08498458668324,-0.130307370819564,-1.42013238175633,-0.277866658175185,-0.844658747446479,0.769632779604039,0.438522313795539,-0.40600887939558,0.732038532795206,-1.56337425376129,-0.566571680462145,-0.868147593399828,-0.680521709412791,-0.554074315474274,-0.504080897701447,0.108841885313849,1.04431319779255,0.270373368691914
"SHIF_Oxs_1 (GE) - TPM",-0.0821026726391476,0.0521672545992249,-0.37301689689338,-1.18975587663017,0.0846245005504634,-0.102948794671737,0.140210963132136,0.00681425073845162,-0.0692441020042867,-0.563324310065012,-0.0786276801967918,-0.592932155001835,-0.0919046104010741,0.20591955140218,0.126390896306844,0.207951735240388,0.479838722499125,0.374145253297643,-0.184329136764905,-0.524944942724166,-0.0392806511853205
"SHIF_Oxs_2 (GE) - TPM",-0.623700306969516,-0.20023717372536,-0.416081542174311,-1.23558620292841,-0.688873861851671,-0.0740396566617624,0.0932978660107009,-0.160572356874494,-0.553600302095905,-0.493891446088398,-0.975610641622817,-0.517896424958509,0.178167281583923,-0.0131349003544669,0.452138031513478,0.111234671764469,0.684572163270806,-0.0422954637093351,0.00077348400833591,-0.231519215022341,-0.138969834734692
"SHIF_Oxs_3 (GE) - TPM",-0.619858933797161,-0.289683450439821,-0.558760032360236,-1.15238333876081,0.366817106156639,-0.0834228001297916,-0.0329721130393709,-0.26171691356566,-0.438286368973168,-0.5355657757949,-0.975610641622817,-0.421673563355149,0.233795414770407,1.23279112486348,-0.0682924237344166,0.20315278592931,0.644947490410314,0.123529562715234,-0.242380351566104,-0.650177815833694,0.318417105292538
"SHIF_Sp_1 (GE) - TPM",0.312171789256254,0.336496776385112,-0.411465353298496,0.193476369286982,-0.0889792741008846,0.610179159791304,-0.954535778328226,-0.860039051457718,-0.311592511714288,-0.196431637673385,-0.975610641622817,-0.84651604981345,-0.610859396338151,-0.910161444591687,-0.972204329030573,-0.675704501335746,-0.497605445944062,-0.522559482126614,-1.12732718582311,-1.05901681895662,-0.524404385603135
"SHIF_Sp_2 (GE) - TPM",0.885430699337059,0.327764580246424,-0.498716365871756,0.417042088260211,0.366349277477326,-0.255608486267521,-0.828138903590138,-0.887016183384317,-1.67811587581579,-0.545241558187159,-0.975610641622817,-0.641760339154028,-0.601382257640231,-0.890745240811102,-0.658165384040127,-0.685576231098532,-0.708513468878978,-0.595122549269883,-1.10895902520457,-1.12635398260993,-0.915941531052604
"SHIF_Sp_3 (GE) - TPM",0.788347863866595,0.320982095306453,-0.50740176203761,0.154527654944908,-0.845554353058028,-0.235708465876973,-1.12146898494998,-0.789359835768431,-2.17120058020845,-0.757705693375027,-0.975610641622817,-0.695079019393295,-0.970265158973486,-0.298903027105482,-0.84041817653899,-0.525441434807896,-0.670470568612839,-0.937601852090775,-1.15554222284711,-0.93471467240522,-0.956922303823793
"SHIF_Tm_1 (GE) - TPM",0.894480937685681,-0.372459470359155,1.78303770263055,1.04031394852449,1.58215451604689,0.530008482962607,0.944554819493534,1.0585919967398,0.29610876104468,0.0977736022434263,-0.63807697502662,0.611495530145885,0.937839483353692,1.38377104050605,1.06431642417924,1.08601229894209,1.89628033248098,0.26838947676962,0.162773954474603,-0.940514953515172,0.58367344407856
"SHIF_Tm_2 (GE) - TPM",0.190206982661379,-0.419030908896872,0.762391979266063,0.85268501498753,2.64481011490462,0.419358708664667,0.753206055180217,1.02293287124647,1.48392528206763,0.00267750867422188,1.07038531853867,0.984095944785288,1.09124008548668,1.73067767970611,1.0272913321194,1.39372244769562,2.13677284412477,-0.0629038304991925,0.163394415479147,-0.699190108461768,0.81731573530203
"SHIF_Tm_3 (GE) - TPM",0.147324939920066,-0.48435111634597,1.00085618216062,1.15536887432604,1.38567570145191,0.141848685335531,1.36252659985389,1.11748860810229,0.816199962579167,-0.101079729916322,1.76404622137679,0.694568798789953,1.20844006744276,1.34561440063801,1.41504522520202,1.28504161881548,2.21133558001372,0.221947488159528,0.304320587668255,-0.517100948422495,0.636203412935381
"SHIF_Vic_1 (GE) - TPM",1.94594691460494,2.18681089814673,2.53505221017637,1.25463421499115,0.836424897916895,2.34950640921803,1.70438486056186,1.95309269606451,3.34884270328104,2.35556380996582,0.927409552847892,2.21756685767163,1.78969254567906,2.13505821103572,2.01922804352149,2.39129293570844,1.64756840002381,2.26829669236541,2.35440446885364,1.91734931037676,2.74079709698493
"SHIF_Vic_2 (GE) - TPM",2.16572171838703,2.10924394445396,0.996582695682243,1.60167893038238,1.96058545078609,1.49725968784703,2.01415902012719,1.93159752585368,0.863744275058654,1.87580806971766,2.24138299263314,1.67624495795059,1.10695652385949,2.04178811085873,2.77153096487046,1.97683970748639,1.75244838965505,1.83098158831332,2.45834070674509,2.6137131157559,2.13220512268623
"SHIF_Vic_3 (GE) - TPM",1.91103474675784,1.80767786217192,1.07518966549298,1.58592880973506,1.08405078544162,1.23881153399901,2.30233724315634,1.92398552199655,0.900380726770258,1.51579617076491,2.58042272821545,0.998307460862297,1.48160919074172,1.74185295845289,1.48432811120899,2.03577538695273,1.36081541725734,2.03250658234969,2.51933090370588,1.57858043639609,2.32429674095514
