"","B4U56_RS00200","B4U56_RS00205","B4U56_RS00645","B4U56_RS01515","B4U56_RS01710","B4U56_RS01745","B4U56_RS01835","B4U56_RS01895","B4U56_RS03185","B4U56_RS03195","B4U56_RS03200","B4U56_RS04190","B4U56_RS04195","B4U56_RS05110","B4U56_RS07010","B4U56_RS07015","B4U56_RS07380","B4U56_RS07805","B4U56_RS07810","B4U56_RS07815","B4U56_RS08155","B4U56_RS08270","B4U56_RS09120","B4U56_RS09125","B4U56_RS09130","B4U56_RS09225"
"SEPI_Li_2 (GE) - TPM",-0.976608585790219,-0.702516237599414,-1.24834918616292,0.757102898481209,0.186118261797212,-0.587594541996221,1.19471387140498,-0.830387633176021,-1.78759149259973,-0.731266603027947,0.0710436974392279,-0.69448333456484,0.132018284361129,-0.64284789824337,-0.510591080080692,-1.24594556620423,-0.772719570124518,0.0625882592690146,-0.411543055915151,-0.0596661035470316,-1.25853360750291,0.806598027012109,-0.656741889496315,-0.894282721726058,-0.904358026942886,-0.363877760835252
"SEPI_Li_3 (GE) - TPM",-0.651884277085478,-0.69871240055113,0.723687699607789,0.66444731390894,0.26439449440378,-0.204366398467724,-0.16062717112579,-0.294878106168828,-0.259226694367765,-1.2042594076523,-0.874077078820649,-0.619310091619378,-0.32507692053854,0.268921284680147,-1.0420853156538,0.600722213995956,-0.198393452832871,-0.0908716152001295,-0.149916126949883,-0.160301176168486,-1.17627493752829,0.175648374475231,-0.926758075098211,-0.391330790804626,0.927334701608748,0.157328617136386
"SEPI_Mig_1 (GE) - TPM",2.09044470877201,1.94264889986732,0.248638724576672,0.934068009107486,-1.07875070084827,1.15208724443746,-1.32404462810445,1.6813713491696,1.2609577335034,1.49053789072351,1.48702342422918,-0.97134435034452,-1.17697013987168,2.57520901204241,0.38086192826517,2.05808789488041,-1.21143041036015,1.79484931293678,1.97573561249906,2.10840191895057,1.7240705615388,1.94136308669932,1.98906360276354,1.95094031941911,1.86259069898673,2.32960140759452
"SEPI_Mig_2 (GE) - TPM",1.90879056528204,2.17197153731299,1.59850573697387,1.3115661860121,-1.11564169161282,1.18936956207583,-1.22695763547804,2.13418336802992,1.20236365520974,0.243829226161553,0.7419113769866,-0.905057306687278,-1.2158733035628,1.01933932212205,0.255266417511053,0.0639245258245597,-1.24930780626656,1.28037821787386,1.62042932837305,1.30639822290084,2.12725219207931,1.7225482925769,1.21916661757073,1.7612478619064,0.876024482684499,2.03288110700695
"SEPI_Mig_3 (GE) - TPM",1.68716597174874,1.3027191999743,1.82602573387224,1.25109197727664,-1.08441114683373,0.41374842623807,-1.37134121058332,1.39120743179381,2.17197292847538,2.33388844000909,1.63429133215536,-0.801022159065375,-1.11085704122109,1.76688331725554,0.799464842818845,0.34329579094805,-1.31617924693319,1.7080906551077,2.01885466251302,2.26228579481903,1.92778501455887,2.47170661295587,1.60505562410255,1.65583742193532,0.853467843625196,2.20298852029491
"SEPI_Nd_1 (GE) - TPM",0.375572644382298,1.34443903951853,3.09303025884926,1.66450558068229,-0.981365172988726,1.16968160164188,-0.557086033204933,1.81077245965695,2.64074630140853,0.701156704933079,2.26953806549417,-0.97134435034452,-0.984734702029755,1.50374088171174,2.65710827730932,1.52971507649386,-1.18305562999882,2.42091905208645,0.997547898901556,1.66881078558417,0.896289834201395,0.0255917635759432,1.77793674078791,1.64458342061965,0.810473894266734,0.226178291945886
"SEPI_Nd_2 (GE) - TPM",1.5184093674445,0.862925992762128,0.130046191267129,1.31963022860894,-1.06840197535086,0.140142145458863,-0.345164222467045,1.13206526903294,1.47769742452005,-0.0932006063166167,0.969576151757195,-0.97134435034452,-0.978998127058825,0.0429146603991824,0.108058010785957,0.766242284869707,-0.733916716934428,0.760975084433156,0.134676221107677,0.000337233070507737,0.358592445021512,-0.0593395031736169,1.59031548368624,1.01568244713062,1.0485288561046,-0.53758990656459
"SEPI_Nd_3 (GE) - TPM",1.09923343151013,1.03812669890573,-0.578119658692953,2.18178161982083,-0.873828293594821,0.730974499765476,-0.568513450761817,2.34692562555495,2.18737553755807,3.06575857848807,1.52399198049202,-0.773930600929246,-0.967133717826048,-0.263197659520303,2.11000656891949,1.60307187520398,-0.984770997036977,1.09437628533644,0.805627574620159,0.364302435496623,0.477140586441145,0.720340176094716,1.67864542108856,2.34213344059164,1.03486994511054,0.0743812839201596
"SEPI_Ns_1 (GE) - TPM",0.0819903999485783,0.321572752851442,-0.249693737485578,-0.948556703307991,-1.06603240965072,-0.115995942926583,-1.25931272260873,-0.155890922441377,-0.0880095412949912,0.584418623159407,0.637485810498738,-0.844006493606969,-1.13021370472235,0.0608999278922304,0.225736688649036,0.112602871118155,-1.08239600634587,0.783937852298659,0.633007682440536,0.310354677189717,0.577611834498058,0.919675759370649,0.246032594180179,0.116664042201196,0.301236821109179,0.276907766339728
"SEPI_Ns_2 (GE) - TPM",0.345813492823709,0.59836839958069,0.0911273226496359,-0.192020977221726,-1.07139033540795,0.9630686423284,-1.3127908897932,-0.0175807462944043,0.307070207569972,0.770315505636953,0.808486938232203,-0.97134435034452,-1.183459354798,0.267220213923825,0.00830856121464506,0.286454784761209,-1.17498703704526,0.997865194426097,1.15499679067272,0.906178869928831,1.31353082699988,1.22516627748219,0.541613068260234,0.146443125328809,0.514423149828914,0.101271920499615
"SEPI_Ns_3 (GE) - TPM",0.107180442678848,0.648674292014696,-0.196279269945601,-0.505589514289618,-1.06092090006914,-0.229490717235094,-1.1674829527799,0.187452523549506,-0.20118465094162,0.510795467447266,0.21025212923961,-0.658330721512443,-1.2078187847394,-0.0514952199004647,0.12760808140669,0.979965511472958,-1.15849646002723,0.795877791549581,0.695173652269416,0.393805539873464,1.34426621567423,1.29939261851479,0.776700940916462,0.0757462756123048,0.336442167094299,0.201161877641792
"SEPI_Oss_1 (GE) - TPM",-0.127310383626167,-0.37947750552959,-0.507710832338413,-0.801836190555558,-0.124324095629726,-1.31270600228493,-0.44131787484273,-0.540602117747021,-0.173155872086893,-0.3036343858256,0.268569586801115,-0.326803104912139,-0.603751734545248,0.195489332536735,-0.104977930036763,0.00722259377822214,0.469052821961439,-0.390665971723058,-0.571044845654751,-0.501151994688235,-0.648985953688621,-0.0944676550906954,-0.131582656296543,-0.695777847103997,-0.039973717648364,-0.322893694404259
"SEPI_Oss_2 (GE) - TPM",-0.928926023288326,-0.557806516209421,-0.530219383380712,-1.49434989256294,0.716225156500248,-0.472259407080113,0.379929213645744,-1.09507656446018,-0.767397681937313,-0.0712356287991552,-0.5120624513341,1.0669644072553,0.327694351746024,-0.832533197643594,-1.06752547121672,-1.10923490087022,1.407664509137,-1.01276505235951,-1.14144432078167,-0.797166298119822,-0.988335780547733,-0.499612395210376,-0.893597667392837,-0.997591076534497,-1.01454418065302,-0.490096512332532
"SEPI_Oss_3 (GE) - TPM",-0.326036682910235,-0.555946039752296,-1.24834918616292,0.0740002035554823,-0.11857283849197,-1.36878581043005,0.353015430728879,-0.564065839003986,-1.24548929306922,0.879305019827366,-0.212695083070471,-0.97134435034452,-0.152766674684668,-1.50909146700572,-1.59517658188209,-0.0808345303167362,0.959227591117738,-0.37862103637751,-0.640165719206552,-0.389140062660557,-0.699753119877238,-0.260172967740846,-1.18246933278508,-0.655507886902062,-1.9117454221868,0.0780125710470205
"SEPI_Oxs_1 (GE) - TPM",-0.331404395075418,-0.576733413053746,-0.177914807125468,-0.65174949502989,0.494460774200349,0.427518795356055,0.20974455034437,-0.39061522570155,-0.51779309200412,-0.987780150164795,0.144927129622042,-0.295717177878624,0.584860000724503,-0.21620111298237,-0.434945398638714,-0.317724526785256,-0.0247288446525138,-0.20543572507092,-0.0994044069293122,-0.0192414086037838,-0.360788938655945,0.327185508591364,0.165832373360118,-0.368433765250752,-0.302616882130741,-0.724376471132835
